Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cellular protein metabolic process (GO:0044267)	56/417	3.703187e-68	3.555059e-66	0	0	6.888592e+01	1.069568e+04	APP;RPL5;RPL30;RPL3;RPL32;RPL34;RPL10A;RPL9;RPL6;RPS4X;RPS14;RPL7A;RPS16;RPS19;RPL18A;RPS18;RPLP2;RPL37;RPS11;RPL39;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;IGFBP3;RPS6;RPL13A;RPS3A;EEF1A1;RPL24;RPL26;RPL28;RPL10;RPL11;RRBP1;RPS15A;RPL14;GPC3;RPS3;RPL13;RPL15;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS24
GO_Biological_Process_2021	rRNA metabolic process (GO:0016072)	40/162	1.120574e-58	9.861051e-57	0	0	1.080765e+02	1.442131e+04	RPL5;RPL30;RPL3;RPL10;RPL32;RPL34;RPL11;RPL10A;RPL9;RPL6;RPS14;RPL7A;RPS16;RPS19;RPL18A;RPL14;RPL13;RPLP2;RPL15;RPL37;RPL18;RPL17;RPL39;RPL19;RPS9;RPL41;RPL21;RPS7;RPL23;RPS6;RPL13A;RPL35A;RPS25;RPS28;RPS27;RPL27A;RPL24;RPL26;RPL28;RPS24
GO_Biological_Process_2021	rRNA processing (GO:0006364)	40/173	2.163672e-57	1.757567e-55	0	0	9.908271e+01	1.292787e+04	RPL5;RPL30;RPL3;RPL10;RPL32;RPL34;RPL11;RPL10A;RPL9;RPL6;RPS14;RPL7A;RPS16;RPS19;RPL18A;RPL14;RPL13;RPLP2;RPL15;RPL37;RPL18;RPL17;RPL39;RPL19;RPS9;RPL41;RPL21;RPS7;RPL23;RPS6;RPL13A;RPL35A;RPS25;RPS28;RPS27;RPL27A;RPL24;RPL26;RPL28;RPS24
GO_Biological_Process_2021	ribosome biogenesis (GO:0042254)	41/192	2.510643e-57	1.893742e-55	0	0	9.088663e+01	1.184496e+04	RPL5;RPL30;RPL3;RPL10;RPL32;RPL34;RPL11;RPL10A;RPL9;RPL6;RPS14;RPL7A;RPS16;RPS19;RPL18A;RPL14;RPL13;RPLP2;RPL15;RPL37;RPL18;RPL17;RPL39;RPL19;RPS9;RPL41;NPM1;RPL21;RPS7;RPL23;RPS6;RPL13A;RPL35A;RPS25;RPS28;RPS27;RPL27A;RPL24;RPL26;RPL28;RPS24
GO_Biological_Process_2021	ncRNA processing (GO:0034470)	40/201	1.676556e-54	1.180295e-52	0	0	8.173499e+01	1.012066e+04	RPL5;RPL30;RPL3;RPL10;RPL32;RPL34;RPL11;RPL10A;RPL9;RPL6;RPS14;RPL7A;RPS16;RPS19;RPL18A;RPL14;RPL13;RPLP2;RPL15;RPL37;RPL18;RPL17;RPL39;RPL19;RPS9;RPL41;RPL21;RPS7;RPL23;RPS6;RPL13A;RPL35A;RPS25;RPS28;RPS27;RPL27A;RPL24;RPL26;RPL28;RPS24
GO_Biological_Process_2021	ribonucleoprotein complex biogenesis (GO:0022613)	13/60	2.315540e-18	1.528256e-16	0	0	6.311788e+01	2.563021e+03	RPL5;NPM1;RPS7;RPS6;RPL11;RPL35A;RPS25;RPS28;RPS16;RPS19;RPL14;RPL26;RPS24
GO_Biological_Process_2021	ribosome assembly (GO:0042255)	12/50	1.280691e-17	7.955348e-16	0	0	7.127512e+01	2.772356e+03	RPL5;RPS14;NPM1;RPS28;RPL3;RPS27;RPS19;RPL10;RPS5;RPL11;RPL24;RPL6
GO_Biological_Process_2021	ribosomal small subunit biogenesis (GO:0042274)	11/40	5.679544e-17	3.331999e-15	0	0	8.468849e+01	3.167949e+03	RPS14;RPS25;NPM1;RPS28;RPS16;RPS27;RPS19;RPS7;RPS5;RPS6;RPS24
GO_Biological_Process_2021	ribosomal large subunit biogenesis (GO:0042273)	12/57	7.251998e-17	4.030584e-15	0	0	6.016667e+01	2.235954e+03	RPL5;RPL7A;NPM1;RPL3;RPL10;RPL11;RPL14;RPL24;RPL35A;RPL26;RPL10A;RPL6
GO_Biological_Process_2021	ribonucleoprotein complex assembly (GO:0022618)	12/136	3.768778e-12	1.989915e-10	0	0	2.174780e+01	5.720600e+02	RPL5;RPS14;RPS28;RPS27;RPL3;HSP90AB1;RPL10;RPS19;RPS5;RPL11;RPL24;RPL6
GO_Biological_Process_2021	regulation of translation (GO:0006417)	13/178	5.125909e-12	2.577600e-10	0	0	1.787217e+01	4.646177e+02	APP;RPL5;NPM1;RPL10;CIRBP;RPL13A;RPS4X;RPS3;RACK1;EIF3E;RPL26;VIM;SOX4
GO_Biological_Process_2021	positive regulation of cellular amide metabolic process (GO:0034250)	9/81	2.621243e-10	1.258197e-08	0	0	2.723626e+01	6.008920e+02	RPS4X;RPL5;NPM1;RACK1;CIRBP;EIF3E;RPL26;VIM;SOX4
GO_Biological_Process_2021	positive regulation of translation (GO:0045727)	9/100	1.767874e-09	8.116850e-08	0	0	2.152892e+01	4.338829e+02	RPS4X;RPL5;RPS9;NPM1;CIRBP;EIF3E;RPL26;VIM;SOX4
GO_Biological_Process_2021	ribosomal large subunit assembly (GO:0000027)	6/25	2.200910e-09	9.684004e-08	0	0	6.678947e+01	1.331408e+03	RPL5;RPL3;RPL10;RPL11;RPL24;RPL6
GO_Biological_Process_2021	ribosomal small subunit assembly (GO:0000028)	5/17	1.666433e-08	6.811527e-07	0	0	8.722807e+01	1.562254e+03	RPS14;RPS28;RPS27;RPS19;RPS5
