gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	EC	EP	PV	SM
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0917E42F5	SULT1E1	0.044	0.05	0.405	0.277
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS09DCE99A5	CHAT	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS088613CD3	CHAT	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS08ED696DC	CHAT	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS0C5C5E217	CHAT	0.0	0.0	0.0	0.0
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CS08EE9E5CE	ALDH1A1	0.002	0.081	0.021	0.02
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CS033058D2B	ALDH1A2	0.117	0.125	0.368	0.08
HDC	P19113	True	DCHS_HUMAN	Histamine_byHDC	CPI-CS0FF6E7611	HDC	0.0	0.0	0.0	0.0
SLC5A7	Q9GZV3	True	SC5A7_HUMAN	Acetylcholine_byCHAT_and_SLC5A7	CPI-CS0DBFDDA4A	SLC5A7	0.0	0.0	0.0	0.0
SLC5A7	Q9GZV3	True	SC5A7_HUMAN	Acetylcholine_byCHAT_and_SLC5A7	CPI-CS08FB3D7C0	SLC5A7	0.0	0.0	0.0	0.0
SLC5A7	Q9GZV3	True	SC5A7_HUMAN	Acetylcholine_byCHAT_and_SLC5A7	CPI-CS067CF9C74	SLC5A7	0.0	0.0	0.0	0.0
SLC5A7	Q9GZV3	True	SC5A7_HUMAN	Acetylcholine_byCHAT_and_SLC5A7	CPI-CC0A4E09DEF	SLC5A7	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT_and_SLC5A7	CPI-CS0DBFDDA4A	CHAT	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT_and_SLC5A7	CPI-CS08FB3D7C0	CHAT	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT_and_SLC5A7	CPI-CS067CF9C74	CHAT	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT_and_SLC5A7	CPI-CC0A4E09DEF	CHAT	0.0	0.0	0.0	0.0
PTGDS	P41222	True	PTGDS_HUMAN	PGD2_byPTGDS	CPI-CS0FADCFDB9	PTGDS	0.001	0.009	0.002	0.002
CDH5	P33151	False	CADH5_HUMAN		CPI-SS00C24ED50	CDH5	0.783	0.013	0.004	0.003
CDH6	P55285	False	CADH6_HUMAN		CPI-SS0C53F7672	CDH6	0.008	0.01	0.029	0.033
CDH7	Q9ULB5	False	CADH7_HUMAN		CPI-SS0BE3D537D	CDH7	0.004	0.007	0.024	0.001
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	CADM1	0.189	0.504	0.334	0.16
CEACAM5	P06731	False	CEAM5_HUMAN		CPI-SS0322747C2	CEACAM5	0.0	0.0	0.0	0.0
CEACAM6	P40199	False	CEAM6_HUMAN		CPI-SS001BF66E8	CEACAM6	0.0	0.0	0.0	0.0
CD44	P16070	False	CD44_HUMAN		CPI-SS06F83AE58	CD44	0.03	0.132	0.067	0.166
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS01A7DC3C1	CLSTN2	0.022	0.016	0.052	0.058
LRRTM2	O43300	False	LRRT2_HUMAN		CPI-SS0C0329180	LRRTM2	0.004	0.0	0.002	0.002
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS026EC3854	LRRTM3	0.014	0.0	0.014	0.008
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS0F97A06CD	LRRTM4	0.036	0.016	0.179	0.038
NLGN1	Q8N2Q7	False	NLGN1_HUMAN		CPI-SS0731F750C	NLGN1	0.016	0.017	0.081	0.085
NLGN4X	Q8N0W4	False	NLGNX_HUMAN		CPI-SS0F9118AB4	NLGN4X	0.548	0.11	0.472	0.259
NLGN4Y	Q8NFZ3	False	NLGNY_HUMAN		CPI-SS0837C7966	NLGN4Y	0.0	0.0	0.0	0.0
THBS1	P07996	False	TSP1_HUMAN		CPI-SS0C93E48D7	THBS1	0.535	0.171	0.292	0.749
APOA1	P02647	False	APOA1_HUMAN		CPI-SC0FE3CE9D1	APOA1	0.002	0.0	0.001	0.004
APOB	P04114	False	APOB_HUMAN		CPI-SC0EFFE8ACB	APOB	0.008	0.0	0.0	0.0
APOE	P02649	False	APOE_HUMAN		CPI-SC06C75F978	APOE	0.166	0.862	0.969	0.954
CLU	P10909	False	CLUS_HUMAN		CPI-SC046AFCFE9	CLU	0.031	0.128	0.045	0.03
AGT	P01019	False	ANGT_HUMAN		CPI-SS05996C8FD	AGT	0.007	0.011	0.056	0.08
APOA1	P02647	False	APOA1_HUMAN		CPI-SS015B29D3F	APOA1	0.002	0.0	0.001	0.004
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0BA601DC4	BDNF	0.014	0.026	0.083	0.192
NTN4	Q9HB63	False	NET4_HUMAN		CPI-SS0E3AA6B7B	NTN4	0.008	0.158	0.039	0.095
NTF3	P20783	False	NTF3_HUMAN		CPI-SS093E05DD4	NTF3	0.004	0.003	0.015	0.024
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS09A6C048C	CLSTN2	0.022	0.016	0.052	0.058
LRRTM2	O43300	False	LRRT2_HUMAN		CPI-SS0E5F8A5F7	LRRTM2	0.004	0.0	0.002	0.002
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS0626DF0EB	LRRTM3	0.014	0.0	0.014	0.008
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS03466C597	LRRTM4	0.036	0.016	0.179	0.038
NLGN1	Q8N2Q7	False	NLGN1_HUMAN		CPI-SS0D2DF7881	NLGN1	0.016	0.017	0.081	0.085
NLGN4X	Q8N0W4	False	NLGNX_HUMAN		CPI-SS0FA378947	NLGN4X	0.548	0.11	0.472	0.259
NLGN4Y	Q8NFZ3	False	NLGNY_HUMAN		CPI-SS0CCB5F46B	NLGN4Y	0.0	0.0	0.0	0.0
CCL22	O00626	False	CCL22_HUMAN		CPI-SS0AEC33FF1	CCL22	0.0	0.039	0.0	0.0
CXCL10	P02778	False	CXL10_HUMAN		CPI-SS0FDAB7BA8	CXCL10	0.001	0.011	0.005	0.004
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0B1B18F2D	CXCL12	0.358	0.11	0.586	0.494
CXCL2	P19875	False	CXCL2_HUMAN		CPI-SS0CDAC688B	CXCL2	0.005	0.013	0.007	0.013
CXCL10	P02778	False	CXL10_HUMAN		CPI-SS080683E15	CXCL10	0.001	0.011	0.005	0.004
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0A28DCA72	CXCL12	0.358	0.11	0.586	0.494
CXCL14	O95715	False	CXL14_HUMAN		CPI-SS0669CC233	CXCL14	0.001	0.036	0.008	0.01
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0C70ADA28	EFNA5	0.302	0.451	0.082	0.049
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0FC01B947	EFNA5	0.302	0.451	0.082	0.049
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS087E0E3FB	EFNB2	1.193	0.142	0.301	0.191
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS09E3F5044	EFNA5	0.302	0.451	0.082	0.049
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS028688B7B	EFNA5	0.302	0.451	0.082	0.049
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS068ACD209	EFNA5	0.302	0.451	0.082	0.049
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS0ECC9DF3E	EFNB2	1.193	0.142	0.301	0.191
AREG	P15514	False	AREG_HUMAN		CPI-SS052119104	AREG	0.025	0.06	0.025	0.13
EREG	O14944	False	EREG_HUMAN		CPI-SS004C23DCE	EREG	0.0	0.0	0.001	0.008
TGFA	P01135	False	TGFA_HUMAN		CPI-SS07E5C3060	TGFA	0.002	0.025	0.001	0.0
EREG	O14944	False	EREG_HUMAN		CPI-SS0FC42EC80	EREG	0.0	0.0	0.001	0.008
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS0BD5C2A23	NRG1	0.103	0.303	0.114	0.047
NRG3	P56975	False	NRG3_HUMAN		CPI-SS0D5E30C6C	NRG3	0.986	0.893	1.601	1.856
NRG4	Q8WWG1	False	NRG4_HUMAN		CPI-SS0627D0E22	NRG4	0.005	0.014	0.018	0.005
FLRT2	O43155	False	FLRT2_HUMAN		CPI-SS0474E1C15	FLRT2	0.069	0.131	0.459	0.391
TENM1	Q9UKZ4	False	TEN1_HUMAN		CPI-SS038A612D7	TENM1	0.018	0.067	0.101	0.03
TENM2	Q9NT68	False	TEN2_HUMAN		CPI-SS0BCB3D402	TENM2	0.057	0.023	0.158	0.232
TENM3	Q9P273	False	TEN3_HUMAN		CPI-SS0EA023E51	TENM3	0.063	0.282	0.397	0.402
TENM4	Q6N022	False	TEN4_HUMAN		CPI-SS01F00A48A	TENM4	0.103	0.184	0.615	0.22
TENM1	Q9UKZ4	False	TEN1_HUMAN		CPI-SS083BB1EB3	TENM1	0.018	0.067	0.101	0.03
TENM2	Q9NT68	False	TEN2_HUMAN		CPI-SS021718DBF	TENM2	0.057	0.023	0.158	0.232
TENM3	Q9P273	False	TEN3_HUMAN		CPI-SS075F456AF	TENM3	0.063	0.282	0.397	0.402
TENM4	Q6N022	False	TEN4_HUMAN		CPI-SS0FD44484F	TENM4	0.103	0.184	0.615	0.22
PENK	P01210	False	PENK_HUMAN		CPI-SS09F7A6011	PENK	0.004	0.004	0.02	0.01
LRFN5	Q96NI6	False	LRFN5_HUMAN		CPI-SS081E1A895	LRFN5	0.139	0.196	0.917	0.402
PTN	P21246	False	PTN_HUMAN		CPI-SS05D7900BF	PTN	0.225	0.375	1.569	0.653
NTN4	Q9HB63	False	NET4_HUMAN		CPI-SS0BA4E3F44	NTN4	0.008	0.158	0.039	0.095
NTF3	P20783	False	NTF3_HUMAN		CPI-SS05162C56B	NTF3	0.004	0.003	0.015	0.024
CNTN1	Q12860	False	CNTN1_HUMAN		CPI-SS0730D1EF3	CNTN1	0.007	0.003	0.058	0.029
CNTN1	Q12860	False	CNTN1_HUMAN		CPI-SS0BDC912F3	CNTN1	0.007	0.003	0.058	0.029
SEMA3C	Q99985	False	SEM3C_HUMAN		CPI-SS0F67B526A	SEMA3C	0.041	0.079	0.069	0.094
RSPO2	Q6UXX9	False	RSPO2_HUMAN		CPI-SS01E3453DB	RSPO2	0.0	0.009	0.002	0.001
RSPO3	Q9BXY4	False	RSPO3_HUMAN		CPI-SS0ACAB1835	RSPO3	0.021	0.038	0.209	0.105
RSPO2	Q6UXX9	False	RSPO2_HUMAN		CPI-SS056D0AD0D	RSPO2	0.0	0.009	0.002	0.001
RSPO3	Q9BXY4	False	RSPO3_HUMAN		CPI-SS0C3906934	RSPO3	0.021	0.038	0.209	0.105
VIP	P01282	False	VIP_HUMAN		CPI-SS02CAD3BF8	VIP	0.01	0.006	0.011	0.001
SLIT2	O94813	False	SLIT2_HUMAN		CPI-SS0A932EB77	SLIT2	0.323	0.205	0.274	0.285
SLIT2	O94813	False	SLIT2_HUMAN		CPI-SS0D0235DCE	SLIT2	0.323	0.205	0.274	0.285
TAC1	P20366	False	TKN1_HUMAN		CPI-SS015B70BF9	TAC1	0.023	0.032	0.131	0.066
VEGFC	P49767	False	VEGFC_HUMAN		CPI-SS0EC8C81E0	VEGFC	0.237	0.04	0.032	0.067
WNT5B	Q9H1J7	False	WNT5B_HUMAN		CPI-SS0FF2EEAE8	WNT5B	0.014	0.018	0.038	0.063
WNT8A	Q9H1J5	False	WNT8A_HUMAN		CPI-SS03146C969	WNT8A	0.0	0.0	0.0	0.0
WNT5B	Q9H1J7	False	WNT5B_HUMAN		CPI-SS0AC302C73	WNT5B	0.014	0.018	0.038	0.063
WNT8A	Q9H1J5	False	WNT8A_HUMAN		CPI-SS029E5DD2D	WNT8A	0.0	0.0	0.0	0.0
CD44	P16070	False	CD44_HUMAN		CPI-SS01503DD69	CD44	0.03	0.132	0.067	0.166
ESAM	Q96AP7	False	ESAM_HUMAN		CPI-SS04C672963	ESAM	1.217	0.042	0.04	0.059
PTPRC	P08575	False	PTPRC_HUMAN		CPI-SS0822AEF5F	PTPRC	0.001	0.366	0.002	0.001
PTPRD	P23468	False	PTPRD_HUMAN		CPI-SS0F9F83827	PTPRD	0.204	0.171	0.588	0.445
TRH	P20396	False	TRH_HUMAN		CPI-SS00F69C501	TRH	0.002	0.003	0.004	0.001
TREM2	Q9NZC2	True	TREM2_HUMAN	TREM2_receptor	CPI-SC0FE3CE9D1	TREM2	0.0	0.318	0.001	0.0
TREM2	Q9NZC2	True	TREM2_HUMAN	TREM2_receptor	CPI-SC0EFFE8ACB	TREM2	0.0	0.318	0.001	0.0
TREM2	Q9NZC2	True	TREM2_HUMAN	TREM2_receptor	CPI-SC06C75F978	TREM2	0.0	0.318	0.001	0.0
