id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	rank	CM|CM	CM|EN_H	CM|EP	CM|FB_H	CM|UN	EN_H|CM	EN_H|EN_H	EN_H|EP	EN_H|FB_H	EN_H|UN	EP|CM	EP|EN_H	EP|EP	EP|FB_H	EP|UN	FB_H|CM	FB_H|EN_H	FB_H|EP	FB_H|FB_H	FB_H|UN	UN|CM	UN|EN_H	UN|EP	UN|FB_H	UN|UN
CPI-SS04C672963	ESAM_ESAM	simple:Q96AP7	simple:Q96AP7	ESAM	ESAM	False	False	False	curated	False	Adhesion-Adhesion		0.04							1.548																		
CPI-SS0558101D1	DLL4_NOTCH4	simple:Q9NR61	simple:Q99466	DLL4	NOTCH4	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.04							0.299																		
CPI-SS05996C8FD	AGT_AGTR1	simple:P01019	simple:P30556	AGT	AGTR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Angiotensinogen	0.04													0.77												
CPI-SS05A26A1DE	PDGFB_PDGFRB	simple:P01127	simple:P09619	PDGFB	PDGFRB	True	False	True	curated	False	Ligand-Receptor	Signaling by Platelet-derived growth factor	0.04									0.63																
CPI-SS09B583B3F	F2_THBD	simple:P00734	simple:P07204	F2	THBD	True	False	True	curated	False	Ligand-Receptor	Adhesion by Prothrombin	0.04												0.61													
CPI-CS08EE9E5CE	atRetinoicAcid_byALDH1A1_RORB	complex:atRetinoicAcid_byALDH1A1	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.04														0.696											
CPI-SS026335F55	F2_F2RL2	simple:P00734	simple:O00254	F2	F2RL2	True	False	True	curated	False	Ligand-Receptor	Adhesion by Prothrombin	0.04												0.505													
CPI-SS0ACD487F0	L1CAM_L1CAM	simple:P32004	simple:P32004	L1CAM	L1CAM	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by L1CAM	0.04																			0.151						
CPI-SS0786D3749	WNT2B_FRZB	simple:Q93097	simple:Q92765	WNT2B	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.04																0.152									
CPI-SS05207EFF8	WNT2B_SFRP1	simple:Q93097	simple:Q8N474	WNT2B	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.04																0.814									
CPI-SS0BDC2B411	F2_F2RL3	simple:P00734	simple:Q96RI0	F2	F2RL3	True	False	True	curated	False	Ligand-Receptor	Adhesion by Prothrombin	0.04												0.5													
CPI-SS086CB298F	APLN_APLNR	simple:Q9ULZ1	simple:P35414	APLN	APLNR	True	False	True	curated	False	Ligand-Receptor	Signaling by Apelin	0.08							0.577		0.41																
CPI-SS0AFCA0602	DLL4_NOTCH1	simple:Q9NR61	simple:P46531	DLL4	NOTCH1	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.08							0.288		0.277																
CPI-SS095E52E66	TNFSF10_TNFRSF10D	simple:P50591	simple:Q9UBN6	TNFSF10	TNFRSF10D	True	False	True	curated	False	Ligand-Receptor	Signaling by Tumor necrosis factor	0.12												0.385	0.096	0.175											
CPI-SS0D37C7C70	DLK1_NOTCH4	simple:P80370	simple:Q99466	DLK1	NOTCH4	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.12							0.564					1.222					1.341								
CPI-CS0917E42F5	DHEAsulfate_bySULT1E1_PPARG	complex:DHEAsulfate_bySULT1E1	simple:P37231		PPARG	True	False	True	curated	False	Ligand-Receptor	Signaling by Dehydroepiandrosterone	0.12												0.288	0.436	0.171											
CPI-SS052119104	AREG_EGFR	simple:P15514	simple:P00533	AREG	EGFR	True	False	True	curated	False	Ligand-Receptor	Signaling by Epidermal growth factor	0.24			0.229	0.216				0.237	0.223				0.416	0.402											
CPI-SS0FC612D4D	DLK1_NOTCH1	simple:P80370	simple:P46531	DLK1	NOTCH1	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.24							0.553		0.542			1.21		1.199			1.33		1.319						
CPI-SC0AFC650CD	VEGFA_FLT1_complex	simple:P15692	complex:FLT1_complex	VEGFA		True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.32		1.334					1.129					1.496		0.769			1.504		0.776			1.396		0.669	
CPI-SS046F8AD8B	VEGFA_NRP2	simple:P15692	simple:O60462	VEGFA	NRP2	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.36		1.436					1.231				0.807	1.599				0.815	1.606		0.765		0.707	1.499			
CPI-SS0B9B3870A	VEGFA_FLT1	simple:P15692	simple:P17948	VEGFA	FLT1	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.36		2.107		0.807			1.902					2.269		0.969			2.277		0.977			2.169		0.869	
CPI-SS0C03F7CDC	VEGFA_KDR	simple:P15692	simple:P35968	VEGFA	KDR	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.36		1.334					1.129				0.845	1.496				0.852	1.504		0.776		0.745	1.396			
CPI-SS043E22BF5	VEGFA_NRP1	simple:P15692	simple:O14786	VEGFA	NRP1	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.56		1.042		0.786			0.837				0.862	1.205		0.949	0.805	0.87	1.213		0.957	0.813	0.762	1.105		0.849	
CPI-SS00F4019EA	C3_C5AR2	simple:P01024	simple:Q9P296	C3	C5AR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Complement	1.56																									
CPI-CS029C8858F	Estradiol_byCYP19A1_ESR1	complex:Estradiol_byCYP19A1	simple:P03372		ESR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Steroids	1.56																									
CPI-SS07D9A48A2	LTA_TNFRSF1B	simple:P01374	simple:P20333	LTA	TNFRSF1B	True	False	True	curated	False	Ligand-Receptor	Signaling by Tumor necrosis factor	1.56																									
CPI-SS040DBE4BA	WNT2B_CER1	simple:Q93097	simple:O95813	WNT2B	CER1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.56																									
CPI-SS00C692486	WNT9A_CER1	simple:O14904	simple:O95813	WNT9A	CER1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.56																									
CPI-SS026EC3854	LRRTM3_NRXN3	simple:Q86VH5	simple:Q9HDB5	LRRTM3	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	1.56																									
CPI-SS0EE63435D	WNT4_FRZB	simple:P56705	simple:Q92765	WNT4	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.56																									
CPI-SS0EBBBD522	WNT9A_FRZB	simple:O14904	simple:Q92765	WNT9A	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.56																									
CPI-SS0C0329180	LRRTM2_NRXN3	simple:O43300	simple:Q9HDB5	LRRTM2	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	1.56																									
CPI-SS036707F4C	WNT4_SFRP1	simple:P56705	simple:Q8N474	WNT4	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.56																									
CPI-SS0568E47E6	WNT4_CER1	simple:P56705	simple:O95813	WNT4	CER1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.56																									
CPI-SS0FE594C97	SST_SSTR2	simple:P61278	simple:P30874	SST	SSTR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Somatostatin	1.56																									
CPI-CS0FADCFDB9	PGD2_byPTGDS_PTGDR	complex:PGD2_byPTGDS	simple:Q13258		PTGDR	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	1.56																									
CPI-CS09B8977D7	Dehydroepiandrosterone_bySTS_ESR1	complex:Dehydroepiandrosterone_bySTS	simple:P03372		ESR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Dehydroepiandrosterone	1.56																									
CPI-SS09B92F236	EDN1_EDNRB	simple:P05305	simple:P24530	EDN1	EDNRB	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	1.56																									
CPI-CS0B87D36A1	Estradiol_byCYP19A1_ESR2	complex:Estradiol_byCYP19A1	simple:Q92731		ESR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Steroids	1.56																									
CPI-SS0ECD9BB5E	CCL21_ACKR4	simple:O00585	simple:Q9NPB9	CCL21	ACKR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	1.56																									
CPI-SS0CCD89E02	CCL25_ACKR4	simple:O15444	simple:Q9NPB9	CCL25	ACKR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	1.56																									
CPI-SS0F62347D4	C1QL1_ADGRB3	simple:O75973	simple:O60242	C1QL1	ADGRB3	True	False	True	curated	False	Ligand-Receptor	Signaling by Complement	1.56																									
CPI-SS0A93EEAEB	WNT9A_SFRP1	simple:O14904	simple:Q8N474	WNT9A	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.56																									
CPI-SS0B9B66F8E	NMB_GRPR	simple:P08949	simple:P30550	NMB	GRPR	True	False	True	curated	False	Ligand-Receptor	Signaling by Neuromedin	1.56																									
CPI-SS0E23CEB91	LGALS9_HAVCR2	simple:O00182	simple:Q8TDQ0	LGALS9	HAVCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Galectin	1.56																									
CPI-SS04BCE85CA	GAL_GALR2	simple:P22466	simple:O43603	GAL	GALR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Galanin	1.56																									
CPI-SS0B7D22073	FGL1_LAG3	simple:Q08830	simple:P18627	FGL1	LAG3	True	False	False	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	1.56																									
CPI-SS015819E65	FGF1_FGFR3	simple:P05230	simple:P22607	FGF1	FGFR3	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	1.56																									
CPI-CS0C61C245A	atRetinoicAcid_byALDH1A3_RORB	complex:atRetinoicAcid_byALDH1A3	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	1.56																									
CPI-SS0EEFFA23C	LRRTM1_NRXN3	simple:Q86UE6	simple:Q9HDB5	LRRTM1	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	1.56																									
