id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EN_H	CM|EP	CM|FB_H	CM|UN	EN_H|CM	EN_H|EN_H	EN_H|EP	EN_H|FB_H	EN_H|UN	EP|CM	EP|EN_H	EP|EP	EP|FB_H	EP|UN	FB_H|CM	FB_H|EN_H	FB_H|EP	FB_H|FB_H	FB_H|UN	UN|CM	UN|EN_H	UN|EP	UN|FB_H	UN|UN
CPI-SC0AFC650CD	VEGFA_FLT1_complex	simple:P15692	complex:FLT1_complex	VEGFA		True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.541	1.334	0.551	0.606	0.567	0.336	1.129	0.346	0.401	0.362	0.704	1.496	0.713	0.769	0.73	0.711	1.504	0.721	0.776	0.737	0.604	1.396	0.613	0.669	0.63
CPI-SS043E22BF5	VEGFA_NRP1	simple:P15692	simple:O14786	VEGFA	NRP1	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.699	1.042	0.542	0.786	0.642	0.494	0.837	0.336	0.581	0.437	0.862	1.205	0.704	0.949	0.805	0.87	1.213	0.712	0.957	0.813	0.762	1.105	0.604	0.849	0.705
CPI-SS046F8AD8B	VEGFA_NRP2	simple:P15692	simple:O60462	VEGFA	NRP2	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.645	1.436	0.54	0.595	0.621	0.44	1.231	0.335	0.39	0.416	0.807	1.599	0.702	0.758	0.784	0.815	1.606	0.71	0.765	0.791	0.707	1.499	0.602	0.658	0.684
CPI-SS05A26A1DE	PDGFB_PDGFRB	simple:P01127	simple:P09619	PDGFB	PDGFRB	True	False	True	curated	False	Ligand-Receptor	Signaling by Platelet-derived growth factor	0.01	0.019	0.012	0.352	0.04	0.288	0.296	0.289	0.63	0.317	0.013	0.021	0.014	0.355	0.042	0.015	0.023	0.017	0.357	0.044	0.015	0.023	0.016	0.356	0.044
CPI-CS0FADCFDB9	PGD2_byPTGDS_PTGDR	complex:PGD2_byPTGDS	simple:Q13258		PTGDR	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	0.0	0.0	0.0	0.226	0.226	0.0	0.0	0.0	0.028	0.028	0.0	0.0	0.0	0.04	0.04	0.0	0.0	0.0	0.53	0.53	0.0	0.0	0.0	0.105	0.105
CPI-CS08EE9E5CE	atRetinoicAcid_byALDH1A1_RORB	complex:atRetinoicAcid_byALDH1A1	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.002	0.0	0.0	0.056	0.012	0.0	0.0	0.0	0.0	0.0	0.642	0.0	0.0	0.696	0.651	0.004	0.0	0.0	0.058	0.014	0.005	0.0	0.0	0.059	0.015
CPI-CS0C61C245A	atRetinoicAcid_byALDH1A3_RORB	complex:atRetinoicAcid_byALDH1A3	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.059	0.014	0.0	0.0	0.0	0.0	0.0
CPI-SS0FE594C97	SST_SSTR2	simple:P61278	simple:P30874	SST	SSTR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Somatostatin	0.002	0.0	0.039	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.044	0.0	0.013	0.004	0.0	0.041	0.0	0.011
CPI-SS07D9A48A2	LTA_TNFRSF1B	simple:P01374	simple:P20333	LTA	TNFRSF1B	True	False	True	curated	False	Ligand-Receptor	Signaling by Tumor necrosis factor	0.0	0.075	0.005	0.036	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.077	0.007	0.038	0.006
CPI-SS095E52E66	TNFSF10_TNFRSF10D	simple:P50591	simple:Q9UBN6	TNFSF10	TNFRSF10D	True	False	True	curated	False	Ligand-Receptor	Signaling by Tumor necrosis factor	0.0	0.0	0.0	0.0	0.0	0.02	0.359	0.07	0.149	0.025	0.046	0.385	0.096	0.175	0.051	0.028	0.368	0.078	0.157	0.033	0.018	0.358	0.068	0.147	0.023
