gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM_0	CM_1	CM_2	CM_3	CM_4	EN_1	EN_2	EP	MU	UN
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CS08EE9E5CE	ALDH1A1	0.003	0.002	0.002	0.003	0.0	0.0	0.0	1.282	0.007	0.009
CCL21	O00585	False	CCL21_HUMAN		CPI-SS0ECD9BB5E	CCL21	0.304	0.096	0.131	0.157	0.0	0.0	0.027	0.005	0.272	0.041
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0B9B3870A	VEGFA	0.852	1.567	0.728	0.621	0.456	0.0	0.631	1.366	1.376	1.166
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SC0AFC650CD	VEGFA	0.852	1.567	0.728	0.621	0.456	0.0	0.631	1.366	1.376	1.166
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS046F8AD8B	VEGFA	0.852	1.567	0.728	0.621	0.456	0.0	0.631	1.366	1.376	1.166
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0C03F7CDC	VEGFA	0.852	1.567	0.728	0.621	0.456	0.0	0.631	1.366	1.376	1.166
FLT1	P17948	True	VGFR1_HUMAN	FLT1_complex	CPI-SC0AFC650CD	FLT1	0.062	0.025	0.02	0.042	1.477	1.952	1.627	0.061	0.165	0.093
KDR	P35968	True	VGFR2_HUMAN	FLT1_complex	CPI-SC0AFC650CD	KDR	0.062	0.025	0.02	0.042	1.477	1.952	1.627	0.061	0.165	0.093
ACKR4	Q9NPB9	False	ACKR4_HUMAN		CPI-SS0ECD9BB5E	ACKR4	0.003	0.0	0.003	0.005	0.0	0.0	0.014	0.0	0.002	0.021
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0B9B3870A	FLT1	0.062	0.025	0.02	0.042	2.777	3.076	3.173	0.061	0.561	0.093
NRP2	O60462	False	NRP2_HUMAN		CPI-SS046F8AD8B	NRP2	0.167	0.33	0.341	0.175	1.4	0.276	1.832	0.039	0.15	0.201
RORB	Q92753	False	RORB_HUMAN		CPI-CS08EE9E5CE	RORB	0.001	0.002	0.001	0.003	0.0	0.0	0.0	0.0	0.105	0.021
KDR	P35968	False	VGFR2_HUMAN		CPI-SS0C03F7CDC	KDR	0.53	0.152	0.106	0.326	1.477	1.952	1.627	0.067	0.165	0.156
