gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EN_H	EP	FB_H	UN
GALR2	O43603	False	GALR2_HUMAN		CPI-SS04BCE85CA	GALR2	0.003	0.0	0.0	0.0	0.002
HAVCR2	Q8TDQ0	False	HAVR2_HUMAN		CPI-SS0E23CEB91	HAVCR2	0.001	0.04	0.0	0.0	0.005
GRPR	P30550	False	GRPR_HUMAN		CPI-SS0B9B66F8E	GRPR	0.001	0.0	0.0	0.0	0.002
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0FC612D4D	NOTCH1	0.026	0.387	0.014	0.395	0.015
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0AFCA0602	NOTCH1	0.026	0.387	0.014	0.395	0.015
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS0D37C7C70	NOTCH4	0.022	0.373	0.029	0.041	0.007
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS0558101D1	NOTCH4	0.022	0.373	0.029	0.041	0.007
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0B9B3870A	FLT1	0.057	1.0	0.043	0.544	0.038
NRP1	O14786	False	NRP1_HUMAN		CPI-SS043E22BF5	NRP1	0.416	0.747	0.072	0.513	0.117
NRP2	O60462	False	NRP2_HUMAN		CPI-SS046F8AD8B	NRP2	0.267	0.987	0.058	0.19	0.095
PDGFRB	P09619	False	PGFRB_HUMAN		CPI-SS05A26A1DE	PDGFRB	0.006	0.027	0.014	0.595	0.022
PTGDR	Q13258	False	PD2R_HUMAN		CPI-CS0FADCFDB9	PTGDR	0.0	0.0	0.0	0.01	0.003
RORB	Q92753	False	RORB_HUMAN		CPI-CS08EE9E5CE	RORB	0.002	0.0	0.0	0.159	0.009
RORB	Q92753	False	RORB_HUMAN		CPI-CS0C61C245A	RORB	0.002	0.0	0.0	0.159	0.009
SSTR2	P30874	False	SSR2_HUMAN		CPI-SS0FE594C97	SSTR2	0.005	0.0	0.159	0.0	0.007
TNFRSF1B	P20333	False	TNR1B_HUMAN		CPI-SS07D9A48A2	TNFRSF1B	0.001	0.187	0.014	0.118	0.003
TNFRSF10D	Q9UBN6	False	TR10D_HUMAN		CPI-SS095E52E66	TNFRSF10D	0.052	0.653	0.246	0.39	0.021
KDR	P35968	False	VGFR2_HUMAN		CPI-SS0C03F7CDC	KDR	0.333	0.933	0.058	0.154	0.083
CER1	O95813	False	CER1_HUMAN		CPI-SS040DBE4BA	CER1	0.002	0.0	0.0	0.01	0.002
CER1	O95813	False	CER1_HUMAN		CPI-SS0568E47E6	CER1	0.002	0.0	0.0	0.01	0.002
CER1	O95813	False	CER1_HUMAN		CPI-SS00C692486	CER1	0.002	0.0	0.0	0.01	0.002
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0786D3749	FRZB	0.27	0.04	0.087	0.123	0.041
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0EE63435D	FRZB	0.27	0.04	0.087	0.123	0.041
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0EBBBD522	FRZB	0.27	0.04	0.087	0.123	0.041
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS05207EFF8	SFRP1	0.909	0.653	0.203	0.805	0.212
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS036707F4C	SFRP1	0.909	0.653	0.203	0.805	0.212
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS0A93EEAEB	SFRP1	0.909	0.653	0.203	0.805	0.212
