gene	mean	VO_mean	VO_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
ID3	1.4069892	1.2862207	0.7350157728706624	2.0906258	0.9642857142857143	0.7007534	7.712843	1
TXNIP	0.5271021	0.39649683	0.33753943217665616	1.2664198	0.8035714285714286	1.6751245	9.926664	1
RAB13	1.0007466	0.93717074	0.7003154574132492	1.3606317	0.9107142857142857	0.5378449	5.4285216	1
ZNF512	0.06940713	0.08166847	0.08201892744479496	-3.6379788e-11	0.0	-9.675402	6.3107233	1
ACTG2	1.1579511	1.2802616	0.6277602523659306	0.4655914	0.3392857142857143	-1.4591053	8.610171	1
LIMS2	0.31347308	0.34949082	0.33753943217665616	0.109587625	0.14285714285714285	-1.6722665	5.4917216	1
ASNSD1	0.100347035	0.115847155	0.1167192429022082	0.012606049	0.017857142857142856	-3.1898801	5.3058105	1
EFHD1	0.090800785	0.10507078	0.11356466876971609	0.01002328	0.017857142857142856	-3.3769853	5.638737	1
C3orf14	0.15912275	0.1805878	0.1861198738170347	0.037615974	0.05357142857142857	-2.2602515	5.10135	1
ALCAM	0.30427086	0.34598824	0.3028391167192429	0.06812156	0.07142857142857142	-2.3428402	7.871364	1
POPDC2	0.09128269	0.10740848	0.10725552050473186	-3.6379788e-11	0.0	-10.070235	8.060881	1
MYLK	1.7663878	1.8903472	0.889589905362776	1.0646785	0.7142857142857143	-0.8281742	8.361556	1
SERPINI1	0.23902297	0.27478787	0.22712933753943218	0.036569066	0.05357142857142857	-2.9062078	8.99807	1
C3orf70	0.07885141	0.09278114	0.09779179810725552	-3.6379788e-11	0.0	-9.859242	7.291351	1
SPARCL1	0.055387296	0.06517195	0.06624605678233439	-3.6379788e-11	0.0	-9.35032	5.2383623	1
EMCN	0.32069606	0.22940728	0.22712933753943218	0.83745575	0.7142857142857143	1.8676454	8.528459	1
LEF1	0.07119725	0.08377483	0.08832807570977919	-3.6379788e-11	0.0	-9.712094	6.779651	1
INPP4B	0.32384336	0.36194023	0.29652996845425866	0.1081885	0.125	-1.74127	5.4940987	1
SH3D19	0.05766257	0.06784916	0.0694006309148265	-3.6379788e-11	0.0	-9.408313	5.3886395	1
NPY1R	0.3457406	0.38412318	0.31230283911671924	0.12846628	0.14285714285714285	-1.5794321	5.018366	1
ADAMTS16	0.083240174	0.09712164	0.09779179810725552	0.004661982	0.017857142857142856	-4.3516436	6.4137483	1
FBXL7	0.1085657	0.12774464	0.12618296529968454	-3.6379788e-11	0.0	-10.320177	9.421901	1
ESM1	0.05121808	0.060266215	0.0694006309148265	-3.6379788e-11	0.0	-9.237598	5.356368	1
ARSB	0.07574523	0.089126244	0.0946372239747634	-3.6379788e-11	0.0	-9.801325	7.12908	1
RHOBTB3	0.8854571	0.788639	0.5867507886435331	1.4335158	0.9464285714285714	0.86203855	8.015478	1
PRDM6	0.12961726	0.14984246	0.12933753943217666	0.015128964	0.017857142857142856	-3.2995193	5.839857	1
MEGF10	0.070804425	0.08331261	0.08517350157728706	-3.6379788e-11	0.0	-9.704123	6.675395	1
IER3	1.1919103	1.2745869	0.7476340694006309	0.72390413	0.5892857142857143	-0.8160732	5.4134974	1
COL12A1	1.0100621	1.1128051	0.6845425867507886	0.42846912	0.35714285714285715	-1.3767309	9.362765	1
RSPO3	0.2668175	0.2986093	0.2618296529968454	0.086853884	0.10714285714285714	-1.7804196	5.0615983	1
AMPH	0.056420624	0.06638782	0.06309148264984227	-3.6379788e-11	0.0	-9.376946	5.0391154	1
INHBA	1.137207	1.2283083	0.7255520504731862	0.62151444	0.4642857142857143	-0.9826983	6.732916	1
MYL7	0.044263285	-1.1641532e-10	0.0	0.29482514	0.3392857142857143	11.5261345	5.371314	1
IGFBP3	0.45989984	0.34543824	0.26498422712933756	1.1078323	0.6428571428571429	1.6809525	5.9204845	1
CAV1	1.6982933	1.8420049	0.8517350157728707	0.8847723	0.5178571428571429	-1.057814	8.834335	1
BNIP3L	0.72923607	0.6640229	0.5488958990536278	1.0983881	0.875	0.72599703	5.985219	1
PLAT	0.33179432	0.23770939	0.22712933753943218	0.86438257	0.6428571428571429	1.8620312	6.768403	1
SDC2	1.5783893	1.668255	0.9085173501577287	1.0696774	0.8035714285714286	-0.64111567	7.4330573	1
BAALC	0.33597544	0.39163512	0.33753943217665616	0.02090263	0.03571428571428571	-4.2212367	20.180902	1
