0	HOWT_1	HOWT_2	HOWT_3	HOET_1	HOET_2	HOET_3
ACKR2	4	13	5	1	1	6
ACKR3	42	41	46	17	28	30
ACKR4	0	0	1	0	0	1
ACLY	2129	3005	3141	2623	3174	3347
ACMSD	11	12	12	0	0	0
ACO1	707	923	964	983	1315	1205
ACO2	3641	4966	5641	7587	9907	9147
ACOT1	101	140	166	91	76	92
ACOT11	367	458	582	176	162	144
ACOT12	5	9	4	1	3	4
ACOT13	435	541	680	352	494	434
ACOT2	433	601	672	446	518	541
ACOT4	7	20	4	11	10	7
ACOT6	0	0	0	0	0	0
ACOT7	151	198	193	190	194	155
ACOT8	176	208	208	157	209	232
ACOT9	225	339	419	505	650	614
ACOX1	756	962	1060	946	1029	1060
ACOX2	143	214	233	48	57	51
ACOX3	309	352	443	312	382	396
ACOXL	17	30	29	3	14	7
ACP1	1148	1352	1630	1554	1885	1773
ACP2	631	1027	1082	541	798	748
ACP5	4	5	1	0	0	1
ACP6	288	407	461	202	281	209
ACPP	187	232	271	25	17	18
ACPT	0	0	0	0	1	0
ACR	0	0	0	6	0	1
ACRBP	15	11	14	1	6	3
ACRC	49	60	60	91	110	139
ACRV1	1	0	5	0	0	1
ACSBG1	0	0	2	3	10	4
ACSBG2	0	0	0	0	0	0
ACSF2	969	1285	1447	415	578	497
ACSF3	214	290	310	145	151	161
ACSL1	1290	1843	1964	1681	1864	1939
ACSL3	1756	2138	2321	2390	2335	2295
ACSL4	1278	1506	1546	2019	1846	1819
ACSL5	8	12	12	29	16	29
ACSL6	4	10	6	2	2	7
ACSM1	0	0	3	1	0	1
ACSM2A	10	20	26	4	0	0
ACSM2B	25	27	21	0	0	3
ACSM3	18	15	22	2	7	5
ACSM4	0	0	0	0	0	0
ACSM5	64	85	102	99	140	97
ACSM6	0	0	0	0	0	0
ACSS1	0	2	0	0	0	0
ACSS2	919	1416	1381	2399	3051	3111
ACSS3	248	311	350	214	272	253
ACTA1	154	319	353	138357	187884	203884
ACTA2	7492	10374	11355	8866	10799	10641
ACTA2-AS1	1	7	4	2	0	8
ACTB	12087	15313	16648	12138	14344	16507
ACTBL2	0	0	0	0	0	0
ACTC1	69206	100233	113784	451745	586586	572208
ACTG1	6788	8403	9469	10747	13503	13987
ACTG1P17	8	4	1	1	9	5
ACTG1P20	39	39	40	43	31	21
ACTG1P4	139	174	204	102	90	70
ACTG2	0	5	1	40	34	39
ACTL10	0	1	3	0	1	0
ACTL6A	334	403	457	183	210	220
ACTL6B	0	0	0	0	0	0
ACTL7A	0	0	0	0	0	0
ACTL7B	0	0	0	0	0	0
ACTL8	5	6	4	2	3	6
ACTL9	0	0	0	0	0	0
ACTN1	2640	3593	3940	10302	12756	13318
ACTN1-AS1	0	0	0	1	1	6
ACTN2	11805	16392	18222	90076	111071	107424
ACTN3	374	552	627	375	535	510
ACTN4	3567	4739	5035	9944	13549	14323
ACTR10	1010	1355	1496	989	1195	1223
ACTR1A	2811	3991	4161	4624	5856	5652
ACTR1B	1008	1272	1402	1530	2053	2006
ACTR2	2225	2482	2544	2213	2412	2381
ACTR3	2090	2600	2705	2168	2520	2560
