id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CF|CF	CF|CM	CF|EC	CF|MP	CF|OTH	CF|PR	CF|VSMC	CM|CF	CM|CM	CM|EC	CM|MP	CM|OTH	CM|PR	CM|VSMC	EC|CF	EC|CM	EC|EC	EC|MP	EC|OTH	EC|PR	EC|VSMC	MP|CF	MP|CM	MP|EC	MP|MP	MP|OTH	MP|PR	MP|VSMC	OTH|CF	OTH|CM	OTH|EC	OTH|MP	OTH|OTH	OTH|PR	OTH|VSMC	PR|CF	PR|CM	PR|EC	PR|MP	PR|OTH	PR|PR	PR|VSMC	VSMC|CF	VSMC|CM	VSMC|EC	VSMC|MP	VSMC|OTH	VSMC|PR	VSMC|VSMC
CPI-SS00C24ED50	CDH5_CDH5	simple:P33151	simple:P33151	CDH5	CDH5	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.064	0.04	0.839	0.035	0.04	0.035	0.0	0.04	0.016	0.815	0.01	0.016	0.011	0.0	0.839	0.815	1.614	0.809	0.815	0.81	0.0	0.035	0.01	0.809	0.005	0.011	0.006	0.0	0.04	0.016	0.815	0.011	0.016	0.011	0.0	0.035	0.011	0.81	0.006	0.011	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0C53F7672	CDH6_CDH6	simple:P55285	simple:P55285	CDH6	CDH6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.052	0.027	0.027	0.027	0.06	0.046	0.036	0.027	0.003	0.002	0.002	0.036	0.021	0.011	0.027	0.002	0.002	0.002	0.035	0.021	0.01	0.027	0.002	0.002	0.002	0.035	0.021	0.01	0.06	0.036	0.035	0.035	0.068	0.054	0.044	0.046	0.021	0.021	0.021	0.054	0.04	0.029	0.036	0.011	0.01	0.01	0.044	0.029	0.019
CPI-SS0BE3D537D	CDH7_CDH7	simple:Q9ULB5	simple:Q9ULB5	CDH7	CDH7	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.016	0.016	0.027	0.348	0.012	0.067	0.0	0.016	0.015	0.026	0.347	0.012	0.067	0.0	0.027	0.026	0.037	0.358	0.022	0.077	0.0	0.348	0.347	0.358	0.679	0.344	0.399	0.0	0.012	0.012	0.022	0.344	0.008	0.063	0.0	0.067	0.067	0.077	0.399	0.063	0.118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS001BF66E8	CEACAM6_CEACAM6	simple:P40199	simple:P40199	CEACAM6	CEACAM6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CEAM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS01A7DC3C1	CLSTN2_NRXN3	simple:Q9H4D0	simple:Q9HDB5	CLSTN2	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.006	0.006	0.003	0.008	0.007	0.026	0.009	0.007	0.007	0.005	0.01	0.009	0.028	0.011	0.004	0.004	0.001	0.006	0.005	0.025	0.007	0.037	0.037	0.034	0.039	0.038	0.057	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.008	0.005	0.01	0.009	0.028	0.011	0.012	0.012	0.009	0.014	0.013	0.032	0.015
CPI-SS0EEFFA23C	LRRTM1_NRXN3	simple:Q86UE6	simple:Q9HDB5	LRRTM1	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.005	0.005	0.003	0.008	0.006	0.026	0.008	0.004	0.004	0.002	0.007	0.006	0.025	0.008	0.004	0.004	0.001	0.006	0.005	0.025	0.007	0.006	0.006	0.004	0.009	0.008	0.027	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS026EC3854	LRRTM3_NRXN3	simple:Q86VH5	simple:Q9HDB5	LRRTM3	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.004	0.004	0.002	0.007	0.006	0.025	0.008	0.01	0.01	0.008	0.013	0.012	0.031	0.014	0.004	0.004	0.002	0.007	0.006	0.025	0.008	0.015	0.015	0.013	0.018	0.016	0.036	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.011	0.008	0.013	0.012	0.032	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0F97A06CD	LRRTM4_NRXN3	simple:Q86VH4	simple:Q9HDB5	LRRTM4	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.015	0.015	0.013	0.018	0.016	0.036	0.018	0.006	0.007	0.004	0.009	0.008	0.027	0.01	0.005	0.005	0.003	0.008	0.007	0.026	0.009	0.034	0.034	0.032	0.037	0.036	0.055	0.038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034	0.035	0.032	0.037	0.036	0.055	0.038	0.012	0.012	0.009	0.014	0.013	0.032	0.015
CPI-SC034EE8AAA	FN1_integrin_a4b7_complex	simple:P02751	complex:integrin_a4b7_complex	FN1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Fibronectin	0.0	1.822	0.0	0.0	0.0	1.822	0.0	0.0	0.138	0.0	0.0	0.0	0.139	0.0	0.0	0.76	0.0	0.0	0.0	0.761	0.0	0.0	0.653	0.0	0.0	0.0	0.654	0.0	0.0	1.036	0.0	0.0	0.0	1.037	0.0	0.0	1.332	0.0	0.0	0.0	1.333	0.0	0.0	1.731	0.0	0.0	0.0	1.732	0.0
CPI-SC06C0A2080	VCAM1_integrin_a4b7_complex	simple:P19320	complex:integrin_a4b7_complex	VCAM1		False	False	False	curated	True	Ligand-Receptor	Adhesion by VCAM	0.0	0.019	0.0	0.0	0.0	0.019	0.0	0.0	0.643	0.0	0.0	0.0	0.644	0.0	0.0	0.007	0.0	0.0	0.0	0.008	0.0	0.0	0.057	0.0	0.0	0.0	0.058	0.0	0.0	0.025	0.0	0.0	0.0	0.025	0.0	0.0	0.029	0.0	0.0	0.0	0.03	0.0	0.0	0.008	0.0	0.0	0.0	0.009	0.0
