id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CF|CF	CF|CM	CF|EC	CF|MP	CF|OTH	CF|PR	CF|VSMC	CM|CF	CM|CM	CM|EC	CM|MP	CM|OTH	CM|PR	CM|VSMC	EC|CF	EC|CM	EC|EC	EC|MP	EC|OTH	EC|PR	EC|VSMC	MP|CF	MP|CM	MP|EC	MP|MP	MP|OTH	MP|PR	MP|VSMC	OTH|CF	OTH|CM	OTH|EC	OTH|MP	OTH|OTH	OTH|PR	OTH|VSMC	PR|CF	PR|CM	PR|EC	PR|MP	PR|OTH	PR|PR	PR|VSMC	VSMC|CF	VSMC|CM	VSMC|EC	VSMC|MP	VSMC|OTH	VSMC|PR	VSMC|VSMC
CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	False	False	False	curated	False	Gap-Gap	Adhesion by GAP junction	0.555	0.458	0.942	0.364	0.298	0.294	0.371	0.458	0.361	0.845	0.267	0.201	0.197	0.274	0.942	0.845	1.329	0.75	0.685	0.681	0.757	0.364	0.267	0.75	0.172	0.107	0.102	0.179	0.298	0.201	0.685	0.107	0.041	0.037	0.114	0.294	0.197	0.681	0.102	0.037	0.033	0.109	0.371	0.274	0.757	0.179	0.114	0.109	0.186
CPI-SS058209EC7	F2_F2R	simple:P00734	simple:P25116	F2	F2R	True	False	True	curated	False	Ligand-Receptor	Adhesion by Prothrombin	0.453	0.025	0.434	0.129	0.019	0.244	0.588	0.452	0.025	0.433	0.129	0.018	0.243	0.587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.924	0.497	0.905	0.6	0.49	0.715	1.059	0.452	0.025	0.433	0.129	0.019	0.243	0.587	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0C93E48D7	THBS1_CD36	simple:P07996	simple:P16671	THBS1	CD36	False	False	True	curated	False	Ligand-Receptor	Signaling by Thrombospondin precursor	0.195	0.189	0.188	0.191	0.193	0.392	0.483	0.037	0.031	0.03	0.033	0.035	0.234	0.325	0.205	0.199	0.198	0.201	0.203	0.402	0.493	0.069	0.064	0.063	0.066	0.067	0.266	0.358	0.079	0.073	0.072	0.075	0.077	0.275	0.367	0.037	0.031	0.03	0.033	0.035	0.234	0.325	0.305	0.299	0.298	0.301	0.303	0.502	0.593
CPI-SS05996C8FD	AGT_AGTR1	simple:P01019	simple:P30556	AGT	AGTR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Angiotensinogen	0.028	0.021	0.024	0.036	0.247	0.074	0.026	0.019	0.012	0.016	0.027	0.238	0.066	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.002	0.006	0.018	0.228	0.056	0.008	0.83	0.823	0.827	0.838	1.049	0.877	0.829	0.011	0.004	0.008	0.019	0.23	0.057	0.009	0.013	0.006	0.01	0.021	0.232	0.059	0.011
CPI-SS069924427	AGT_AGTR2	simple:P01019	simple:P50052	AGT	AGTR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Angiotensinogen	0.0	0.0	0.0	0.022	0.023	0.0	0.0	0.0	0.0	0.0	0.013	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.005	0.0	0.0	0.0	0.0	0.0	0.824	0.825	0.0	0.0	0.0	0.0	0.0	0.005	0.006	0.0	0.0	0.0	0.0	0.0	0.007	0.008	0.0	0.0
CPI-SS0BA601DC4	BDNF_NTRK2	simple:P23560	simple:Q16620	BDNF	NTRK2	True	False	True	curated	False	Ligand-Receptor	Signaling by Brain-derived neurotrophic factor	0.068	0.011	0.015	0.084	0.0	0.067	0.066	0.06	0.003	0.007	0.076	0.0	0.059	0.059	0.066	0.009	0.013	0.082	0.0	0.065	0.064	0.15	0.093	0.097	0.166	0.0	0.149	0.149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.082	0.024	0.028	0.097	0.0	0.08	0.08	0.113	0.056	0.06	0.129	0.0	0.112	0.112
CPI-SS09A6C048C	CLSTN2_NRXN1	simple:Q9H4D0	simple:Q9ULB1	CLSTN2	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.024	0.205	0.021	0.46	0.024	0.177	0.032	0.026	0.206	0.022	0.461	0.026	0.179	0.033	0.022	0.203	0.019	0.458	0.022	0.175	0.03	0.055	0.236	0.052	0.491	0.055	0.208	0.062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.207	0.023	0.462	0.026	0.179	0.034	0.03	0.211	0.027	0.466	0.03	0.183	0.037
CPI-SS043D3630C	LRRTM1_NRXN1	simple:Q86UE6	simple:Q9ULB1	LRRTM1	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.023	0.204	0.02	0.459	0.023	0.177	0.031	0.023	0.203	0.019	0.459	0.023	0.176	0.03	0.022	0.203	0.019	0.458	0.022	0.175	0.03	0.025	0.205	0.021	0.46	0.025	0.178	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0626DF0EB	LRRTM3_NRXN1	simple:Q86VH5	simple:Q9ULB1	LRRTM3	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.023	0.203	0.019	0.458	0.023	0.176	0.03	0.029	0.209	0.025	0.464	0.029	0.182	0.036	0.023	0.203	0.019	0.459	0.023	0.176	0.03	0.033	0.214	0.03	0.469	0.033	0.187	0.041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.21	0.026	0.465	0.029	0.182	0.037	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS03466C597	LRRTM4_NRXN1	simple:Q86VH4	simple:Q9ULB1	LRRTM4	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.033	0.214	0.03	0.469	0.033	0.187	0.041	0.025	0.206	0.022	0.461	0.025	0.178	0.032	0.024	0.204	0.02	0.459	0.024	0.177	0.031	0.053	0.233	0.049	0.488	0.053	0.206	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053	0.234	0.05	0.489	0.053	0.206	0.06	0.03	0.211	0.027	0.466	0.03	0.183	0.038
CPI-SS0ECD9BB5E	CCL21_ACKR4	simple:O00585	simple:Q9NPB9	CCL21	ACKR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.152	0.148	0.149	0.148	0.153	0.149	0.156	0.064	0.06	0.06	0.06	0.065	0.06	0.067	0.009	0.005	0.006	0.005	0.01	0.005	0.013	0.015	0.011	0.011	0.011	0.015	0.011	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.008	0.008	0.008	0.013	0.008	0.016
CPI-SS0CCD89E02	CCL25_ACKR4	simple:O15444	simple:Q9NPB9	CCL25	ACKR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.004	0.004	0.004	0.008	0.004	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS083B5EBAB	CXCL13_ACKR4	simple:O43927	simple:Q9NPB9	CXCL13	ACKR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.006	0.002	0.002	0.002	0.007	0.002	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS08102DC9E	CXCL1_CXCR2	simple:P09341	simple:P25025	CXCL1	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.011	0.008	0.007	0.0	0.0	0.0	0.0	0.004	0.001	0.001	0.0	0.0	0.0	0.0	0.01	0.007	0.006	0.0	0.0	0.0	0.0	0.005	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS09185EA8F	CXCL3_CXCR2	simple:P19876	simple:P25025	CXCL3	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.006	0.002	0.002	0.0	0.0	0.0	0.0	0.005	0.001	0.001	0.0	0.0	0.0	0.0	0.007	0.003	0.003	0.0	0.0	0.0	0.0	0.005	0.002	0.001	0.0	0.0	0.0	0.0	0.007	0.004	0.003	0.0	0.0	0.0	0.0	0.005	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS093B46106	CXCL6_CXCR2	simple:P80162	simple:P25025	CXCL6	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.008	0.005	0.005	0.0	0.0	0.0	0.0	0.004	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0315F51DD	CXCL8_CXCR2	simple:P10145	simple:P25025	CXCL8	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.021	0.018	0.017	0.0	0.0	0.0	0.0	0.004	0.001	0.001	0.0	0.0	0.0	0.0	0.005	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.014	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0A28DCA72	CXCL12_CXCR4	simple:P48061	simple:P61073	CXCL12	CXCR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.179	0.14	0.597	0.145	0.139	0.177	0.145	0.209	0.17	0.628	0.175	0.169	0.208	0.175	0.062	0.023	0.48	0.027	0.021	0.06	0.028	0.473	0.434	0.892	0.439	0.433	0.472	0.439	0.114	0.075	0.532	0.08	0.074	0.112	0.08	0.158	0.119	0.577	0.124	0.118	0.157	0.124	0.205	0.166	0.624	0.171	0.165	0.204	0.171
CPI-SS0669CC233	CXCL14_CXCR4	simple:O95715	simple:P61073	CXCL14	CXCR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.048	0.008	0.466	0.013	0.007	0.046	0.014	0.049	0.01	0.468	0.015	0.009	0.048	0.015	0.047	0.007	0.465	0.012	0.006	0.045	0.013	0.059	0.02	0.477	0.024	0.018	0.057	0.025	0.07	0.03	0.488	0.035	0.029	0.068	0.036	0.048	0.009	0.466	0.013	0.007	0.046	0.014	0.076	0.036	0.494	0.041	0.035	0.074	0.042
CPI-SS0F62347D4	C1QL1_ADGRB3	simple:O75973	simple:O60242	C1QL1	ADGRB3	True	False	True	curated	False	Ligand-Receptor	Signaling by Complement	0.026	0.006	0.005	0.077	0.005	0.038	0.043	0.034	0.014	0.013	0.085	0.013	0.046	0.051	0.024	0.004	0.003	0.074	0.002	0.036	0.041	0.058	0.038	0.036	0.108	0.036	0.069	0.075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.01	0.009	0.08	0.008	0.042	0.047	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS0917E42F5	DHEAsulfate_bySULT1E1_PPARG	complex:DHEAsulfate_bySULT1E1	simple:P37231		PPARG	True	False	True	curated	False	Ligand-Receptor	Signaling by Dehydroepiandrosterone	0.063	0.006	0.072	0.029	0.283	0.145	0.193	0.073	0.016	0.083	0.039	0.293	0.155	0.204	0.064	0.007	0.073	0.03	0.284	0.146	0.194	0.11	0.053	0.119	0.076	0.33	0.192	0.24	0.281	0.224	0.29	0.247	0.501	0.363	0.411	0.134	0.077	0.143	0.1	0.354	0.216	0.264	0.143	0.086	0.153	0.109	0.363	0.225	0.274
CPI-SS0D8632EB4	EDN1_EDNRA	simple:P05305	simple:P25101	EDN1	EDNRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	0.304	0.244	0.177	0.547	0.169	0.66	0.554	0.154	0.094	0.027	0.397	0.019	0.51	0.405	0.201	0.141	0.074	0.444	0.066	0.557	0.451	0.155	0.095	0.028	0.398	0.02	0.511	0.406	0.169	0.109	0.042	0.412	0.033	0.524	0.419	0.154	0.094	0.027	0.397	0.019	0.51	0.405	0.243	0.183	0.116	0.486	0.108	0.599	0.494
CPI-SS056AA08CF	EDN2_EDNRA	simple:P20800	simple:P25101	EDN2	EDNRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.153	0.093	0.026	0.396	0.018	0.509	0.404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS03D5CBF55	EDN3_EDNRA	simple:P14138	simple:P25101	EDN3	EDNRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.153	0.093	0.026	0.395	0.017	0.508	0.403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.165	0.105	0.038	0.408	0.03	0.521	0.415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0FC01B947	EFNA5_EPHA4	simple:P52803	simple:P54764	EFNA5	EPHA4	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.065	0.202	0.069	0.263	0.048	0.061	0.054	0.034	0.171	0.038	0.233	0.018	0.03	0.023	0.036	0.173	0.04	0.234	0.019	0.032	0.025	0.108	0.246	0.113	0.307	0.092	0.104	0.097	0.02	0.157	0.024	0.218	0.003	0.016	0.009	0.046	0.184	0.051	0.245	0.03	0.042	0.035	0.063	0.201	0.068	0.262	0.047	0.059	0.052
CPI-SS087E0E3FB	EFNB2_EPHA4	simple:P52799	simple:P54764	EFNB2	EPHA4	False	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.228	0.365	0.232	0.426	0.211	0.224	0.217	0.055	0.193	0.06	0.254	0.039	0.052	0.044	0.439	0.576	0.443	0.638	0.423	0.435	0.428	0.307	0.444	0.311	0.506	0.291	0.303	0.296	0.059	0.196	0.063	0.258	0.043	0.055	0.048	0.674	0.811	0.678	0.872	0.657	0.67	0.663	0.407	0.544	0.411	0.605	0.39	0.403	0.396
CPI-SS09E3F5044	EFNA5_EPHA5	simple:P52803	simple:P54756	EFNA5	EPHA5	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.051	0.048	0.048	0.053	0.0	0.0	0.0	0.021	0.017	0.017	0.022	0.0	0.0	0.0	0.022	0.018	0.019	0.023	0.0	0.0	0.0	0.095	0.091	0.091	0.096	0.0	0.0	0.0	0.006	0.002	0.003	0.007	0.0	0.0	0.0	0.033	0.029	0.029	0.034	0.0	0.0	0.0	0.05	0.046	0.047	0.051	0.0	0.0	0.0
CPI-SS05ABE6795	EFNB2_EPHB6	simple:P52799	simple:O15197	EFNB2	EPHB6	True	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.236	0.215	0.215	0.266	0.224	0.304	0.232	0.064	0.043	0.043	0.094	0.052	0.132	0.06	0.448	0.427	0.427	0.478	0.435	0.515	0.444	0.316	0.295	0.295	0.346	0.303	0.383	0.312	0.068	0.047	0.047	0.098	0.055	0.135	0.064	0.682	0.661	0.661	0.712	0.67	0.75	0.678	0.415	0.394	0.394	0.445	0.403	0.483	0.411
CPI-SS052119104	AREG_EGFR	simple:P15514	simple:P00533	AREG	EGFR	True	False	True	curated	False	Ligand-Receptor	Signaling by Epidermal growth factor	0.149	0.03	0.037	0.233	0.217	0.154	0.144	0.167	0.048	0.054	0.251	0.235	0.172	0.161	0.174	0.055	0.061	0.258	0.242	0.178	0.168	0.126	0.007	0.013	0.21	0.194	0.131	0.12	0.252	0.133	0.139	0.336	0.32	0.256	0.246	0.128	0.01	0.016	0.213	0.197	0.133	0.123	0.139	0.021	0.027	0.224	0.208	0.144	0.134
CPI-SS01F67987A	FGF2_FGFR1	simple:P09038	simple:P11362	FGF2	FGFR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.273	0.131	0.424	0.403	0.045	0.295	0.244	0.254	0.111	0.405	0.384	0.026	0.276	0.224	0.25	0.108	0.401	0.38	0.022	0.272	0.221	0.283	0.14	0.434	0.413	0.055	0.305	0.254	0.26	0.117	0.411	0.39	0.032	0.282	0.23	0.258	0.116	0.41	0.388	0.03	0.28	0.229	0.288	0.146	0.439	0.418	0.06	0.31	0.259
CPI-SS01333FFA6	FGF5_FGFR1	simple:P12034	simple:P11362	FGF5	FGFR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.255	0.113	0.406	0.385	0.027	0.277	0.226	0.243	0.101	0.394	0.373	0.015	0.265	0.214	0.243	0.101	0.394	0.373	0.015	0.265	0.214	0.243	0.101	0.394	0.373	0.015	0.265	0.214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.243	0.1	0.394	0.373	0.015	0.265	0.213	0.257	0.115	0.408	0.387	0.029	0.279	0.228
CPI-SS08BFFB96E	FLRT3_ADGRL2	simple:Q9NZU0	simple:O95490	FLRT3	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Fibronectin	0.251	0.039	0.304	0.265	0.055	0.164	0.124	0.245	0.033	0.298	0.259	0.049	0.158	0.118	0.25	0.039	0.304	0.265	0.055	0.163	0.123	0.387	0.175	0.441	0.402	0.192	0.3	0.26	0.319	0.107	0.372	0.333	0.123	0.232	0.192	0.255	0.043	0.308	0.269	0.059	0.168	0.128	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS083BB1EB3	TENM1_ADGRL2	simple:Q9UKZ4	simple:O95490	TENM1	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.244	0.032	0.297	0.258	0.048	0.157	0.117	0.243	0.032	0.297	0.258	0.048	0.157	0.116	0.242	0.031	0.296	0.257	0.047	0.155	0.115	0.321	0.109	0.375	0.336	0.126	0.234	0.194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.272	0.06	0.325	0.286	0.076	0.185	0.145	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS075F456AF	TENM3_ADGRL2	simple:Q9P273	simple:O95490	TENM3	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.338	0.127	0.392	0.353	0.143	0.252	0.211	0.271	0.059	0.324	0.285	0.075	0.184	0.144	0.253	0.042	0.307	0.268	0.058	0.166	0.126	0.386	0.174	0.439	0.4	0.19	0.299	0.259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.275	0.063	0.328	0.289	0.079	0.188	0.147	0.256	0.044	0.31	0.27	0.061	0.169	0.129
CPI-SS07AF9303D	GRP_GRPR	simple:P07492	simple:P30550	GRP	GRPR	True	False	True	curated	False	Ligand-Receptor	Signaling by Gastrin	0.0	0.001	0.001	0.005	0.0	0.0	0.0	0.0	0.002	0.002	0.006	0.0	0.0	0.0	0.0	0.001	0.001	0.005	0.0	0.0	0.0	0.0	0.007	0.007	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.003	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS09F7A6011	PENK_GHSR	simple:P01210	simple:Q92847	PENK	GHSR	True	False	True	curated	False	Ligand-Receptor		0.0	0.0	0.0	0.194	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
