id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	rank	CF|CF	CF|CM	CF|EC	CF|MP	CF|OTH	CF|PC	CF|VSMC	CM|CF	CM|CM	CM|EC	CM|MP	CM|OTH	CM|PC	CM|VSMC	EC|CF	EC|CM	EC|EC	EC|MP	EC|OTH	EC|PC	EC|VSMC	MP|CF	MP|CM	MP|EC	MP|MP	MP|OTH	MP|PC	MP|VSMC	OTH|CF	OTH|CM	OTH|EC	OTH|MP	OTH|OTH	OTH|PC	OTH|VSMC	PC|CF	PC|CM	PC|EC	PC|MP	PC|OTH	PC|PC	PC|VSMC	VSMC|CF	VSMC|CM	VSMC|EC	VSMC|MP	VSMC|OTH	VSMC|PC	VSMC|VSMC
CPI-SS0FC01B947	EFNA5_EPHA4	simple:P52803	simple:P54764	EFNA5	EPHA4	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.122		0.202		0.263																			0.246		0.307																			0.201		0.262			
CPI-SC0B51DC960	PGF_FLT1_complex	simple:P49763	complex:FLT1_complex	PGF		True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.143			0.988												0.382		1.225																			0.328		1.171					0.265		1.108				
CPI-SS0C93E48D7	THBS1_CD36	simple:P07996	simple:P16671	THBS1	CD36	False	False	True	curated	False	Ligand-Receptor	Signaling by Thrombospondin precursor	0.163						0.392	0.483													0.402	0.493													0.275	0.367													0.502	0.593
CPI-SC0AFC650CD	VEGFA_FLT1_complex	simple:P15692	complex:FLT1_complex	VEGFA		True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.163			1.157							1.229							0.986							1.071					0.528		1.371							1.052							0.98				
CPI-SS075F456AF	TENM3_ADGRL2	simple:Q9P273	simple:O95490	TENM3	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.184	0.338		0.392	0.353		0.252																0.386		0.439	0.4		0.299	0.259																					
CPI-SS0D8632EB4	EDN1_EDNRA	simple:P05305	simple:P25101	EDN1	EDNRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	0.184	0.304	0.244		0.547		0.66	0.554																																				0.243			0.486		0.599	0.494
CPI-CS0917E42F5	DHEAsulfate_bySULT1E1_PPARG	complex:DHEAsulfate_bySULT1E1	simple:P37231		PPARG	True	False	True	curated	False	Ligand-Receptor	Signaling by Dehydroepiandrosterone	0.204																													0.281		0.29		0.501	0.363	0.411								0.143		0.153		0.363	0.225	0.274
CPI-SS087E0E3FB	EFNB2_EPHA4	simple:P52799	simple:P54764	EFNB2	EPHA4	False	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.204		0.365		0.426												0.576		0.638					0.444		0.506												0.811		0.872					0.544		0.605			
CPI-SS08BFFB96E	FLRT3_ADGRL2	simple:Q9NZU0	simple:O95490	FLRT3	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Fibronectin	0.204																						0.387		0.441	0.402	0.192	0.3	0.26	0.319		0.372	0.333		0.232															
CPI-SS0C03F7CDC	VEGFA_KDR	simple:P15692	simple:P35968	VEGFA	KDR	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.204			1.157						0.409	1.229							0.986							1.071					0.528	0.552	1.371							1.052							0.98				
CPI-SS0F1E79A03	WNT5A_SFRP1	simple:P41221	simple:Q8N474	WNT5A	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.204		0.92		1.33												0.896		1.306					0.925		1.335												0.914		1.324					0.902		1.312			
CPI-SS007954822	WNT5A_FRZB	simple:P41221	simple:Q92765	WNT5A	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.224		0.175		0.16		0.392														0.368			0.18		0.165		0.397										0.169		0.154		0.386							0.374	
CPI-SS04C672963	ESAM_ESAM	simple:Q96AP7	simple:Q96AP7	ESAM	ESAM	False	False	False	curated	False	Adhesion-Adhesion		0.245			0.982			0.289									0.982		1.754			1.061	1.013															0.289		1.061			0.369	0.32			1.013			0.32	
CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	False	False	False	curated	False	Gap-Gap	Adhesion by GAP junction	0.245	0.555	0.458	0.942					0.458		0.845					0.942	0.845	1.329	0.75			0.757			0.75																					0.757				
CPI-SS065D9259F	PGF_NRP2	simple:P49763	simple:O60462	PGF	NRP2	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.265			0.71	0.496											0.417	0.499	0.947	0.733																		0.363	0.445	0.893	0.679					0.381	0.83	0.616			
CPI-SS046F8AD8B	VEGFA_NRP2	simple:P15692	simple:O60462	VEGFA	NRP2	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.306			0.879	0.665					0.502	0.951	0.737						0.709							0.793	0.579				0.563	0.645	1.094	0.879						0.774	0.56						0.703				
CPI-SS0B70EB09E	PDGFA_PDGFRA	simple:P04085	simple:P16234	PDGFA	PDGFRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Platelet-derived growth factor	0.306	0.429			0.711		0.476									0.526			0.809		0.573	0.363															0.747			1.029		0.794	0.583	0.755			1.038		0.802	0.592
CPI-SS07361522F	PGF_FLT1	simple:P49763	simple:P17948	PGF	FLT1	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.367	0.368		1.559			0.512	0.478								0.605		1.796	0.397		0.749	0.715															0.551		1.742	0.343		0.695	0.661	0.488		1.679			0.632	0.598
CPI-SS007AA9FDE	DLK1_NOTCH3	simple:P80370	simple:Q9UM47	DLK1	NOTCH3	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.388	0.854			0.796		1.042	1.113													0.4	0.471	0.607			0.548		0.794	0.866	1.467			1.409		1.655	1.726	0.289					0.477	0.549						0.501	0.573
CPI-SS0B9B3870A	VEGFA_FLT1	simple:P15692	simple:P17948	VEGFA	FLT1	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.429	0.537		1.728			0.681	0.647	0.609		1.8			0.753	0.719			1.557			0.511				1.642			0.595	0.561	0.751		1.942	0.543		0.896	0.861			1.623			0.576				1.551				
CPI-SS0B99F22A2	JAG1_NOTCH3	simple:P78504	simple:Q9UM47	JAG1	NOTCH3	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.49	0.411			0.353		0.598	0.67	0.248					0.436	0.507	0.314			0.256		0.502	0.574	0.258					0.446	0.517						0.395	0.467	0.386			0.328		0.574	0.646	0.581			0.523		0.769	0.841
CPI-SS0D681D90E	SDC2_ADGRA2	simple:P34741	simple:Q96PE1	SDC2	ADGRA2	True	False	True	curated	False	Ligand-Receptor	Signaling by Syndecan	0.592	0.54		0.399	0.456		0.529	0.541	0.357			0.274		0.346	0.358								0.506		0.365	0.423		0.495	0.507	0.756		0.614	0.672		0.744	0.756	0.472		0.331	0.388		0.461	0.473	0.802		0.661	0.719		0.791	0.803
CPI-SS0669CC233	CXCL14_CXCR4	simple:O95715	simple:P61073	CXCL14	CXCR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	1.592																																																	
CPI-SS0F62347D4	C1QL1_ADGRB3	simple:O75973	simple:O60242	C1QL1	ADGRB3	True	False	True	curated	False	Ligand-Receptor	Signaling by Complement	1.592																																																	
CPI-SS093B46106	CXCL6_CXCR2	simple:P80162	simple:P25025	CXCL6	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	1.592																																																	
CPI-SS0315F51DD	CXCL8_CXCR2	simple:P10145	simple:P25025	CXCL8	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	1.592																																																	
CPI-SS09185EA8F	CXCL3_CXCR2	simple:P19876	simple:P25025	CXCL3	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	1.592																																																	
CPI-SS0CCD89E02	CCL25_ACKR4	simple:O15444	simple:Q9NPB9	CCL25	ACKR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	1.592																																																	
CPI-SS083B5EBAB	CXCL13_ACKR4	simple:O43927	simple:Q9NPB9	CXCL13	ACKR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	1.592																																																	
CPI-SS08102DC9E	CXCL1_CXCR2	simple:P09341	simple:P25025	CXCL1	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	1.592																																																	
CPI-SS03466C597	LRRTM4_NRXN1	simple:Q86VH4	simple:Q9ULB1	LRRTM4	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	1.592																																																	
CPI-SS0626DF0EB	LRRTM3_NRXN1	simple:Q86VH5	simple:Q9ULB1	LRRTM3	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	1.592																																																	
CPI-SS043D3630C	LRRTM1_NRXN1	simple:Q86UE6	simple:Q9ULB1	LRRTM1	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	1.592																																																	
CPI-SS0ECD9BB5E	CCL21_ACKR4	simple:O00585	simple:Q9NPB9	CCL21	ACKR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	1.592																																																	
CPI-SS09A6C048C	CLSTN2_NRXN1	simple:Q9H4D0	simple:Q9ULB1	CLSTN2	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	1.592																																																	
CPI-SC06C0A2080	VCAM1_integrin_a4b7_complex	simple:P19320	complex:integrin_a4b7_complex	VCAM1		False	False	False	curated	True	Ligand-Receptor	Adhesion by VCAM	1.592																																																	
CPI-SC034EE8AAA	FN1_integrin_a4b7_complex	simple:P02751	complex:integrin_a4b7_complex	FN1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Fibronectin	1.592																																																	
CPI-SS069924427	AGT_AGTR2	simple:P01019	simple:P50052	AGT	AGTR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Angiotensinogen	1.592																																																	
CPI-SS0C53F7672	CDH6_CDH6	simple:P55285	simple:P55285	CDH6	CDH6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	1.592																																																	
CPI-SS04E690D72	PTN_PTPRZ1	simple:P21246	simple:P23471	PTN	PTPRZ1	True	False	False	curated	False	Ligand-Receptor	Signaling by Pleiotrophin	1.592																																																	
CPI-SS09F7A6011	PENK_GHSR	simple:P01210	simple:Q92847	PENK	GHSR	True	False	True	curated	False	Ligand-Receptor		1.592																																																	
CPI-SS07AF9303D	GRP_GRPR	simple:P07492	simple:P30550	GRP	GRPR	True	False	True	curated	False	Ligand-Receptor	Signaling by Gastrin	1.592																																																	
CPI-SS01333FFA6	FGF5_FGFR1	simple:P12034	simple:P11362	FGF5	FGFR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	1.592																																																	
CPI-SS03D5CBF55	EDN3_EDNRA	simple:P14138	simple:P25101	EDN3	EDNRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	1.592																																																	
CPI-SS09E3F5044	EFNA5_EPHA5	simple:P52803	simple:P54756	EFNA5	EPHA5	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	1.592																																																	
CPI-SS01F67987A	FGF2_FGFR1	simple:P09038	simple:P11362	FGF2	FGFR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	1.592																																																	
CPI-SS056AA08CF	EDN2_EDNRA	simple:P20800	simple:P25101	EDN2	EDNRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	1.592																																																	
CPI-SS027E12A36	MDK_PTPRZ1	simple:P21741	simple:P23471	MDK	PTPRZ1	True	False	False	curated	False	Ligand-Receptor	Signaling by Midkine	1.592																																																	
CPI-SS0D1EF9598	PENK_OPRK1	simple:P01210	simple:P41145	PENK	OPRK1	True	False	True	curated	False	Ligand-Receptor	Signaling by Opioid	1.592																																																	
CPI-SS0F97A06CD	LRRTM4_NRXN3	simple:Q86VH4	simple:Q9HDB5	LRRTM4	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	1.592																																																	
CPI-SS001BF66E8	CEACAM6_CEACAM6	simple:P40199	simple:P40199	CEACAM6	CEACAM6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CEAM	1.592																																																	
CPI-SS026EC3854	LRRTM3_NRXN3	simple:Q86VH5	simple:Q9HDB5	LRRTM3	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	1.592																																																	
CPI-SS0EEFFA23C	LRRTM1_NRXN3	simple:Q86UE6	simple:Q9HDB5	LRRTM1	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	1.592																																																	
CPI-SS01A7DC3C1	CLSTN2_NRXN3	simple:Q9H4D0	simple:Q9HDB5	CLSTN2	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	1.592																																																	
CPI-CS023F349AF	ProstaglandinE2_byPTGES_PTGER4	complex:ProstaglandinE2_byPTGES	simple:P35408		PTGER4	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	1.592																																																	
CPI-CS0F0453B03	ProstaglandinE2_byPTGES_PTGER2	complex:ProstaglandinE2_byPTGES	simple:P43116		PTGER2	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	1.592																																																	
CPI-SS0D9BC4188	GNRH2_GNRHR	simple:O43555	simple:P30968	GNRH2	GNRHR	True	False	True	curated	False	Ligand-Receptor	Signaling by Progonadoliberin	1.592																																																	
CPI-SS0E2083FAC	NPY_NPY2R	simple:P01303	simple:P49146	NPY	NPY2R	True	False	True	curated	False	Ligand-Receptor	Signaling by Pro-neuregulin	1.592																																																	
CPI-SS0666DE74B	NPY_NPY1R	simple:P01303	simple:P25929	NPY	NPY1R	True	False	True	curated	False	Ligand-Receptor	Signaling by Pro-neuregulin	1.592																																																	
CPI-CS0C61C245A	atRetinoicAcid_byALDH1A3_RORB	complex:atRetinoicAcid_byALDH1A3	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	1.592																																																	
CPI-CS033058D2B	atRetinoicAcid_byALDH1A2_RORB	complex:atRetinoicAcid_byALDH1A2	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	1.592																																																	
CPI-SS056D0AD0D	RSPO2_LGR5	simple:Q6UXX9	simple:O75473	RSPO2	LGR5	True	False	True	curated	False	Ligand-Receptor	Signaling by R-spondin	1.592																																																	
CPI-SS0F3A089DE	SEMA3E_PLXND1	simple:O15041	simple:Q9Y4D7	SEMA3E	PLXND1	True	False	True	curated	False	Ligand-Receptor	Signaling by Semaphorin	1.592																																																	
CPI-SS02CAD3BF8	VIP_SCTR	simple:P01282	simple:P47872	VIP	SCTR	True	False	True	curated	False	Ligand-Receptor	Signaling by Vasoactive Intestinal Peptide	1.592																																																	
CPI-SS05A3055C3	TNFSF10_TNFRSF11B	simple:P50591	simple:O00300	TNFSF10	TNFRSF11B	True	False	False	curated	False	Ligand-Receptor	Signaling by Tumor necrosis factor	1.592																																																	
CPI-SS02A8BD654	TAC1_TACR1	simple:P20366	simple:P25103	TAC1	TACR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Tachykinins	1.592																																																	
CPI-SS0786D3749	WNT2B_FRZB	simple:Q93097	simple:Q92765	WNT2B	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.592																																																	
CPI-SS0EE63435D	WNT4_FRZB	simple:P56705	simple:Q92765	WNT4	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.592																																																	
CPI-CS08EE9E5CE	atRetinoicAcid_byALDH1A1_RORB	complex:atRetinoicAcid_byALDH1A1	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	1.592																																																	
CPI-SS0C3906934	RSPO3_LGR5	simple:Q9BXY4	simple:O75473	RSPO3	LGR5	True	False	True	curated	False	Ligand-Receptor	Signaling by R-spondin	1.592																																																	
CPI-SS05207EFF8	WNT2B_SFRP1	simple:Q93097	simple:Q8N474	WNT2B	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.592																																																	
CPI-SS0EBBBD522	WNT9A_FRZB	simple:O14904	simple:Q92765	WNT9A	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.592																																																	
CPI-SS0A93EEAEB	WNT9A_SFRP1	simple:O14904	simple:Q8N474	WNT9A	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.592																																																	
CPI-SS036707F4C	WNT4_SFRP1	simple:P56705	simple:Q8N474	WNT4	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.592																																																	
CPI-SS0661CE946	WNT4_SFRP2	simple:P56705	simple:Q96HF1	WNT4	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.592																																																	
CPI-SS03F33B34C	WNT5A_SFRP2	simple:P41221	simple:Q96HF1	WNT5A	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.592																																																	
CPI-SS00877D499	WNT9A_SFRP2	simple:O14904	simple:Q96HF1	WNT9A	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.592																																																	
CPI-SS08643DD8A	WNT2B_SFRP2	simple:Q93097	simple:Q96HF1	WNT2B	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.592																																																	
CPI-SS010F961E8	WNT2B_WIF1	simple:Q93097	simple:Q9Y5W5	WNT2B	WIF1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.592																																																	
CPI-SS068E97BDA	WNT4_WIF1	simple:P56705	simple:Q9Y5W5	WNT4	WIF1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.592																																																	
CPI-SS04662DF1A	WNT9A_WIF1	simple:O14904	simple:Q9Y5W5	WNT9A	WIF1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.592																																																	
CPI-SS03C93A8FE	WNT5A_WIF1	simple:P41221	simple:Q9Y5W5	WNT5A	WIF1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.592																																																	
CPI-SC0BDF87EA3	GDNF_RET_receptor_1	simple:P39905	complex:RET_receptor_1	GDNF		True	False	True	curated	False	Ligand-Receptor		1.592																																																	
CPI-SS00577086D	FTL_SCARA5	simple:P02792	simple:Q6ZMJ2	FTL	SCARA5	False	False	True	curated	False	Ligand-Receptor		1.592																																																	
