id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	rank	CF|CF	CF|CM	CF|EC	CF|MP	CF|OTH	CF|PC	CF|VSMC	CM|CF	CM|CM	CM|EC	CM|MP	CM|OTH	CM|PC	CM|VSMC	EC|CF	EC|CM	EC|EC	EC|MP	EC|OTH	EC|PC	EC|VSMC	MP|CF	MP|CM	MP|EC	MP|MP	MP|OTH	MP|PC	MP|VSMC	OTH|CF	OTH|CM	OTH|EC	OTH|MP	OTH|OTH	OTH|PC	OTH|VSMC	PC|CF	PC|CM	PC|EC	PC|MP	PC|OTH	PC|PC	PC|VSMC	VSMC|CF	VSMC|CM	VSMC|EC	VSMC|MP	VSMC|OTH	VSMC|PC	VSMC|VSMC
CPI-SS00C24ED50	CDH5_CDH5	simple:P33151	simple:P33151	CDH5	CDH5	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.02																	1.614																																
CPI-SS0BE3D537D	CDH7_CDH7	simple:Q9ULB5	simple:Q9ULB5	CDH7	CDH7	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.02																									0.679																								
CPI-SS05996C8FD	AGT_AGTR1	simple:P01019	simple:P30556	AGT	AGTR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Angiotensinogen	0.02																																	1.049																
CPI-SS0730D1EF3	CNTN1_MCAM	simple:Q12860	simple:P43121	CNTN1	MCAM	False	False	False	curated	False	Adhesion-Adhesion		0.061																								0.708			0.681	0.869																					
CPI-SS0BA601DC4	BDNF_NTRK2	simple:P23560	simple:Q16620	BDNF	NTRK2	True	False	True	curated	False	Ligand-Receptor	Signaling by Brain-derived neurotrophic factor	0.082																						0.15						0.149															0.113						0.112
CPI-SS058209EC7	F2_F2R	simple:P00734	simple:P25116	F2	F2R	True	False	True	curated	False	Ligand-Receptor	Adhesion by Prothrombin	0.102																													0.924		0.905	0.6		0.715	1.059														
CPI-SS052119104	AREG_EGFR	simple:P15514	simple:P00533	AREG	EGFR	True	False	True	curated	False	Ligand-Receptor	Signaling by Epidermal growth factor	0.102																													0.252			0.336	0.32	0.256	0.246														
CPI-SS083BB1EB3	TENM1_ADGRL2	simple:Q9UKZ4	simple:O95490	TENM1	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.102																						0.321		0.375	0.336		0.234	0.194																					
CPI-SS05ABE6795	EFNB2_EPHB6	simple:P52799	simple:O15197	EFNB2	EPHB6	True	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.102						0.304														0.515							0.383														0.75							0.483	
CPI-SS0A28DCA72	CXCL12_CXCR4	simple:P48061	simple:P61073	CXCL12	CXCR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.122			0.597							0.628														0.892							0.532							0.577							0.624				
