gene	mean	VO_mean	VO_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
SAMD11	0.26843438	0.19198048	0.11774975751697381	0.52891225	0.34963648380700596	1.4615902	44.55244	1
ISG15	0.17542371	0.15971269	0.10475266731328807	0.2289354	0.17184401850627892	0.5191887	5.4144473	1
MXRA8	0.21208501	0.18117315	0.11833171677982542	0.31738642	0.2267019167217449	0.8085296	14.391165	1
VWA1	0.04632399	0.034033038	0.023278370514064017	0.088199995	0.07005948446794448	1.3712445	8.603968	1
MMP23B	0.14734752	0.12350151	0.07390882638215325	0.22857612	0.16853932584269662	0.88760936	11.716773	1
TPRG1L	0.06914425	0.058725055	0.041707080504364696	0.104651794	0.07997356245869135	0.83247226	5.147259	1
SMIM1	0.10005961	0.08269927	0.05179437439379243	0.1592018	0.11896893588896233	0.9440726	8.911916	1
ACOT7	0.040359505	0.045969516	0.03433559650824442	0.02124418	0.01784534038334435	-1.1099699	5.2176104	1
THAP3	0.08951751	0.07562294	0.05121241513094083	0.13685763	0.10508922670191673	0.85492736	6.8849	1
VAMP3	0.17637675	0.15884341	0.1066925315227934	0.23609734	0.18374091209517515	0.57147944	6.738032	1
ENO1	1.4882513	1.2783097	0.6417070805043646	2.203553	0.9107732980832782	0.78554666	44.55244	1
PLOD1	0.35360616	0.2956798	0.18913676042677013	0.55098826	0.3813615333773959	0.8977599	32.33888	1
KAZN	0.16413121	0.12033808	0.08205625606207566	0.31332168	0.23000660938532716	1.3798133	30.269512	1
PLEKHM2	0.17399535	0.15684669	0.10514064015518913	0.23240542	0.18043621943159285	0.5669898	6.4962463	1
HSPB7	0.02735512	0.009695082	0.006401551891367604	0.08752259	0.06543291473892927	3.1611733	17.292955	1
HMGCL	0.103320226	0.084915355	0.0574199806013579	0.16601884	0.1255783212161269	0.96642035	9.718651	1
RSRP1	0.31558332	0.28790706	0.18506304558680892	0.40987486	0.29742233972240584	0.5094312	9.748017	1
ZCCHC17	0.2682934	0.24254924	0.16120271580989332	0.35599026	0.26437541308658297	0.55337054	9.680307	1
FAM229A	0.04125538	0.026891302	0.018040737148399613	0.0901917	0.07204230006609386	1.7420988	11.642838	1
TMEM54	0.068265654	0.05664359	0.03705140640155189	0.107872166	0.08261731658955718	0.92813003	6.0705676	1
AK2	0.19980092	0.1821681	0.12046556741028128	0.25986016	0.19365499008592202	0.5122284	6.0179677	1
GJA4	0.03044381	0.037469514	0.030067895247332686	0.006499535	0.006609385327164574	-2.5091262	15.6829405	1
CLSPN	0.16695301	0.18768726	0.12182347235693501	0.09628798	0.0713813615333774	-0.96217406	13.766533	1
SH3D21	0.048391256	0.034012053	0.02133850630455868	0.097382985	0.07336417713152676	1.5148689	10.128155	1
POU3F1	0.11622277	0.0931311	0.05645004849660524	0.19488382	0.12888301387970919	1.0644712	11.36181	1
RLF	0.2502239	0.218015	0.14393792434529584	0.35994652	0.25842696629213485	0.7230943	14.131784	1
SLC2A1	0.05573185	0.024379151	0.016488845780795344	0.16255729	0.12029081295439524	2.7322102	29.13152	1
PTPRF	0.11323431	0.09854255	0.06420950533462658	0.1632756	0.11896893588896233	0.7279106	6.223009	1
KIF2C	0.11452135	0.126928	0.08651794374393793	0.07222871	0.054196959682749506	-0.81250626	7.1283293	1
TRABD2B	0.023715327	0.01184335	0.007565470417070805	0.0641623	0.046265697290152015	2.4277651	10.206873	1
BEND5	0.14986862	0.11736362	0.07701260911736178	0.26059854	0.18704560475875742	1.1501684	18.936247	1
GPX7	0.23686421	0.21447007	0.1390882638215325	0.31314558	0.23529411764705882	0.5458452	8.24619	1
DHCR24	0.08671871	0.09662502	0.06828322017458778	0.052949548	0.043621943159286185	-0.8665487	6.665559	1
L1TD1	0.038294595	0.044244863	0.02696411251212415	0.01801433	0.014540647719762063	-1.2916355	5.6205993	1
KANK4	0.027569363	0.020122852	0.014354995150339476	0.052934848	0.041639127561136816	1.3909541	5.3294344	1
PGM1	0.16032797	0.12779082	0.08108632395732299	0.27116793	0.2002643754130866	1.0848056	18.896523	1
AK4	0.06486998	0.037226886	0.02289039767216295	0.15905957	0.1163251817580965	2.0921867	22.326218	1
CCN1	0.38041645	0.40859318	0.2376333656644035	0.28449398	0.19233311302048908	-0.522113	9.993932	1
CCDC18-AS1	0.21313526	0.1943624	0.12415130940834142	0.27707827	0.2015862524785195	0.5113228	6.274527	1
VCAM1	0.16972911	0.18618861	0.11231813773035887	0.113630116	0.0806345009914078	-0.7119252	7.919092	1
COL11A1	0.1762917	0.14327288	0.0903976721629486	0.28877208	0.19431592861863847	1.0106585	16.395084	1
NTNG1	0.078817375	0.06379068	0.03860329776915616	0.13002306	0.09187045604758758	1.0261992	7.644076	1
TMEM167B	0.120739505	0.10421506	0.06964112512124151	0.17702341	0.13681427627230666	0.76380736	7.591193	1
GSTM3	0.34854865	0.2991638	0.19321047526673132	0.51682675	0.3602115003304693	0.7885422	24.789253	1
LRIF1	0.17491692	0.156877	0.10591658583899127	0.2363637	0.1784534038334435	0.59106547	6.867711	1
ZNF697	0.08163685	0.0917218	0.06517943743937925	0.047269296	0.037012557832121616	-0.95488447	7.342741	1
TXNIP	0.9533338	0.7158489	0.38816682832201743	1.7624912	0.8248512888301388	1.2997694	44.55244	1
ECM1	0.019472921	0.012036563	0.009117361784675072	0.044809736	0.038995373430270985	1.8876685	6.7972374	1
SELENBP1	0.10709468	0.09448914	0.05994180407371484	0.1500295	0.11235955056179775	0.66646093	5.105709	1
