gene	mean	Fus-HO_mean	Fus-HO_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
MIR1302-2HG	1.4188117e-09	7.1304385e-10	0.0	1.3096724e-09	0.0	8.599107e-06	37.500446	0
FAM138A	1.4188117e-09	7.1304385e-10	0.0	1.3096724e-09	0.0	8.599107e-06	37.500446	0
OR4F5	1.4188117e-09	7.1304385e-10	0.0	1.3096724e-09	0.0	8.599107e-06	37.500446	0
AL627309.1	0.0025713975	0.0021013366	0.0017152658662092624	0.0027524587	0.0026437541308658294	0.37382618	0.09902248	0
AL627309.3	1.4188117e-09	7.1304385e-10	0.0	1.3096724e-09	0.0	8.599107e-06	37.500446	0
AL627309.2	1.4188117e-09	7.1304385e-10	0.0	1.3096724e-09	0.0	8.599107e-06	37.500446	0
AL627309.5	0.023732278	0.028572645	0.025728987993138937	0.021867659	0.01784534038334435	-0.3842938	0.3641616	0
AL627309.4	0.0024230822	0.00465239	0.0017152658662092624	0.0015639972	0.0013218770654329147	-1.5140002	0.28503072	0
AP006222.2	0.00061612163	7.1304385e-10	0.0	0.00085352943	0.0006609385327164573	3.2532673	0.4982983	0
AL732372.1	1.4188117e-09	7.1304385e-10	0.0	1.3096724e-09	0.0	8.599107e-06	37.500446	0
OR4F29	1.4188117e-09	7.1304385e-10	0.0	1.3096724e-09	0.0	8.599107e-06	37.500446	0
AC114498.1	1.4188117e-09	7.1304385e-10	0.0	1.3096724e-09	0.0	8.599107e-06	37.500446	0
OR4F16	1.4188117e-09	7.1304385e-10	0.0	1.3096724e-09	0.0	8.599107e-06	37.500446	0
AL669831.2	0.0018021317	0.002238323	0.0017152658662092624	0.0016341093	0.0013218770654329147	-0.43127945	0.091125906	0
LINC01409	0.040808745	0.04451005	0.032590051457975985	0.039382808	0.031725049570389956	-0.17614426	0.17430325	0
FAM87B	1.4188117e-09	7.1304385e-10	0.0	1.3096724e-09	0.0	8.599107e-06	37.500446	0
LINC01128	0.06677206	0.04924193	0.03945111492281304	0.07352568	0.056179775280898875	0.57739496	1.2065544	0
LINC00115	0.007931822	0.011170527	0.010291595197255575	0.0066837757	0.005287508261731659	-0.73239464	0.41054174	0
FAM41C	0.0022849257	0.0024241835	0.0017152658662092624	0.0022311443	0.0013218770654329147	-0.114778504	0.023612918	0
AL645608.6	0.0025060868	7.1304385e-10	0.0	0.00347175	0.0026437541308658294	5.158549	1.2521523	0
AL645608.2	0.02409922	0.025744323	0.02058319039451115	0.023465607	0.019167217448777262	-0.13316453	0.10038153	0
AL645608.4	0.0014330754	0.003882211	0.003430531732418525	0.0004894657	0.0006609385327164573	-2.7560897	0.64496607	0
LINC02593	0.055696465	0.05276668	0.044596912521440824	0.056825615	0.04296100462656973	0.10671916	0.12706973	0
SAMD11	0.47311485	0.32830232	0.241852487135506	0.52891225	0.34963648380700596	0.6878369	9.262144	1
NOC2L	0.21995272	0.20596342	0.16638078902229847	0.22534446	0.1658955717118308	0.1296836	0.37918133	0
KLHL17	0.027159445	0.028999692	0.024013722126929673	0.026450818	0.01982815598149372	-0.1322475	0.106090195	0
