gene	mean	VO_mean	VO_positive_frac	Fus-HO_mean	Fus-HO_positive_frac	log2FC	-log10 p-val	is_significant
PPDPF	0.9081307	0.8700792	0.49466537342386036	1.2446171	0.7530017152658662	0.5164334	22.967047	1
TCEA2	0.2957516	0.28009716	0.18254122211445198	0.43415928	0.3379073756432247	0.63211435	7.497474	1
TPTE	0.0052837296	0.0058813808	0.0044616876818622695	7.1304385e-10	0.0	-5.902396	5.458966	1
BTG3	0.14330147	0.13242447	0.09408341416100872	0.23945992	0.19725557461406518	0.8541277	6.052865	1
LINC01697	0.010316366	0.0048075444	0.0031037827352085354	0.059026957	0.048027444253859346	3.5907428	5.7692957	1
GRIK1	0.00958946	0.010674064	0.0060135790494665374	7.1304385e-10	0.0	-6.7514086	7.235496	1
TIAM1	0.1560233	0.14550179	0.09544131910766246	0.2490387	0.18696397941680962	0.77492106	5.008449	1
COL6A1	0.6757866	0.64684975	0.38448108632395733	0.93169	0.6020583190394511	0.5263512	13.518521	1
COL6A2	0.78972256	0.753408	0.44267701260911735	1.1108556	0.6775300171526587	0.56010634	19.76091	1
CLDN5	0.030890226	0.03420728	0.02289039767216295	0.0015533485	0.0017152658662092624	-4.375052	19.002293	1
CHCHD10	0.43485963	0.39752713	0.2521823472356935	0.76500666	0.5300171526586621	0.94424474	25.358088	1
MB	0.006979102	0.00093292707	0.0005819592628516004	0.060440585	0.05317324185248713	5.873092	6.9273243	1
EIF3D	0.486428	0.46041533	0.2878758486905917	0.71648264	0.49914236706689535	0.63788396	13.251602	1
CDC42EP1	0.17446685	0.1628426	0.11270611057225995	0.27723435	0.22641509433962265	0.76726234	6.080833	1
MRTFA-AS1	0.006683894	0.0074398955	0.0052376333656644035	7.1304385e-10	0.0	-6.236462	6.335038	1
TSPO	0.2062608	0.18715973	0.12667313288069834	0.375142	0.2864493996569468	1.0027806	11.478261	1
SAT1	0.30402747	0.2774928	0.17827352085354026	0.53863955	0.3876500857632933	0.956618	15.731679	1
DIPK2B	0.008816358	0.0098135285	0.006595538312318138	7.1304385e-10	0.0	-6.6313167	7.8540864	1
PRAF2	0.17200354	0.15804698	0.1049466537342386	0.29539382	0.23842195540308747	0.90186197	7.9975038	1
PGK1	0.6164843	0.5838075	0.3485935984481086	0.90545976	0.5763293310463122	0.63306993	16.210468	1
TNMD	0.023963204	0.026672529	0.014936954413191077	7.1304385e-10	0.0	-8.064599	16.204546	1
ARMCX6	0.33460715	0.31823537	0.20096993210475267	0.47935677	0.36192109777015435	0.5908532	7.2297955	1
COL4A6	0.038248677	0.029941175	0.02017458777885548	0.11169848	0.09262435677530018	1.8958875	6.8133893	1
COL4A5	0.18860573	0.174702	0.11406401551891368	0.31152883	0.2521440823327616	0.8341069	7.7025185	1
KLHL13	0.041638162	0.033569507	0.02289039767216295	0.11297603	0.09262435677530018	1.7477785	6.40046	1
AL121601.1	0.0058958824	0.0065627643	0.004655674102812803	7.1304385e-10	0.0	-6.0580387	5.702136	1
APLN	0.030871084	0.033528626	0.022114451988360814	0.0073658135	0.00686106346483705	-2.1713185	6.9198084	1
GPC3	0.30089158	0.26218215	0.1548011639185257	0.64315546	0.4065180102915952	1.2942723	23.546982	1
BGN	0.4967665	0.46931553	0.2845780795344326	0.7395444	0.45454545454545453	0.6559663	11.441172	1
