gene	mean	Fus-HO_mean	Fus-HO_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
SAMD11	0.47311485	0.32830232	0.241852487135506	0.52891225	0.34963648380700596	0.6878369	9.262144	1
POU3F1	0.16590424	0.09070089	0.060034305317324184	0.19488382	0.12888301387970919	1.1025761	6.4003267	1
SLC2A1	0.13783155	0.0736637	0.060034305317324184	0.16255729	0.12029081295439524	1.1408526	6.694604	1
AK4	0.13645671	0.07779989	0.06174957118353345	0.15905957	0.1163251817580965	1.0307808	5.4696074	1
NTNG1	0.105156764	0.04062145	0.03430531732418525	0.13002306	0.09187045604758758	1.6760159	9.419437	1
B3GALT2	0.042971987	0.013415209	0.010291595197255575	0.054361165	0.038334434897554524	2.010644	5.2204356	1
G0S2	0.36998987	0.6410835	0.36192109777015435	0.26552016	0.17382683410442828	-1.2713728	17.17264	1
SIPA1L2	0.42651808	0.30969086	0.20754716981132076	0.4715301	0.28288169200264374	0.60636127	5.759656	1
NID1	0.3519759	0.5043554	0.3653516295025729	0.29325408	0.2233972240581626	-0.7820837	9.675382	1
GREM2	0.03901373	0.007328976	0.005145797598627788	0.051222797	0.0356906807666887	2.7883646	6.8358502	1
AFF3	0.19347806	0.09003172	0.0686106346483705	0.23334007	0.16325181758096496	1.3729454	11.883535	1
SCN9A	0.21878341	0.11435993	0.0823327615780446	0.25902143	0.16655651024454726	1.1787857	9.607237	1
NDUFB3	0.29441097	0.39106548	0.3053173241852487	0.2571649	0.19497686715135493	-0.60452443	5.303977	1
KCNE4	0.2921569	0.1876112	0.1423670668953688	0.33243787	0.22736285525446134	0.8250038	7.579208	1
SCG2	0.20307267	0.04578331	0.0274442538593482	0.2636811	0.1348314606741573	2.5232997	21.996624	1
COL6A3	0.8879526	1.1262319	0.6380789022298456	0.79613173	0.47191011235955055	-0.50037175	12.105808	1
TMEM158	0.11005349	0.21380822	0.14922813036020582	0.070067	0.05023132848645076	-1.6081272	8.683825	1
PTH1R	0.13634372	0.06833757	0.05317324185248713	0.16254938	0.11500330469266358	1.248905	7.418908	1
ROBO2	0.28838935	0.14037955	0.10120068610634649	0.34541893	0.23198942498347655	1.2984046	15.850561	1
TMEM45A	0.26460782	0.15865271	0.12864493996569468	0.30543298	0.21480502313284863	0.9445468	9.204885	1
ALCAM	0.13166748	0.060696352	0.048027444253859346	0.1590146	0.10046265697290152	1.3880095	7.6722207	1
FAM162A	1.0035099	0.76318663	0.48713550600343053	1.0961127	0.6074025115664243	0.522231	12.993311	1
PLOD2	0.34348005	0.24488765	0.19210977701543738	0.38146558	0.26437541308658297	0.639222	6.104144	1
CYTL1	0.22293247	0.12114582	0.09090909090909091	0.26215467	0.18241903502974224	1.1130333	9.490851	1
DANCR	0.29797143	0.20395912	0.16638078902229847	0.3341923	0.24256444150693984	0.71212286	6.591676	1
ADGRL3	0.14705795	0.08067831	0.060034305317324184	0.1726369	0.1209517514871117	1.0965365	6.219557	1
ALB	0.087309025	0.026835483	0.022298456260720412	0.11061092	0.08261731658955718	2.0392177	10.8944235	1
PARM1	0.12572247	0.05174919	0.044596912521440824	0.15422599	0.10905485789821547	1.5735877	10.24623	1
TSPAN5	0.23276137	0.3335687	0.2555746140651801	0.19392282	0.14540647719762062	-0.7821899	6.2835827	1
HHIP-AS1	0.033491313	0.007173981	0.005145797598627788	0.043632098	0.031725049570389956	2.5878756	5.7053466	1
HHIP	0.018637743	7.1304385e-10	0.0	0.02581937	0.01982815598149372	8.017877	7.0116563	1
FSTL5	0.29934314	0.1624838	0.1097770154373928	0.35207617	0.2108393919365499	1.1151136	11.503026	1
NPR3	0.036161862	0.003846063	0.003430531732418525	0.048614036	0.034368803701255786	3.6258516	8.816252	1
RAB3C	0.10383385	0.17632109	0.13550600343053174	0.07589765	0.058823529411764705	-1.2149963	5.823746	1
CARMN	0.45687994	0.6032149	0.4099485420240137	0.40048438	0.2703238598810311	-0.5908051	7.3893356	1
TNIP1	0.25876343	0.16367342	0.13550600343053174	0.2954045	0.21017845340383345	0.85147876	7.714205	1
AC109466.1	0.05537181	0.0204695	0.015437392795883362	0.06882072	0.048909451421017845	1.7444311	5.145003	1
LAMA4	0.19605497	0.28254393	0.21783876500857632	0.16273382	0.12425644415069398	-0.7955853	5.3448534	1
MAN1A1	0.4203461	0.30162007	0.22469982847341338	0.46608993	0.3073364177131527	0.6277072	6.9228573	1
SFT2D1	0.1666505	0.25643194	0.21612349914236706	0.13205627	0.10707204230006609	-0.9568936	6.947629	1
THSD7A	0.4471293	0.297944	0.20926243567753003	0.50461084	0.3258426966292135	0.75993174	9.809206	1
HOXA10	0.54497755	0.41718152	0.2967409948542024	0.59421796	0.37276933245208194	0.510214	6.159485	1
MYL7	0.3057974	0.15934724	0.13036020583190394	0.36222497	0.2498347653668209	1.184205	15.24514	1
CYP51A1	0.5541925	0.41284445	0.29845626072041165	0.6086554	0.4038334434897555	0.559915	7.8653793	1
ARPC1B	0.2628378	0.35590598	0.28130360205831906	0.22697812	0.17316589557171183	-0.6487127	5.3860865	1
LAMB1	0.2669781	0.35970697	0.2847341337907376	0.23124866	0.17911434236615995	-0.6371543	5.326453	1
PLXNA4	0.23228306	0.13780555	0.09605488850771869	0.2686888	0.17713152676801058	0.9627924	7.1625032	1
EGR3	0.084014185	0.14626765	0.12521440823327615	0.060022693	0.046265697290152015	-1.2836152	5.755743	1
SDCBP	0.48538586	0.6231194	0.4528301886792453	0.43230397	0.3159286186384666	-0.52736044	7.366337	1
KCNB2	0.046365794	0.008480299	0.00686106346483705	0.06096417	0.04296100462656973	2.8312263	8.82574	1
RALYL	0.066973664	0.025800401	0.02058319039451115	0.08283783	0.06014540647719762	1.6790558	6.164353	1
MATN2	0.2388611	0.32783064	0.2504288164665523	0.20458436	0.1533377395902181	-0.67998976	5.0356884	1
MYC	0.06610107	0.12285809	0.10291595197255575	0.044229887	0.038995373430270985	-1.471815	5.3593607	1
ZNF250	0.099198006	0.04835605	0.044596912521440824	0.11878758	0.08922670191672175	1.2948493	6.359643	1
ANXA1	0.26351443	0.410736	0.2658662092624357	0.20679072	0.14606741573033707	-0.9896937	8.795999	1
CTSL	0.26836184	0.36331275	0.27958833619210977	0.23177679	0.1784534038334435	-0.6482506	5.2935634	1
PTCH1	0.08616638	0.02557898	0.022298456260720412	0.10951144	0.07732980832782552	2.0937386	10.903354	1
CELF2	0.26206306	0.16109999	0.11492281303602059	0.30096602	0.2029081295439524	0.9012282	7.612751	1
NRP1	0.4618616	0.30832064	0.21783876500857632	0.5210223	0.3331130204890945	0.75672287	9.928508	1
CXCL12	0.7418854	0.45047024	0.2864493996569468	0.8541729	0.4904163912756114	0.922945	22.765099	1
ANKRD1	0.03358686	0.0018250184	0.0017152658662092624	0.04582556	0.0356906807666887	4.576353	10.484878	1
BNIP3	0.9373884	0.656087	0.4219554030874786	1.0457786	0.5809649702577661	0.6725366	18.350832	1
LDHA	1.6673244	1.2604088	0.6775300171526587	1.8241241	0.8116325181758096	0.53327686	27.327314	1
LUZP2	0.17774282	0.09318843	0.06689536878216124	0.21032499	0.14011896893588896	1.173536	7.912677	1
C11orf96	0.38704857	0.55337334	0.36363636363636365	0.32294995	0.21282220753469927	-0.7767567	9.289039	1
NCAM1	0.23488829	0.12147276	0.08919382504288165	0.27859113	0.1890284203569068	1.196847	11.238446	1
CADM1	0.47589093	0.64757335	0.4339622641509434	0.40972653	0.2623925974884336	-0.66025317	9.38712	1
CLMP	0.21262094	0.12107804	0.08576329331046312	0.24789669	0.16457369464639787	1.0331926	7.681233	1
MGP	0.38173452	0.5872185	0.27615780445969124	0.30254397	0.15399867812293458	-0.9565216	8.232158	1
RERG	0.15163535	0.2254293	0.18181818181818182	0.12319993	0.09583608724388631	-0.87114286	5.0646386	1
NR4A1	0.07652098	0.14722256	0.1097770154373928	0.04927515	0.038334434897554524	-1.5771214	6.4080305	1
GLI1	0.019708954	0.0029816616	0.003430531732418525	0.026154453	0.021150033046926635	3.090782	5.2128024	1
ISCU	0.3333402	0.5002393	0.37564322469982847	0.26902395	0.20687376074025116	-0.89463603	12.262701	1
MYL2	0.015024807	7.1304385e-10	0.0	0.020814274	0.015862524785194978	7.708334	5.8474865	1
WSB2	0.113581866	0.17877342	0.1457975986277873	0.08845688	0.0713813615333774	-1.0142627	5.0082583	1
PCDH17	0.46554577	0.335158	0.241852487135506	0.5157834	0.34104428288169203	0.62177354	7.543922	1
EFNB2	0.51538867	0.35156652	0.22984562607204118	0.578511	0.3562458691341705	0.7183858	9.713181	1
MYH7	0.052150466	0.015019596	0.0137221269296741	0.06645811	0.04824851288830139	2.138195	7.1854143	1
DAAM1	0.38340977	0.2859177	0.2195540308747856	0.42097205	0.3007270323859881	0.5579627	5.425208	1
FOS	0.8219945	1.0999361	0.5591766723842195	0.71488833	0.41308658294778583	-0.6215593	12.521767	1
FLRT2	0.3652943	0.2590076	0.19897084048027444	0.40624458	0.2756113681427627	0.64915234	6.4342217	1
SERPINA1	0.061742604	0.025452374	0.022298456260720412	0.075726174	0.05816259087904825	1.5692387	5.598023	1
DLK1	1.0406165	1.3895972	0.5060034305317325	0.9061449	0.3707865168539326	-0.6167976	10.037762	1
PKM	1.0230924	0.7620264	0.5042881646655232	1.1236869	0.6397884996695308	0.56026626	17.353834	1
NUPR1	0.1981685	0.32830128	0.2367066895368782	0.14803103	0.10575016523463318	-1.1485859	9.557157	1
FOXC2	0.09452358	0.04479164	0.03430531732418525	0.11368585	0.08526107072042301	1.3418025	5.9403663	1
TMEM98	0.53431785	0.3990732	0.30874785591766724	0.58642817	0.4038334434897555	0.55518556	8.13084	1
PCGF2	0.13143703	0.2064235	0.1732418524871355	0.10253923	0.0806345009914078	-1.0087237	5.8737082	1
SLC16A3	0.20643002	0.10674828	0.08576329331046312	0.24484189	0.17911434236615995	1.1968758	10.5992365	1
CDH7	0.5949279	0.37554967	0.2469982847341338	0.6794575	0.4011896893588896	0.8552078	15.61827	1
CBLN2	0.16661729	0.06467922	0.04974271012006861	0.20589726	0.13218770654329148	1.6690221	12.954878	1
PDE4C	0.032062583	0.008339345	0.00686106346483705	0.04120383	0.031725049570389956	2.2910726	5.0036135	1
ZFP36	0.124270104	0.25111264	0.18867924528301888	0.07538768	0.05816259087904825	-1.7345959	12.131608	1
FOSB	0.10697611	0.18796685	0.14408233276157806	0.0757621	0.05750165234633179	-1.3097944	6.751522	1
HRC	0.12995978	0.053324148	0.044596912521440824	0.15948929	0.11368142762723067	1.5788	10.612892	1
AC020909.2	0.31238455	0.42843786	0.3241852487135506	0.2676619	0.19497686715135493	-0.67847204	6.5777645	1
MYADM	0.23695381	0.33090955	0.26758147512864494	0.20075591	0.15465961665565103	-0.72071195	5.8944273	1
