Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cellular protein metabolic process (GO:0044267)	23/417	6.814063e-18	8.122363e-15	0	0	1.478799e+01	5.845329e+02	IGFBP1;FGA;RPL41;ITIH2;SERPINA1;SERPIND1;AHSG;RPS6;IGF2;APOA2;APOA1;PLG;AFP;F2;CP;C3;TF;ALB;GPC3;APOE;RPL29;APOB;RPL39
GO_Biological_Process_2021	chylomicron assembly (GO:0034378)	7/10	7.475669e-15	4.455499e-12	0	0	4.992079e+02	1.623780e+04	APOC2;MTTP;APOA2;APOA1;APOC3;APOE;APOB
GO_Biological_Process_2021	diterpenoid metabolic process (GO:0016101)	11/64	1.656240e-14	6.580793e-12	0	0	4.628302e+01	1.468636e+03	RBP4;TTR;AKR1C1;APOC2;ALDH1A1;APOA2;GPC3;APOA1;APOC3;APOE;APOB
GO_Biological_Process_2021	platelet degranulation (GO:0002576)	13/125	5.272887e-14	1.571320e-11	0	0	2.640025e+01	8.071509e+02	FGB;FGA;ORM1;SERPINA1;AHSG;SERPINE1;IGF2;APOA1;PLG;CLU;TF;SELENOP;ALB
GO_Biological_Process_2021	retinoid metabolic process (GO:0001523)	11/92	1.067690e-12	2.211873e-10	0	0	3.024123e+01	8.336152e+02	RBP4;TTR;AKR1C1;APOC2;ALDH1A1;APOA2;GPC3;APOA1;APOC3;APOE;APOB
GO_Biological_Process_2021	chylomicron remodeling (GO:0034371)	6/9	1.113359e-12	2.211873e-10	0	0	4.233404e+02	1.165187e+04	APOC2;APOA2;APOA1;APOC3;APOE;APOB
GO_Biological_Process_2021	high-density lipoprotein particle remodeling (GO:0034375)	7/18	1.919214e-12	3.268148e-10	0	0	1.360929e+02	3.671664e+03	APOC2;ALB;APOC1;APOA2;APOA1;APOC3;APOE
GO_Biological_Process_2021	cholesterol homeostasis (GO:0042632)	10/71	2.209536e-12	3.292209e-10	0	0	3.613661e+01	9.698430e+02	AKR1C1;APOC2;MTTP;APOA2;ANGPTL3;APOA1;APOC3;APOE;APOB;CD24
GO_Biological_Process_2021	sterol homeostasis (GO:0055092)	10/72	2.555413e-12	3.384503e-10	0	0	3.555197e+01	9.489819e+02	AKR1C1;APOC2;MTTP;APOA2;ANGPTL3;APOA1;APOC3;APOE;APOB;CD24
GO_Biological_Process_2021	cholesterol transport (GO:0030301)	9/51	3.457085e-12	4.120845e-10	0	0	4.676138e+01	1.234061e+03	AKR1C1;APOC2;APOC1;APOA2;APOA1;APOC3;APOE;APOB;CLU
GO_Biological_Process_2021	regulated exocytosis (GO:0045055)	13/180	5.909367e-12	6.403605e-10	0	0	1.765634e+01	4.564956e+02	FGB;FGA;ORM1;SERPINA1;AHSG;SERPINE1;IGF2;APOA1;PLG;CLU;TF;SELENOP;ALB
