gene	mean	True_mean	True_positive_frac	False_mean	False_positive_frac	log2FC	-log10 p-val	is_significant
MIR1302-2HG	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
FAM138A	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
OR4F5	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AL627309.1	0.0032546902	-9.458745e-11	0.0	0.004100737	0.005305039787798408	5.392572	0.7913809	0
AL627309.3	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AL627309.2	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AL627309.5	0.028277807	0.014492506	0.030612244897959183	0.03186123	0.042440318302387266	1.1310953	0.8156965	0
AL627309.4	0.0015938064	-9.458745e-11	0.0	0.0020081112	0.002652519893899204	4.3978806	0.4976366	0
AP006222.2	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AL732372.1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
OR4F29	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AC114498.1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
OR4F16	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AL669831.2	0.0013026441	0.0063137724	0.01020408163265306	1.7462298e-10	0.0	-6.003099	0.4951236	0
LINC01409	0.035190534	0.048920315	0.05102040816326531	0.031621583	0.042440318302387266	-0.6279149	0.31160542	0
FAM87B	0.00089932483	0.004359023	0.01020408163265306	1.7462298e-10	0.0	-5.4786534	0.4951232	0
LINC01128	0.086405456	0.08987545	0.1326530612244898	0.0855035	0.10875331564986737	-0.07186164	0.05852893	0
LINC00115	0.006407433	0.014255079	0.02040816326530612	0.0043675546	0.005305039787798408	-1.6840042	0.43747643	0
FAM41C	0.009049279	0.0065622213	0.01020408163265306	0.009695751	0.015915119363395226	0.5561527	0.16557035	0
AL645608.6	0.0017972157	-9.458745e-11	0.0	0.0022643963	0.002652519893899204	4.563401	0.49764067	0
AL645608.2	0.0011080178	-9.458745e-11	0.0	0.0013960436	0.002652519893899204	3.9030817	0.49764553	0
AL645608.4	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
LINC02593	0.0074642007	0.0188783	0.030612244897959183	0.00449717	0.005305039787798408	-2.045533	0.67360044	0
SAMD11	0.048550047	0.0414501	0.05102040816326531	0.050395764	0.0610079575596817	0.28131047	0.16749333	0
NOC2L	0.22488514	0.27216402	0.3979591836734694	0.21259527	0.2413793103448276	-0.3562183	0.7714062	0
KLHL17	0.032454412	0.01965659	0.030612244897959183	0.035781123	0.042440318302387266	0.8608912	0.5617861	0
PLEKHN1	0.0045289122	-9.458745e-11	0.0	0.0057061897	0.007957559681697613	5.859521	0.95591605	0
PERM1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AL645608.7	0.029274115	0.013875208	0.02040816326530612	0.033277042	0.03183023872679045	1.2559865	0.7781408	0
HES4	0.7184996	0.46803322	0.5204081632653061	0.7836079	0.6525198938992043	0.74339694	5.863984	1
ISG15	0.30274817	0.36369726	0.42857142857142855	0.286904	0.32360742705570295	-0.3420638	0.82985514	0
AL645608.1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AGRN	0.16942064	0.15141611	0.23469387755102042	0.17410097	0.21485411140583555	0.20128144	0.28831053	0
AL645608.5	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AL645608.8	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
RNF223	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
C1orf159	0.025831565	0.030458143	0.05102040816326531	0.024628865	0.03183023872679045	-0.3053609	0.15344568	0
AL390719.3	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
LINC01342	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AL390719.2	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
TTLL10-AS1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
TTLL10	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
TNFRSF18	0.0015851243	-9.458745e-11	0.0	0.0019971721	0.002652519893899204	4.3903747	0.4976375	0
TNFRSF4	0.0034935975	-9.458745e-11	0.0	0.0044017476	0.005305039787798408	5.4924145	0.8017189	0
SDF4	0.8928046	0.97861457	0.8367346938775511	0.87049896	0.7559681697612732	-0.1688799	1.0481617	0
B3GALT6	0.21921523	0.1877884	0.25510204081632654	0.2273846	0.259946949602122	0.27589288	0.48516786	0
C1QTNF12	0.0123753045	0.02054378	0.030612244897959183	0.010251906	0.015915119363395226	-0.99581075	0.3769381	0
AL162741.1	0.0013470032	0.006528778	0.01020408163265306	1.7462298e-10	0.0	-6.0506687	0.49512517	0
UBE2J2	0.3289471	0.34069994	0.41836734693877553	0.32589108	0.3793103448275862	-0.06409266	0.11359821	0
LINC01786	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
SCNN1D	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
ACAP3	0.15866989	0.11863575	0.1836734693877551	0.1690767	0.20954907161803712	0.51077646	0.91881496	0
PUSL1	0.14249085	0.17935766	0.2653061224489796	0.13290769	0.17771883289124668	-0.43213385	0.70556366	0
INTS11	0.20534417	0.2937378	0.3877551020408163	0.1823667	0.23076923076923078	-0.6873868	1.8627694	0
AL139287.1	0.001593938	-9.458745e-11	0.0	0.0020082772	0.002652519893899204	4.397994	0.49763712	0
CPTP	0.09630793	0.12633088	0.1836734693877551	0.08850383	0.1220159151193634	-0.5129079	0.6409267	0
TAS1R3	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
DVL1	0.070354186	0.07389206	0.12244897959183673	0.06943469	0.09283819628647215	-0.08963752	0.0695797	0
MXRA8	0.11630252	0.14298831	0.21428571428571427	0.10936584	0.13527851458885942	-0.386425	0.46961433	0
AURKAIP1	1.0030531	1.0819303	0.8775510204081632	0.9825493	0.7798408488063661	-0.13899234	0.93044037	0
CCNL2	0.4250446	0.37119758	0.45918367346938777	0.4390415	0.46153846153846156	0.24210995	0.71210575	0
MRPL20-AS1	0.048890926	0.03577455	0.05102040816326531	0.052300755	0.06896551724137931	0.54662675	0.3978926	0
MRPL20	0.9011781	1.0291346	0.8571428571428571	0.8679169	0.7347480106100795	-0.24577694	1.9754989	0
AL391244.2	0.0018391287	-9.458745e-11	0.0	0.0023172044	0.002652519893899204	4.595269	0.49763903	0
ANKRD65	0.0008831276	-9.458745e-11	0.0	0.001112694	0.002652519893899204	3.6001449	0.4976296	0
AL391244.1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
TMEM88B	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
LINC01770	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
VWA1	0.12936072	0.08193722	0.1326530612244898	0.14168842	0.1724137931034483	0.78938913	1.4857843	0
ATAD3C	0.0047602896	0.011870878	0.02040816326530612	0.0029119235	0.005305039787798408	-1.9907719	0.49979642	0
ATAD3B	0.055654354	0.0557955	0.09183673469387756	0.05561776	0.07692307692307693	-0.004594774	0.0028903165	0
ATAD3A	0.14994228	0.17115074	0.25510204081632654	0.14442927	0.18037135278514588	-0.2447486	0.32098588	0
TMEM240	0.07422705	0.06758303	0.10204081632653061	0.07595422	0.08753315649867374	0.16823415	0.13398121	0
SSU72	0.7860316	0.80582166	0.7857142857142857	0.7808878	0.6976127320954907	-0.04533961	0.16904096	0
AL645728.1	0.016100416	0.0135000665	0.02040816326530612	0.0167764	0.026525198938992044	0.3113934	0.11067229	0
FNDC10	0.12263528	0.15422533	0.23469387755102042	0.11442379	0.14058355437665782	-0.43032756	0.6307831	0
AL691432.4	0.0025158366	-9.458745e-11	0.0	0.0031698209	0.002652519893899204	5.0311413	0.49764106	0
AL691432.2	0.020931456	0.012795998	0.02040816326530612	0.023046229	0.029177718832891247	0.8438538	0.41214716	0
MIB2	0.09408532	0.08459704	0.14285714285714285	0.09655194	0.1246684350132626	0.19048707	0.18869665	0
MMP23B	0.36210877	0.38721818	0.42857142857142855	0.35558048	0.34748010610079577	-0.122937396	0.23298769	0
CDK11B	0.20585053	0.27642867	0.3673469387755102	0.18750408	0.2440318302387268	-0.5597377	1.3590298	0
FO704657.1	0.0015532868	-9.458745e-11	0.0	0.001957059	0.002652519893899204	4.3625126	0.49764138	0
SLC35E2B	0.09911999	0.08975798	0.12244897959183673	0.10155379	0.1273209549071618	0.1779455	0.16181707	0
CDK11A	0.14709495	0.10547698	0.1836734693877551	0.15791354	0.19363395225464192	0.58175284	1.1095437	0
SLC35E2A	0.035053786	0.0214657	0.030612244897959183	0.03858604	0.05305039787798409	0.84307456	0.5855924	0
NADK	0.13334174	0.14000206	0.19387755102040816	0.13161054	0.16710875331564987	-0.08910736	0.08926348	0
GNB1	1.0030074	1.0251296	0.8673469387755102	0.99725765	0.7851458885941645	-0.039764155	0.18242727	0
AL109917.1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
CALML6	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
