gene	mean	True_mean	True_positive_frac	False_mean	False_positive_frac	log2FC	-log10 p-val	is_significant
HES4	0.7184996	0.46803322	0.5204081632653061	0.7836079	0.6525198938992043	0.74339694	5.863984	1
CAMK2N1	0.26217166	0.064714596	0.11224489795918367	0.31350005	0.27055702917771884	2.274535	11.045766	1
HEYL	0.20448455	0.06853612	0.08163265306122448	0.23982395	0.2625994694960212	1.8055373	6.253376	1
CCN1	0.8936921	1.2848305	0.826530612244898	0.7920178	0.5994694960212201	-0.69790334	5.955797	1
KCNS3	0.14490649	0.040064663	0.061224489795918366	0.17215976	0.1962864721485411	2.100587	6.1520357	1
EHD3	0.28607175	0.5227514	0.5306122448979592	0.22454719	0.2546419098143236	-1.21874	5.463699	1
CRIM1	0.18178043	0.39719552	0.42857142857142855	0.12578416	0.14854111405835543	-1.6581157	5.8073025	1
CCDC80	0.77075946	1.2566079	0.7959183673469388	0.64446557	0.5782493368700266	-0.9632504	8.517709	1
SEMA5B	0.12282536	0.025604548	0.04081632653061224	0.14809763	0.16180371352785147	2.527427	7.0246263	1
TM4SF1	1.0168382	1.5684506	0.8877551020408163	0.8734502	0.610079575596817	-0.8444694	10.810845	1
PTX3	0.21099389	0.55266595	0.41836734693877553	0.12217768	0.1246684350132626	-2.1765077	6.085358	1
SPON2	0.32617357	0.09129308	0.09183673469387756	0.3872296	0.259946949602122	2.0834048	7.756087	1
WDR1	0.607105	0.86092854	0.8367346938775511	0.5411248	0.5437665782493368	-0.669833	6.7620244	1
RASGEF1B	0.054661848	-9.458745e-11	0.0	0.06887103	0.07161803713527852	9.429849	6.318173	1
FAM241A	0.08961358	0.021835368	0.04081632653061224	0.10723241	0.1246684350132626	2.2907548	5.015682	1
PCDH10	0.3377185	0.681954	0.6224489795918368	0.24823353	0.2625994694960212	-1.457607	8.5183	1
THBS4	0.28343627	0.032198504	0.04081632653061224	0.3487445	0.2519893899204244	3.433045	14.616953	1
MEF2C	0.4926738	0.23514158	0.3163265306122449	0.5596182	0.5013262599469496	1.2505574	9.316541	1
CXXC5	0.82632834	0.56018436	0.5612244897959183	0.89551175	0.7108753315649867	0.67671424	5.735527	1
DPYSL3	0.51459926	0.8146425	0.7142857142857143	0.43660212	0.4270557029177719	-0.89969474	6.00061	1
PDGFRB	0.79584354	0.43971577	0.45918367346938777	0.8884182	0.6684350132625995	1.014502	9.572341	1
STC2	0.4916248	0.83523864	0.6122448979591837	0.40230104	0.376657824933687	-1.0537271	5.734147	1
TXNDC5	0.6470961	0.9751762	0.8061224489795918	0.56181276	0.53315649867374	-0.7954647	7.542372	1
ELOVL2	0.15621874	0.048424568	0.061224489795918366	0.18423952	0.20954907161803712	1.9255781	5.642746	1
EDN1	0.30354303	1.4712282	1.0	1.7462298e-10	0.0	-13.84483	39.031765	1
GJA1	0.5549926	0.93101615	0.7142857142857143	0.45724505	0.41114058355437666	-1.0256782	7.0167084	1
CCN2	0.7933394	1.6396295	0.8367346938775511	0.573351	0.4297082228116711	-1.5157156	13.960509	1
TBX20	0.07550178	0.007814457	0.01020408163265306	0.09309689	0.10344827586206896	3.5577197	6.2132497	1
TFPI2	0.6821491	1.2633028	0.6224489795918368	0.53108174	0.3103448275862069	-1.2500372	6.61538	1
CNTNAP2	0.040533584	-9.458745e-11	0.0	0.051070165	0.0636604774535809	8.999161	5.857751	1
SOX17	0.14959626	0.34915707	0.3979591836734694	0.09772125	0.10344827586206896	-1.8360693	5.4867554	1
HEY1	0.43918088	0.2165052	0.2755102040816326	0.49706426	0.4509283819628647	1.1986548	7.4014945	1
EXT1	0.62012553	0.90492576	0.7857142857142857	0.5460929	0.5145888594164456	-0.7285482	6.2118287	1
MTSS1	0.23460014	0.08859902	0.11224489795918367	0.27255273	0.2864721485411141	1.6200745	6.349851	1
ANXA1	1.0740831	1.4145415	0.8673469387755102	0.98558253	0.6870026525198939	-0.5212415	6.0318084	1
PAPPA	0.73510396	1.2038534	0.6938775510204082	0.61325514	0.46153846153846156	-0.97298497	6.704301	1
