gene	mean	HO_mean	HO_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
HSPG2	0.067483366	0.02315285	0.005208333333333333	0.19173843	0.043795620437956206	3.0444124	2.573448	0
FHL2	0.7878474	0.54485995	0.12239583333333333	1.4689091	0.29927007299270075	1.4306213	8.973516	1
COL3A1	1.0453442	1.3802596	0.2799479166666667	0.10658081	0.021897810218978103	-3.6936717	39.30153	1
LAMB2	0.23109788	0.16523448	0.0390625	0.4157009	0.08394160583941605	1.3305053	2.2825055	0
MYLK	0.34161767	0.45011285	0.1015625	0.037522838	0.0072992700729927005	-3.5809264	12.633828	1
C7	0.095535144	0.1296196	0.028645833333333332	-1.382432e-10	0.0	-10.341183	5.5267005	1
VCAN	0.16857567	0.22215047	0.048177083333333336	0.018403169	0.0036496350364963502	-3.5863423	6.2485156	1
PDGFRB	0.14834912	0.018365644	0.00390625	0.5126822	0.10583941605839416	4.7954307	6.844238	1
CCN2	0.3643024	0.46939003	0.09505208333333333	0.06975862	0.014598540145985401	-2.7485845	9.407627	1
COL1A2	0.6816987	0.90652454	0.18359375	0.051508162	0.010948905109489052	-4.1348343	26.991274	1
SFRP1	0.6839777	0.92255574	0.20572916666666666	0.015240761	0.0036496350364963502	-5.9103503	36.361366	1
ACTA2	0.3584769	0.46998453	0.10807291666666667	0.045938406	0.010948905109489052	-3.3520105	13.157834	1
TAGLN	0.25793478	0.3370031	0.07161458333333333	0.036320973	0.0072992700729927005	-3.2103484	8.265802	1
DCN	0.19376943	0.2628983	0.0546875	-1.382432e-10	0.0	-11.36084	10.162967	1
KCTD12	0.04439464	9.458745e-10	0.0	0.16882923	0.0364963503649635	10.72219	2.7692401	0
TIMP3	0.039194964	9.458745e-10	0.0	0.1490553	0.032846715328467155	10.542586	2.5394273	0
