gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EC	EP	FB	PR	UN
CXCL13	O43927	False	CXL13_HUMAN		CPI-SS083B5EBAB	CXCL13	0.0	0.0	0.0	0.0	0.003	0.0
CXCL2	P19875	False	CXCL2_HUMAN		CPI-SS0F562FEA5	CXCL2	0.0	0.008	0.062	0.007	0.002	0.0
CXCL3	P19876	False	CXCL3_HUMAN		CPI-SS09185EA8F	CXCL3	0.001	0.009	0.0	0.008	0.001	0.0
CXCL6	P80162	False	CXCL6_HUMAN		CPI-SS093B46106	CXCL6	0.0	0.0	0.0	0.002	0.004	0.0
CXCL8	P10145	False	IL8_HUMAN		CPI-SS0315F51DD	CXCL8	0.001	0.038	0.0	0.009	0.0	0.0
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0A28DCA72	CXCL12	0.154	0.013	0.034	0.159	0.286	0.07
CXCL14	O95715	False	CXL14_HUMAN		CPI-SS0669CC233	CXCL14	0.008	0.006	0.057	0.022	0.009	0.032
CXCL13	O43927	False	CXL13_HUMAN		CPI-SS0C2437E0D	CXCL13	0.0	0.0	0.0	0.0	0.003	0.0
C3	P01024	False	CO3_HUMAN		CPI-SS00F4019EA	C3	0.002	0.0	0.804	0.0	0.0	0.005
IHH	Q14623	False	IHH_HUMAN		CPI-SS055233B99	IHH	0.0	0.0	0.077	0.0	0.0	0.0
SHH	Q15465	False	SHH_HUMAN		CPI-SS0F7A89A4F	SHH	0.0	0.0	0.048	0.0	0.0	0.0
EDN1	P05305	False	EDN1_HUMAN		CPI-SS0D8632EB4	EDN1	0.002	0.061	0.0	0.022	0.002	0.0
EDN3	P14138	False	EDN3_HUMAN		CPI-SS03D5CBF55	EDN3	0.0	0.0	0.0	0.0	0.02	0.0
EDN1	P05305	False	EDN1_HUMAN		CPI-SS09B92F236	EDN1	0.002	0.061	0.0	0.022	0.002	0.0
EDN3	P14138	False	EDN3_HUMAN		CPI-SS0696491A3	EDN3	0.0	0.0	0.0	0.0	0.02	0.0
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS087E0E3FB	EFNB2	0.074	0.582	0.045	0.1	0.563	0.039
AREG	P15514	False	AREG_HUMAN		CPI-SS052119104	AREG	0.138	0.223	0.713	0.125	0.012	0.054
EGF	P01133	False	EGF_HUMAN		CPI-SS09947DDD9	EGF	0.039	0.022	0.0	0.015	0.0	0.044
LGALS3	P17931	False	LEG3_HUMAN		CPI-SS076940BCD	LGALS3	0.749	0.083	1.136	0.509	0.475	0.218
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0E23CEB91	LGALS9	0.002	0.007	0.009	0.008	0.007	0.005
LRRC4C	Q9HCJ2	False	LRC4C_HUMAN		CPI-SS00373B59C	LRRC4C	0.005	0.006	0.005	0.037	0.321	0.0
LRFN5	Q96NI6	False	LRFN5_HUMAN		CPI-SS0CBB9D57D	LRFN5	0.008	0.011	0.01	0.075	0.217	0.013
NPPA	P01160	False	ANF_HUMAN		CPI-SS032AD1183	NPPA	0.299	0.008	0.019	0.004	0.015	0.118
CNTN1	Q12860	False	CNTN1_HUMAN		CPI-SS0A6FCBF7C	CNTN1	0.011	0.0	0.005	0.003	0.112	0.003
DLK1	P80370	False	DLK1_HUMAN		CPI-SS0FC612D4D	DLK1	0.073	0.235	1.914	2.442	0.941	0.144
DLL4	Q9NR61	False	DLL4_HUMAN		CPI-SS0AFCA0602	DLL4	0.001	0.371	0.01	0.0	0.005	0.007
JAG1	P78504	False	JAG1_HUMAN		CPI-SS052ADA696	JAG1	0.16	0.357	0.036	0.396	0.388	0.131
CNTN1	Q12860	False	CNTN1_HUMAN		CPI-SS0730D1EF3	CNTN1	0.011	0.0	0.005	0.003	0.112	0.003
CNTN1	Q12860	False	CNTN1_HUMAN		CPI-SS0BDC912F3	CNTN1	0.011	0.0	0.005	0.003	0.112	0.003
PENK	P01210	False	PENK_HUMAN		CPI-SS0D1EF9598	PENK	0.007	0.0	0.0	0.522	0.059	0.018
ADCYAP1	P18509	False	PACA_HUMAN		CPI-SS062DED513	ADCYAP1	0.0	0.0	0.0	0.002	0.002	0.003
VIP	P01282	False	VIP_HUMAN		CPI-SS0C8A09915	VIP	0.0	0.009	0.0	0.002	0.03	0.0
PGF	P49763	False	PLGF_HUMAN		CPI-SS07361522F	PGF	0.02	0.425	0.04	0.102	0.263	0.004
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0B9B3870A	VEGFA	1.049	0.269	1.096	1.4	0.228	1.199
PGF	P49763	False	PLGF_HUMAN		CPI-SC0B51DC960	PGF	0.02	0.425	0.04	0.102	0.263	0.004
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SC0AFC650CD	VEGFA	1.049	0.269	1.096	1.4	0.228	1.199
PGF	P49763	False	PLGF_HUMAN		CPI-SS01790830C	PGF	0.02	0.425	0.04	0.102	0.263	0.004
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS043E22BF5	VEGFA	1.049	0.269	1.096	1.4	0.228	1.199
PGF	P49763	False	PLGF_HUMAN		CPI-SS065D9259F	PGF	0.02	0.425	0.04	0.102	0.263	0.004
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS046F8AD8B	VEGFA	1.049	0.269	1.096	1.4	0.228	1.199
PLAU	P00749	False	UROK_HUMAN		CPI-SS036B08188	PLAU	0.009	0.494	0.004	0.105	0.007	0.012
PDGFA	P04085	False	PDGFA_HUMAN		CPI-SS0B70EB09E	PDGFA	0.056	0.543	0.081	0.209	0.419	0.025
NPY	P01303	False	NPY_HUMAN		CPI-SS0666DE74B	NPY	0.002	0.0	0.002	0.097	0.0	0.003
GNRH1	P01148	False	GON1_HUMAN		CPI-SS0D9EFC4F7	GNRH1	0.003	0.009	0.004	0.006	0.009	0.005
GNRH2	O43555	False	GON2_HUMAN		CPI-SS0D9BC4188	GNRH2	0.002	0.002	0.168	0.0	0.001	0.005
RELN	P78509	False	RELN_HUMAN		CPI-SS0AD2A36FE	RELN	0.002	0.0	0.004	0.02	0.012	0.007
SEMA3E	O15041	False	SEM3E_HUMAN		CPI-SS0F3A089DE	SEMA3E	0.01	0.011	0.0	0.014	0.055	0.014
SEMA4A	Q9H3S1	False	SEM4A_HUMAN		CPI-SS044C72D0D	SEMA4A	0.008	0.006	0.0	0.008	0.003	0.011
CORT	O00230	False	CORT_HUMAN		CPI-SS0C272BD3D	CORT	0.008	0.005	0.0	0.004	0.007	0.005
SHH	Q15465	False	SHH_HUMAN		CPI-SC054175DCB	SHH	0.0	0.0	0.048	0.0	0.0	0.0
THY1	P04216	False	THY1_HUMAN		CPI-SS0F0492F71	THY1	0.035	1.389	0.035	0.67	1.709	0.133
TNFSF10	P50591	False	TNF10_HUMAN		CPI-SS085A1A34C	TNFSF10	0.001	0.3	0.099	0.006	0.006	0.011
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0C03F7CDC	VEGFA	1.049	0.269	1.096	1.4	0.228	1.199
WNT2	P09544	False	WNT2_HUMAN		CPI-SS09F9914EE	WNT2	0.059	0.0	0.003	0.0	0.001	0.026
WNT2	P09544	False	WNT2_HUMAN		CPI-SS02704D1B8	WNT2	0.059	0.0	0.003	0.0	0.001	0.026
WNT2	P09544	False	WNT2_HUMAN		CPI-SS01E6C2BB8	WNT2	0.059	0.0	0.003	0.0	0.001	0.026
WNT2	P09544	False	WNT2_HUMAN		CPI-SS0C95AC883	WNT2	0.059	0.0	0.003	0.0	0.001	0.026
WNT2	P09544	False	WNT2_HUMAN		CPI-SS001BD48FB	WNT2	0.059	0.0	0.003	0.0	0.001	0.026
ESAM	Q96AP7	False	ESAM_HUMAN		CPI-SS04C672963	ESAM	0.008	1.572	0.011	0.083	0.175	0.025
NELL2	Q99435	False	NELL2_HUMAN		CPI-SS02B2C16ED	NELL2	0.009	0.0	0.0	0.003	0.019	0.0
PECAM1	P16284	False	PECA1_HUMAN		CPI-SS0E0DEA7D5	PECAM1	0.008	1.774	0.014	0.013	0.004	0.049
FLT1	P17948	True	VGFR1_HUMAN	FLT1_complex	CPI-SC0B51DC960	FLT1	0.048	1.689	0.025	0.16	0.044	0.132
FLT1	P17948	True	VGFR1_HUMAN	FLT1_complex	CPI-SC0AFC650CD	FLT1	0.048	1.689	0.025	0.16	0.044	0.132
KDR	P35968	True	VGFR2_HUMAN	FLT1_complex	CPI-SC0B51DC960	KDR	0.048	1.689	0.025	0.16	0.044	0.132
KDR	P35968	True	VGFR2_HUMAN	FLT1_complex	CPI-SC0AFC650CD	KDR	0.048	1.689	0.025	0.16	0.044	0.132
PTCH2	Q9Y6C5	True	PTC2_HUMAN	PTCH2_GAS1_transmembrane_receptor	CPI-SC054175DCB	PTCH2	0.002	0.0	0.0	0.0	0.005	0.006
GAS1	P54826	True	GAS1_HUMAN	PTCH2_GAS1_transmembrane_receptor	CPI-SC054175DCB	GAS1	0.002	0.0	0.0	0.0	0.005	0.006
SELE	P16581	False	LYAM2_HUMAN		CPI-SS06F83AE58	SELE	0.0	0.006	0.0	0.0	0.001	0.0
F2RL3	Q96RI0	False	PAR4_HUMAN		CPI-SS0BDC2B411	F2RL3	0.009	0.164	0.0	0.028	0.002	0.021
THBD	P07204	False	TRBM_HUMAN		CPI-SS09B583B3F	THBD	0.002	0.327	0.003	0.02	0.001	0.009
CD36	P16671	False	CD36_HUMAN		CPI-SS0C93E48D7	CD36	0.008	0.007	0.004	0.002	0.18	0.014
ADORA2A	P29274	False	AA2AR_HUMAN		CPI-SS0E90C46BC	ADORA2A	0.011	0.229	0.027	0.058	0.007	0.017
NR1H4	Q96RI1	False	NR1H4_HUMAN		CPI-CS019C00E02	NR1H4	0.0	0.0	0.306	0.0	0.001	0.0
ABCA1	O95477	False	ABCA1_HUMAN		CPI-SS015B29D3F	ABCA1	0.092	0.122	0.193	0.35	0.145	0.062
NTRK2	Q16620	False	NTRK2_HUMAN		CPI-SS0BA601DC4	NTRK2	0.008	0.002	0.011	0.179	0.168	0.019
ACKR4	Q9NPB9	False	ACKR4_HUMAN		CPI-SS0ECD9BB5E	ACKR4	0.003	0.006	0.0	0.013	0.003	0.009
ACKR4	Q9NPB9	False	ACKR4_HUMAN		CPI-SS083B5EBAB	ACKR4	0.003	0.006	0.0	0.013	0.003	0.009
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS0F562FEA5	CXCR2	0.0	0.0	0.0	0.005	0.0	0.005
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS09185EA8F	CXCR2	0.0	0.0	0.0	0.005	0.0	0.005
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS093B46106	CXCR2	0.0	0.0	0.0	0.005	0.0	0.005
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS0315F51DD	CXCR2	0.0	0.0	0.0	0.005	0.0	0.005
CXCR4	P61073	False	CXCR4_HUMAN		CPI-SS0A28DCA72	CXCR4	0.011	0.679	0.004	0.161	0.04	0.017
CXCR4	P61073	False	CXCR4_HUMAN		CPI-SS0669CC233	CXCR4	0.011	0.679	0.004	0.161	0.04	0.017
CXCR5	P32302	False	CXCR5_HUMAN		CPI-SS0C2437E0D	CXCR5	0.002	0.003	0.007	0.005	0.001	0.008
RORA	P35398	False	RORA_HUMAN		CPI-CS0406B0B69	RORA	0.275	0.254	0.316	0.253	0.215	0.219
C5AR2	Q9P296	False	C5AR2_HUMAN		CPI-SS00F4019EA	C5AR2	0.001	0.005	0.0	0.0	0.002	0.007
HHIP	Q96QV1	False	HHIP_HUMAN		CPI-SS055233B99	HHIP	0.002	0.02	0.0	0.018	0.001	0.014
HHIP	Q96QV1	False	HHIP_HUMAN		CPI-SS0F7A89A4F	HHIP	0.002	0.02	0.0	0.018	0.001	0.014
EDNRA	P25101	False	EDNRA_HUMAN		CPI-SS0D8632EB4	EDNRA	0.123	0.025	0.005	0.166	1.049	0.043
EDNRA	P25101	False	EDNRA_HUMAN		CPI-SS03D5CBF55	EDNRA	0.123	0.025	0.005	0.166	1.049	0.043
EDNRB	P24530	False	EDNRB_HUMAN		CPI-SS09B92F236	EDNRB	0.012	0.428	0.0	0.175	0.025	0.01
EDNRB	P24530	False	EDNRB_HUMAN		CPI-SS0696491A3	EDNRB	0.012	0.428	0.0	0.175	0.025	0.01
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS087E0E3FB	EPHA4	0.335	0.02	0.028	0.022	0.19	0.184
EGFR	P00533	False	EGFR_HUMAN		CPI-SS052119104	EGFR	0.005	0.009	0.346	0.231	0.314	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS09947DDD9	EGFR	0.005	0.009	0.346	0.231	0.314	0.0
MERTK	Q12866	False	MERTK_HUMAN		CPI-SS076940BCD	MERTK	0.014	0.019	0.027	0.011	0.034	0.017
HAVCR2	Q8TDQ0	False	HAVR2_HUMAN		CPI-SS0E23CEB91	HAVCR2	0.001	0.024	0.0	0.0	0.001	0.004
PTPRF	P10586	False	PTPRF_HUMAN		CPI-SS00373B59C	PTPRF	0.219	0.095	0.272	0.202	0.105	0.151
PTPRF	P10586	False	PTPRF_HUMAN		CPI-SS0CBB9D57D	PTPRF	0.219	0.095	0.272	0.202	0.105	0.151
CYSLTR2	Q9NS75	False	CLTR2_HUMAN		CPI-CS077A507B6	CYSLTR2	0.0	0.0	0.01	0.0	0.023	0.0
NPR1	P16066	False	ANPRA_HUMAN		CPI-SS032AD1183	NPR1	0.002	0.172	0.0	0.189	0.05	0.014
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0A6FCBF7C	NOTCH1	0.021	0.336	0.04	0.178	0.213	0.02
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0FC612D4D	NOTCH1	0.021	0.336	0.04	0.178	0.213	0.02
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0AFCA0602	NOTCH1	0.021	0.336	0.04	0.178	0.213	0.02
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS052ADA696	NOTCH1	0.021	0.336	0.04	0.178	0.213	0.02
MCAM	P43121	False	MUC18_HUMAN		CPI-SS0730D1EF3	MCAM	0.161	0.984	0.026	0.088	0.611	0.101
NRCAM	Q92823	False	NRCAM_HUMAN		CPI-SS0BDC912F3	NRCAM	0.01	0.111	0.003	0.029	0.008	0.009
OPRK1	P41145	False	OPRK_HUMAN		CPI-SS0D1EF9598	OPRK1	0.0	0.002	0.0	0.003	0.011	0.0
VIPR1	P32241	False	VIPR1_HUMAN		CPI-SS062DED513	VIPR1	0.001	0.001	0.008	0.024	0.0	0.006
VIPR1	P32241	False	VIPR1_HUMAN		CPI-SS0C8A09915	VIPR1	0.001	0.001	0.008	0.024	0.0	0.006
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS07361522F	FLT1	0.048	2.943	0.082	0.456	0.363	0.177
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0B9B3870A	FLT1	0.048	2.943	0.082	0.456	0.363	0.177
NRP1	O14786	False	NRP1_HUMAN		CPI-SS01790830C	NRP1	0.358	1.103	0.085	0.437	0.359	0.212
NRP1	O14786	False	NRP1_HUMAN		CPI-SS043E22BF5	NRP1	0.358	1.103	0.085	0.437	0.359	0.212
NRP2	O60462	False	NRP2_HUMAN		CPI-SS065D9259F	NRP2	0.27	1.355	0.099	0.196	0.735	0.234
NRP2	O60462	False	NRP2_HUMAN		CPI-SS046F8AD8B	NRP2	0.27	1.355	0.099	0.196	0.735	0.234
PLAUR	Q03405	False	UPAR_HUMAN		CPI-SS036B08188	PLAUR	0.024	0.695	0.058	0.4	0.024	0.025
PDGFRA	P16234	False	PGFRA_HUMAN		CPI-SS0B70EB09E	PDGFRA	0.055	0.05	0.016	0.525	0.871	0.043
NPY1R	P25929	False	NPY1R_HUMAN		CPI-SS0666DE74B	NPY1R	0.056	0.005	0.003	0.011	0.258	0.003
GNRHR	P30968	False	GNRHR_HUMAN		CPI-SS0D9EFC4F7	GNRHR	0.0	0.0	0.0	0.0	0.0	0.004
GNRHR	P30968	False	GNRHR_HUMAN		CPI-SS0D9BC4188	GNRHR	0.0	0.0	0.0	0.0	0.0	0.004
PTGER4	P35408	False	PE2R4_HUMAN		CPI-CS023F349AF	PTGER4	0.001	0.014	0.0	0.019	0.043	0.005
LRP8	Q14114	False	LRP8_HUMAN		CPI-SS0AD2A36FE	LRP8	0.074	0.062	0.009	0.024	0.012	0.054
RORB	Q92753	False	RORB_HUMAN		CPI-CS08EE9E5CE	RORB	0.0	0.007	0.0	0.114	0.002	0.012
RORB	Q92753	False	RORB_HUMAN		CPI-CS033058D2B	RORB	0.0	0.007	0.0	0.114	0.002	0.012
RORB	Q92753	False	RORB_HUMAN		CPI-CS0C61C245A	RORB	0.0	0.007	0.0	0.114	0.002	0.012
PLXND1	Q9Y4D7	False	PLXD1_HUMAN		CPI-SS0F3A089DE	PLXND1	0.11	1.1	0.024	0.236	0.286	0.085
PLXND1	Q9Y4D7	False	PLXD1_HUMAN		CPI-SS044C72D0D	PLXND1	0.11	1.1	0.024	0.236	0.286	0.085
SSTR2	P30874	False	SSR2_HUMAN		CPI-SS0C272BD3D	SSTR2	0.003	0.001	0.071	0.007	0.005	0.004
ADGRE2	Q9UHX3	False	AGRE2_HUMAN		CPI-SS0F0492F71	ADGRE2	0.001	0.008	0.0	0.006	0.003	0.004
TNFRSF10A	O00220	False	TR10A_HUMAN		CPI-SS085A1A34C	TNFRSF10A	0.002	0.138	0.01	0.005	0.003	0.005
KDR	P35968	False	VGFR2_HUMAN		CPI-SS0C03F7CDC	KDR	0.273	1.689	0.025	0.16	0.044	0.132
CER1	O95813	False	CER1_HUMAN		CPI-SS09F9914EE	CER1	0.001	0.0	0.0	0.006	0.004	0.004
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS02704D1B8	FRZB	0.238	0.012	0.01	0.088	0.405	0.071
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS01E6C2BB8	SFRP1	1.358	0.339	0.216	0.979	1.619	0.48
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS0C95AC883	SFRP2	0.002	0.002	0.0	0.011	0.129	0.0
SFRP5	Q5T4F7	False	SFRP5_HUMAN		CPI-SS001BD48FB	SFRP5	0.005	0.0	0.0	0.0	0.0	0.009
ROBO3	Q96MS0	False	ROBO3_HUMAN		CPI-SS02B2C16ED	ROBO3	0.006	0.031	0.014	0.031	0.021	0.011
CD38	P28907	False	CD38_HUMAN		CPI-SS0E0DEA7D5	CD38	0.0	0.0	0.0	0.006	0.0	0.0
