gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EC	EP	FB	PR	UN
HSD17B6	O14756	True	H17B6_HUMAN	Androsterone_byHSD17B6	CPI-CS019C00E02	HSD17B6	0.002	0.0	0.0	0.004	0.002	0.008
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CS08EE9E5CE	ALDH1A1	0.003	0.003	1.242	0.0	0.044	0.005
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CS033058D2B	ALDH1A2	0.009	0.014	0.004	0.012	0.633	0.004
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CS0C61C245A	ALDH1A3	0.0	0.0	0.0	0.006	0.011	0.0
LIPA	P38571	True	LICH_HUMAN	Cholesterol_byLIPA	CPI-CS0406B0B69	LIPA	0.027	0.831	0.109	0.434	0.144	0.032
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS023F349AF	PTGES	0.004	0.0	0.018	0.042	0.029	0.004
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS077A507B6	LTC4S	0.031	0.002	0.046	0.01	0.005	0.027
CDH5	P33151	False	CADH5_HUMAN		CPI-SS00C24ED50	CDH5	0.005	1.307	0.0	0.012	0.004	0.017
CDH6	P55285	False	CADH6_HUMAN		CPI-SS0C53F7672	CDH6	0.003	0.0	0.03	0.024	0.02	0.004
CDH7	Q9ULB5	False	CADH7_HUMAN		CPI-SS0BE3D537D	CDH7	0.012	0.016	0.005	0.061	0.23	0.008
CD44	P16070	False	CD44_HUMAN		CPI-SS06F83AE58	CD44	0.016	0.242	0.072	0.148	0.089	0.026
GJA1	P17302	False	CXA1_HUMAN		CPI-SS04829AC68	GJA1	0.177	1.073	0.034	0.556	0.137	0.097
F2	P00734	False	THRB_HUMAN		CPI-SS0BDC2B411	F2	0.0	0.0	0.832	0.0	0.0	0.0
F2	P00734	False	THRB_HUMAN		CPI-SS09B583B3F	F2	0.0	0.0	0.832	0.0	0.0	0.0
THBS1	P07996	False	TSP1_HUMAN		CPI-SS0C93E48D7	THBS1	0.03	0.26	0.012	0.217	0.135	0.014
ENTPD1	P49961	False	ENTP1_HUMAN		CPI-SS0E90C46BC	ENTPD1	0.008	0.305	0.0	0.126	0.146	0.016
APOA1	P02647	False	APOA1_HUMAN		CPI-SS015B29D3F	APOA1	0.188	0.021	2.192	0.026	0.02	0.06
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0BA601DC4	BDNF	0.006	0.017	0.0	0.016	0.187	0.008
CCL21	O00585	False	CCL21_HUMAN		CPI-SS0ECD9BB5E	CCL21	0.177	0.038	0.043	0.543	0.009	0.037
