id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EC	CM|EP	CM|FB	CM|PR	CM|UN	EC|CM	EC|EC	EC|EP	EC|FB	EC|PR	EC|UN	EP|CM	EP|EC	EP|EP	EP|FB	EP|PR	EP|UN	FB|CM	FB|EC	FB|EP	FB|FB	FB|PR	FB|UN	PR|CM	PR|EC	PR|EP	PR|FB	PR|PR	PR|UN	UN|CM	UN|EC	UN|EP	UN|FB	UN|PR	UN|UN
CPI-SS00C24ED50	CDH5_CDH5	simple:P33151	simple:P33151	CDH5	CDH5	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.005	0.656	0.0	0.008	0.004	0.011	0.656	1.307	0.0	0.659	0.656	0.662	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.659	0.0	0.012	0.008	0.014	0.004	0.656	0.0	0.008	0.004	0.011	0.011	0.662	0.0	0.014	0.011	0.017
CPI-SS0C53F7672	CDH6_CDH6	simple:P55285	simple:P55285	CDH6	CDH6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.003	0.0	0.016	0.014	0.011	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.03	0.027	0.025	0.017	0.014	0.0	0.027	0.024	0.022	0.014	0.011	0.0	0.025	0.022	0.02	0.012	0.004	0.0	0.017	0.014	0.012	0.004
CPI-SS0BE3D537D	CDH7_CDH7	simple:Q9ULB5	simple:Q9ULB5	CDH7	CDH7	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.012	0.014	0.009	0.037	0.121	0.01	0.014	0.016	0.01	0.038	0.123	0.012	0.009	0.01	0.005	0.033	0.117	0.007	0.037	0.038	0.033	0.061	0.145	0.034	0.121	0.123	0.117	0.145	0.23	0.119	0.01	0.012	0.007	0.034	0.119	0.008
CPI-SS06F83AE58	CD44_SELE	simple:P16070	simple:P16581	CD44	SELE	False	True	False	curated	False	Ligand-Receptor		0.0	0.011	0.0	0.0	0.008	0.0	0.0	0.124	0.0	0.0	0.121	0.0	0.0	0.039	0.0	0.0	0.036	0.0	0.0	0.077	0.0	0.0	0.074	0.0	0.0	0.047	0.0	0.0	0.045	0.0	0.0	0.016	0.0	0.0	0.014	0.0
CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	False	False	False	curated	False	Gap-Gap	Adhesion by GAP junction	0.177	0.625	0.106	0.367	0.157	0.137	0.625	1.073	0.553	0.814	0.605	0.585	0.106	0.553	0.034	0.295	0.086	0.065	0.367	0.814	0.295	0.556	0.346	0.326	0.157	0.605	0.086	0.346	0.137	0.117	0.137	0.585	0.065	0.326	0.117	0.097
CPI-SS0BDC2B411	F2_F2RL3	simple:P00734	simple:Q96RI0	F2	F2RL3	True	False	True	curated	False	Ligand-Receptor	Adhesion by Prothrombin	0.005	0.082	0.0	0.014	0.001	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.498	0.0	0.43	0.417	0.427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS09B583B3F	F2_THBD	simple:P00734	simple:P07204	F2	THBD	True	False	True	curated	False	Ligand-Receptor	Adhesion by Prothrombin	0.001	0.164	0.002	0.01	0.001	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.417	0.58	0.418	0.426	0.417	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0C93E48D7	THBS1_CD36	simple:P07996	simple:P16671	THBS1	CD36	False	False	True	curated	False	Ligand-Receptor	Signaling by Thrombospondin precursor	0.019	0.019	0.017	0.016	0.105	0.022	0.134	0.133	0.132	0.131	0.22	0.137	0.01	0.01	0.008	0.007	0.096	0.013	0.112	0.112	0.11	0.109	0.198	0.115	0.072	0.071	0.07	0.068	0.158	0.074	0.011	0.011	0.009	0.008	0.097	0.014
CPI-SS0E90C46BC	ENTPD1_ADORA2A	simple:P49961	simple:P29274	ENTPD1	ADORA2A	False	False	True	curated	False	Ligand-Receptor	Signaling by Ectonucleoside	0.009	0.118	0.017	0.033	0.007	0.012	0.158	0.267	0.166	0.181	0.156	0.161	0.0	0.0	0.0	0.0	0.0	0.0	0.068	0.177	0.076	0.092	0.066	0.071	0.079	0.187	0.087	0.102	0.076	0.081	0.014	0.122	0.022	0.037	0.011	0.017
CPI-CS019C00E02	Androsterone_byHSD17B6_NR1H4	complex:Androsterone_byHSD17B6	simple:Q96RI1		NR1H4	True	False	True	curated	False	Ligand-Receptor	Signaling by Steroids	0.0	0.0	0.154	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.155	0.0	0.003	0.0	0.0	0.0	0.154	0.0	0.001	0.0	0.0	0.0	0.157	0.0	0.005	0.0
