gene	mean	Fus-HO_mean	Fus-HO_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
MIR1302-2HG	1.2223609e-09	4.5838533e-10	0.0	9.385985e-10	0.0	6.8792897e-06	30.978191	0
FAM138A	1.2223609e-09	4.5838533e-10	0.0	9.385985e-10	0.0	6.8792897e-06	30.978191	0
OR4F5	1.2223609e-09	4.5838533e-10	0.0	9.385985e-10	0.0	6.8792897e-06	30.978191	0
AL627309.1	1.2223609e-09	4.5838533e-10	0.0	9.385985e-10	0.0	6.8792897e-06	30.978191	0
AL627309.3	1.2223609e-09	4.5838533e-10	0.0	9.385985e-10	0.0	6.8792897e-06	30.978191	0
AL627309.2	1.2223609e-09	4.5838533e-10	0.0	9.385985e-10	0.0	6.8792897e-06	30.978191	0
AL627309.5	0.021677125	0.017763173	0.01511879049676026	0.024068164	0.021108179419525065	0.43611944	0.31200475	0
AL627309.4	0.0015705056	0.0026173296	0.0021598272138228943	0.0009311174	0.0013192612137203166	-1.397981	0.26432264	0
AP006222.2	1.2223609e-09	4.5838533e-10	0.0	9.385985e-10	0.0	6.8792897e-06	30.978191	0
AL732372.1	1.2223609e-09	4.5838533e-10	0.0	9.385985e-10	0.0	6.8792897e-06	30.978191	0
OR4F29	1.2223609e-09	4.5838533e-10	0.0	9.385985e-10	0.0	6.8792897e-06	30.978191	0
AC114498.1	1.2223609e-09	4.5838533e-10	0.0	9.385985e-10	0.0	6.8792897e-06	30.978191	0
OR4F16	1.2223609e-09	4.5838533e-10	0.0	9.385985e-10	0.0	6.8792897e-06	30.978191	0
AL669831.2	0.002977269	0.0037663733	0.0021598272138228943	0.0024953661	0.002638522427440633	-0.57504284	0.11918137	0
LINC01409	0.052202262	0.04706079	0.0367170626349892	0.05534312	0.05013192612137203	0.23342058	0.2438883	0
FAM87B	0.00043557334	4.5838533e-10	0.0	0.0007016284	0.0013192612137203166	3.002927	0.4980789	0
LINC01128	0.091468066	0.07861345	0.06263498920086392	0.09932007	0.08575197889182058	0.33692682	0.5670342	0
LINC00115	0.012382032	0.013577337	0.01079913606911447	0.011651788	0.011873350923482849	-0.21890718	0.10155424	0
FAM41C	0.0006666099	4.5838533e-10	0.0	0.0010737862	0.0013192612137203166	3.553091	0.49808055	0
AL645608.6	1.2223609e-09	4.5838533e-10	0.0	9.385985e-10	0.0	6.8792897e-06	30.978191	0
AL645608.2	0.008246895	0.0040866947	0.004319654427645789	0.010787956	0.009234828496042216	1.3788496	0.70662796	0
AL645608.4	0.000989915	4.5838533e-10	0.0	0.0015945717	0.0013192612137203166	4.0828424	0.4980802	0
LINC02593	0.03932085	0.027818803	0.02591792656587473	0.046346825	0.03825857519788918	0.734343	0.92174935	0
SAMD11	0.26599845	0.23212162	0.15982721382289417	0.28669232	0.22427440633245382	0.3045041	1.01764	0
NOC2L	0.1953184	0.15562497	0.12742980561555076	0.21956144	0.18469656992084432	0.49628136	1.8413705	0
KLHL17	0.01647873	0.025327297	0.02159827213822894	0.01107432	0.010554089709762533	-1.1861911	0.9269902	0
PLEKHN1	0.0010620658	0.0028007983	0.0021598272138228943	9.385985e-10	0.0	-4.8583646	0.49780002	0
PERM1	1.2223609e-09	4.5838533e-10	0.0	9.385985e-10	0.0	6.8792897e-06	30.978191	0
AL645608.7	0.018955095	0.010577618	0.008639308855291577	0.024072418	0.01978891820580475	1.178772	0.99838674	0
HES4	1.165287	1.1804479	0.7019438444924406	1.1560206	0.7084432717678101	-0.03016471	0.20006524	0
ISG15	0.20424198	0.18748225	0.1511879049676026	0.21447586	0.18073878627968337	0.19396444	0.4904933	0
AL645608.1	1.2223609e-09	4.5838533e-10	0.0	9.385985e-10	0.0	6.8792897e-06	30.978191	0
AGRN	0.2511744	0.21073698	0.17062634989200864	0.2758742	0.22559366754617413	0.3884055	1.572978	0
AL645608.5	1.2223609e-09	4.5838533e-10	0.0	9.385985e-10	0.0	6.8792897e-06	30.978191	0
AL645608.8	1.2223609e-09	4.5838533e-10	0.0	9.385985e-10	0.0	6.8792897e-06	30.978191	0
RNF223	1.2223609e-09	4.5838533e-10	0.0	9.385985e-10	0.0	6.8792897e-06	30.978191	0
C1orf159	0.017352656	0.011405022	0.01079913606911447	0.020985695	0.01978891820580475	0.8740009	0.69493175	0
AL390719.3	1.2223609e-09	4.5838533e-10	0.0	9.385985e-10	0.0	6.8792897e-06	30.978191	0
LINC01342	1.2223609e-09	4.5838533e-10	0.0	9.385985e-10	0.0	6.8792897e-06	30.978191	0
AL390719.2	1.2223609e-09	4.5838533e-10	0.0	9.385985e-10	0.0	6.8792897e-06	30.978191	0
TTLL10-AS1	1.2223609e-09	4.5838533e-10	0.0	9.385985e-10	0.0	6.8792897e-06	30.978191	0
TTLL10	1.2223609e-09	4.5838533e-10	0.0	9.385985e-10	0.0	6.8792897e-06	30.978191	0
TNFRSF18	0.007750935	0.01190996	0.008639308855291577	0.005210418	0.00395778364116095	-1.1773341	0.4802783	0
TNFRSF4	0.0041681854	0.006908434	0.004319654427645789	0.0024943305	0.002638522427440633	-1.4337298	0.4019007	0
SDF4	0.44649217	0.45118245	0.3542116630669546	0.44362903	0.3562005277044855	-0.024351764	0.07620639	0
B3GALT6	0.13915892	0.1293928	0.10583153347732181	0.14512216	0.1279683377308707	0.16538961	0.30776837	0
C1QTNF12	0.032028787	0.035686553	0.028077753779697623	0.029795282	0.025065963060686015	-0.25949988	0.20366278	0
AL162741.1	0.0009858909	4.5838533e-10	0.0	0.00158809	0.0013192612137203166	4.0773134	0.49808586	0
UBE2J2	0.3210234	0.32492885	0.2591792656587473	0.3186414	0.26649076517150394	-0.02818143	0.071247205	0
LINC01786	0.0011272182	4.5838533e-10	0.0	0.0018157421	0.0013192612137203166	4.2598248	0.4980786	0
SCNN1D	0.004653067	0.0075962627	0.0064794816414686825	0.0028552366	0.002638522427440633	-1.3808844	0.47573823	0
ACAP3	0.11405225	0.11335352	0.09287257019438445	0.11447859	0.09894459102902374	0.014236079	0.018737262	0
PUSL1	0.09220414	0.08272136	0.06911447084233262	0.097996525	0.08047493403693931	0.24419919	0.36931604	0
INTS11	0.19565482	0.17004453	0.1447084233261339	0.21129528	0.17282321899736147	0.31318238	0.9361141	0
AL139287.1	1.2223609e-09	4.5838533e-10	0.0	9.385985e-10	0.0	6.8792897e-06	30.978191	0
CPTP	0.071322605	0.058167335	0.04967602591792657	0.07935829	0.06596306068601583	0.44751036	0.7037952	0
TAS1R3	0.0019571267	0.0023708106	0.0021598272138228943	0.0017044356	0.0013192612137203166	-0.45343682	0.086436875	0
DVL1	0.07647128	0.066129185	0.058315334773218146	0.08278855	0.06860158311345646	0.32370573	0.4871929	0
