gene	mean	VO_mean	VO_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
MIR1302-2HG	5.980837e-09	5.173206e-09	0.0	9.385985e-10	0.0	-6.105513e-05	44.55244	0
FAM138A	5.980837e-09	5.173206e-09	0.0	9.385985e-10	0.0	-6.105513e-05	44.55244	0
OR4F5	5.980837e-09	5.173206e-09	0.0	9.385985e-10	0.0	-6.105513e-05	44.55244	0
AL627309.1	0.0015615366	0.0016819622	0.0012202562538133007	9.385985e-10	0.0	-4.155381	3.209493	0
AL627309.3	5.980837e-09	5.173206e-09	0.0	9.385985e-10	0.0	-6.105513e-05	44.55244	0
AL627309.2	5.980837e-09	5.173206e-09	0.0	9.385985e-10	0.0	-6.105513e-05	44.55244	0
AL627309.5	0.013776913	0.012983156	0.010270490136261948	0.024068164	0.021108179419525065	0.88539726	1.1326121	0
AL627309.4	0.0011010816	0.0011141724	0.0007118161480577588	0.0009311174	0.0013192612137203166	-0.23576458	0.06644964	0
AP006222.2	5.980837e-09	5.173206e-09	0.0	9.385985e-10	0.0	-6.105513e-05	44.55244	0
AL732372.1	5.980837e-09	5.173206e-09	0.0	9.385985e-10	0.0	-6.105513e-05	44.55244	0
OR4F29	5.980837e-09	5.173206e-09	0.0	9.385985e-10	0.0	-6.105513e-05	44.55244	0
AC114498.1	0.00017250958	0.00018581442	0.0001016880211511084	9.385985e-10	0.0	-1.5150653	0.4983655	0
OR4F16	5.980837e-09	5.173206e-09	0.0	9.385985e-10	0.0	-6.105513e-05	44.55244	0
AL669831.2	0.0013213478	0.0012308456	0.0009151921903599756	0.0024953661	0.002638522427440633	0.963595	0.31341514	0
LINC01409	0.029341612	0.027338019	0.020032540166768354	0.05534312	0.05013192612137203	1.0148321	2.624388	0
FAM87B	0.00075715396	0.00076142343	0.000508440105755542	0.0007016284	0.0013192612137203166	-0.10378891	0.027356734	0
LINC01128	0.060663998	0.057682812	0.04382753711612772	0.09932007	0.08575197889182058	0.78289664	3.092797	0
LINC00115	0.010524265	0.010437419	0.008338417734390889	0.011651788	0.011873350923482849	0.15735881	0.114115335	0
FAM41C	0.0060783396	0.0064641517	0.004881025015253203	0.0010737862	0.0013192612137203166	-2.483439	3.7563682	0
AL645608.6	0.00030246092	0.00032576398	0.0002033760423022168	9.385985e-10	0.0	-2.0900404	0.7983844	0
AL645608.2	0.002715119	0.0020929324	0.0017286963595688429	0.010787956	0.009234828496042216	2.3117998	1.3609654	0
AL645608.4	0.00031922664	0.00022092962	0.0002033760423022168	0.0015945717	0.0013192612137203166	2.4005919	0.40706325	0
