gene	mean	HO_mean	HO_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
HOMER2	0.16080074	0.27451414	0.3622448979591837	0.11387925	0.13052631578947368	-1.2686347	5.780207	1
NMB	0.38429803	0.5869397	0.6377551020408163	0.3006774	0.32842105263157895	-0.9647621	9.002715	1
SEMA4B	0.15954855	0.30027622	0.34183673469387754	0.10148002	0.12210526315789473	-1.5641538	7.1243596	1
LINC01578	0.72022027	1.0344547	0.8826530612244898	0.5905611	0.5978947368421053	-0.80860746	17.683008	1
NR2F2	0.44816095	0.26042104	0.3112244897959184	0.52562845	0.4926315789473684	1.0129181	9.320629	1
MEF2A	0.63304895	0.84208655	0.7704081632653061	0.54679656	0.5431578947368421	-0.6228718	8.11593	1
NPW	0.23898992	0.37853932	0.40816326530612246	0.18140477	0.18736842105263157	-1.0608168	5.205577	1
PGP	0.46270105	0.31474882	0.3979591836734694	0.5237514	0.5494736842105263	0.7344983	6.9115095	1
TNFRSF12A	0.28729436	0.121709295	0.15816326530612246	0.35561922	0.32210526315789473	1.5461146	10.216835	1
PMM2	0.3029239	0.19317849	0.28061224489795916	0.34820732	0.40421052631578946	0.8496797	5.918233	1
RSL1D1	0.6493483	0.82603574	0.7755102040816326	0.57644355	0.5915789473684211	-0.51894933	6.6596665	1
ACSM3	0.099549554	0.01875411	0.03571428571428571	0.13288832	0.14105263157894737	2.8183486	9.7376	1
CDH11	0.9323944	0.67525303	0.6632653061224489	1.0384983	0.7557894736842106	0.620924	10.2594	1
CDH5	0.047174074	0.00574352	0.00510204081632653	0.064269684	0.07368421052631578	3.461472	5.3566494	1
NOL3	0.436587	0.66713864	0.6785714285714286	0.34145308	0.36	-0.9660931	10.612299	1
CDH13	0.62920135	0.48136935	0.5459183673469388	0.69020164	0.6189473684210526	0.5197831	5.024553	1
TUBB3	0.9218001	0.64135015	0.576530612244898	1.0375211	0.7642105263157895	0.6938707	10.14151	1
DEF8	0.28780693	0.16316244	0.22959183673469388	0.33923876	0.4063157894736842	1.0555332	7.892542	1
MYO1C	0.43624482	0.25309825	0.3520408163265306	0.51181716	0.5347368421052632	1.015643	11.658229	1
TAX1BP3	0.59267503	0.39014035	0.5051020408163265	0.6762478	0.6505263157894737	0.7934024	11.194694	1
PLSCR3	0.21744126	0.13221075	0.20408163265306123	0.2526096	0.32421052631578945	0.9335502	5.0860667	1
VAMP2	0.44182274	0.62329924	0.6836734693877551	0.36693922	0.4126315789473684	-0.76422226	8.098691	1
MYH10	1.124989	0.80374056	0.7397959183673469	1.2575443	0.8063157894736842	0.64574265	14.062155	1
MFAP4	0.16307734	0.41972026	0.39285714285714285	0.057178874	0.06947368421052631	-2.8736966	12.873025	1
WSB1	1.6188394	2.0505722	0.9795918367346939	1.4406903	0.9094736842105263	-0.5092364	21.497944	1
ALDOC	0.16518226	0.27427655	0.37755102040816324	0.120166674	0.15578947368421053	-1.1899202	5.8562865	1
CCL2	0.2408101	0.08493288	0.08163265306122448	0.30512974	0.24421052631578946	1.8438027	7.2698493	1
PCGF2	0.16199002	0.30629697	0.41836734693877553	0.10244466	0.14105263157894737	-1.5791495	9.603162	1
ACLY	0.36348575	0.20908982	0.3010204081632653	0.42719367	0.47368421052631576	1.0304153	9.625867	1
CAVIN1	0.58887583	0.21167736	0.28061224489795916	0.7445203	0.6	1.8139566	31.866802	1
NGFR	0.367049	0.20189996	0.20408163265306123	0.43519384	0.3705263157894737	1.1076345	7.212162	1
LRRC59	0.50454277	0.36315516	0.4744897959183674	0.5628849	0.5831578947368421	0.63211316	6.3050237	1
SCPEP1	0.39086995	0.53412807	0.6377551020408163	0.3317542	0.37473684210526315	-0.68690634	6.2755256	1
C17orf58	0.1508948	0.26969266	0.3673469387755102	0.10187527	0.13894736842105262	-1.4036318	7.4510164	1
SOX9-AS1	0.066313	0.16845816	0.22448979591836735	0.024165561	0.03368421052631579	-2.7962644	7.969582	1
SOX9	0.5043313	0.7898838	0.6989795918367347	0.38650477	0.3431578947368421	-1.0309638	12.26597	1
GPRC5C	0.38617623	0.5846644	0.5918367346938775	0.30426967	0.32210526315789473	-0.9420309	8.264447	1
TGIF1	0.16010179	0.29138738	0.3826530612244898	0.105929345	0.13473684210526315	-1.4589697	7.538214	1
ANKRD12	0.8442681	1.1293573	0.8724489795918368	0.72663295	0.6652631578947369	-0.6361325	12.275074	1
PIEZO2	0.41057023	0.25589383	0.29081632653061223	0.4743942	0.45263157894736844	0.89028144	6.5304003	1
TUBB6	0.62247074	0.39172292	0.47959183673469385	0.7176852	0.6357894736842106	0.8733505	12.035323	1
FAM210A	0.25783285	0.3843303	0.4846938775510204	0.20563307	0.24842105263157896	-0.90194833	5.9751034	1
RNMT	0.64297676	0.9231553	0.8214285714285714	0.5273697	0.5368421052631579	-0.80764145	13.532759	1
RIOK3	0.576488	0.76676875	0.7602040816326531	0.49797437	0.5010526315789474	-0.6226185	8.031422	1
CCBE1	0.107647434	0.22954865	0.23469387755102042	0.057347633	0.06315789473684211	-1.9991089	6.0735807	1
CDH19	0.17536621	0.33990502	0.37244897959183676	0.10747244	0.12	-1.6602474	8.011294	1
CCDC102B	0.5513341	0.34868562	0.336734693877551	0.63495415	0.5347368421052632	0.8645392	7.6409144	1
CNN2	0.45303753	0.28463966	0.39285714285714285	0.5225246	0.5368421052631579	0.8761317	9.376095	1
PLEKHJ1	0.4390169	0.31350738	0.4336734693877551	0.49080658	0.5326315789473685	0.6464891	5.7916718	1
TIMM13	0.88301456	0.68023056	0.7142857142857143	0.96668935	0.783157894736842	0.50696564	8.685858	1
CTXN1	0.1996041	0.101899154	0.1683673469387755	0.23991998	0.28210526315789475	1.2345973	7.082446	1
ANGPTL4	0.60232496	0.86520576	0.7295918367346939	0.493855	0.5073684210526316	-0.8088305	9.380953	1
HNRNPM	0.7224261	0.50908947	0.5816326530612245	0.8104558	0.7115789473684211	0.6707089	10.058504	1
LDLR	0.35843047	0.18369111	0.23469387755102042	0.43053278	0.4463157894736842	1.2283912	10.514876	1
CNN1	0.18389271	0.07271711	0.11224489795918367	0.22976738	0.26105263157894737	1.6584524	9.312295	1
JUNB	0.7313198	0.9798033	0.7806122448979592	0.62879103	0.5747368421052632	-0.6398294	8.543719	1
DNASE2	0.26137266	0.38046494	0.46938775510204084	0.2122286	0.2673684210526316	-0.84184396	5.319026	1
AC020916.1	0.34747857	0.187573	0.25	0.41346	0.42526315789473684	1.1398754	9.420887	1
GIPC1	0.43366933	0.26463234	0.3673469387755102	0.50341994	0.5389473684210526	0.9275146	10.238371	1
KLF2	0.48927417	0.25091162	0.29081632653061223	0.58763075	0.5178947368421053	1.2274014	13.054884	1
ZNF91	0.23640245	0.3433157	0.46938775510204084	0.19228514	0.22736842105263158	-0.83595854	5.0414658	1
PPP1R14A	0.34013233	0.15466638	0.2193877551020408	0.41666096	0.42105263157894735	1.429128	13.451076	1
ZFP36	0.09648611	0.18092254	0.25510204081632654	0.06164547	0.07789473684210527	-1.551764	5.037682	1
PLAUR	0.2977888	0.5540735	0.5867346938775511	0.19203316	0.2231578947368421	-1.5282313	14.26576	1
