gene	mean	ReAgg-CM_mean	ReAgg-CM_positive_frac	Fus-HO_mean	Fus-HO_positive_frac	log2FC	-log10 p-val	is_significant
MIR1302-2HG	9.094947e-10	2.910383e-10	0.0	-9.458745e-11	0.0	-5.5894466e-06	29.995602	0
FAM138A	9.094947e-10	2.910383e-10	0.0	-9.458745e-11	0.0	-5.5894466e-06	29.995602	0
OR4F5	9.094947e-10	2.910383e-10	0.0	-9.458745e-11	0.0	-5.5894466e-06	29.995602	0
AL627309.1	0.0031385322	0.0036883396	0.004889975550122249	0.0024359203	0.003125	-0.57905626	0.13916975	0
AL627309.3	9.094947e-10	2.910383e-10	0.0	-9.458745e-11	0.0	-5.5894466e-06	29.995602	0
AL627309.2	9.094947e-10	2.910383e-10	0.0	-9.458745e-11	0.0	-5.5894466e-06	29.995602	0
AL627309.5	0.046706177	0.054292716	0.07334963325183375	0.037010524	0.040625	-0.5515851	0.6261807	0
AL627309.4	0.0057446817	0.00623423	0.007334963325183374	0.005119084	0.00625	-0.27937266	0.08161965	0
AP006222.2	9.094947e-10	2.910383e-10	0.0	-9.458745e-11	0.0	-5.5894466e-06	29.995602	0
AL732372.1	9.094947e-10	2.910383e-10	0.0	-9.458745e-11	0.0	-5.5894466e-06	29.995602	0
OR4F29	9.094947e-10	2.910383e-10	0.0	-9.458745e-11	0.0	-5.5894466e-06	29.995602	0
AC114498.1	9.094947e-10	2.910383e-10	0.0	-9.458745e-11	0.0	-5.5894466e-06	29.995602	0
OR4F16	9.094947e-10	2.910383e-10	0.0	-9.458745e-11	0.0	-5.5894466e-06	29.995602	0
AL669831.2	9.094947e-10	2.910383e-10	0.0	-9.458745e-11	0.0	-5.5894466e-06	29.995602	0
LINC01409	0.059554067	0.056494415	0.08068459657701711	0.06346542	0.065625	0.1675823	0.16282555	0
FAM87B	9.094947e-10	2.910383e-10	0.0	-9.458745e-11	0.0	-5.5894466e-06	29.995602	0
LINC01128	0.08464864	0.08745779	0.11246943765281174	0.08105877	0.0875	-0.109488554	0.12630688	0
LINC00115	0.012375043	0.016203774	0.02444987775061125	0.007481314	0.009375	-1.1046861	0.6777194	0
