gene	mean	HO_mean	HO_positive_frac	ReAgg-CM_mean	ReAgg-CM_positive_frac	log2FC	-log10 p-val	is_significant
MIR1302-2HG	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
FAM138A	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
OR4F5	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
AL627309.1	0.0043221302	0.005644706	0.01020408163265306	0.0036883396	0.004889975550122249	-0.6006673	0.16353329	0
AL627309.3	0.00076029747	0.002346833	0.00510204081632653	2.910383e-10	0.0	-4.6128397	0.496819	0
AL627309.2	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
AL627309.5	0.05485879	0.056040924	0.10204081632653061	0.054292716	0.07334963325183375	-0.045639303	0.039511822	0
AL627309.4	0.005126015	0.002813562	0.00510204081632653	0.00623423	0.007334963325183374	1.1203852	0.33745262	0
AP006222.2	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
AL732372.1	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
OR4F29	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
AC114498.1	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
OR4F16	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
AL669831.2	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
LINC01409	0.047148768	0.027647136	0.04591836734693878	0.056494415	0.08068459657701711	1.0283209	1.4195546	0
FAM87B	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
LINC01128	0.10252285	0.13396037	0.20918367346938777	0.08745779	0.11246943765281174	-0.61457527	1.2815913	0
LINC00115	0.015814546	0.015002239	0.025510204081632654	0.016203774	0.02444987775061125	0.11044348	0.049983922	0
FAM41C	0.005175231	0.0032512683	0.00510204081632653	0.006097252	0.007334963325183374	0.88692135	0.25698623	0
AL645608.6	0.0010912649	0.0033684103	0.00510204081632653	2.910383e-10	0.0	-5.1161985	0.49682406	0
AL645608.2	0.010833279	0.03097648	0.03571428571428571	0.001180171	0.0024449877750611247	-4.6014147	1.7892431	0
AL645608.4	0.002765932	0.004695566	0.00510204081632653	0.001841212	0.0024449877750611247	-1.3047434	0.2426533	0
LINC02593	0.008618358	0.008998999	0.015306122448979591	0.008435981	0.009779951100244499	-0.09215084	0.029729813	0
SAMD11	0.067267254	0.062114656	0.09183673469387756	0.06973681	0.097799511002445	0.16673315	0.16837321	0
NOC2L	0.24747713	0.26520824	0.3673469387755102	0.23897916	0.31784841075794623	-0.15018107	0.36968046	0
KLHL17	0.026233034	0.02618069	0.04591836734693878	0.026258012	0.03667481662591687	0.004238472	0.0023769226	0
PLEKHN1	0.0032592306	0.002455196	0.00510204081632653	0.0036445537	0.004889975550122249	0.5513598	0.12927544	0
PERM1	0.00087436725	0.002698905	0.00510204081632653	2.910383e-10	0.0	-4.8067865	0.49682912	0
AL645608.7	0.0032386195	0.0065589715	0.01020408163265306	0.0016475031	0.0024449877750611247	-1.9300044	0.49541593	0
HES4	0.4717007	0.46430734	0.4846938775510204	0.47524273	0.4889975550122249	0.033577256	0.08784371	0
ISG15	0.2541143	0.24319085	0.3112244897959184	0.2593479	0.3154034229828851	0.09276263	0.17981437	0
AL645608.1	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
AGRN	0.14949873	0.1923305	0.2857142857142857	0.1289732	0.1784841075794621	-0.57614785	1.6761115	0
AL645608.5	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
AL645608.8	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
RNF223	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
C1orf159	0.018822009	0.0238162	0.04081632653061224	0.01642861	0.02689486552567237	-0.5330228	0.334174	0
AL390719.3	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
LINC01342	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
AL390719.2	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
TTLL10-AS1	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
TTLL10	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
TNFRSF18	0.0067068757	0.0066719004	0.01020408163265306	0.0067236573	0.007334963325183374	0.010984401	0.0029268265	0
TNFRSF4	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
SDF4	0.9639527	0.97343796	0.8571428571428571	0.95940816	0.8117359413202934	-0.02094216	0.115160614	0
B3GALT6	0.20149998	0.26524866	0.3826530612244898	0.17095073	0.2469437652811736	-0.6334649	2.6364024	0
C1QTNF12	0.0152544975	0.019720271	0.030612244897959183	0.013114344	0.019559902200488997	-0.5848719	0.32154176	0
AL162741.1	0.0011625678	-1.3096724e-10	0.0	0.0017196898	0.0024449877750611247	4.1856227	0.49770755	0
UBE2J2	0.31077608	0.3053465	0.4336734693877551	0.3133761	0.38141809290953543	0.037435856	0.08728286	0
LINC01786	0.0015819356	0.002167191	0.00510204081632653	0.0013014735	0.0024449877750611247	-0.69396156	0.13535953	0
SCNN1D	0.00022423128	-1.3096724e-10	0.0	0.00033168664	0.0024449877750611247	2.1099863	0.49770764	0
ACAP3	0.0892323	0.08735123	0.14795918367346939	0.09013419	0.1393643031784841	0.045195397	0.052261695	0
PUSL1	0.12990233	0.12388061	0.20918367346938777	0.1327882	0.18581907090464547	0.10009845	0.1542922	0
INTS11	0.21330698	0.18557681	0.2755102040816326	0.22659588	0.293398533007335	0.28796452	0.78536576	0
AL139287.1	0.0010654574	-1.3096724e-10	0.0	0.0015760426	0.0024449877750611247	4.066989	0.49770865	0
CPTP	0.10009744	0.1076363	0.16326530612244897	0.09648496	0.1295843520782396	-0.15763402	0.2085777	0
TAS1R3	0.0012006257	-1.3096724e-10	0.0	0.0017759857	0.0024449877750611247	4.229579	0.49770552	0
DVL1	0.08159599	0.100116685	0.15816326530612246	0.07272082	0.10024449877750612	-0.46069986	0.7230113	0
MXRA8	0.19317429	0.19892444	0.2602040816326531	0.19041888	0.24205378973105135	-0.063011594	0.10408467	0
AURKAIP1	0.86873555	0.83121234	0.8061224489795918	0.8867184	0.7775061124694377	0.09324814	0.6479661	0
CCNL2	0.31086597	0.3115209	0.4030612244897959	0.31054983	0.3765281173594132	-0.004502732	0.009298609	0
MRPL20-AS1	0.032695968	0.030819686	0.05102040816326531	0.033595398	0.0488997555012225	0.12402599	0.079721436	0
MRPL20	0.7698849	0.7267461	0.7193877551020408	0.7905588	0.7139364303178484	0.12140545	0.7262202	0
AL391244.2	0.0047020027	0.008474508	0.015306122448979591	0.0028941403	0.004889975550122249	-1.517912	0.5245955	0
ANKRD65	0.0008537159	0.0026351598	0.00510204081632653	2.910383e-10	0.0	-4.773549	0.49682543	0
AL391244.1	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
TMEM88B	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
LINC01770	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
VWA1	0.17082275	0.12344723	0.1683673469387755	0.19352609	0.2567237163814181	0.64821064	2.0067213	0
ATAD3C	0.0034630462	0.01068972	0.015306122448979591	2.910383e-10	0.0	-6.7535095	1.0502439	0
ATAD3B	0.03327508	0.019309547	0.03571428571428571	0.039967768	0.06356968215158924	1.0456759	1.2608246	0
ATAD3A	0.102133684	0.08460783	0.14285714285714285	0.11053269	0.15892420537897312	0.38521048	0.67892987	0
TMEM240	0.07294581	0.062688015	0.10204081632653061	0.07786178	0.10757946210268948	0.3122778	0.39422688	0
SSU72	0.8578986	0.8326113	0.8316326530612245	0.870017	0.78239608801956	0.063392945	0.3880092	0
AL645728.1	0.017119722	0.021599805	0.03571428571428571	0.01497269	0.019559902200488997	-0.5257452	0.29546908	0
FNDC10	0.119330995	0.11338788	0.18877551020408162	0.122179314	0.16381418092909536	0.10764205	0.15548524	0
AL691432.4	0.0050211125	0.0054321475	0.01020408163265306	0.0048241415	0.007334963325183374	-0.16796742	0.046648778	0
AL691432.2	0.021455392	0.024362834	0.04081632653061224	0.020062	0.03178484107579462	-0.2789529	0.16658777	0
MIB2	0.12536621	0.16250081	0.24489795918367346	0.10757088	0.15158924205378974	-0.5947063	1.4765211	0
MMP23B	0.40160218	0.24959692	0.3010204081632653	0.47444493	0.4474327628361858	0.92636657	7.0194416	1
CDK11B	0.16553378	0.15703003	0.23469387755102042	0.16960907	0.2396088019559902	0.11110478	0.19366695	0
FO704657.1	0.0012518895	0.0015982079	0.00510204081632653	0.0010859295	0.0024449877750611247	-0.51799494	0.101790555	0
SLC35E2B	0.09354528	0.11966235	0.16326530612244897	0.08102987	0.12224938875305623	-0.5618693	1.0045912	0
CDK11A	0.123125896	0.12772892	0.1836734693877551	0.12092024	0.15647921760391198	-0.07896595	0.103644714	0
SLC35E2A	0.038651016	0.052075546	0.08673469387755102	0.03221828	0.044009779951100246	-0.69102335	0.75732553	0
NADK	0.08862312	0.08018861	0.12755102040816327	0.09266534	0.13447432762836187	0.20839052	0.27146283	0
GNB1	0.9670328	0.9773828	0.8724489795918368	0.9620728	0.8141809290953546	-0.022775287	0.13203196	0
AL109917.1	0.0037362112	0.011532907	0.02040816326530612	2.910383e-10	0.0	-6.862064	1.3191066	0
CALML6	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
TMEM52	0.021543289	0.021785	0.03571428571428571	0.021427382	0.029339853300733496	-0.023769518	0.01211187	0
CFAP74	0.00088607083	-1.3096724e-10	0.0	0.0013106917	0.0024449877750611247	3.8183327	0.4977083	0
AL391845.2	0.001332173	-1.3096724e-10	0.0	0.0019705729	0.0024449877750611247	4.37196	0.4977072	0
GABRD	0.0032906935	0.0069482788	0.01020408163265306	0.0015380103	0.0024449877750611247	-2.1053264	0.5055533	0
AL391845.1	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
PRKCZ	0.028214535	0.03218747	0.05102040816326531	0.026310822	0.03667481662591687	-0.28984532	0.19499099	0
AL590822.2	0.004542075	0.005687104	0.01020408163265306	0.0039933454	0.004889975550122249	-0.4995612	0.1366582	0
PRKCZ-AS1	0.004038225	0.008336077	0.01020408163265306	0.0019786549	0.0024449877750611247	-2.020922	0.5047726	0
FAAP20	0.789599	0.7831703	0.8316326530612245	0.7926814	0.7408312958435208	0.017412819	0.083110824	0
AL590822.1	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
SKI	0.20278119	0.21632153	0.3163265306122449	0.19629253	0.24938875305623473	-0.14010394	0.29065374	0
AL590822.3	0.012372575	0.005846243	0.01020408163265306	0.015500067	0.019559902200488997	1.3915019	0.77733886	0
MORN1	0.02045602	0.020675149	0.030612244897959183	0.020350883	0.029339853300733496	-0.022695703	0.010859354	0
AL589739.1	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
AL513477.2	0.0019252218	0.0026889988	0.00510204081632653	0.0015591925	0.0024449877750611247	-0.74926615	0.14479478	0
RER1	0.7657361	0.70528865	0.75	0.7947043	0.7334963325183375	0.17218134	1.3229895	0
PEX10	0.0751064	0.08567772	0.14285714285714285	0.07004074	0.10268948655256724	-0.29035032	0.38816	0
PLCH2	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
AL139246.1	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
AL139246.4	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
PANK4	0.02243032	0.042769127	0.07142857142857142	0.012683524	0.019559902200488997	-1.7456535	1.8076042	0
HES5	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
AL139246.5	0.0054450394	-1.3096724e-10	0.0	0.008054398	0.012224938875305624	6.3495083	1.4799894	0
TNFRSF14-AS1	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
TNFRSF14	0.00059178344	0.0018267061	0.00510204081632653	2.910383e-10	0.0	-4.2680607	0.4968226	0
AL139246.3	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
PRXL2B	0.06851703	0.062160246	0.10714285714285714	0.07156363	0.097799511002445	0.20292985	0.23054996	0
MMEL1	0.002018477	-1.3096724e-10	0.0	0.002985767	0.004889975550122249	4.9475594	0.7907811	0
AL831784.1	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
TTC34	0.0034082548	0.003275458	0.00510204081632653	0.003471913	0.004889975550122249	0.08161362	0.01669274	0
AC242022.2	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
AC242022.1	7.4942363e-10	-1.3096724e-10	0.0	2.910383e-10	0.0	6.01938e-06	20.628338	0
