gene	mean	Fus-HO_mean	Fus-HO_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
MYH9	0.96337277	0.63271165	0.49375	1.1861324	0.8042105263157895	0.9065386	23.781492	1
TST	0.13027802	0.061675973	0.065625	0.17649429	0.2231578947368421	1.5153209	7.10421	1
MPST	0.48367518	0.34305713	0.33125	0.57840866	0.6	0.75346935	9.055422	1
LGALS1	2.8492587	2.0370953	0.790625	3.3963976	0.9873684210526316	0.7374636	44.55244	1
H1F0	0.32089156	0.45180988	0.38125	0.23268838	0.24421052631578946	-0.95701593	6.886371	1
MICALL1	0.05789098	0.01738443	0.01875	0.08517964	0.11368421052631579	2.2861307	5.9828215	1
RANGAP1	0.09488103	0.030063631	0.034375	0.13854767	0.16631578947368422	2.2005415	8.509477	1
SREBF2	0.14629227	0.07226507	0.084375	0.19616336	0.2463157894736842	1.4394253	7.6387696	1
CYB5R3	0.71972966	0.5165936	0.471875	0.85657895	0.7326315789473684	0.72944564	13.927013	1
TSPO	1.1071029	0.81153417	0.603125	1.3062212	0.8757894736842106	0.68660825	20.472828	1
KIAA0930	0.07055369	0.027294006	0.034375	0.09969723	0.1368421052631579	1.8651396	5.7980075	1
CRELD2	0.3534829	0.22182296	0.2375	0.4421795	0.4694736842105263	0.99489933	10.137002	1
MAPK12	0.09627757	0.048862502	0.05625	0.12822048	0.17684210526315788	1.3900023	5.0004005	1
LMF2	0.23670109	0.15086354	0.1625	0.2945274	0.35157894736842105	0.9646914	6.381554	1
SCO2	0.2655403	0.16448748	0.178125	0.3336168	0.3873684210526316	1.0197695	7.900434	1
TYMP	0.07764603	0.026990859	0.03125	0.11177179	0.14526315789473684	2.0459683	7.086991	1
SHROOM2	0.044616	0.011628834	0.015625	0.0668391	0.08842105263157894	2.5127897	5.304793	1
SH3KBP1	0.31329903	0.21597084	0.2	0.3788653	0.39789473684210525	0.81056124	5.402753	1
ACOT9	0.25665936	0.13655499	0.140625	0.33757085	0.40210526315789474	1.3050793	11.479085	1
PDK3	0.16619132	0.2500975	0.24375	0.10966479	0.13052631578947368	-1.1886519	5.6083026	1
UBA1	0.264552	0.15912698	0.16875	0.3355735	0.3873684210526316	1.0759737	8.3951	1
EBP	0.30886793	0.1673437	0.178125	0.40420938	0.42736842105263156	1.2717835	12.512616	1
GNL3L	0.15567449	0.083850205	0.090625	0.20406142	0.26526315789473687	1.2821044	6.7040133	1
PGK1	1.9018754	2.3102632	0.978125	1.6267498	0.9157894736842105	-0.50603855	36.622738	1
ITM2A	0.260045	0.4224062	0.321875	0.15065837	0.14947368421052631	-1.4867343	9.624852	1
KLHL4	0.08510324	0.032191176	0.034375	0.120749384	0.14526315789473684	1.9039983	6.150305	1
BEX2	0.094390385	0.17349593	0.153125	0.041098945	0.05263157894736842	-2.0750537	6.386124	1
NRK	0.1075372	0.038971387	0.0375	0.15372907	0.19789473684210526	1.9771438	8.478137	1
COL4A6	0.19456616	0.30444497	0.2875	0.120539516	0.1368421052631579	-1.3359526	7.5487127	1
COL4A5	0.3801875	0.5103182	0.4375	0.2925183	0.33052631578947367	-0.80266	6.7423406	1
PLS3	0.50190103	0.3746465	0.340625	0.58763164	0.5789473684210527	0.6492426	6.7027154	1
IL13RA1	0.27147514	0.16755356	0.175	0.3414838	0.3873684210526316	1.0267564	7.8343186	1
RAB33A	0.14845723	0.23317188	0.2125	0.09138657	0.12	-1.3503804	5.651634	1
GPC3	0.30272484	0.4293367	0.33125	0.21742284	0.2463157894736842	-0.98127854	6.334096	1
MAMLD1	0.036227122	0.0020702365	0.003125	0.059238087	0.07789473684210527	4.773034	7.113403	1
HMGB3	0.24492832	0.12915014	0.128125	0.32292464	0.3178947368421053	1.3214784	9.122965	1
BGN	0.98318434	0.5998725	0.43125	1.241414	0.7368421052631579	1.0491321	22.951353	1
SLC6A8	0.3509132	0.50078607	0.334375	0.24994244	0.24842105263157896	-1.0023096	6.351514	1
L1CAM	0.18857631	0.10620963	0.115625	0.24406417	0.27789473684210525	1.1995792	6.9039545	1
NAA10	0.53386945	0.40092713	0.390625	0.6234319	0.6105263157894737	0.63676363	7.5845194	1
FLNA	0.8610133	0.4726731	0.415625	1.1226307	0.8042105263157895	1.2477922	38.60245	1
G6PD	0.16454704	0.09579223	0.1	0.21086591	0.25684210526315787	1.1375241	5.477853	1
F8	0.19036272	0.28674844	0.25	0.12542655	0.12210526315789473	-1.192296	5.5590005	1
CMC4	0.29811603	0.41198912	0.365625	0.22139615	0.26526315789473687	-0.89567477	6.3147936	1
MT-CO2	2.9713984	2.10588	0.85625	3.5544841	0.9873684210526316	0.75518906	44.55244	1
MT-ATP6	3.0613236	2.4108098	0.878125	3.4995606	0.9978947368421053	0.5376374	34.684185	1
MT-CO3	3.175938	2.3666484	0.875	3.7211463	0.9894736842105263	0.65287954	44.55244	1
MT-ND3	1.9907469	1.3616357	0.725	2.4145675	0.9621052631578947	0.8263777	44.07532	1
MT-ND6	0.42212284	0.26131722	0.246875	0.53045666	0.5347368421052632	1.0211529	11.356158	1
MT-CYB	2.7191434	1.9998084	0.825	3.2037518	0.9789473684210527	0.6798734	44.55244	1
