gene	mean	ReAgg-CM_mean	ReAgg-CM_positive_frac	Fus-HO_mean	Fus-HO_positive_frac	log2FC	-log10 p-val	is_significant
MMP23B	0.3765151	0.47444493	0.4474327628361858	0.25134638	0.24375	-0.9162939	7.7182317	1
SRM	0.5827588	0.670506	0.6308068459657702	0.47061178	0.43125	-0.51062155	5.2010784	1
NPPA	0.030744312	0.051359165	0.07090464547677261	0.0043967804	0.00625	-3.5164638	5.256111	1
CCDC28B	0.5299689	0.6259777	0.628361858190709	0.40726277	0.378125	-0.62002754	6.5969915	1
SFPQ	0.7096001	0.86966985	0.7188264058679706	0.5050156	0.421875	-0.78402007	13.037839	1
P3H1	0.7795023	0.8995052	0.784841075794621	0.62612337	0.51875	-0.52261466	8.003178	1
CCN1	0.42082092	0.5754711	0.4841075794621027	0.22316033	0.18125	-1.3662673	13.613482	1
CNN3	0.7209981	0.83112234	0.726161369193154	0.58024955	0.4875	-0.5183123	6.870485	1
PALMD	0.090019315	0.13048105	0.16136919315403422	0.038305044	0.0375	-1.7655778	5.622988	1
RHOC	1.1741418	1.3637477	0.8973105134474327	0.931797	0.671875	-0.5494401	15.485692	1
S100A16	0.7671589	0.9055011	0.7359413202933985	0.5903422	0.490625	-0.61707985	9.291585	1
FDPS	0.4773853	0.5679609	0.5232273838630807	0.3616212	0.34375	-0.6511676	5.7834806	1
TAGLN2	0.8507598	1.0514541	0.784841075794621	0.5942436	0.478125	-0.8231539	17.412443	1
RCSD1	0.19793724	0.25971693	0.30073349633251834	0.11897221	0.128125	-1.1256585	6.2977743	1
NAV1	0.6216567	0.7348406	0.6723716381418093	0.4769989	0.421875	-0.62333935	7.5793996	1
RAB7B	0.10044438	0.14450657	0.18581907090464547	0.044128217	0.05	-1.7090942	6.522637	1
CD55	0.29036567	0.37643304	0.38141809290953543	0.18035474	0.190625	-1.0611393	7.614704	1
TRAF5	0.16002624	0.2163673	0.26894865525672373	0.088015944	0.090625	-1.2966741	6.4836	1
CAPN2	0.55223846	0.6753897	0.6479217603911981	0.39484087	0.365625	-0.7742973	10.227243	1
ENAH	0.6581424	0.7784678	0.6528117359413202	0.50435585	0.446875	-0.6260946	7.888029	1
NID1	0.52353054	0.42426205	0.4669926650366748	0.65041006	0.515625	0.6162758	5.776791	1
ADI1	0.22702935	0.2872955	0.33251833740831294	0.14999638	0.1625	-0.93714815	5.37123	1
NRBP1	0.4187487	0.4997187	0.5550122249388753	0.31525835	0.309375	-0.6644127	6.1076903	1
CCT7	0.4986515	0.5774141	0.6185819070904646	0.39798623	0.375	-0.53677523	5.1076736	1
CHMP3	0.5501227	0.6317412	0.6405867970660146	0.44580913	0.4125	-0.50281245	5.0053997	1
CYTOR	0.23388684	0.305198	0.33985330073349634	0.14273666	0.146875	-1.0958518	6.7003894	1
LIMS1	1.3427968	1.1150414	0.7946210268948656	1.6338938	0.88125	0.55117595	16.989584	1
DBI	0.98442274	1.1332258	0.8337408312958435	0.7942294	0.590625	-0.5127534	9.637186	1
GALNT5	0.13592702	0.19454029	0.25183374083129584	0.061012574	0.06875	-1.6712692	8.546771	1
DNAJC10	0.48000276	0.56531537	0.5770171149144254	0.37096465	0.340625	-0.6076406	5.57877	1
PSMD1	0.5533788	0.67320997	0.6356968215158925	0.4002247	0.365625	-0.75010026	9.562928	1
COPS9	0.7252815	0.8382969	0.7677261613691931	0.580837	0.48125	-0.52925164	7.6979804	1
FBLN2	0.81101274	1.0294061	0.7457212713936431	0.53187597	0.421875	-0.9525194	19.348333	1
MAP4	0.8362306	0.9713758	0.8264058679706602	0.6634984	0.571875	-0.5498677	10.702781	1
P4HTM	0.15190525	0.20039545	0.2567237163814181	0.08992925	0.09375	-1.1551038	5.226466	1
TNNC1	0.27299017	0.34313422	0.3863080684596577	0.18333113	0.175	-0.90395486	5.5574794	1
NT5DC2	0.74342585	0.8876794	0.7726161369193154	0.5590553	0.465625	-0.6669521	11.512845	1
ROBO2	0.08044515	0.11461098	0.16381418092909536	0.036777817	0.04375	-1.6371782	5.3957176	1
