gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EN	EP	FB	PR	UN
LRRC4C	Q9HCJ2	False	LRC4C_HUMAN		CPI-SS00373B59C	LRRC4C	0.006	0.007	0.011	0.038	0.207	0.0
LRFN5	Q96NI6	False	LRFN5_HUMAN		CPI-SS0CBB9D57D	LRFN5	0.01	0.012	0.011	0.089	0.167	0.005
NPPA	P01160	False	ANF_HUMAN		CPI-SS032AD1183	NPPA	0.202	0.012	0.032	0.006	0.011	0.039
CNTN1	Q12860	False	CNTN1_HUMAN		CPI-SS0A6FCBF7C	CNTN1	0.013	0.0	0.011	0.006	0.082	0.002
DLK1	P80370	False	DLK1_HUMAN		CPI-SS0FC612D4D	DLK1	0.054	0.145	0.745	0.804	0.359	0.053
DLL4	Q9NR61	False	DLL4_HUMAN		CPI-SS0AFCA0602	DLL4	0.001	0.361	0.032	0.0	0.005	0.003
JAG1	P78504	False	JAG1_HUMAN		CPI-SS052ADA696	JAG1	0.156	0.334	0.064	0.361	0.283	0.053
CNTN1	Q12860	False	CNTN1_HUMAN		CPI-SS0730D1EF3	CNTN1	0.013	0.0	0.011	0.006	0.082	0.002
CNTN1	Q12860	False	CNTN1_HUMAN		CPI-SS0BDC912F3	CNTN1	0.013	0.0	0.011	0.006	0.082	0.002
PENK	P01210	False	PENK_HUMAN		CPI-SS0D1EF9598	PENK	0.005	0.0	0.0	0.259	0.03	0.006
ADCYAP1	P18509	False	PACA_HUMAN		CPI-SS062DED513	ADCYAP1	0.0	0.0	0.0	0.003	0.001	0.002
VIP	P01282	False	VIP_HUMAN		CPI-SS0C8A09915	VIP	0.0	0.01	0.0	0.003	0.014	0.0
PGF	P49763	False	PLGF_HUMAN		CPI-SS07361522F	PGF	0.023	0.373	0.064	0.098	0.19	0.002
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0B9B3870A	VEGFA	0.699	0.247	0.809	0.791	0.174	0.43
PGF	P49763	False	PLGF_HUMAN		CPI-SC0B51DC960	PGF	0.023	0.373	0.064	0.098	0.19	0.002
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SC0AFC650CD	VEGFA	0.699	0.247	0.809	0.791	0.174	0.43
PGF	P49763	False	PLGF_HUMAN		CPI-SS01790830C	PGF	0.023	0.373	0.064	0.098	0.19	0.002
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS043E22BF5	VEGFA	0.699	0.247	0.809	0.791	0.174	0.43
PGF	P49763	False	PLGF_HUMAN		CPI-SS065D9259F	PGF	0.023	0.373	0.064	0.098	0.19	0.002
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS046F8AD8B	VEGFA	0.699	0.247	0.809	0.791	0.174	0.43
PLAU	P00749	False	UROK_HUMAN		CPI-SS036B08188	PLAU	0.011	0.438	0.011	0.098	0.006	0.005
PDGFA	P04085	False	PDGFA_HUMAN		CPI-SS0B70EB09E	PDGFA	0.06	0.455	0.106	0.187	0.279	0.011
NPY	P01303	False	NPY_HUMAN		CPI-SS0666DE74B	NPY	0.001	0.0	0.011	0.044	0.0	0.002
GNRH1	P01148	False	GON1_HUMAN		CPI-SS0D9EFC4F7	GNRH1	0.004	0.007	0.011	0.006	0.008	0.002
GNRH2	O43555	False	GON2_HUMAN		CPI-SS0D9BC4188	GNRH2	0.001	0.002	0.074	0.0	0.001	0.002
RELN	P78509	False	RELN_HUMAN		CPI-SS0AD2A36FE	RELN	0.002	0.0	0.011	0.022	0.01	0.003
SEMA3E	O15041	False	SEM3E_HUMAN		CPI-SS0F3A089DE	SEMA3E	0.012	0.017	0.0	0.016	0.038	0.006
SEMA4A	Q9H3S1	False	SEM4A_HUMAN		CPI-SS044C72D0D	SEMA4A	0.008	0.007	0.0	0.009	0.002	0.005
CORT	O00230	False	CORT_HUMAN		CPI-SS0C272BD3D	CORT	0.01	0.007	0.0	0.006	0.007	0.002
SHH	Q15465	False	SHH_HUMAN		CPI-SC054175DCB	SHH	0.0	0.0	0.053	0.0	0.0	0.0
THY1	P04216	False	THY1_HUMAN		CPI-SS0F0492F71	THY1	0.031	0.768	0.032	0.43	0.815	0.055
TNFSF10	P50591	False	TNF10_HUMAN		CPI-SS085A1A34C	TNFSF10	0.001	0.271	0.128	0.006	0.005	0.005
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0C03F7CDC	VEGFA	0.699	0.247	0.809	0.791	0.174	0.43
WNT2	P09544	False	WNT2_HUMAN		CPI-SS09F9914EE	WNT2	0.06	0.0	0.011	0.0	0.001	0.011
WNT2	P09544	False	WNT2_HUMAN		CPI-SS02704D1B8	WNT2	0.06	0.0	0.011	0.0	0.001	0.011
WNT2	P09544	False	WNT2_HUMAN		CPI-SS01E6C2BB8	WNT2	0.06	0.0	0.011	0.0	0.001	0.011
WNT2	P09544	False	WNT2_HUMAN		CPI-SS0C95AC883	WNT2	0.06	0.0	0.011	0.0	0.001	0.011
WNT2	P09544	False	WNT2_HUMAN		CPI-SS001BD48FB	WNT2	0.06	0.0	0.011	0.0	0.001	0.011
ESAM	Q96AP7	False	ESAM_HUMAN		CPI-SS04C672963	ESAM	0.01	0.918	0.011	0.07	0.138	0.011
NELL2	Q99435	False	NELL2_HUMAN		CPI-SS02B2C16ED	NELL2	0.01	0.0	0.0	0.003	0.01	0.0
PECAM1	P16284	False	PECA1_HUMAN		CPI-SS0E0DEA7D5	PECAM1	0.008	0.877	0.032	0.016	0.004	0.018
FLT1	P17948	True	VGFR1_HUMAN	FLT1_complex	CPI-SC0B51DC960	FLT1	0.05	0.908	0.032	0.127	0.035	0.055
FLT1	P17948	True	VGFR1_HUMAN	FLT1_complex	CPI-SC0AFC650CD	FLT1	0.05	0.908	0.032	0.127	0.035	0.055
KDR	P35968	True	VGFR2_HUMAN	FLT1_complex	CPI-SC0B51DC960	KDR	0.05	0.908	0.032	0.127	0.035	0.055
KDR	P35968	True	VGFR2_HUMAN	FLT1_complex	CPI-SC0AFC650CD	KDR	0.05	0.908	0.032	0.127	0.035	0.055
PTCH2	Q9Y6C5	True	PTC2_HUMAN	PTCH2_GAS1_transmembrane_receptor	CPI-SC054175DCB	PTCH2	0.002	0.0	0.0	0.0	0.004	0.003
GAS1	P54826	True	GAS1_HUMAN	PTCH2_GAS1_transmembrane_receptor	CPI-SC054175DCB	GAS1	0.002	0.0	0.0	0.0	0.004	0.003
SELE	P16581	False	LYAM2_HUMAN		CPI-SS06F83AE58	SELE	0.0	0.002	0.0	0.0	0.001	0.0
F2RL3	Q96RI0	False	PAR4_HUMAN		CPI-SS0BDC2B411	F2RL3	0.01	0.182	0.0	0.035	0.002	0.008
THBD	P07204	False	TRBM_HUMAN		CPI-SS09B583B3F	THBD	0.002	0.322	0.011	0.025	0.001	0.003
CD36	P16671	False	CD36_HUMAN		CPI-SS0C93E48D7	CD36	0.009	0.01	0.011	0.003	0.099	0.006
ADORA2A	P29274	False	AA2AR_HUMAN		CPI-SS0E90C46BC	ADORA2A	0.012	0.242	0.043	0.054	0.006	0.006
NR1H4	Q96RI1	False	NR1H4_HUMAN		CPI-CS019C00E02	NR1H4	0.0	0.0	0.34	0.0	0.001	0.0
ABCA1	O95477	False	ABCA1_HUMAN		CPI-SS015B29D3F	ABCA1	0.091	0.133	0.266	0.304	0.119	0.028
NTRK2	Q16620	False	NTRK2_HUMAN		CPI-SS0BA601DC4	NTRK2	0.01	0.002	0.021	0.171	0.119	0.008
ACKR4	Q9NPB9	False	ACKR4_HUMAN		CPI-SS0ECD9BB5E	ACKR4	0.003	0.005	0.0	0.013	0.003	0.003
ACKR4	Q9NPB9	False	ACKR4_HUMAN		CPI-SS083B5EBAB	ACKR4	0.003	0.005	0.0	0.013	0.003	0.003
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS0F562FEA5	CXCR2	0.001	0.0	0.0	0.006	0.0	0.002
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS09185EA8F	CXCR2	0.001	0.0	0.0	0.006	0.0	0.002
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS093B46106	CXCR2	0.001	0.0	0.0	0.006	0.0	0.002
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS0315F51DD	CXCR2	0.001	0.0	0.0	0.006	0.0	0.002
CXCR4	P61073	False	CXCR4_HUMAN		CPI-SS0A28DCA72	CXCR4	0.012	0.508	0.011	0.127	0.032	0.008
CXCR4	P61073	False	CXCR4_HUMAN		CPI-SS0669CC233	CXCR4	0.012	0.508	0.011	0.127	0.032	0.008
CXCR5	P32302	False	CXCR5_HUMAN		CPI-SS0C2437E0D	CXCR5	0.002	0.005	0.011	0.006	0.001	0.003
RORA	P35398	False	RORA_HUMAN		CPI-CS0406B0B69	RORA	0.258	0.266	0.394	0.241	0.171	0.094
C5AR2	Q9P296	False	C5AR2_HUMAN		CPI-SS00F4019EA	C5AR2	0.001	0.007	0.0	0.0	0.002	0.003
HHIP	Q96QV1	False	HHIP_HUMAN		CPI-SS055233B99	HHIP	0.002	0.017	0.0	0.016	0.001	0.005
HHIP	Q96QV1	False	HHIP_HUMAN		CPI-SS0F7A89A4F	HHIP	0.002	0.017	0.0	0.016	0.001	0.005
EDNRA	P25101	False	EDNRA_HUMAN		CPI-SS0D8632EB4	EDNRA	0.125	0.027	0.011	0.161	0.646	0.019
EDNRA	P25101	False	EDNRA_HUMAN		CPI-SS03D5CBF55	EDNRA	0.125	0.027	0.011	0.161	0.646	0.019
EDNRB	P24530	False	EDNRB_HUMAN		CPI-SS09B92F236	EDNRB	0.013	0.356	0.0	0.161	0.02	0.005
EDNRB	P24530	False	EDNRB_HUMAN		CPI-SS0696491A3	EDNRB	0.013	0.356	0.0	0.161	0.02	0.005
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS087E0E3FB	EPHA4	0.273	0.024	0.032	0.022	0.136	0.078
EGFR	P00533	False	EGFR_HUMAN		CPI-SS052119104	EGFR	0.007	0.012	0.394	0.218	0.242	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS09947DDD9	EGFR	0.007	0.012	0.394	0.218	0.242	0.0
MERTK	Q12866	False	MERTK_HUMAN		CPI-SS076940BCD	MERTK	0.015	0.027	0.053	0.013	0.03	0.006
HAVCR2	Q8TDQ0	False	HAVR2_HUMAN		CPI-SS0E23CEB91	HAVCR2	0.001	0.034	0.0	0.0	0.001	0.002
PTPRF	P10586	False	PTPRF_HUMAN		CPI-SS00373B59C	PTPRF	0.214	0.114	0.372	0.206	0.087	0.063
PTPRF	P10586	False	PTPRF_HUMAN		CPI-SS0CBB9D57D	PTPRF	0.214	0.114	0.372	0.206	0.087	0.063
CYSLTR2	Q9NS75	False	CLTR2_HUMAN		CPI-CS077A507B6	CYSLTR2	0.0	0.0	0.011	0.0	0.018	0.0
NPR1	P16066	False	ANPRA_HUMAN		CPI-SS032AD1183	NPR1	0.004	0.194	0.0	0.165	0.042	0.006
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0A6FCBF7C	NOTCH1	0.025	0.356	0.021	0.184	0.168	0.008
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0FC612D4D	NOTCH1	0.025	0.356	0.021	0.184	0.168	0.008
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0AFCA0602	NOTCH1	0.025	0.356	0.021	0.184	0.168	0.008
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS052ADA696	NOTCH1	0.025	0.356	0.021	0.184	0.168	0.008
MCAM	P43121	False	MUC18_HUMAN		CPI-SS0730D1EF3	MCAM	0.165	0.673	0.043	0.085	0.357	0.045
NRCAM	Q92823	False	NRCAM_HUMAN		CPI-SS0BDC912F3	NRCAM	0.011	0.111	0.011	0.032	0.007	0.003
OPRK1	P41145	False	OPRK_HUMAN		CPI-SS0D1EF9598	OPRK1	0.0	0.002	0.0	0.003	0.008	0.0
VIPR1	P32241	False	VIPR1_HUMAN		CPI-SS062DED513	VIPR1	0.002	0.002	0.011	0.025	0.0	0.003
VIPR1	P32241	False	VIPR1_HUMAN		CPI-SS0C8A09915	VIPR1	0.002	0.002	0.011	0.025	0.0	0.003
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS07361522F	FLT1	0.05	0.993	0.074	0.373	0.251	0.065
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0B9B3870A	FLT1	0.05	0.993	0.074	0.373	0.251	0.065
NRP1	O14786	False	NRP1_HUMAN		CPI-SS01790830C	NRP1	0.326	0.777	0.128	0.38	0.257	0.091
NRP1	O14786	False	NRP1_HUMAN		CPI-SS043E22BF5	NRP1	0.326	0.777	0.128	0.38	0.257	0.091
NRP2	O60462	False	NRP2_HUMAN		CPI-SS065D9259F	NRP2	0.232	0.818	0.106	0.18	0.403	0.094
NRP2	O60462	False	NRP2_HUMAN		CPI-SS046F8AD8B	NRP2	0.232	0.818	0.106	0.18	0.403	0.094
PLAUR	Q03405	False	UPAR_HUMAN		CPI-SS036B08188	PLAUR	0.028	0.564	0.074	0.339	0.023	0.011
PDGFRA	P16234	False	PGFRA_HUMAN		CPI-SS0B70EB09E	PDGFRA	0.059	0.058	0.021	0.465	0.528	0.019
NPY1R	P25929	False	NPY1R_HUMAN		CPI-SS0666DE74B	NPY1R	0.057	0.005	0.011	0.013	0.168	0.002
GNRHR	P30968	False	GNRHR_HUMAN		CPI-SS0D9EFC4F7	GNRHR	0.0	0.0	0.0	0.0	0.0	0.002
GNRHR	P30968	False	GNRHR_HUMAN		CPI-SS0D9BC4188	GNRHR	0.0	0.0	0.0	0.0	0.0	0.002
PTGER4	P35408	False	PE2R4_HUMAN		CPI-CS023F349AF	PTGER4	0.001	0.017	0.0	0.022	0.033	0.002
LRP8	Q14114	False	LRP8_HUMAN		CPI-SS0AD2A36FE	LRP8	0.08	0.08	0.011	0.025	0.01	0.024
RORB	Q92753	False	RORB_HUMAN		CPI-CS08EE9E5CE	RORB	0.001	0.005	0.0	0.098	0.002	0.005
RORB	Q92753	False	RORB_HUMAN		CPI-CS033058D2B	RORB	0.001	0.005	0.0	0.098	0.002	0.005
RORB	Q92753	False	RORB_HUMAN		CPI-CS0C61C245A	RORB	0.001	0.005	0.0	0.098	0.002	0.005
PLXND1	Q9Y4D7	False	PLXD1_HUMAN		CPI-SS0F3A089DE	PLXND1	0.116	0.765	0.043	0.215	0.229	0.037
PLXND1	Q9Y4D7	False	PLXD1_HUMAN		CPI-SS044C72D0D	PLXND1	0.116	0.765	0.043	0.215	0.229	0.037
SSTR2	P30874	False	SSR2_HUMAN		CPI-SS0C272BD3D	SSTR2	0.004	0.002	0.106	0.009	0.005	0.002
ADGRE2	Q9UHX3	False	AGRE2_HUMAN		CPI-SS0F0492F71	ADGRE2	0.001	0.01	0.0	0.006	0.003	0.002
TNFRSF10A	O00220	False	TR10A_HUMAN		CPI-SS085A1A34C	TNFRSF10A	0.002	0.157	0.011	0.006	0.002	0.002
KDR	P35968	False	VGFR2_HUMAN		CPI-SS0C03F7CDC	KDR	0.241	0.908	0.032	0.127	0.035	0.055
CER1	O95813	False	CER1_HUMAN		CPI-SS09F9914EE	CER1	0.001	0.0	0.0	0.006	0.003	0.002
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS02704D1B8	FRZB	0.209	0.017	0.021	0.092	0.282	0.032
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS01E6C2BB8	SFRP1	0.788	0.317	0.202	0.62	0.641	0.194
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS0C95AC883	SFRP2	0.002	0.002	0.0	0.009	0.068	0.0
SFRP5	Q5T4F7	False	SFRP5_HUMAN		CPI-SS001BD48FB	SFRP5	0.006	0.0	0.0	0.0	0.0	0.003
ROBO3	Q96MS0	False	ROBO3_HUMAN		CPI-SS02B2C16ED	ROBO3	0.007	0.036	0.021	0.032	0.018	0.005
CD38	P28907	False	CD38_HUMAN		CPI-SS0E0DEA7D5	CD38	0.0	0.0	0.0	0.003	0.0	0.0
