gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EN	EP	FB	PR	UN
HSD17B6	O14756	True	H17B6_HUMAN	Androsterone_byHSD17B6	CPI-CS019C00E02	HSD17B6	0.002	0.0	0.0	0.006	0.002	0.003
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CS08EE9E5CE	ALDH1A1	0.003	0.002	0.809	0.0	0.03	0.002
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CS033058D2B	ALDH1A2	0.01	0.017	0.011	0.009	0.38	0.002
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CS0C61C245A	ALDH1A3	0.0	0.0	0.0	0.006	0.008	0.0
LIPA	P38571	True	LICH_HUMAN	Cholesterol_byLIPA	CPI-CS0406B0B69	LIPA	0.03	0.649	0.181	0.361	0.121	0.015
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS023F349AF	PTGES	0.004	0.0	0.011	0.044	0.022	0.002
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS077A507B6	LTC4S	0.034	0.002	0.074	0.013	0.005	0.011
CDH5	P33151	False	CADH5_HUMAN		CPI-SS00C24ED50	CDH5	0.005	0.818	0.0	0.013	0.004	0.008
CDH6	P55285	False	CADH6_HUMAN		CPI-SS0C53F7672	CDH6	0.004	0.0	0.043	0.028	0.018	0.002
CDH7	Q9ULB5	False	CADH7_HUMAN		CPI-SS0BE3D537D	CDH7	0.013	0.019	0.011	0.057	0.151	0.003
CD44	P16070	False	CD44_HUMAN		CPI-SS06F83AE58	CD44	0.017	0.223	0.096	0.133	0.078	0.011
GJA1	P17302	False	CXA1_HUMAN		CPI-SS04829AC68	GJA1	0.169	0.758	0.064	0.421	0.106	0.042
F2	P00734	False	THRB_HUMAN		CPI-SS0BDC2B411	F2	0.001	0.0	0.734	0.0	0.0	0.0
F2	P00734	False	THRB_HUMAN		CPI-SS09B583B3F	F2	0.001	0.0	0.734	0.0	0.0	0.0
THBS1	P07996	False	TSP1_HUMAN		CPI-SS0C93E48D7	THBS1	0.03	0.223	0.032	0.171	0.105	0.006
ENTPD1	P49961	False	ENTP1_HUMAN		CPI-SS0E90C46BC	ENTPD1	0.009	0.315	0.0	0.117	0.12	0.006
APOA1	P02647	False	APOA1_HUMAN		CPI-SS015B29D3F	APOA1	0.187	0.027	0.745	0.025	0.016	0.026
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0BA601DC4	BDNF	0.007	0.022	0.0	0.019	0.139	0.003
CCL21	O00585	False	CCL21_HUMAN		CPI-SS0ECD9BB5E	CCL21	0.137	0.027	0.043	0.335	0.009	0.016
CXCL13	O43927	False	CXL13_HUMAN		CPI-SS083B5EBAB	CXCL13	0.0	0.0	0.0	0.0	0.002	0.0
CXCL2	P19875	False	CXCL2_HUMAN		CPI-SS0F562FEA5	CXCL2	0.0	0.01	0.074	0.009	0.001	0.0
CXCL3	P19876	False	CXCL3_HUMAN		CPI-SS09185EA8F	CXCL3	0.001	0.01	0.0	0.009	0.001	0.0
CXCL6	P80162	False	CXCL6_HUMAN		CPI-SS093B46106	CXCL6	0.0	0.0	0.0	0.003	0.002	0.0
CXCL8	P10145	False	IL8_HUMAN		CPI-SS0315F51DD	CXCL8	0.001	0.024	0.0	0.006	0.0	0.0
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0A28DCA72	CXCL12	0.146	0.017	0.053	0.133	0.187	0.031
CXCL14	O95715	False	CXL14_HUMAN		CPI-SS0669CC233	CXCL14	0.007	0.005	0.074	0.019	0.006	0.013
CXCL13	O43927	False	CXL13_HUMAN		CPI-SS0C2437E0D	CXCL13	0.0	0.0	0.0	0.0	0.002	0.0
C3	P01024	False	CO3_HUMAN		CPI-SS00F4019EA	C3	0.002	0.0	0.574	0.0	0.0	0.002
IHH	Q14623	False	IHH_HUMAN		CPI-SS055233B99	IHH	0.0	0.0	0.074	0.0	0.0	0.0
SHH	Q15465	False	SHH_HUMAN		CPI-SS0F7A89A4F	SHH	0.0	0.0	0.053	0.0	0.0	0.0
EDN1	P05305	False	EDN1_HUMAN		CPI-SS0D8632EB4	EDN1	0.002	0.051	0.0	0.009	0.002	0.0
EDN3	P14138	False	EDN3_HUMAN		CPI-SS03D5CBF55	EDN3	0.0	0.0	0.0	0.0	0.014	0.0
EDN1	P05305	False	EDN1_HUMAN		CPI-SS09B92F236	EDN1	0.002	0.051	0.0	0.009	0.002	0.0
EDN3	P14138	False	EDN3_HUMAN		CPI-SS0696491A3	EDN3	0.0	0.0	0.0	0.0	0.014	0.0
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS087E0E3FB	EFNB2	0.075	0.528	0.064	0.092	0.348	0.018
AREG	P15514	False	AREG_HUMAN		CPI-SS052119104	AREG	0.092	0.191	0.394	0.076	0.01	0.023
EGF	P01133	False	EGF_HUMAN		CPI-SS09947DDD9	EGF	0.042	0.029	0.0	0.016	0.0	0.019
LGALS3	P17931	False	LEG3_HUMAN		CPI-SS076940BCD	LGALS3	0.512	0.09	0.691	0.389	0.303	0.092
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0E23CEB91	LGALS9	0.003	0.007	0.011	0.009	0.006	0.002
