id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EN_H	CM|EN_V	CM|EP	CM|FB_H	CM|FB_V	CM|PR	CM|UN	EN_H|CM	EN_H|EN_H	EN_H|EN_V	EN_H|EP	EN_H|FB_H	EN_H|FB_V	EN_H|PR	EN_H|UN	EN_V|CM	EN_V|EN_H	EN_V|EN_V	EN_V|EP	EN_V|FB_H	EN_V|FB_V	EN_V|PR	EN_V|UN	EP|CM	EP|EN_H	EP|EN_V	EP|EP	EP|FB_H	EP|FB_V	EP|PR	EP|UN	FB_H|CM	FB_H|EN_H	FB_H|EN_V	FB_H|EP	FB_H|FB_H	FB_H|FB_V	FB_H|PR	FB_H|UN	FB_V|CM	FB_V|EN_H	FB_V|EN_V	FB_V|EP	FB_V|FB_H	FB_V|FB_V	FB_V|PR	FB_V|UN	PR|CM	PR|EN_H	PR|EN_V	PR|EP	PR|FB_H	PR|FB_V	PR|PR	PR|UN	UN|CM	UN|EN_H	UN|EN_V	UN|EP	UN|FB_H	UN|FB_V	UN|PR	UN|UN
CPI-SS0D97012FB	PENK_OPRM1	simple:P01210	simple:P35372	PENK	OPRM1	True	False	True	curated	False	Ligand-Receptor	Signaling by Opioid	0.003	0.005	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.261	0.262	0.0	0.0	0.262	0.0	0.0	0.0	0.048	0.049	0.0	0.0	0.049	0.0	0.0	0.0	0.002	0.003	0.0	0.0	0.003	0.0	0.0	0.0	0.009	0.01	0.0	0.0	0.01	0.0	0.0	0.0
CPI-SS0133239EA	ADCYAP1_ADCYAP1R1	simple:P18509	simple:P41586	ADCYAP1	ADCYAP1R1	True	False	True	curated	False	Ligand-Receptor	Signaling by Pituitary adenylate	0.0	0.004	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.005	0.0	0.0	0.0	0.003	0.0	0.0	0.002	0.005	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.005	0.0	0.0	0.0	0.003	0.0	0.0
CPI-SS06102CC06	VIP_ADCYAP1R1	simple:P01282	simple:P41586	VIP	ADCYAP1R1	True	False	True	curated	False	Ligand-Receptor	Signaling by Vasoactive Intestinal Peptide	0.0	0.004	0.0	0.0	0.0	0.002	0.0	0.0	0.005	0.008	0.0	0.0	0.0	0.007	0.0	0.0	0.004	0.007	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.004	0.0	0.0	0.0	0.003	0.0	0.0	0.025	0.028	0.0	0.0	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS07361522F	PGF_FLT1	simple:P49763	simple:P17948	PGF	FLT1	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.034	1.532	1.283	0.051	0.238	0.12	0.3	0.099	0.193	1.691	1.442	0.21	0.397	0.279	0.459	0.257	0.407	1.905	1.656	0.424	0.611	0.492	0.673	0.471	0.044	1.542	1.293	0.061	0.248	0.13	0.31	0.109	0.075	1.573	1.324	0.092	0.279	0.16	0.341	0.139	0.076	1.574	1.325	0.092	0.28	0.161	0.341	0.14	0.276	1.774	1.525	0.293	0.48	0.362	0.542	0.34	0.026	1.524	1.275	0.043	0.23	0.112	0.292	0.09
CPI-SS0B9B3870A	VEGFA_FLT1	simple:P15692	simple:P17948	VEGFA	FLT1	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.549	2.047	1.797	0.565	0.753	0.634	0.814	0.613	0.166	1.664	1.415	0.183	0.37	0.252	0.432	0.231	0.127	1.625	1.376	0.144	0.332	0.213	0.393	0.192	0.572	2.07	1.821	0.589	0.776	0.658	0.838	0.637	0.724	2.222	1.973	0.741	0.928	0.81	0.99	0.788	0.148	1.645	1.396	0.164	0.352	0.233	0.413	0.212	0.124	1.622	1.373	0.141	0.328	0.21	0.39	0.189	0.623	2.121	1.872	0.64	0.828	0.709	0.889	0.688
CPI-SC0B51DC960	PGF_FLT1_complex	simple:P49763	complex:FLT1_complex	PGF		True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.034	0.864	0.818	0.023	0.09	0.046	0.012	0.076	0.193	1.023	0.977	0.182	0.249	0.205	0.171	0.235	0.407	1.237	1.191	0.395	0.463	0.418	0.385	0.449	0.044	0.874	0.828	0.033	0.1	0.056	0.022	0.086	0.075	0.905	0.859	0.063	0.131	0.086	0.053	0.117	0.076	0.906	0.859	0.064	0.132	0.087	0.054	0.118	0.276	1.106	1.06	0.264	0.332	0.287	0.254	0.318	0.026	0.856	0.81	0.015	0.082	0.037	0.004	0.068
CPI-SC0AFC650CD	VEGFA_FLT1_complex	simple:P15692	complex:FLT1_complex	VEGFA		True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.549	1.379	1.332	0.537	0.605	0.56	0.527	0.591	0.166	0.996	0.95	0.155	0.222	0.178	0.144	0.208	0.127	0.957	0.911	0.116	0.183	0.139	0.105	0.17	0.572	1.402	1.356	0.561	0.628	0.584	0.55	0.614	0.724	1.554	1.508	0.713	0.78	0.735	0.702	0.766	0.148	0.977	0.931	0.136	0.203	0.159	0.125	0.19	0.124	0.954	0.908	0.113	0.18	0.136	0.102	0.166	0.623	1.453	1.407	0.612	0.679	0.635	0.601	0.666
CPI-SS01790830C	PGF_NRP1	simple:P49763	simple:O14786	PGF	NRP1	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.189	0.581	0.484	0.053	0.229	0.163	0.23	0.116	0.348	0.74	0.643	0.212	0.388	0.322	0.389	0.275	0.561	0.954	0.856	0.425	0.601	0.535	0.603	0.489	0.199	0.591	0.494	0.063	0.239	0.173	0.24	0.126	0.23	0.622	0.524	0.093	0.269	0.203	0.271	0.157	0.23	0.623	0.525	0.094	0.27	0.204	0.272	0.158	0.431	0.823	0.725	0.294	0.47	0.404	0.472	0.358	0.181	0.573	0.475	0.045	0.221	0.154	0.222	0.108
CPI-SS034083FFA	SEMA3A_NRP1	simple:Q14563	simple:O14786	SEMA3A	NRP1	True	False	True	curated	False	Ligand-Receptor	Signaling by Semaphorin	0.296	0.688	0.59	0.16	0.336	0.269	0.337	0.223	0.197	0.589	0.491	0.06	0.236	0.17	0.238	0.124	0.199	0.592	0.494	0.063	0.239	0.173	0.24	0.126	0.192	0.584	0.486	0.055	0.231	0.165	0.233	0.119	0.204	0.597	0.499	0.068	0.244	0.178	0.245	0.132	0.285	0.677	0.579	0.149	0.325	0.258	0.326	0.212	0.252	0.644	0.546	0.116	0.292	0.225	0.293	0.179	0.232	0.624	0.526	0.096	0.272	0.205	0.273	0.159
CPI-SS043E22BF5	VEGFA_NRP1	simple:P15692	simple:O14786	VEGFA	NRP1	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.703	1.096	0.998	0.567	0.743	0.677	0.744	0.631	0.321	0.714	0.616	0.185	0.361	0.295	0.362	0.248	0.282	0.675	0.577	0.146	0.322	0.256	0.323	0.209	0.727	1.119	1.022	0.591	0.767	0.701	0.768	0.654	0.879	1.271	1.174	0.743	0.919	0.852	0.92	0.806	0.302	0.695	0.597	0.166	0.342	0.276	0.343	0.23	0.279	0.672	0.574	0.143	0.319	0.253	0.32	0.206	0.778	1.171	1.073	0.642	0.818	0.752	0.819	0.706
