gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EN_H	EN_V	EP	FB_H	FB_V	PR	UN
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0ECC9DF3E	EPHB2	0.09	0.003	0.024	0.021	0.06	0.047	0.01	0.003
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS05ABE6795	EPHB6	0.015	0.012	0.024	0.021	0.092	0.073	0.157	0.003
EGFR	P00533	False	EGFR_HUMAN		CPI-SS052119104	EGFR	0.007	0.012	0.012	0.394	0.218	0.266	0.207	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS09947DDD9	EGFR	0.007	0.012	0.012	0.394	0.218	0.266	0.207	0.0
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS0430C8A78	ADGRL3	0.08	0.015	0.0	0.011	0.025	0.06	0.014	0.019
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-CS059C42E4B	ADGRL3	0.08	0.015	0.0	0.011	0.025	0.06	0.014	0.019
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS0474E1C15	ADGRL3	0.08	0.015	0.0	0.011	0.025	0.06	0.014	0.019
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS052641D5A	ADGRL3	0.08	0.015	0.0	0.011	0.025	0.06	0.014	0.019
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-CS0D62B1695	ADGRL3	0.08	0.015	0.0	0.011	0.025	0.06	0.014	0.019
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS038A612D7	ADGRL3	0.08	0.015	0.0	0.011	0.025	0.06	0.014	0.019
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS0BCB3D402	ADGRL3	0.08	0.015	0.0	0.011	0.025	0.06	0.014	0.019
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS0EA023E51	ADGRL3	0.08	0.015	0.0	0.011	0.025	0.06	0.014	0.019
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS01F00A48A	ADGRL3	0.08	0.015	0.0	0.011	0.025	0.06	0.014	0.019
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS08BFFB96E	ADGRL2	0.076	0.523	0.464	0.096	0.396	0.407	0.274	0.023
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-CS049AAD8F5	ADGRL2	0.076	0.523	0.464	0.096	0.396	0.407	0.274	0.023
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS083BB1EB3	ADGRL2	0.076	0.523	0.464	0.096	0.396	0.407	0.274	0.023
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS021718DBF	ADGRL2	0.076	0.523	0.464	0.096	0.396	0.407	0.274	0.023
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS075F456AF	ADGRL2	0.076	0.523	0.464	0.096	0.396	0.407	0.274	0.023
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS0FD44484F	ADGRL2	0.076	0.523	0.464	0.096	0.396	0.407	0.274	0.023
CYSLTR1	Q9Y271	False	CLTR1_HUMAN		CPI-CS0215886EA	CYSLTR1	0.005	0.404	0.357	0.011	0.044	0.035	0.05	0.006
PTPRZ1	P23471	False	PTPRZ_HUMAN		CPI-SS027E12A36	PTPRZ1	0.0	0.0	0.0	0.021	0.0	0.0	0.0	0.0
PTPRZ1	P23471	False	PTPRZ_HUMAN		CPI-SS04E690D72	PTPRZ1	0.0	0.0	0.0	0.021	0.0	0.0	0.0	0.0
MCAM	P43121	False	MUC18_HUMAN		CPI-SS0730D1EF3	MCAM	0.165	0.672	0.679	0.043	0.085	0.119	0.717	0.045
NOTCH3	Q9UM47	False	NOTC3_HUMAN		CPI-SS007AA9FDE	NOTCH3	0.053	0.058	0.095	0.064	0.18	0.166	0.426	0.01
NOTCH3	Q9UM47	False	NOTC3_HUMAN		CPI-SS0B99F22A2	NOTCH3	0.053	0.058	0.095	0.064	0.18	0.166	0.426	0.01
NOTCH3	Q9UM47	False	NOTC3_HUMAN		CPI-SS0263EFDDF	NOTCH3	0.053	0.058	0.095	0.064	0.18	0.166	0.426	0.01
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS0D37C7C70	NOTCH4	0.015	0.429	0.571	0.021	0.025	0.009	0.017	0.005
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS0837E9F59	NOTCH4	0.015	0.429	0.571	0.021	0.025	0.009	0.017	0.005
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS096F3E0F2	NOTCH4	0.015	0.429	0.571	0.021	0.025	0.009	0.017	0.005
OPRK1	P41145	False	OPRK_HUMAN		CPI-SS0D1EF9598	OPRK1	0.0	0.0	0.012	0.0	0.003	0.013	0.0	0.0
OPRM1	P35372	False	OPRM_HUMAN		CPI-SS0D97012FB	OPRM1	0.0	0.003	0.0	0.0	0.003	0.0	0.0	0.0
ADCYAP1R1	P41586	False	PACR_HUMAN		CPI-SS0133239EA	ADCYAP1R1	0.0	0.009	0.0	0.0	0.0	0.003	0.0	0.0
ADCYAP1R1	P41586	False	PACR_HUMAN		CPI-SS06102CC06	ADCYAP1R1	0.0	0.009	0.0	0.0	0.0	0.003	0.0	0.0
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS07361522F	FLT1	0.05	0.994	0.988	0.074	0.373	0.158	0.39	0.065
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0B9B3870A	FLT1	0.05	0.994	0.988	0.074	0.373	0.158	0.39	0.065
NRP1	O14786	False	NRP1_HUMAN		CPI-SS01790830C	NRP1	0.326	0.781	0.762	0.128	0.38	0.214	0.321	0.091
NRP1	O14786	False	NRP1_HUMAN		CPI-SS034083FFA	NRP1	0.326	0.781	0.762	0.128	0.38	0.214	0.321	0.091
NRP1	O14786	False	NRP1_HUMAN		CPI-SS043E22BF5	NRP1	0.326	0.781	0.762	0.128	0.38	0.214	0.321	0.091
NRP2	O60462	False	NRP2_HUMAN		CPI-SS065D9259F	NRP2	0.232	0.839	0.738	0.106	0.18	0.598	0.11	0.094
NRP2	O60462	False	NRP2_HUMAN		CPI-SS046F8AD8B	NRP2	0.232	0.839	0.738	0.106	0.18	0.598	0.11	0.094
PDGFRA	P16234	False	PGFRA_HUMAN		CPI-SS0B70EB09E	PDGFRA	0.059	0.043	0.119	0.021	0.465	0.631	0.371	0.019
NPY1R	P25929	False	NPY1R_HUMAN		CPI-SS0666DE74B	NPY1R	0.057	0.0	0.024	0.011	0.013	0.166	0.171	0.002
PTGFR	P43088	False	PF2R_HUMAN		CPI-CS058DED3AA	PTGFR	0.014	0.0	0.0	0.0	0.009	0.03	0.0	0.002
PTGFR	P43088	False	PF2R_HUMAN		CPI-CS0D78DAC70	PTGFR	0.014	0.0	0.0	0.0	0.009	0.03	0.0	0.002
PTGER1	P34995	False	PE2R1_HUMAN		CPI-CS09DCEBC2B	PTGER1	0.006	0.0	0.024	0.011	0.009	0.002	0.0	0.0
PTGER2	P43116	False	PE2R2_HUMAN		CPI-CS0F0453B03	PTGER2	0.001	0.0	0.012	0.0	0.003	0.013	0.029	0.0
PTGER3	P43115	False	PE2R3_HUMAN		CPI-CS080C76630	PTGER3	0.075	0.043	0.0	0.021	0.044	0.052	0.005	0.015
PTGER4	P35408	False	PE2R4_HUMAN		CPI-CS023F349AF	PTGER4	0.001	0.009	0.048	0.0	0.022	0.027	0.043	0.002
LGR5	O75473	False	LGR5_HUMAN		CPI-SS09B2320BC	LGR5	0.001	0.0	0.0	0.085	0.003	0.076	0.007	0.0
LGR5	O75473	False	LGR5_HUMAN		CPI-SS056D0AD0D	LGR5	0.001	0.0	0.0	0.085	0.003	0.076	0.007	0.0
LGR5	O75473	False	LGR5_HUMAN		CPI-SS0C3906934	LGR5	0.001	0.0	0.0	0.085	0.003	0.076	0.007	0.0
PLXND1	Q9Y4D7	False	PLXD1_HUMAN		CPI-SS0F3A089DE	PLXND1	0.116	0.754	0.81	0.043	0.215	0.155	0.34	0.037
HTR2B	P41595	False	5HT2B_HUMAN		CPI-CS09463D22E	HTR2B	0.002	0.0	0.0	0.0	0.006	0.008	0.012	0.0
HTR2C	P28335	False	5HT2C_HUMAN		CPI-CS0FBE83390	HTR2C	0.0	0.0	0.012	0.0	0.013	0.005	0.0	0.0
HTR7	P34969	False	5HT7R_HUMAN		CPI-CS059692236	HTR7	0.0	0.0	0.0	0.0	0.013	0.008	0.007	0.0
TACR1	P25103	False	NK1R_HUMAN		CPI-SS02A8BD654	TACR1	0.003	0.0	0.0	0.0	0.016	0.009	0.005	0.0
TACR1	P25103	False	NK1R_HUMAN		CPI-SS0CDDDEE9F	TACR1	0.003	0.0	0.0	0.0	0.016	0.009	0.005	0.0
TNFRSF14	Q92956	False	TNR14_HUMAN		CPI-SS0879B8E95	TNFRSF14	0.0	0.052	0.048	0.053	0.0	0.003	0.002	0.0
KDR	P35968	False	VGFR2_HUMAN		CPI-SS0C03F7CDC	KDR	0.241	0.9	0.94	0.032	0.127	0.055	0.005	0.055
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0A10C2A8F	FRZB	0.209	0.003	0.071	0.021	0.092	0.22	0.376	0.032
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0EE63435D	FRZB	0.209	0.003	0.071	0.021	0.092	0.22	0.376	0.032
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS007954822	FRZB	0.209	0.003	0.071	0.021	0.092	0.22	0.376	0.032
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS0DF9024C0	SFRP1	0.788	0.334	0.25	0.202	0.62	0.815	0.379	0.194
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS036707F4C	SFRP1	0.788	0.334	0.25	0.202	0.62	0.815	0.379	0.194
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS0F1E79A03	SFRP1	0.788	0.334	0.25	0.202	0.62	0.815	0.379	0.194
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS0E9BE6A4E	SFRP2	0.002	0.003	0.0	0.0	0.009	0.109	0.007	0.0
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS0661CE946	SFRP2	0.002	0.003	0.0	0.0	0.009	0.109	0.007	0.0
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS03F33B34C	SFRP2	0.002	0.003	0.0	0.0	0.009	0.109	0.007	0.0
PTGIR	P43119	False	PI2R_HUMAN		CPI-CS09A35DD21	PTGIR	0.003	0.003	0.024	0.0	0.111	0.082	0.171	0.002
