gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CF	CM	EC	MP	OTH	PC
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0917E42F5	SULT1E1	0.0	0.002	0.002	0.137	0.159	0.065
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CS08EE9E5CE	ALDH1A1	0.0	0.003	0.003	0.065	1.242	0.018
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CS033058D2B	ALDH1A2	0.012	0.009	0.014	0.736	0.004	0.511
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CS0C61C245A	ALDH1A3	0.006	0.0	0.0	0.02	0.0	0.0
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS0F0453B03	PTGES	0.042	0.004	0.0	0.043	0.018	0.011
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS023F349AF	PTGES	0.042	0.004	0.0	0.043	0.018	0.011
CDH5	P33151	False	CADH5_HUMAN		CPI-SS00C24ED50	CDH5	0.012	0.015	1.307	0.003	0.0	0.007
CDH6	P55285	False	CADH6_HUMAN		CPI-SS0C53F7672	CDH6	0.024	0.003	0.0	0.003	0.03	0.041
CDH7	Q9ULB5	False	CADH7_HUMAN		CPI-SS0BE3D537D	CDH7	0.06	0.012	0.016	0.376	0.005	0.049
CEACAM6	P40199	False	CEAM6_HUMAN		CPI-SS001BF66E8	CEACAM6	0.0	0.0	0.0	0.0	0.009	0.0
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS01A7DC3C1	CLSTN2	0.002	0.006	0.005	0.058	0.0	0.0
LRRTM1	Q86UE6	False	LRRT1_HUMAN		CPI-SS0EEFFA23C	LRRTM1	0.003	0.001	0.005	0.005	0.0	0.0
