id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CF|CF	CF|CM	CF|EC	CF|MP	CF|OTH	CF|PR	CM|CF	CM|CM	CM|EC	CM|MP	CM|OTH	CM|PR	EC|CF	EC|CM	EC|EC	EC|MP	EC|OTH	EC|PR	MP|CF	MP|CM	MP|EC	MP|MP	MP|OTH	MP|PR	OTH|CF	OTH|CM	OTH|EC	OTH|MP	OTH|OTH	OTH|PR	PR|CF	PR|CM	PR|EC	PR|MP	PR|OTH	PR|PR
CPI-SS056D0AD0D	RSPO2_LGR5	simple:Q6UXX9	simple:O75473	RSPO2	LGR5	True	False	True	curated	False	Ligand-Receptor	Signaling by R-spondin	0.002	0.002	0.0	0.056	0.033	0.004	0.002	0.001	0.0	0.055	0.032	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0C3906934	RSPO3_LGR5	simple:Q9BXY4	simple:O75473	RSPO3	LGR5	True	False	True	curated	False	Ligand-Receptor	Signaling by R-spondin	0.147	0.146	0.0	0.201	0.178	0.148	0.518	0.517	0.0	0.572	0.549	0.52	0.013	0.012	0.0	0.066	0.043	0.014	0.111	0.111	0.0	0.165	0.142	0.113	0.033	0.032	0.0	0.086	0.064	0.034	0.019	0.019	0.0	0.073	0.05	0.021
CPI-CS08EE9E5CE	atRetinoicAcid_byALDH1A1_RORB	complex:atRetinoicAcid_byALDH1A1	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.0	0.0	0.0	0.0	0.0	0.0	0.058	0.002	0.005	0.002	0.0	0.003	0.058	0.002	0.005	0.002	0.0	0.003	0.089	0.033	0.036	0.033	0.0	0.034	0.677	0.621	0.624	0.622	0.0	0.622	0.065	0.01	0.012	0.01	0.0	0.011
CPI-CS033058D2B	atRetinoicAcid_byALDH1A2_RORB	complex:atRetinoicAcid_byALDH1A2	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.062	0.007	0.009	0.007	0.0	0.008	0.061	0.005	0.008	0.005	0.0	0.006	0.063	0.008	0.01	0.008	0.0	0.009	0.424	0.369	0.371	0.369	0.0	0.37	0.058	0.003	0.005	0.003	0.0	0.003	0.312	0.256	0.259	0.256	0.0	0.257
CPI-CS0C61C245A	atRetinoicAcid_byALDH1A3_RORB	complex:atRetinoicAcid_byALDH1A3	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.059	0.004	0.006	0.004	0.0	0.005	0.056	0.001	0.003	0.001	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.066	0.011	0.013	0.011	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS02CAD3BF8	VIP_SCTR	simple:P01282	simple:P47872	VIP	SCTR	True	False	True	curated	False	Ligand-Receptor	Signaling by Vasoactive Intestinal Peptide	0.0	0.001	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.005	0.0	0.0	0.0	0.006	0.0	0.027	0.0	0.0	0.0	0.028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0F3A089DE	SEMA3E_PLXND1	simple:O15041	simple:Q9Y4D7	SEMA3E	PLXND1	True	False	True	curated	False	Ligand-Receptor	Signaling by Semaphorin	0.128	0.064	0.557	0.102	0.019	0.208	0.127	0.062	0.555	0.1	0.017	0.206	0.127	0.063	0.556	0.1	0.018	0.207	0.136	0.071	0.565	0.109	0.026	0.216	0.0	0.0	0.0	0.0	0.0	0.0	0.166	0.101	0.594	0.139	0.056	0.245
CPI-SS0FE594C97	SST_SSTR2	simple:P61278	simple:P30874	SST	SSTR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Somatostatin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.003	0.002	0.005	0.036	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0D681D90E	SDC2_ADGRA2	simple:P34741	simple:Q96PE1	SDC2	ADGRA2	True	False	True	curated	False	Ligand-Receptor	Signaling by Syndecan	0.374	0.263	0.315	0.419	0.239	0.493	0.245	0.133	0.186	0.289	0.11	0.364	0.148	0.037	0.09	0.193	0.014	0.268	0.384	0.272	0.325	0.428	0.249	0.503	0.622	0.51	0.563	0.666	0.487	0.741	0.441	0.329	0.382	0.486	0.306	0.56
CPI-SS02A8BD654	TAC1_TACR1	simple:P20366	simple:P25103	TAC1	TACR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Tachykinins	0.387	0.382	0.0	0.388	0.0	0.383	0.017	0.012	0.0	0.018	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.535	0.0	0.541	0.0	0.536	0.009	0.004	0.0	0.01	0.0	0.005	0.107	0.102	0.0	0.108	0.0	0.103
CPI-SS05A3055C3	TNFSF10_TNFRSF11B	simple:P50591	simple:O00300	TNFSF10	TNFRSF11B	True	False	False	curated	False	Ligand-Receptor	Signaling by Tumor necrosis factor	0.009	0.004	0.015	0.0	0.009	0.004	0.007	0.003	0.014	0.0	0.008	0.003	0.156	0.151	0.162	0.0	0.156	0.151	0.009	0.004	0.016	0.0	0.009	0.005	0.055	0.05	0.062	0.0	0.055	0.051	0.008	0.003	0.015	0.0	0.008	0.004
CPI-SS0C03F7CDC	VEGFA_KDR	simple:P15692	simple:P35968	VEGFA	KDR	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.772	0.829	1.538	0.731	0.706	0.695	0.607	0.664	1.373	0.566	0.541	0.53	0.213	0.271	0.979	0.173	0.147	0.136	0.208	0.266	0.974	0.168	0.142	0.131	0.627	0.684	1.393	0.587	0.561	0.55	0.174	0.232	0.94	0.134	0.108	0.097
CPI-SS0786D3749	WNT2B_FRZB	simple:Q93097	simple:Q92765	WNT2B	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.059	0.126	0.019	0.141	0.018	0.309	0.054	0.121	0.014	0.136	0.013	0.304	0.065	0.133	0.025	0.148	0.024	0.315	0.055	0.122	0.015	0.137	0.014	0.305	0.057	0.125	0.017	0.139	0.016	0.307	0.06	0.127	0.02	0.142	0.019	0.31
CPI-SS0EE63435D	WNT4_FRZB	simple:P56705	simple:Q92765	WNT4	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.0	0.0	0.0	0.0	0.0	0.0	0.046	0.114	0.006	0.129	0.005	0.296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS007954822	WNT5A_FRZB	simple:P41221	simple:Q92765	WNT5A	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.153	0.22	0.112	0.235	0.112	0.402	0.065	0.133	0.025	0.148	0.024	0.315	0.073	0.141	0.033	0.156	0.032	0.323	0.16	0.227	0.12	0.242	0.119	0.41	0.064	0.132	0.024	0.146	0.023	0.314	0.139	0.207	0.099	0.222	0.099	0.389
CPI-SS0EBBBD522	WNT9A_FRZB	simple:O14904	simple:Q92765	WNT9A	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.0	0.0	0.0	0.0	0.0	0.0	0.046	0.114	0.006	0.129	0.005	0.296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS05207EFF8	WNT2B_SFRP1	simple:Q93097	simple:Q8N474	WNT2B	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.498	0.664	0.183	1.216	0.121	0.336	0.493	0.658	0.177	1.211	0.116	0.331	0.504	0.67	0.189	1.223	0.128	0.342	0.494	0.659	0.178	1.212	0.117	0.332	0.496	0.662	0.181	1.215	0.119	0.334	0.499	0.665	0.184	1.217	0.122	0.337
CPI-SS036707F4C	WNT4_SFRP1	simple:P56705	simple:Q8N474	WNT4	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.0	0.0	0.0	0.0	0.0	0.0	0.485	0.651	0.17	1.204	0.109	0.323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0F1E79A03	WNT5A_SFRP1	simple:P41221	simple:Q8N474	WNT5A	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.592	0.757	0.276	1.31	0.215	0.43	0.505	0.67	0.189	1.223	0.128	0.342	0.512	0.678	0.197	1.231	0.136	0.35	0.599	0.764	0.283	1.317	0.222	0.437	0.503	0.669	0.188	1.222	0.126	0.341	0.579	0.744	0.263	1.297	0.202	0.416
CPI-SS0A93EEAEB	WNT9A_SFRP1	simple:O14904	simple:Q8N474	WNT9A	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.0	0.0	0.0	0.0	0.0	0.0	0.486	0.651	0.17	1.204	0.109	0.323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS08643DD8A	WNT2B_SFRP2	simple:Q93097	simple:Q96HF1	WNT2B	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.018	0.014	0.014	0.123	0.0	0.021	0.013	0.009	0.009	0.118	0.0	0.016	0.025	0.02	0.02	0.129	0.0	0.027	0.014	0.01	0.01	0.119	0.0	0.017	0.016	0.012	0.012	0.121	0.0	0.019	0.019	0.015	0.015	0.124	0.0	0.022
CPI-SS0661CE946	WNT4_SFRP2	simple:P56705	simple:Q96HF1	WNT4	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.001	0.001	0.11	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS03F33B34C	WNT5A_SFRP2	simple:P41221	simple:Q96HF1	WNT5A	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.112	0.107	0.108	0.216	0.0	0.114	0.025	0.02	0.02	0.129	0.0	0.027	0.033	0.028	0.028	0.137	0.0	0.035	0.119	0.115	0.115	0.224	0.0	0.121	0.023	0.019	0.019	0.128	0.0	0.026	0.099	0.094	0.095	0.203	0.0	0.101
CPI-SS00877D499	WNT9A_SFRP2	simple:O14904	simple:Q96HF1	WNT9A	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.001	0.001	0.11	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS010F961E8	WNT2B_WIF1	simple:Q93097	simple:Q9Y5W5	WNT2B	WIF1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0
CPI-SS068E97BDA	WNT4_WIF1	simple:P56705	simple:Q9Y5W5	WNT4	WIF1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS03C93A8FE	WNT5A_WIF1	simple:P41221	simple:Q9Y5W5	WNT5A	WIF1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.0	0.107	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.114	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.094	0.0	0.0	0.0	0.0
CPI-SS04662DF1A	WNT9A_WIF1	simple:O14904	simple:Q9Y5W5	WNT9A	WIF1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC0BDF87EA3	GDNF_RET_receptor_1	simple:P39905	complex:RET_receptor_1	GDNF		True	False	True	curated	False	Ligand-Receptor		0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.001	0.001	0.001	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.013	0.013	0.013	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.009	0.009	0.01	0.0	0.013
CPI-SS04C672963	ESAM_ESAM	simple:Q96AP7	simple:Q96AP7	ESAM	ESAM	False	False	False	curated	False	Adhesion-Adhesion		0.082	0.051	0.827	0.053	0.047	0.223	0.051	0.02	0.796	0.022	0.016	0.192	0.827	0.796	1.572	0.798	0.791	0.968	0.053	0.022	0.798	0.024	0.018	0.194	0.047	0.016	0.791	0.018	0.011	0.188	0.223	0.192	0.968	0.194	0.188	0.365
CPI-SS00577086D	FTL_SCARA5	simple:P02792	simple:Q6ZMJ2	FTL	SCARA5	False	False	True	curated	False	Ligand-Receptor		0.0	0.0	0.0	2.25	0.0	0.0	0.0	0.0	0.0	1.785	0.0	0.0	0.0	0.0	0.0	1.979	0.0	0.0	0.0	0.0	0.0	1.844	0.0	0.0	0.0	0.0	0.0	2.525	0.0	0.0	0.0	0.0	0.0	1.761	0.0	0.0
