Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	34/90	6.017366e-57	5.872949e-54	0	0	1.825476e+02	2.363128e+04	RPL30;RPL3;RPL32;RPL10;RPL34;RPL12;RPL8;RPL6;RPS4X;RPS14;RPS15A;RPS18;RPL14;RPS3;RPL13;RPL37;RPL15;RPS2;RPL18;RPS27A;RPL39;RPL17;RPS12;RPL19;RPL41;RPS7;RPS8;RPS6;RPS3A;RPS28;RPS27;RPL27A;RPL26;RPL28
GO_Biological_Process_2021	cytoplasmic translation (GO:0002181)	34/93	2.379225e-56	1.161062e-53	0	0	1.732393e+02	2.218815e+04	RPL30;RPL3;RPL32;RPL10;RPL34;RPL12;RPL8;RPL6;RPS4X;RPS14;RPS15A;RPS18;RPL14;RPS3;RPL13;RPL37;RPL15;RPS2;RPL18;RPS27A;RPL39;RPL17;RPS12;RPL19;RPL41;RPS7;RPS8;RPS6;RPS3A;RPS28;RPS27;RPL27A;RPL26;RPL28
GO_Biological_Process_2021	cotranslational protein targeting to membrane (GO:0006613)	34/94	3.715651e-56	1.208825e-53	0	0	1.703434e+02	2.174131e+04	RPL30;RPL3;RPL32;RPL10;RPL34;RPL12;RPL8;RPL6;RPS4X;RPS14;RPS15A;RPS18;RPL14;RPS3;RPL13;RPL37;RPL15;RPS2;RPL18;RPS27A;RPL39;RPL17;RPS12;RPL19;RPL41;RPS7;RPS8;RPS6;RPS3A;RPS28;RPS27;RPL27A;RPL26;RPL28
GO_Biological_Process_2021	protein targeting to ER (GO:0045047)	34/103	1.599103e-54	3.901811e-52	0	0	1.480575e+02	1.833991e+04	RPL30;RPL3;RPL10;RPL32;RPL12;RPL34;RPL8;RPL6;RPS4X;RPS14;RPS15A;RPS18;RPL14;RPS3;RPL13;RPL15;RPS2;RPL37;RPL18;RPS27A;RPL17;RPL39;RPL19;RPS12;RPL41;RPS7;RPS8;RPS6;RPS3A;RPS28;RPS27;RPL27A;RPL26;RPL28
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	34/113	6.675639e-53	1.303085e-50	0	0	1.292509e+02	1.552801e+04	RPL30;RPL3;RPL10;RPL32;RPL12;RPL34;RPL8;RPL6;RPS4X;RPS14;RPS15A;RPS18;RPL14;RPS3;RPL13;RPL15;RPS2;RPL37;RPL18;RPS27A;RPL17;RPL39;RPL19;RPS12;RPL41;RPS7;RPS8;RPS6;RPS3A;RPS28;RPS27;RPL27A;RPL26;RPL28
GO_Biological_Process_2021	peptide biosynthetic process (GO:0043043)	35/162	8.897279e-49	1.447291e-46	0	0	8.383465e+01	9.275543e+03	RPL30;RPL3;RPL10;RPL32;RPL12;RPL34;RPL8;RPL6;RPS4X;RPS14;RPS15A;RPS18;RPL14;RPS3;RPL13;RPL15;RPS2;RPL37;RPL18;RPS27A;RPL17;RPL39;RPL19;RPS12;RPL41;RPS7;RPS8;RPS6;RPS3A;EEF1A1;RPS28;RPS27;RPL27A;RPL26;RPL28
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process (GO:0000956)	35/171	7.185357e-48	1.001844e-45	0	0	7.825113e+01	8.494320e+03	RPL30;DDX5;RPL3;RPL10;RPL32;RPL12;RPL34;RPL8;RPL6;RPS4X;RPS14;RPS15A;RPS18;RPL14;RPS3;RPL13;RPL15;RPS2;RPL37;RPL18;RPS27A;RPL17;RPL39;RPL19;RPS12;RPL41;RPS7;RPS8;RPS6;RPS3A;RPS28;RPS27;RPL27A;RPL26;RPL28
GO_Biological_Process_2021	translation (GO:0006412)	35/214	3.573245e-44	4.359359e-42	0	0	5.932402e+01	5.934791e+03	RPL30;RPL3;RPL10;RPL32;RPL12;RPL34;RPL8;RPL6;RPS4X;RPS14;RPS15A;RPS18;RPL14;RPS3;RPL13;RPL15;RPS2;RPL37;RPL18;RPS27A;RPL17;RPL39;RPL19;RPS12;RPL41;RPS7;RPS8;RPS6;RPS3A;EEF1A1;RPS28;RPS27;RPL27A;RPL26;RPL28
GO_Biological_Process_2021	cellular macromolecule biosynthetic process (GO:0034645)	36/314	1.187549e-39	1.287831e-37	0	0	3.970279e+01	3.558518e+03	RPL30;RPL3;RPL10;RPL32;RPL12;RPL34;RPL8;RPL6;RPS4X;RPS14;RPS15A;RPS18;RPL14;RPS3;RPL13;RPL15;RPS2;RPL37;RPL18;RPS27A;RPL17;RPL39;RPL19;RPS12;RPL41;RPS7;RPS8;RPS6;RPS3A;EEF1A1;RPS28;RPS27;RPL27A;RPL26;RPL28;PTMA
GO_Biological_Process_2021	gene expression (GO:0010467)	36/356	1.231674e-37	1.202113e-35	0	0	3.441797e+01	2.925089e+03	RPL30;RPL3;RPL10;RPL32;RPL12;RPL34;RPL8;RPL6;RPS4X;RPS14;RPS15A;RPS18;RPL14;RPS3;RPL13;RPL15;RPS2;RPL37;RPL18;RPS27A;RPL17;RPL39;RPL19;RPS12;RPL41;RPS7;RPS8;RPS6;RPS3A;EEF1A1;RPS28;RPS27;RPL27A;RPL26;RPL28;PTMA
GO_Biological_Process_2021	cellular protein metabolic process (GO:0044267)	37/417	1.338993e-36	1.188052e-34	0	0	3.016876e+01	2.491974e+03	RPL30;RPL3;RPL10;RPL32;RPL12;RPL34;PLAT;RPL8;RPL6;RPS4X;RPS14;RPS15A;RPS18;RPL14;RPS3;RPL13;RPL15;RPS2;RPL37;RPL18;RPS27A;RPL17;RPL39;RPL19;RPS12;RPL41;RPS7;RPS8;RPS6;FN1;RPS3A;EEF1A1;RPS28;RPS27;RPL27A;RPL26;RPL28
GO_Biological_Process_2021	rRNA metabolic process (GO:0016072)	26/162	2.181357e-32	1.774170e-30	0	0	5.105962e+01	3.722388e+03	RPL30;RPL3;RPL10;RPL32;RPL12;RPL34;RPL8;RPL6;RPS14;RPL14;RPL13;RPL15;RPS2;RPL37;RPL18;RPL17;RPL39;RPL19;RPL41;RPS7;RPS6;RPS28;RPS27;RPL27A;RPL26;RPL28
GO_Biological_Process_2021	ribosome biogenesis (GO:0042254)	27/192	5.289797e-32	3.971417e-30	0	0	4.423786e+01	3.185875e+03	RPL30;RPL3;RPL10;RPL32;RPL12;RPL34;RPL8;RPL6;RPS14;RPL14;RPL13;RPL15;RPS2;RPL37;RPL18;RPL17;RPL39;RPL19;RPL41;NPM1;RPS7;RPS6;RPS28;RPS27;RPL27A;RPL26;RPL28
GO_Biological_Process_2021	rRNA processing (GO:0006364)	26/173	1.334046e-31	9.300206e-30	0	0	4.721254e+01	3.356430e+03	RPL30;RPL3;RPL10;RPL32;RPL12;RPL34;RPL8;RPL6;RPS14;RPL14;RPL13;RPL15;RPS2;RPL37;RPL18;RPL17;RPL39;RPL19;RPL41;RPS7;RPS6;RPS28;RPS27;RPL27A;RPL26;RPL28
GO_Biological_Process_2021	ncRNA processing (GO:0034470)	26/201	7.955530e-30	5.176398e-28	0	0	3.960232e+01	2.653501e+03	RPL30;RPL3;RPL10;RPL32;RPL12;RPL34;RPL8;RPL6;RPS14;RPL14;RPL13;RPL15;RPS2;RPL37;RPL18;RPL17;RPL39;RPL19;RPL41;RPS7;RPS6;RPS28;RPS27;RPL27A;RPL26;RPL28
GO_Biological_Process_2021	ribosome assembly (GO:0042255)	7/50	5.288019e-09	3.225691e-07	0	0	3.475844e+01	6.624202e+02	RPS14;NPM1;RPS28;RPL3;RPS27;RPL10;RPL6
