id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EN_H	CM|EN_V	CM|EP	CM|FB_H	CM|FB_V	CM|PR	CM|SM	CM|UN	EN_H|CM	EN_H|EN_H	EN_H|EN_V	EN_H|EP	EN_H|FB_H	EN_H|FB_V	EN_H|PR	EN_H|SM	EN_H|UN	EN_V|CM	EN_V|EN_H	EN_V|EN_V	EN_V|EP	EN_V|FB_H	EN_V|FB_V	EN_V|PR	EN_V|SM	EN_V|UN	EP|CM	EP|EN_H	EP|EN_V	EP|EP	EP|FB_H	EP|FB_V	EP|PR	EP|SM	EP|UN	FB_H|CM	FB_H|EN_H	FB_H|EN_V	FB_H|EP	FB_H|FB_H	FB_H|FB_V	FB_H|PR	FB_H|SM	FB_H|UN	FB_V|CM	FB_V|EN_H	FB_V|EN_V	FB_V|EP	FB_V|FB_H	FB_V|FB_V	FB_V|PR	FB_V|SM	FB_V|UN	PR|CM	PR|EN_H	PR|EN_V	PR|EP	PR|FB_H	PR|FB_V	PR|PR	PR|SM	PR|UN	SM|CM	SM|EN_H	SM|EN_V	SM|EP	SM|FB_H	SM|FB_V	SM|PR	SM|SM	SM|UN	UN|CM	UN|EN_H	UN|EN_V	UN|EP	UN|FB_H	UN|FB_V	UN|PR	UN|SM	UN|UN
CPI-SS00C24ED50	CDH5_CDH5	simple:P33151	simple:P33151	CDH5	CDH5	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.005	0.789	0.864	0.01	0.033	0.006	0.005	0.0	0.015	0.789	1.574	1.649	0.795	0.817	0.79	0.79	0.0	0.799	0.864	1.649	1.724	0.87	0.893	0.865	0.865	0.0	0.875	0.01	0.795	0.87	0.016	0.039	0.011	0.011	0.0	0.021	0.033	0.817	0.893	0.039	0.061	0.034	0.033	0.0	0.043	0.006	0.79	0.865	0.011	0.034	0.006	0.006	0.0	0.016	0.005	0.79	0.865	0.011	0.033	0.006	0.006	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.799	0.875	0.021	0.043	0.016	0.015	0.0	0.025
CPI-SS0BE3D537D	CDH7_CDH7	simple:Q9ULB5	simple:Q9ULB5	CDH7	CDH7	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.016	0.02	0.045	0.012	0.016	0.354	0.064	0.0	0.0	0.02	0.024	0.049	0.016	0.02	0.357	0.068	0.0	0.0	0.045	0.049	0.074	0.041	0.045	0.382	0.092	0.0	0.0	0.012	0.016	0.041	0.008	0.012	0.349	0.059	0.0	0.0	0.016	0.02	0.045	0.012	0.017	0.354	0.064	0.0	0.0	0.354	0.357	0.382	0.349	0.354	0.691	0.401	0.0	0.0	0.064	0.068	0.092	0.059	0.064	0.401	0.111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS001BF66E8	CEACAM6_CEACAM6	simple:P40199	simple:P40199	CEACAM6	CEACAM6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CEAM	0.0	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS01A7DC3C1	CLSTN2_NRXN3	simple:Q9H4D0	simple:Q9HDB5	CLSTN2	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.007	0.005	0.006	0.009	0.009	0.009	0.028	0.015	0.012	0.004	0.001	0.003	0.005	0.005	0.006	0.024	0.011	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.003	0.004	0.007	0.007	0.007	0.026	0.013	0.011	0.036	0.034	0.035	0.038	0.038	0.038	0.057	0.044	0.042	0.009	0.006	0.008	0.01	0.01	0.011	0.029	0.016	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS026EC3854	LRRTM3_NRXN3	simple:Q86VH5	simple:Q9HDB5	LRRTM3	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.01	0.007	0.009	0.011	0.011	0.012	0.03	0.017	0.015	0.004	0.002	0.003	0.006	0.006	0.006	0.025	0.012	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.001	0.003	0.006	0.005	0.006	0.025	0.011	0.009	0.015	0.012	0.014	0.017	0.016	0.017	0.036	0.022	0.02	0.01	0.008	0.009	0.012	0.012	0.012	0.031	0.017	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.013	0.015	0.017	0.017	0.017	0.036	0.023	0.021
CPI-SS0C93E48D7	THBS1_CD36	simple:P07996	simple:P16671	THBS1	CD36	False	False	True	curated	False	Ligand-Receptor	Signaling by Thrombospondin precursor	0.03	0.029	0.03	0.034	0.034	0.035	0.219	0.394	0.028	0.173	0.171	0.173	0.177	0.177	0.177	0.361	0.536	0.171	0.273	0.272	0.273	0.277	0.277	0.278	0.461	0.636	0.271	0.073	0.072	0.073	0.077	0.077	0.078	0.261	0.436	0.071	0.191	0.19	0.191	0.195	0.195	0.196	0.38	0.555	0.189	0.064	0.063	0.064	0.068	0.068	0.069	0.252	0.428	0.062	0.037	0.036	0.038	0.041	0.041	0.042	0.226	0.401	0.035	0.328	0.326	0.328	0.331	0.331	0.332	0.516	0.691	0.326	0.035	0.034	0.035	0.039	0.039	0.04	0.224	0.399	0.033
CPI-SS086CB298F	APLN_APLNR	simple:Q9ULZ1	simple:P35414	APLN	APLNR	True	False	True	curated	False	Ligand-Receptor	Signaling by Apelin	0.006	0.195	0.073	0.0	0.039	0.006	0.006	0.0	0.0	0.791	0.98	0.858	0.0	0.824	0.792	0.791	0.0	0.0	0.64	0.829	0.707	0.0	0.673	0.641	0.64	0.0	0.0	0.006	0.195	0.073	0.0	0.039	0.006	0.006	0.0	0.0	0.007	0.196	0.074	0.0	0.04	0.008	0.007	0.0	0.0	0.002	0.191	0.069	0.0	0.035	0.002	0.002	0.0	0.0	0.007	0.196	0.074	0.0	0.04	0.008	0.007	0.0	0.0	0.009	0.198	0.076	0.0	0.042	0.009	0.009	0.0	0.0	0.025	0.215	0.092	0.0	0.058	0.026	0.025	0.0	0.0
CPI-SS0BA601DC4	BDNF_NTRK2	simple:P23560	simple:Q16620	BDNF	NTRK2	True	False	True	curated	False	Ligand-Receptor	Signaling by Brain-derived neurotrophic factor	0.003	0.005	0.012	0.0	0.06	0.077	0.056	0.059	0.004	0.006	0.009	0.016	0.0	0.064	0.081	0.06	0.063	0.007	0.015	0.017	0.024	0.0	0.072	0.089	0.068	0.071	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.014	0.021	0.0	0.069	0.087	0.065	0.068	0.013	0.093	0.095	0.103	0.0	0.151	0.168	0.147	0.15	0.094	0.025	0.027	0.034	0.0	0.083	0.1	0.078	0.082	0.026	0.073	0.075	0.083	0.0	0.131	0.148	0.127	0.13	0.074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS09A6C048C	CLSTN2_NRXN1	simple:Q9H4D0	simple:Q9ULB1	CLSTN2	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.213	0.019	0.033	0.026	0.029	0.46	0.184	0.012	0.104	0.21	0.015	0.029	0.022	0.025	0.457	0.181	0.008	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.211	0.017	0.031	0.024	0.027	0.459	0.183	0.01	0.102	0.242	0.048	0.062	0.055	0.058	0.49	0.214	0.041	0.133	0.215	0.02	0.034	0.027	0.03	0.462	0.186	0.013	0.105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0626DF0EB	LRRTM3_NRXN1	simple:Q86VH5	simple:Q9ULB1	LRRTM3	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.216	0.021	0.035	0.028	0.031	0.463	0.187	0.014	0.106	0.211	0.016	0.03	0.023	0.026	0.458	0.182	0.009	0.101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.016	0.029	0.023	0.026	0.457	0.181	0.009	0.1	0.221	0.027	0.041	0.034	0.037	0.468	0.192	0.02	0.112	0.216	0.022	0.036	0.029	0.032	0.463	0.187	0.015	0.107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.222	0.027	0.041	0.034	0.037	0.469	0.193	0.02	0.112
