id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EN_H	CM|EN_V	CM|EP	CM|FB	CM|MU	CM|SM	CM|UN	EN_H|CM	EN_H|EN_H	EN_H|EN_V	EN_H|EP	EN_H|FB	EN_H|MU	EN_H|SM	EN_H|UN	EN_V|CM	EN_V|EN_H	EN_V|EN_V	EN_V|EP	EN_V|FB	EN_V|MU	EN_V|SM	EN_V|UN	EP|CM	EP|EN_H	EP|EN_V	EP|EP	EP|FB	EP|MU	EP|SM	EP|UN	FB|CM	FB|EN_H	FB|EN_V	FB|EP	FB|FB	FB|MU	FB|SM	FB|UN	MU|CM	MU|EN_H	MU|EN_V	MU|EP	MU|FB	MU|MU	MU|SM	MU|UN	SM|CM	SM|EN_H	SM|EN_V	SM|EP	SM|FB	SM|MU	SM|SM	SM|UN	UN|CM	UN|EN_H	UN|EN_V	UN|EP	UN|FB	UN|MU	UN|SM	UN|UN
CPI-SS00C24ED50	CDH5_CDH5	simple:P33151	simple:P33151	CDH5	CDH5	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.005	0.789	0.864	0.01	0.033	0.005	0.0	0.015	0.789	1.574	1.649	0.795	0.817	0.79	0.0	0.799	0.864	1.649	1.724	0.87	0.893	0.865	0.0	0.875	0.01	0.795	0.87	0.016	0.039	0.011	0.0	0.021	0.033	0.817	0.893	0.039	0.061	0.034	0.0	0.043	0.005	0.79	0.865	0.011	0.034	0.006	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.799	0.875	0.021	0.043	0.016	0.0	0.025
CPI-SS0BE3D537D	CDH7_CDH7	simple:Q9ULB5	simple:Q9ULB5	CDH7	CDH7	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.016	0.02	0.045	0.012	0.016	0.251	0.0	0.0	0.02	0.024	0.049	0.016	0.02	0.255	0.0	0.0	0.045	0.049	0.074	0.041	0.045	0.28	0.0	0.0	0.012	0.016	0.041	0.008	0.012	0.247	0.0	0.0	0.016	0.02	0.045	0.012	0.017	0.251	0.0	0.0	0.251	0.255	0.28	0.247	0.251	0.486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS001BF66E8	CEACAM6_CEACAM6	simple:P40199	simple:P40199	CEACAM6	CEACAM6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CEAM	0.0	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS01A7DC3C1	CLSTN2_NRXN3	simple:Q9H4D0	simple:Q9HDB5	CLSTN2	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.007	0.005	0.006	0.009	0.009	0.016	0.015	0.012	0.004	0.001	0.003	0.005	0.005	0.012	0.011	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.003	0.004	0.007	0.007	0.014	0.013	0.011	0.027	0.024	0.026	0.028	0.028	0.035	0.034	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS026EC3854	LRRTM3_NRXN3	simple:Q86VH5	simple:Q9HDB5	LRRTM3	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.01	0.007	0.009	0.011	0.011	0.018	0.017	0.015	0.004	0.002	0.003	0.006	0.006	0.013	0.012	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.001	0.003	0.006	0.005	0.012	0.011	0.009	0.013	0.011	0.012	0.015	0.015	0.022	0.021	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.013	0.015	0.017	0.017	0.024	0.023	0.021
CPI-SS0C93E48D7	THBS1_CD36	simple:P07996	simple:P16671	THBS1	CD36	False	False	True	curated	False	Ligand-Receptor	Signaling by Thrombospondin precursor	0.03	0.029	0.03	0.034	0.034	0.1	0.394	0.028	0.173	0.171	0.173	0.177	0.177	0.243	0.536	0.171	0.273	0.272	0.273	0.277	0.277	0.343	0.636	0.271	0.073	0.072	0.073	0.077	0.077	0.143	0.436	0.071	0.191	0.19	0.191	0.195	0.195	0.261	0.555	0.189	0.054	0.053	0.055	0.058	0.058	0.124	0.418	0.052	0.328	0.326	0.328	0.331	0.331	0.397	0.691	0.326	0.035	0.034	0.035	0.039	0.039	0.105	0.399	0.033
CPI-SS086CB298F	APLN_APLNR	simple:Q9ULZ1	simple:P35414	APLN	APLNR	True	False	True	curated	False	Ligand-Receptor	Signaling by Apelin	0.006	0.195	0.073	0.0	0.039	0.006	0.0	0.0	0.791	0.98	0.858	0.0	0.824	0.792	0.0	0.0	0.64	0.829	0.707	0.0	0.673	0.641	0.0	0.0	0.006	0.195	0.073	0.0	0.039	0.006	0.0	0.0	0.007	0.196	0.074	0.0	0.04	0.008	0.0	0.0	0.004	0.193	0.071	0.0	0.037	0.004	0.0	0.0	0.009	0.198	0.076	0.0	0.042	0.009	0.0	0.0	0.025	0.215	0.092	0.0	0.058	0.026	0.0	0.0
CPI-SS0BA601DC4	BDNF_NTRK2	simple:P23560	simple:Q16620	BDNF	NTRK2	True	False	True	curated	False	Ligand-Receptor	Signaling by Brain-derived neurotrophic factor	0.003	0.005	0.012	0.0	0.06	0.07	0.059	0.004	0.006	0.009	0.016	0.0	0.064	0.074	0.063	0.007	0.015	0.017	0.024	0.0	0.072	0.082	0.071	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.014	0.021	0.0	0.069	0.079	0.068	0.013	0.069	0.071	0.078	0.0	0.127	0.136	0.126	0.07	0.073	0.075	0.083	0.0	0.131	0.14	0.13	0.074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS09A6C048C	CLSTN2_NRXN1	simple:Q9H4D0	simple:Q9ULB1	CLSTN2	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.213	0.019	0.033	0.026	0.029	0.363	0.012	0.104	0.21	0.015	0.029	0.022	0.025	0.359	0.008	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.211	0.017	0.031	0.024	0.027	0.361	0.01	0.102	0.233	0.038	0.052	0.045	0.048	0.382	0.031	0.123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0626DF0EB	LRRTM3_NRXN1	simple:Q86VH5	simple:Q9ULB1	LRRTM3	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.216	0.021	0.035	0.028	0.031	0.365	0.014	0.106	0.211	0.016	0.03	0.023	0.026	0.36	0.009	0.101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.016	0.029	0.023	0.026	0.36	0.009	0.1	0.219	0.025	0.039	0.032	0.035	0.369	0.018	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.222	0.027	0.041	0.034	0.037	0.371	0.02	0.112
CPI-SS0FDAB7BA8	CXCL10_DPP4	simple:P02778	simple:P27487	CXCL10	DPP4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.0	0.005	0.002	0.022	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.004	0.024	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0B1B18F2D	CXCL12_DPP4	simple:P48061	simple:P27487	CXCL12	DPP4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.0	0.177	0.173	0.194	0.0	0.179	0.0	0.0	0.0	0.019	0.016	0.036	0.0	0.021	0.0	0.0	0.0	0.025	0.022	0.042	0.0	0.027	0.0	0.0	0.0	0.073	0.07	0.09	0.0	0.075	0.0	0.0	0.0	0.141	0.138	0.158	0.0	0.143	0.0	0.0	0.0	0.324	0.32	0.341	0.0	0.326	0.0	0.0	0.0	0.194	0.191	0.211	0.0	0.196	0.0	0.0	0.0	0.048	0.045	0.065	0.0	0.05	0.0	0.0
CPI-SS0315F51DD	CXCL8_CXCR2	simple:P10145	simple:P25025	CXCL8	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.001	0.001	0.0	0.0	0.005	0.0	0.0	0.004	0.002	0.002	0.0	0.0	0.006	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.013	0.0	0.0	0.017	0.0	0.0	0.017	0.018	0.018	0.0	0.0	0.022	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0A28DCA72	CXCL12_CXCR4	simple:P48061	simple:P61073	CXCL12	CXCR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.174	0.588	0.77	0.177	0.219	0.194	0.0	0.192	0.017	0.43	0.612	0.02	0.061	0.037	0.0	0.034	0.023	0.436	0.618	0.026	0.067	0.043	0.0	0.04	0.071	0.484	0.666	0.074	0.115	0.091	0.0	0.088	0.139	0.552	0.734	0.142	0.184	0.159	0.0	0.157	0.321	0.735	0.917	0.324	0.366	0.341	0.0	0.339	0.192	0.605	0.787	0.195	0.237	0.212	0.0	0.21	0.046	0.459	0.641	0.049	0.09	0.066	0.0	0.063
CPI-SS0669CC233	CXCL14_CXCR4	simple:O95715	simple:P61073	CXCL14	CXCR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.006	0.419	0.602	0.009	0.051	0.026	0.0	0.024	0.003	0.416	0.598	0.006	0.048	0.023	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.439	0.621	0.029	0.071	0.046	0.0	0.044	0.006	0.419	0.601	0.009	0.05	0.026	0.0	0.023	0.011	0.424	0.606	0.014	0.056	0.031	0.0	0.029	0.047	0.46	0.642	0.05	0.092	0.067	0.0	0.065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0D8632EB4	EDN1_EDNRA	simple:P05305	simple:P25101	EDN1	EDNRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	0.098	0.015	0.06	0.018	0.147	0.433	0.45	0.028	0.141	0.058	0.103	0.061	0.19	0.477	0.494	0.071	0.157	0.074	0.118	0.077	0.206	0.492	0.509	0.087	0.113	0.03	0.075	0.033	0.162	0.448	0.466	0.043	0.252	0.168	0.213	0.172	0.301	0.587	0.604	0.182	0.1	0.016	0.061	0.02	0.149	0.435	0.452	0.03	0.22	0.136	0.181	0.14	0.269	0.555	0.572	0.15	0.104	0.021	0.065	0.024	0.153	0.439	0.456	0.034
CPI-SS056AA08CF	EDN2_EDNRA	simple:P20800	simple:P25101	EDN2	EDNRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	0.097	0.014	0.059	0.018	0.147	0.433	0.45	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.101	0.018	0.063	0.021	0.15	0.436	0.454	0.031
CPI-SS03D5CBF55	EDN3_EDNRA	simple:P14138	simple:P25101	EDN3	EDNRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	0.097	0.014	0.059	0.017	0.146	0.432	0.449	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.105	0.022	0.067	0.025	0.154	0.44	0.458	0.035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS087E0E3FB	EFNB2_EPHA4	simple:P52799	simple:P54764	EFNB2	EPHA4	False	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.193	0.05	0.071	0.035	0.051	0.18	0.046	0.122	0.573	0.43	0.45	0.415	0.431	0.56	0.426	0.502	0.603	0.46	0.481	0.445	0.461	0.59	0.456	0.532	0.201	0.058	0.079	0.043	0.059	0.188	0.054	0.13	0.366	0.222	0.243	0.207	0.223	0.353	0.219	0.294	0.572	0.429	0.45	0.414	0.43	0.56	0.425	0.501	0.468	0.325	0.345	0.31	0.326	0.455	0.321	0.397	0.229	0.085	0.106	0.07	0.086	0.216	0.081	0.157
CPI-SS0DE3B267F	GHRL_GHSR	simple:Q9UBU3	simple:Q92847	GHRL	GHSR	True	False	True	curated	False	Ligand-Receptor	Signaling by Growth hormone-releasing hormone	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0
CPI-SS09F7A6011	PENK_GHSR	simple:P01210	simple:Q92847	PENK	GHSR	True	False	True	curated	False	Ligand-Receptor		0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0
