gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EN_H	EN_V	EP	FB_H	FB_V	PR	SM	UN
LIPA	P38571	True	LICH_HUMAN	Cholesterol_byLIPA	CPI-CS0406B0B69	LIPA	0.023	0.749	0.691	0.262	0.641	0.068	0.15	0.297	0.014
PTGIS	Q16647	True	PTGIS_HUMAN	Prostacyclin_byPTGIS	CPI-CS09A35DD21	PTGIS	0.002	0.012	0.007	0.013	0.047	0.091	0.022	0.0	0.0
AKR1C3	P42330	True	AK1C3_HUMAN	ProstaglandinD2_byAKR1C3	CPI-CS0D78DAC70	AKR1C3	0.095	0.012	0.04	0.409	0.037	0.055	0.052	0.108	0.014
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS09DCEBC2B	PTGES	0.002	0.0	0.007	0.0	0.013	0.057	0.014	0.027	0.0
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS0F0453B03	PTGES	0.002	0.0	0.007	0.0	0.013	0.057	0.014	0.027	0.0
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS080C76630	PTGES	0.002	0.0	0.007	0.0	0.013	0.057	0.014	0.027	0.0
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS023F349AF	PTGES	0.002	0.0	0.007	0.0	0.013	0.057	0.014	0.027	0.0
AKR1B1	P15121	True	ALDR_HUMAN	ProstaglandinF2a_byAKR1B1	CPI-CS058DED3AA	AKR1B1	0.611	0.399	0.389	0.054	0.419	0.112	0.082	0.243	0.149
TPH1	P17752	True	TPH1_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS09463D22E	TPH1	0.0	0.005	0.0	0.0	0.0	0.004	0.001	0.0	0.004
TPH1	P17752	True	TPH1_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS0FBE83390	TPH1	0.0	0.005	0.0	0.0	0.0	0.004	0.001	0.0	0.004
TPH1	P17752	True	TPH1_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS059692236	TPH1	0.0	0.005	0.0	0.0	0.0	0.004	0.001	0.0	0.004
SLC18A2	Q05940	True	VMAT2_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS09463D22E	SLC18A2	0.0	0.005	0.0	0.0	0.0	0.004	0.001	0.0	0.004
SLC18A2	Q05940	True	VMAT2_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS0FBE83390	SLC18A2	0.0	0.005	0.0	0.0	0.0	0.004	0.001	0.0	0.004
SLC18A2	Q05940	True	VMAT2_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS059692236	SLC18A2	0.0	0.005	0.0	0.0	0.0	0.004	0.001	0.0	0.004
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS0215886EA	LTC4S	0.035	0.002	0.0	0.114	0.015	0.003	0.005	0.027	0.011
TENM2	Q9NT68	True	TEN2_HUMAN	TENM2_FLRT3_complex	CPI-CS049AAD8F5	TENM2	0.007	0.005	0.0	0.0	0.022	0.024	0.014	0.0	0.004
FLRT3	Q9NZU0	True	FLRT3_HUMAN	TENM2_FLRT3_complex	CPI-CS049AAD8F5	FLRT3	0.007	0.005	0.0	0.0	0.022	0.024	0.014	0.0	0.004
FLRT3	Q9NZU0	True	FLRT3_HUMAN	TENM3_FLRT3_complex	CPI-CS0D62B1695	FLRT3	0.007	0.024	0.02	0.0	0.022	0.193	0.028	0.0	0.007
TENM3	Q9P273	True	TEN3_HUMAN	TENM3_FLRT1_complex	CPI-CS059C42E4B	TENM3	0.003	0.0	0.007	0.0	0.0	0.003	0.0	0.0	0.004
TENM3	Q9P273	True	TEN3_HUMAN	TENM3_FLRT3_complex	CPI-CS0D62B1695	TENM3	0.007	0.024	0.02	0.0	0.022	0.193	0.028	0.0	0.007
