gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EN_H	EN_V	EP	FB_H	FB_V	PR	SM	UN
FLT1	P17948	True	VGFR1_HUMAN	FLT1_complex	CPI-SC0AFC650CD	FLT1	0.055	1.879	1.79	0.024	0.177	0.072	0.009	0.0	0.077
KDR	P35968	True	VGFR2_HUMAN	FLT1_complex	CPI-SC0B51DC960	KDR	0.055	1.879	1.79	0.024	0.177	0.072	0.009	0.0	0.077
KDR	P35968	True	VGFR2_HUMAN	FLT1_complex	CPI-SC0AFC650CD	KDR	0.055	1.879	1.79	0.024	0.177	0.072	0.009	0.0	0.077
PTCH1	Q13635	True	PTC1_HUMAN	PTCH_BOC_transmembrane_receptor	CPI-SC0037338E6	PTCH1	0.027	0.031	0.035	0.0	0.038	0.11	0.042	0.056	0.037
PTCH1	Q13635	True	PTC1_HUMAN	PTCH_GAS1_transmembrane_receptor	CPI-SC0C3E862AA	PTCH1	0.007	0.014	0.039	0.017	0.047	0.11	0.042	0.019	0.007
BOC	Q9BWV1	True	BOC_HUMAN	PTCH_BOC_transmembrane_receptor	CPI-SC0037338E6	BOC	0.027	0.031	0.035	0.0	0.038	0.11	0.042	0.056	0.037
GAS1	P54826	True	GAS1_HUMAN	PTCH_GAS1_transmembrane_receptor	CPI-SC0C3E862AA	GAS1	0.007	0.014	0.039	0.017	0.047	0.11	0.042	0.019	0.007
RET	P07949	True	RET_HUMAN	RET_receptor_1	CPI-SC0BDF87EA3	RET	0.001	0.0	0.005	0.0	0.002	0.003	0.023	0.019	0.005
GFRA1	P56159	True	GFRA1_HUMAN	RET_receptor_1	CPI-SC0BDF87EA3	GFRA1	0.001	0.0	0.005	0.0	0.002	0.003	0.023	0.019	0.005
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS01A7DC3C1	NRXN3	0.006	0.001	0.004	0.01	0.009	0.01	0.048	0.021	0.017
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS026EC3854	NRXN3	0.006	0.001	0.004	0.01	0.009	0.01	0.048	0.021	0.017
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0F97A06CD	NRXN3	0.006	0.001	0.004	0.01	0.009	0.01	0.048	0.021	0.017
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0837C7966	NRXN3	0.006	0.001	0.004	0.01	0.009	0.01	0.048	0.021	0.017
F2R	P25116	False	PAR1_HUMAN		CPI-SS058209EC7	F2R	0.043	0.88	0.824	0.036	0.905	0.243	0.522	1.132	0.064
CD36	P16671	False	CD36_HUMAN		CPI-SS0C93E48D7	CD36	0.011	0.008	0.011	0.018	0.018	0.02	0.388	0.738	0.006
AGTR1	P30556	False	AGTR1_HUMAN		CPI-SS05996C8FD	AGTR1	0.003	0.003	0.029	0.455	0.017	0.033	0.105	0.0	0.0
AGTR2	P50052	False	AGTR2_HUMAN		CPI-SS069924427	AGTR2	0.0	0.0	0.0	0.007	0.0	0.005	0.0	0.0	0.0
APLNR	P35414	False	APJ_HUMAN		CPI-SS086CB298F	APLNR	0.001	0.379	0.135	0.0	0.067	0.002	0.001	0.0	0.0
NGFR	P08138	False	TNR16_HUMAN		CPI-SS0E4E83C2E	NGFR	0.129	0.023	0.015	0.0	0.434	0.044	0.05	0.241	0.089
NTRK2	Q16620	False	NTRK2_HUMAN		CPI-SS0BA601DC4	NTRK2	0.002	0.007	0.021	0.0	0.118	0.152	0.109	0.116	0.004
NTRK2	Q16620	False	NTRK2_HUMAN		CPI-SS0E3AA6B7B	NTRK2	0.002	0.007	0.021	0.0	0.118	0.152	0.109	0.116	0.004
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS09A6C048C	NRXN1	0.418	0.03	0.057	0.044	0.05	0.913	0.361	0.016	0.199
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS0626DF0EB	NRXN1	0.418	0.03	0.057	0.044	0.05	0.913	0.361	0.016	0.199
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS03466C597	NRXN1	0.418	0.03	0.057	0.044	0.05	0.913	0.361	0.016	0.199
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS0CCB5F46B	NRXN1	0.418	0.03	0.057	0.044	0.05	0.913	0.361	0.016	0.199
NRXN2	P58401	False	NRX2B_HUMAN		CPI-SS093707FE0	NRXN2	0.001	0.003	0.013	0.0	0.01	0.05	0.06	0.019	0.0
NRXN2	P58401	False	NRX2B_HUMAN		CPI-SS08D8F6957	NRXN2	0.001	0.003	0.013	0.0	0.01	0.05	0.06	0.019	0.0
NRXN2	P58401	False	NRX2B_HUMAN		CPI-SS06157E5AF	NRXN2	0.001	0.003	0.013	0.0	0.01	0.05	0.06	0.019	0.0
NRXN2	P58401	False	NRX2B_HUMAN		CPI-SS07C26C799	NRXN2	0.001	0.003	0.013	0.0	0.01	0.05	0.06	0.019	0.0
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0AEC33FF1	DPP4	0.0	0.01	0.004	0.044	0.0	0.022	0.0	0.0	0.0
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0FDAB7BA8	DPP4	0.0	0.01	0.004	0.044	0.0	0.022	0.0	0.0	0.0
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0B1B18F2D	DPP4	0.0	0.01	0.004	0.044	0.0	0.022	0.0	0.0	0.0
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS0315F51DD	CXCR2	0.002	0.001	0.0	0.0	0.009	0.0	0.0	0.0	0.008
CXCR4	P61073	False	CXCR4_HUMAN		CPI-SS0A28DCA72	CXCR4	0.006	0.832	1.196	0.011	0.095	0.024	0.085	0.0	0.041
CXCR4	P61073	False	CXCR4_HUMAN		CPI-SS0669CC233	CXCR4	0.006	0.832	1.196	0.011	0.095	0.024	0.085	0.0	0.041
RORA	P35398	False	RORA_HUMAN		CPI-CS0406B0B69	RORA	0.213	0.207	0.272	0.249	0.134	0.237	0.196	0.124	0.164
ADGRB3	O60242	False	AGRB3_HUMAN		CPI-SS0F62347D4	ADGRB3	0.005	0.004	0.005	0.004	0.046	0.146	0.081	0.018	0.043
HHIP	Q96QV1	False	HHIP_HUMAN		CPI-SS055233B99	HHIP	0.002	0.02	0.007	0.008	0.097	0.026	0.002	0.0	0.009
EDNRA	P25101	False	EDNRA_HUMAN		CPI-SS0D8632EB4	EDNRA	0.194	0.027	0.117	0.034	0.292	0.765	1.044	0.898	0.053
EDNRA	P25101	False	EDNRA_HUMAN		CPI-SS056AA08CF	EDNRA	0.194	0.027	0.117	0.034	0.292	0.765	1.044	0.898	0.053
EDNRA	P25101	False	EDNRA_HUMAN		CPI-SS03D5CBF55	EDNRA	0.194	0.027	0.117	0.034	0.292	0.765	1.044	0.898	0.053
EPHA3	P29320	False	EPHA3_HUMAN		CPI-SS0C70ADA28	EPHA3	0.078	0.004	0.03	0.0	0.041	0.099	0.259	0.119	0.066
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS0FC01B947	EPHA4	0.32	0.033	0.074	0.003	0.035	0.437	0.033	0.025	0.177
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS087E0E3FB	EPHA4	0.32	0.033	0.074	0.003	0.035	0.437	0.033	0.025	0.177
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS068ACD209	EPHB2	0.078	0.006	0.004	0.005	0.06	0.044	0.014	0.0	0.083
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0ECC9DF3E	EPHB2	0.078	0.006	0.004	0.005	0.06	0.044	0.014	0.0	0.083
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS05ABE6795	EPHB6	0.011	0.006	0.023	0.028	0.052	0.11	0.188	0.019	0.01
EGFR	P00533	False	EGFR_HUMAN		CPI-SS052119104	EGFR	0.012	0.025	0.027	0.387	0.25	0.404	0.296	0.163	0.025
EGFR	P00533	False	EGFR_HUMAN		CPI-SS09947DDD9	EGFR	0.012	0.025	0.027	0.387	0.25	0.404	0.296	0.163	0.025
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS0430C8A78	ADGRL3	0.075	0.032	0.011	0.0	0.049	0.173	0.066	0.0	0.034
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-CS059C42E4B	ADGRL3	0.075	0.032	0.011	0.0	0.049	0.173	0.066	0.0	0.034
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS0474E1C15	ADGRL3	0.075	0.032	0.011	0.0	0.049	0.173	0.066	0.0	0.034
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS052641D5A	ADGRL3	0.075	0.032	0.011	0.0	0.049	0.173	0.066	0.0	0.034
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-CS0D62B1695	ADGRL3	0.075	0.032	0.011	0.0	0.049	0.173	0.066	0.0	0.034
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS038A612D7	ADGRL3	0.075	0.032	0.011	0.0	0.049	0.173	0.066	0.0	0.034
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS0BCB3D402	ADGRL3	0.075	0.032	0.011	0.0	0.049	0.173	0.066	0.0	0.034
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS0EA023E51	ADGRL3	0.075	0.032	0.011	0.0	0.049	0.173	0.066	0.0	0.034
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS01F00A48A	ADGRL3	0.075	0.032	0.011	0.0	0.049	0.173	0.066	0.0	0.034
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS08BFFB96E	ADGRL2	0.057	0.62	0.507	0.092	0.487	0.508	0.319	0.271	0.054
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-CS049AAD8F5	ADGRL2	0.057	0.62	0.507	0.092	0.487	0.508	0.319	0.271	0.054
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS083BB1EB3	ADGRL2	0.057	0.62	0.507	0.092	0.487	0.508	0.319	0.271	0.054
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS021718DBF	ADGRL2	0.057	0.62	0.507	0.092	0.487	0.508	0.319	0.271	0.054
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS075F456AF	ADGRL2	0.057	0.62	0.507	0.092	0.487	0.508	0.319	0.271	0.054
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS0FD44484F	ADGRL2	0.057	0.62	0.507	0.092	0.487	0.508	0.319	0.271	0.054
GHSR	Q92847	False	GHSR_HUMAN		CPI-SS0DE3B267F	GHSR	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0
GHSR	Q92847	False	GHSR_HUMAN		CPI-SS09F7A6011	GHSR	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0
CYSLTR1	Q9Y271	False	CLTR1_HUMAN		CPI-CS0215886EA	CYSLTR1	0.003	0.39	0.172	0.006	0.007	0.024	0.067	0.0	0.009
PTPRZ1	P23471	False	PTPRZ_HUMAN		CPI-SS027E12A36	PTPRZ1	0.001	0.0	0.0	0.0	0.002	0.008	0.001	0.0	0.0
PTPRZ1	P23471	False	PTPRZ_HUMAN		CPI-SS04E690D72	PTPRZ1	0.001	0.0	0.0	0.0	0.002	0.008	0.001	0.0	0.0
MCAM	P43121	False	MUC18_HUMAN		CPI-SS0730D1EF3	MCAM	0.213	1.262	1.263	0.017	0.265	0.138	1.196	1.678	0.165
NOTCH3	Q9UM47	False	NOTC3_HUMAN		CPI-SS007AA9FDE	NOTCH3	0.055	0.036	0.073	0.025	0.299	0.188	0.675	0.8	0.054
NOTCH3	Q9UM47	False	NOTC3_HUMAN		CPI-SS0B99F22A2	NOTCH3	0.055	0.036	0.073	0.025	0.299	0.188	0.675	0.8	0.054
NOTCH3	Q9UM47	False	NOTC3_HUMAN		CPI-SS0263EFDDF	NOTCH3	0.055	0.036	0.073	0.025	0.299	0.188	0.675	0.8	0.054
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS0D37C7C70	NOTCH4	0.019	0.733	0.704	0.013	0.017	0.012	0.012	0.0	0.038
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS0837E9F59	NOTCH4	0.019	0.733	0.704	0.013	0.017	0.012	0.012	0.0	0.038
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS096F3E0F2	NOTCH4	0.019	0.733	0.704	0.013	0.017	0.012	0.012	0.0	0.038
OPRK1	P41145	False	OPRK_HUMAN		CPI-SS0D1EF9598	OPRK1	0.0	0.0	0.004	0.0	0.0	0.035	0.0	0.0	0.0
OPRM1	P35372	False	OPRM_HUMAN		CPI-SS0D97012FB	OPRM1	0.0	0.0	0.0	0.0	0.002	0.0	0.002	0.0	0.0
ADCYAP1R1	P41586	False	PACR_HUMAN		CPI-SS0133239EA	ADCYAP1R1	0.001	0.004	0.0	0.0	0.002	0.009	0.003	0.02	0.0
ADCYAP1R1	P41586	False	PACR_HUMAN		CPI-SS06102CC06	ADCYAP1R1	0.001	0.004	0.0	0.0	0.002	0.009	0.003	0.02	0.0
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS07361522F	FLT1	0.055	3.125	2.646	0.053	0.613	0.187	0.896	0.858	0.077
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0B9B3870A	FLT1	0.055	3.125	2.646	0.053	0.613	0.187	0.896	0.858	0.077
NRP1	O14786	False	NRP1_HUMAN		CPI-SS01790830C	NRP1	0.326	1.245	1.103	0.064	0.358	0.514	0.429	0.28	0.182
NRP1	O14786	False	NRP1_HUMAN		CPI-SS034083FFA	NRP1	0.326	1.245	1.103	0.064	0.358	0.514	0.429	0.28	0.182
NRP1	O14786	False	NRP1_HUMAN		CPI-SS043E22BF5	NRP1	0.326	1.245	1.103	0.064	0.358	0.514	0.429	0.28	0.182
NRP2	O60462	False	NRP2_HUMAN		CPI-SS065D9259F	NRP2	0.412	1.426	0.952	0.039	0.228	0.877	0.117	0.253	0.172
NRP2	O60462	False	NRP2_HUMAN		CPI-SS046F8AD8B	NRP2	0.412	1.426	0.952	0.039	0.228	0.877	0.117	0.253	0.172
PDGFRA	P16234	False	PGFRA_HUMAN		CPI-SS0B70EB09E	PDGFRA	0.033	0.035	0.075	0.03	0.469	1.045	0.541	0.071	0.021
NPY1R	P25929	False	NPY1R_HUMAN		CPI-SS0666DE74B	NPY1R	0.054	0.006	0.017	0.006	0.03	0.354	0.196	0.113	0.017
PTGFR	P43088	False	PF2R_HUMAN		CPI-CS058DED3AA	PTGFR	0.021	0.0	0.006	0.0	0.002	0.084	0.003	0.021	0.007
PTGFR	P43088	False	PF2R_HUMAN		CPI-CS0D78DAC70	PTGFR	0.021	0.0	0.006	0.0	0.002	0.084	0.003	0.021	0.007
PTGER1	P34995	False	PE2R1_HUMAN		CPI-CS09DCEBC2B	PTGER1	0.003	0.006	0.005	0.0	0.004	0.002	0.003	0.0	0.0
PTGER2	P43116	False	PE2R2_HUMAN		CPI-CS0F0453B03	PTGER2	0.001	0.003	0.0	0.0	0.004	0.014	0.042	0.0	0.0
