id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	rank	CM_0|CM_0	CM_0|CM_1	CM_0|CM_2	CM_0|CM_3	CM_0|CM_4	CM_0|EN_0	CM_0|EN_1	CM_0|EN_2	CM_0|EP	CM_0|MU	CM_0|UN	CM_1|CM_0	CM_1|CM_1	CM_1|CM_2	CM_1|CM_3	CM_1|CM_4	CM_1|EN_0	CM_1|EN_1	CM_1|EN_2	CM_1|EP	CM_1|MU	CM_1|UN	CM_2|CM_0	CM_2|CM_1	CM_2|CM_2	CM_2|CM_3	CM_2|CM_4	CM_2|EN_0	CM_2|EN_1	CM_2|EN_2	CM_2|EP	CM_2|MU	CM_2|UN	CM_3|CM_0	CM_3|CM_1	CM_3|CM_2	CM_3|CM_3	CM_3|CM_4	CM_3|EN_0	CM_3|EN_1	CM_3|EN_2	CM_3|EP	CM_3|MU	CM_3|UN	CM_4|CM_0	CM_4|CM_1	CM_4|CM_2	CM_4|CM_3	CM_4|CM_4	CM_4|EN_0	CM_4|EN_1	CM_4|EN_2	CM_4|EP	CM_4|MU	CM_4|UN	EN_0|CM_0	EN_0|CM_1	EN_0|CM_2	EN_0|CM_3	EN_0|CM_4	EN_0|EN_0	EN_0|EN_1	EN_0|EN_2	EN_0|EP	EN_0|MU	EN_0|UN	EN_1|CM_0	EN_1|CM_1	EN_1|CM_2	EN_1|CM_3	EN_1|CM_4	EN_1|EN_0	EN_1|EN_1	EN_1|EN_2	EN_1|EP	EN_1|MU	EN_1|UN	EN_2|CM_0	EN_2|CM_1	EN_2|CM_2	EN_2|CM_3	EN_2|CM_4	EN_2|EN_0	EN_2|EN_1	EN_2|EN_2	EN_2|EP	EN_2|MU	EN_2|UN	EP|CM_0	EP|CM_1	EP|CM_2	EP|CM_3	EP|CM_4	EP|EN_0	EP|EN_1	EP|EN_2	EP|EP	EP|MU	EP|UN	MU|CM_0	MU|CM_1	MU|CM_2	MU|CM_3	MU|CM_4	MU|EN_0	MU|EN_1	MU|EN_2	MU|EP	MU|MU	MU|UN	UN|CM_0	UN|CM_1	UN|CM_2	UN|CM_3	UN|CM_4	UN|EN_0	UN|EN_1	UN|EN_2	UN|EP	UN|MU	UN|UN
CPI-SS0BE3D537D	CDH7_CDH7	simple:Q9ULB5	simple:Q9ULB5	CDH7	CDH7	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.025																																																																												0.235																														0.235			0.402												
CPI-SS0B70EB09E	PDGFA_PDGFRA	simple:P04085	simple:P16234	PDGFA	PDGFRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Platelet-derived growth factor	0.074																					0.473																														0.427			0.676											0.535								0.493			0.743								0.48			0.729																						0.598												
CPI-SS00C24ED50	CDH5_CDH5	simple:P33151	simple:P33151	CDH5	CDH5	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.132																																																	1.543	1.688	1.41	1.558								1.688	1.832	1.554	1.703								1.41	1.554	1.277	1.425								1.558	1.703	1.425	1.574																																				
CPI-SC0B51DC960	PGF_FLT1_complex	simple:P49763	complex:FLT1_complex	PGF		True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.198																																													0.31				1.029	1.217	0.914	1.203				0.548				1.268	1.456	1.152	1.441				0.414				1.133	1.322	1.018	1.307				0.279				0.999	1.187	0.883	1.172																			0.881	1.069	0.765	1.055														
CPI-SS04C672963	ESAM_ESAM	simple:Q96AP7	simple:Q96AP7	ESAM	ESAM	False	False	False	curated	False	Adhesion-Adhesion		0.198																																																	1.527	1.64	1.438	1.655		0.841						1.64	1.753	1.551	1.768		0.954						1.438	1.551	1.349	1.566		0.752						1.655	1.768	1.566	1.783		0.969																	0.841	0.954	0.752	0.969														
CPI-SS07361522F	PGF_FLT1	simple:P49763	simple:P17948	PGF	FLT1	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.24																																																	1.673	1.656	1.297	1.826		0.5		0.548	0.564			1.911	1.895	1.535	2.064		0.738		0.414	0.43			1.777	1.76	1.401	1.93		0.604						1.642	1.626	1.266	1.795		0.469																	1.525	1.508	1.148	1.677		0.352												
CPI-SS0A28DCA72	CXCL12_CXCR4	simple:P48061	simple:P61073	CXCL12	CXCR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.264					0.739	0.886	0.584	0.645								0.627	0.775	0.472	0.534								0.647	0.795	0.493	0.554								0.719	0.867	0.565	0.626								0.565	0.713	0.41	0.472																			0.561	0.709	0.407	0.468																			0.577	0.725	0.423	0.484								0.796	0.944	0.641	0.703														
CPI-SS065D9259F	PGF_NRP2	simple:P49763	simple:O60462	PGF	NRP2	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.347																																													0.405	0.473	0.513	0.42	0.842	0.69	0.945	0.976		0.533		0.644	0.712	0.752	0.658	1.08	0.928	1.184	1.215		0.772		0.509	0.577	0.617	0.524	0.946	0.794	1.05	1.08		0.638		0.375	0.443	0.483	0.389	0.812	0.659	0.915	0.946		0.503															0.365		0.694	0.541	0.797	0.828		0.385												
CPI-SS09A6C048C	CLSTN2_NRXN1	simple:Q9H4D0	simple:Q9ULB1	CLSTN2	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	1.347																																																																																																																									
CPI-SS0669CC233	CXCL14_CXCR4	simple:O95715	simple:P61073	CXCL14	CXCR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	1.347																																																																																																																									
