id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM_0|CM_0	CM_0|CM_1	CM_0|CM_2	CM_0|CM_3	CM_0|CM_4	CM_0|EN_0	CM_0|EN_1	CM_0|EN_2	CM_0|EP	CM_0|MU	CM_0|UN	CM_1|CM_0	CM_1|CM_1	CM_1|CM_2	CM_1|CM_3	CM_1|CM_4	CM_1|EN_0	CM_1|EN_1	CM_1|EN_2	CM_1|EP	CM_1|MU	CM_1|UN	CM_2|CM_0	CM_2|CM_1	CM_2|CM_2	CM_2|CM_3	CM_2|CM_4	CM_2|EN_0	CM_2|EN_1	CM_2|EN_2	CM_2|EP	CM_2|MU	CM_2|UN	CM_3|CM_0	CM_3|CM_1	CM_3|CM_2	CM_3|CM_3	CM_3|CM_4	CM_3|EN_0	CM_3|EN_1	CM_3|EN_2	CM_3|EP	CM_3|MU	CM_3|UN	CM_4|CM_0	CM_4|CM_1	CM_4|CM_2	CM_4|CM_3	CM_4|CM_4	CM_4|EN_0	CM_4|EN_1	CM_4|EN_2	CM_4|EP	CM_4|MU	CM_4|UN	EN_0|CM_0	EN_0|CM_1	EN_0|CM_2	EN_0|CM_3	EN_0|CM_4	EN_0|EN_0	EN_0|EN_1	EN_0|EN_2	EN_0|EP	EN_0|MU	EN_0|UN	EN_1|CM_0	EN_1|CM_1	EN_1|CM_2	EN_1|CM_3	EN_1|CM_4	EN_1|EN_0	EN_1|EN_1	EN_1|EN_2	EN_1|EP	EN_1|MU	EN_1|UN	EN_2|CM_0	EN_2|CM_1	EN_2|CM_2	EN_2|CM_3	EN_2|CM_4	EN_2|EN_0	EN_2|EN_1	EN_2|EN_2	EN_2|EP	EN_2|MU	EN_2|UN	EP|CM_0	EP|CM_1	EP|CM_2	EP|CM_3	EP|CM_4	EP|EN_0	EP|EN_1	EP|EN_2	EP|EP	EP|MU	EP|UN	MU|CM_0	MU|CM_1	MU|CM_2	MU|CM_3	MU|CM_4	MU|EN_0	MU|EN_1	MU|EN_2	MU|EP	MU|MU	MU|UN	UN|CM_0	UN|CM_1	UN|CM_2	UN|CM_3	UN|CM_4	UN|EN_0	UN|EN_1	UN|EN_2	UN|EP	UN|MU	UN|UN
CPI-SS00C24ED50	CDH5_CDH5	simple:P33151	simple:P33151	CDH5	CDH5	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.004	0.0	0.005	0.003	0.773	0.918	0.64	0.789	0.01	0.01	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.006	0.004	0.775	0.919	0.641	0.79	0.011	0.011	0.016	0.003	0.0	0.004	0.002	0.772	0.917	0.639	0.788	0.009	0.008	0.013	0.773	0.0	0.775	0.772	1.543	1.688	1.41	1.558	0.779	0.779	0.784	0.918	0.0	0.919	0.917	1.688	1.832	1.554	1.703	0.924	0.924	0.929	0.64	0.0	0.641	0.639	1.41	1.554	1.277	1.425	0.646	0.646	0.651	0.789	0.0	0.79	0.788	1.558	1.703	1.425	1.574	0.795	0.794	0.799	0.01	0.0	0.011	0.009	0.779	0.924	0.646	0.795	0.016	0.016	0.021	0.01	0.0	0.011	0.008	0.779	0.924	0.646	0.794	0.016	0.015	0.02	0.014	0.0	0.016	0.013	0.784	0.929	0.651	0.799	0.021	0.02	0.025
CPI-SS0BE3D537D	CDH7_CDH7	simple:Q9ULB5	simple:Q9ULB5	CDH7	CDH7	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.01	0.024	0.014	0.01	0.012	0.042	0.039	0.017	0.009	0.206	0.0	0.024	0.039	0.029	0.025	0.027	0.057	0.053	0.031	0.023	0.22	0.0	0.014	0.029	0.019	0.015	0.017	0.047	0.044	0.021	0.013	0.21	0.0	0.01	0.025	0.015	0.011	0.013	0.043	0.04	0.018	0.01	0.206	0.0	0.012	0.027	0.017	0.013	0.015	0.045	0.041	0.019	0.011	0.208	0.0	0.042	0.057	0.047	0.043	0.045	0.075	0.071	0.049	0.041	0.238	0.0	0.039	0.053	0.044	0.04	0.041	0.071	0.068	0.046	0.038	0.235	0.0	0.017	0.031	0.021	0.018	0.019	0.049	0.046	0.024	0.016	0.213	0.0	0.009	0.023	0.013	0.01	0.011	0.041	0.038	0.016	0.008	0.205	0.0	0.206	0.22	0.21	0.206	0.208	0.238	0.235	0.213	0.205	0.402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS09A6C048C	CLSTN2_NRXN1	simple:Q9H4D0	simple:Q9ULB1	CLSTN2	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.257	0.199	0.204	0.19	0.173	0.0	0.153	0.02	0.027	0.304	0.105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.254	0.196	0.201	0.187	0.17	0.0	0.15	0.017	0.024	0.301	0.102	0.259	0.2	0.206	0.191	0.175	0.0	0.155	0.022	0.029	0.306	0.107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.252	0.194	0.199	0.185	0.168	0.0	0.148	0.015	0.022	0.299	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.271	0.213	0.218	0.204	0.187	0.0	0.167	0.034	0.041	0.318	0.119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0A28DCA72	CXCL12_CXCR4	simple:P48061	simple:P61073	CXCL12	CXCR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.231	0.246	0.231	0.234	0.739	0.886	0.584	0.645	0.235	0.256	0.25	0.12	0.134	0.12	0.122	0.627	0.775	0.472	0.534	0.124	0.144	0.138	0.14	0.154	0.14	0.142	0.647	0.795	0.493	0.554	0.144	0.164	0.158	0.212	0.226	0.212	0.214	0.719	0.867	0.565	0.626	0.216	0.237	0.23	0.058	0.072	0.057	0.06	0.565	0.713	0.41	0.472	0.061	0.082	0.076	0.014	0.028	0.014	0.016	0.521	0.669	0.367	0.428	0.018	0.039	0.032	0.054	0.068	0.054	0.056	0.561	0.709	0.407	0.468	0.058	0.079	0.072	0.016	0.03	0.016	0.018	0.523	0.671	0.369	0.43	0.02	0.041	0.034	0.07	0.084	0.07	0.072	0.577	0.725	0.423	0.484	0.074	0.094	0.088	0.289	0.303	0.288	0.291	0.796	0.944	0.641	0.703	0.292	0.313	0.307	0.045	0.059	0.045	0.047	0.552	0.7	0.398	0.459	0.049	0.07	0.063
CPI-SS0669CC233	CXCL14_CXCR4	simple:O95715	simple:P61073	CXCL14	CXCR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.01	0.024	0.009	0.012	0.517	0.665	0.362	0.423	0.013	0.034	0.028	0.005	0.019	0.004	0.007	0.512	0.66	0.357	0.419	0.008	0.029	0.023	0.004	0.018	0.003	0.006	0.511	0.659	0.356	0.418	0.007	0.028	0.022	0.006	0.02	0.005	0.008	0.513	0.661	0.358	0.42	0.009	0.03	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.017	0.002	0.005	0.51	0.657	0.355	0.416	0.006	0.027	0.021	0.025	0.04	0.025	0.028	0.533	0.68	0.378	0.439	0.029	0.05	0.044	0.01	0.024	0.01	0.012	0.517	0.665	0.363	0.424	0.014	0.034	0.028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS09F7A6011	PENK_GHSR	simple:P01210	simple:Q92847	PENK	GHSR	True	False	True	curated	False	Ligand-Receptor		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0
CPI-SS04E690D72	PTN_PTPRZ1	simple:P21246	simple:P23471	PTN	PTPRZ1	True	False	False	curated	False	Ligand-Receptor	Signaling by Pleiotrophin	0.267	0.0	0.266	0.267	0.0	0.0	0.0	0.0	0.0	0.269	0.0	0.17	0.0	0.17	0.17	0.0	0.0	0.0	0.0	0.0	0.172	0.0	0.207	0.0	0.207	0.207	0.0	0.0	0.0	0.0	0.0	0.209	0.0	0.403	0.0	0.403	0.404	0.0	0.0	0.0	0.0	0.0	0.406	0.0	0.091	0.0	0.09	0.091	0.0	0.0	0.0	0.0	0.0	0.093	0.0	0.005	0.0	0.005	0.005	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.191	0.0	0.191	0.191	0.0	0.0	0.0	0.0	0.0	0.193	0.0	0.017	0.0	0.017	0.018	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.026	0.0	0.026	0.026	0.0	0.0	0.0	0.0	0.0	0.028	0.0	0.459	0.0	0.459	0.46	0.0	0.0	0.0	0.0	0.0	0.462	0.0	0.113	0.0	0.113	0.114	0.0	0.0	0.0	0.0	0.0	0.116	0.0
CPI-SS07361522F	PGF_FLT1	simple:P49763	simple:P17948	PGF	FLT1	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.053	0.069	0.022	0.035	1.416	1.4	1.04	1.569	0.033	0.243	0.045	0.066	0.082	0.035	0.047	1.429	1.412	1.053	1.582	0.046	0.256	0.058	0.053	0.069	0.022	0.035	1.416	1.4	1.04	1.569	0.033	0.243	0.045	0.062	0.078	0.031	0.044	1.425	1.408	1.049	1.578	0.042	0.252	0.054	0.31	0.326	0.279	0.292	1.673	1.656	1.297	1.826	0.29	0.5	0.302	0.548	0.564	0.517	0.53	1.911	1.895	1.535	2.064	0.528	0.738	0.54	0.414	0.43	0.383	0.396	1.777	1.76	1.401	1.93	0.394	0.604	0.406	0.279	0.296	0.248	0.261	1.642	1.626	1.266	1.795	0.259	0.469	0.272	0.053	0.069	0.022	0.034	1.416	1.399	1.039	1.569	0.033	0.243	0.045	0.162	0.178	0.131	0.143	1.525	1.508	1.148	1.677	0.142	0.352	0.154	0.073	0.089	0.042	0.055	1.436	1.419	1.06	1.589	0.053	0.263	0.065
CPI-SC0B51DC960	PGF_FLT1_complex	simple:P49763	complex:FLT1_complex	PGF		True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.053	0.04	0.022	0.035	0.772	0.961	0.657	0.946	0.019	0.042	0.045	0.066	0.052	0.035	0.047	0.785	0.973	0.67	0.959	0.031	0.054	0.058	0.053	0.04	0.022	0.035	0.772	0.961	0.657	0.946	0.019	0.042	0.045	0.062	0.048	0.031	0.044	0.781	0.969	0.666	0.955	0.027	0.051	0.054	0.31	0.296	0.279	0.292	1.029	1.217	0.914	1.203	0.275	0.299	0.302	0.548	0.535	0.517	0.53	1.268	1.456	1.152	1.441	0.514	0.537	0.54	0.414	0.4	0.383	0.396	1.133	1.322	1.018	1.307	0.379	0.403	0.406	0.279	0.266	0.248	0.261	0.999	1.187	0.883	1.172	0.245	0.268	0.272	0.053	0.039	0.022	0.034	0.772	0.96	0.656	0.946	0.018	0.041	0.045	0.162	0.148	0.131	0.143	0.881	1.069	0.765	1.055	0.127	0.15	0.154	0.073	0.059	0.042	0.055	0.792	0.981	0.677	0.966	0.038	0.062	0.065
CPI-SS065D9259F	PGF_NRP2	simple:P49763	simple:O60462	PGF	NRP2	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.148	0.216	0.256	0.163	0.585	0.433	0.689	0.72	0.026	0.277	0.093	0.161	0.229	0.269	0.176	0.598	0.445	0.701	0.732	0.039	0.289	0.106	0.148	0.216	0.256	0.163	0.585	0.433	0.689	0.719	0.026	0.277	0.093	0.157	0.225	0.265	0.172	0.594	0.442	0.697	0.728	0.035	0.285	0.102	0.405	0.473	0.513	0.42	0.842	0.69	0.945	0.976	0.283	0.533	0.35	0.644	0.712	0.752	0.658	1.08	0.928	1.184	1.215	0.521	0.772	0.588	0.509	0.577	0.617	0.524	0.946	0.794	1.05	1.08	0.387	0.638	0.454	0.375	0.443	0.483	0.389	0.812	0.659	0.915	0.946	0.252	0.503	0.319	0.148	0.216	0.256	0.163	0.585	0.432	0.688	0.719	0.026	0.276	0.092	0.257	0.325	0.365	0.272	0.694	0.541	0.797	0.828	0.135	0.385	0.201	0.168	0.236	0.276	0.183	0.605	0.453	0.708	0.739	0.046	0.297	0.113
