id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EN_H	CM|EN_V	CM|EP	CM|FB_H	CM|FB_V	CM|PR	CM|SM	CM|UN	EN_H|CM	EN_H|EN_H	EN_H|EN_V	EN_H|EP	EN_H|FB_H	EN_H|FB_V	EN_H|PR	EN_H|SM	EN_H|UN	EN_V|CM	EN_V|EN_H	EN_V|EN_V	EN_V|EP	EN_V|FB_H	EN_V|FB_V	EN_V|PR	EN_V|SM	EN_V|UN	EP|CM	EP|EN_H	EP|EN_V	EP|EP	EP|FB_H	EP|FB_V	EP|PR	EP|SM	EP|UN	FB_H|CM	FB_H|EN_H	FB_H|EN_V	FB_H|EP	FB_H|FB_H	FB_H|FB_V	FB_H|PR	FB_H|SM	FB_H|UN	FB_V|CM	FB_V|EN_H	FB_V|EN_V	FB_V|EP	FB_V|FB_H	FB_V|FB_V	FB_V|PR	FB_V|SM	FB_V|UN	PR|CM	PR|EN_H	PR|EN_V	PR|EP	PR|FB_H	PR|FB_V	PR|PR	PR|SM	PR|UN	SM|CM	SM|EN_H	SM|EN_V	SM|EP	SM|FB_H	SM|FB_V	SM|PR	SM|SM	SM|UN	UN|CM	UN|EN_H	UN|EN_V	UN|EP	UN|FB_H	UN|FB_V	UN|PR	UN|SM	UN|UN
CPI-SS00C24ED50	CDH5_CDH5	simple:P33151	simple:P33151	CDH5	CDH5	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.005	0.789	0.864	0.01	0.033	0.006	0.005	0.0	0.015	0.789	1.574	1.649	0.795	0.817	0.79	0.79	0.0	0.799	0.864	1.649	1.724	0.87	0.893	0.865	0.865	0.0	0.875	0.01	0.795	0.87	0.016	0.039	0.011	0.011	0.0	0.021	0.033	0.817	0.893	0.039	0.061	0.034	0.033	0.0	0.043	0.006	0.79	0.865	0.011	0.034	0.006	0.006	0.0	0.016	0.005	0.79	0.865	0.011	0.033	0.006	0.006	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.799	0.875	0.021	0.043	0.016	0.015	0.0	0.025
CPI-SS0C53F7672	CDH6_CDH6	simple:P55285	simple:P55285	CDH6	CDH6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.003	0.002	0.004	0.036	0.028	0.002	0.02	0.016	0.0	0.002	0.001	0.003	0.035	0.027	0.001	0.019	0.015	0.0	0.004	0.003	0.004	0.036	0.029	0.003	0.021	0.017	0.0	0.036	0.035	0.036	0.068	0.061	0.035	0.052	0.049	0.0	0.028	0.027	0.029	0.061	0.053	0.027	0.045	0.041	0.0	0.002	0.001	0.003	0.035	0.027	0.002	0.019	0.015	0.0	0.02	0.019	0.021	0.052	0.045	0.019	0.037	0.033	0.0	0.016	0.015	0.017	0.049	0.041	0.015	0.033	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0BE3D537D	CDH7_CDH7	simple:Q9ULB5	simple:Q9ULB5	CDH7	CDH7	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.016	0.02	0.045	0.012	0.016	0.354	0.064	0.0	0.0	0.02	0.024	0.049	0.016	0.02	0.357	0.068	0.0	0.0	0.045	0.049	0.074	0.041	0.045	0.382	0.092	0.0	0.0	0.012	0.016	0.041	0.008	0.012	0.349	0.059	0.0	0.0	0.016	0.02	0.045	0.012	0.017	0.354	0.064	0.0	0.0	0.354	0.357	0.382	0.349	0.354	0.691	0.401	0.0	0.0	0.064	0.068	0.092	0.059	0.064	0.401	0.111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS001BF66E8	CEACAM6_CEACAM6	simple:P40199	simple:P40199	CEACAM6	CEACAM6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CEAM	0.0	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS01A7DC3C1	CLSTN2_NRXN3	simple:Q9H4D0	simple:Q9HDB5	CLSTN2	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.007	0.005	0.006	0.009	0.009	0.009	0.028	0.015	0.012	0.004	0.001	0.003	0.005	0.005	0.006	0.024	0.011	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.003	0.004	0.007	0.007	0.007	0.026	0.013	0.011	0.036	0.034	0.035	0.038	0.038	0.038	0.057	0.044	0.042	0.009	0.006	0.008	0.01	0.01	0.011	0.029	0.016	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS026EC3854	LRRTM3_NRXN3	simple:Q86VH5	simple:Q9HDB5	LRRTM3	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.01	0.007	0.009	0.011	0.011	0.012	0.03	0.017	0.015	0.004	0.002	0.003	0.006	0.006	0.006	0.025	0.012	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.001	0.003	0.006	0.005	0.006	0.025	0.011	0.009	0.015	0.012	0.014	0.017	0.016	0.017	0.036	0.022	0.02	0.01	0.008	0.009	0.012	0.012	0.012	0.031	0.017	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.013	0.015	0.017	0.017	0.017	0.036	0.023	0.021
CPI-SS0F97A06CD	LRRTM4_NRXN3	simple:Q86VH4	simple:Q9HDB5	LRRTM4	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.006	0.004	0.005	0.008	0.008	0.008	0.027	0.014	0.011	0.006	0.003	0.005	0.007	0.007	0.008	0.026	0.013	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.012	0.014	0.017	0.016	0.017	0.036	0.022	0.02	0.036	0.033	0.035	0.037	0.037	0.038	0.057	0.043	0.041	0.03	0.028	0.029	0.032	0.032	0.032	0.051	0.038	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.004	0.006	0.009	0.008	0.009	0.028	0.014	0.012
CPI-SS0837C7966	NLGN4Y_NRXN3	simple:Q8NFZ3	simple:Q9HDB5	NLGN4Y	NRXN3	False	False	False	curated	False	Ligand-Receptor		0.015	0.013	0.014	0.017	0.017	0.017	0.036	0.023	0.021	0.081	0.079	0.08	0.083	0.083	0.083	0.102	0.089	0.087	0.076	0.073	0.075	0.078	0.077	0.078	0.097	0.083	0.081	0.007	0.005	0.006	0.009	0.008	0.009	0.028	0.014	0.012	0.034	0.032	0.033	0.036	0.036	0.036	0.055	0.042	0.039	0.084	0.081	0.083	0.085	0.085	0.086	0.104	0.091	0.089	0.064	0.061	0.063	0.066	0.065	0.066	0.085	0.071	0.069	0.056	0.053	0.055	0.058	0.057	0.058	0.077	0.063	0.061	0.007	0.005	0.006	0.009	0.009	0.009	0.028	0.015	0.013
CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	False	False	False	curated	False	Gap-Gap	Adhesion by GAP junction	0.37	0.86	0.819	0.205	0.467	0.272	0.204	0.278	0.255	0.86	1.35	1.31	0.696	0.957	0.762	0.695	0.769	0.746	0.819	1.31	1.269	0.655	0.917	0.722	0.654	0.728	0.705	0.205	0.696	0.655	0.041	0.302	0.108	0.04	0.114	0.091	0.467	0.957	0.917	0.302	0.564	0.369	0.302	0.375	0.352	0.272	0.762	0.722	0.108	0.369	0.174	0.107	0.181	0.158	0.204	0.695	0.654	0.04	0.302	0.107	0.039	0.113	0.09	0.278	0.769	0.728	0.114	0.375	0.181	0.113	0.187	0.164	0.255	0.746	0.705	0.091	0.352	0.158	0.09	0.164	0.141
CPI-SS058209EC7	F2_F2R	simple:P00734	simple:P25116	F2	F2R	True	False	True	curated	False	Ligand-Receptor	Adhesion by Prothrombin	0.022	0.441	0.413	0.019	0.453	0.122	0.262	0.567	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.494	0.912	0.884	0.49	0.925	0.594	0.733	1.038	0.504	0.023	0.441	0.413	0.019	0.454	0.123	0.262	0.567	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.441	0.412	0.018	0.453	0.122	0.262	0.567	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
