id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EN	CM|EP	CM|FB	CM|PR	CM|SM	CM|UN	EN|CM	EN|EN	EN|EP	EN|FB	EN|PR	EN|SM	EN|UN	EP|CM	EP|EN	EP|EP	EP|FB	EP|PR	EP|SM	EP|UN	FB|CM	FB|EN	FB|EP	FB|FB	FB|PR	FB|SM	FB|UN	PR|CM	PR|EN	PR|EP	PR|FB	PR|PR	PR|SM	PR|UN	SM|CM	SM|EN	SM|EP	SM|FB	SM|PR	SM|SM	SM|UN	UN|CM	UN|EN	UN|EP	UN|FB	UN|PR	UN|SM	UN|UN
CPI-SC0C3E862AA	IHH_PTCH_GAS1_transmembrane_receptor	simple:Q14623	complex:PTCH_GAS1_transmembrane_receptor	IHH		True	False	True	curated	False	Ligand-Receptor	Signaling by Indian hedgehog	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.028	0.026	0.041	0.06	0.027	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS055233B99	IHH_HHIP	simple:Q14623	simple:Q96QV1	IHH	HHIP	True	False	False	curated	False	Ligand-Ligand	Signaling by Indian hedgehog	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.026	0.021	0.066	0.026	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0D8632EB4	EDN1_EDNRA	simple:P05305	simple:P25101	EDN1	EDNRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	0.098	0.027	0.018	0.147	0.433	0.45	0.028	0.146	0.074	0.066	0.195	0.481	0.498	0.075	0.113	0.042	0.033	0.162	0.448	0.466	0.043	0.252	0.18	0.172	0.301	0.587	0.604	0.182	0.1	0.028	0.02	0.149	0.435	0.452	0.03	0.22	0.148	0.14	0.269	0.555	0.572	0.15	0.104	0.032	0.024	0.153	0.439	0.456	0.034
CPI-SS056AA08CF	EDN2_EDNRA	simple:P20800	simple:P25101	EDN2	EDNRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	0.097	0.026	0.018	0.147	0.433	0.45	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.101	0.03	0.021	0.15	0.436	0.454	0.031
CPI-SS03D5CBF55	EDN3_EDNRA	simple:P14138	simple:P25101	EDN3	EDNRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	0.097	0.026	0.017	0.146	0.432	0.449	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.105	0.034	0.025	0.154	0.44	0.458	0.035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0C70ADA28	EFNA5_EPHA3	simple:P52803	simple:P29320	EFNA5	EPHA3	True	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.056	0.023	0.0	0.038	0.095	0.077	0.05	0.057	0.023	0.0	0.038	0.096	0.077	0.051	0.041	0.007	0.0	0.022	0.08	0.061	0.035	0.087	0.054	0.0	0.068	0.126	0.108	0.081	0.108	0.075	0.0	0.09	0.147	0.129	0.103	0.064	0.03	0.0	0.045	0.103	0.084	0.058	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0FC01B947	EFNA5_EPHA4	simple:P52803	simple:P54764	EFNA5	EPHA4	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.177	0.039	0.019	0.035	0.164	0.03	0.106	0.178	0.04	0.019	0.035	0.165	0.03	0.106	0.162	0.024	0.003	0.019	0.149	0.014	0.09	0.208	0.07	0.049	0.066	0.195	0.061	0.137	0.23	0.092	0.071	0.087	0.217	0.082	0.158	0.185	0.047	0.026	0.042	0.172	0.038	0.113	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS087E0E3FB	EFNB2_EPHA4	simple:P52799	simple:P54764	EFNB2	EPHA4	False	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.193	0.055	0.035	0.051	0.18	0.046	0.122	0.581	0.443	0.423	0.439	0.568	0.434	0.51	0.201	0.063	0.043	0.059	0.188	0.054	0.13	0.366	0.228	0.207	0.223	0.353	0.219	0.294	0.572	0.435	0.414	0.43	0.56	0.425	0.501	0.468	0.33	0.31	0.326	0.455	0.321	0.397	0.229	0.091	0.07	0.086	0.216	0.081	0.157
CPI-SS068ACD209	EFNA5_EPHB2	simple:P52803	simple:P29323	EFNA5	EPHB2	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.056	0.02	0.02	0.048	0.034	0.0	0.059	0.057	0.021	0.02	0.048	0.034	0.0	0.059	0.041	0.005	0.004	0.032	0.018	0.0	0.043	0.087	0.051	0.051	0.078	0.065	0.0	0.09	0.109	0.072	0.072	0.1	0.086	0.0	0.111	0.064	0.028	0.027	0.055	0.042	0.0	0.067	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0ECC9DF3E	EFNB2_EPHB2	simple:P52799	simple:P29323	EFNB2	EPHB2	False	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.073	0.036	0.036	0.064	0.05	0.0	0.075	0.46	0.424	0.424	0.452	0.438	0.0	0.463	0.08	0.044	0.044	0.072	0.058	0.0	0.083	0.245	0.209	0.208	0.236	0.222	0.0	0.248	0.452	0.415	0.415	0.443	0.429	0.0	0.454	0.347	0.311	0.311	0.338	0.325	0.0	0.35	0.108	0.072	0.071	0.099	0.085	0.0	0.11
