id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EN	CM|EP	CM|FB	CM|PR	CM|SM	CM|UN	EN|CM	EN|EN	EN|EP	EN|FB	EN|PR	EN|SM	EN|UN	EP|CM	EP|EN	EP|EP	EP|FB	EP|PR	EP|SM	EP|UN	FB|CM	FB|EN	FB|EP	FB|FB	FB|PR	FB|SM	FB|UN	PR|CM	PR|EN	PR|EP	PR|FB	PR|PR	PR|SM	PR|UN	SM|CM	SM|EN	SM|EP	SM|FB	SM|PR	SM|SM	SM|UN	UN|CM	UN|EN	UN|EP	UN|FB	UN|PR	UN|SM	UN|UN
CPI-CS0215886EA	LTC4_byLTC4S_CYSLTR1	complex:LTC4_byLTC4S	simple:Q9Y271		CYSLTR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Lipoxin/Leukotriene	0.017	0.182	0.019	0.019	0.035	0.0	0.02	0.002	0.167	0.004	0.004	0.02	0.0	0.005	0.043	0.208	0.045	0.045	0.061	0.0	0.046	0.007	0.172	0.009	0.009	0.025	0.0	0.01	0.003	0.168	0.005	0.006	0.022	0.0	0.007	0.01	0.175	0.012	0.012	0.028	0.0	0.013	0.015	0.18	0.017	0.017	0.034	0.0	0.018
CPI-SS027E12A36	MDK_PTPRZ1	simple:P21741	simple:P23471	MDK	PTPRZ1	True	False	False	curated	False	Ligand-Receptor	Signaling by Midkine	0.505	0.0	0.0	0.506	0.508	0.0	0.0	0.1	0.0	0.0	0.101	0.103	0.0	0.0	0.67	0.0	0.0	0.671	0.673	0.0	0.0	0.858	0.0	0.0	0.859	0.861	0.0	0.0	1.038	0.0	0.0	1.039	1.041	0.0	0.0	0.514	0.0	0.0	0.514	0.516	0.0	0.0	0.228	0.0	0.0	0.228	0.23	0.0	0.0
CPI-SS04E690D72	PTN_PTPRZ1	simple:P21246	simple:P23471	PTN	PTPRZ1	True	False	False	curated	False	Ligand-Receptor	Signaling by Pleiotrophin	0.252	0.0	0.0	0.253	0.255	0.0	0.0	0.024	0.0	0.0	0.024	0.026	0.0	0.0	0.026	0.0	0.0	0.027	0.029	0.0	0.0	0.476	0.0	0.0	0.477	0.479	0.0	0.0	0.459	0.0	0.0	0.46	0.462	0.0	0.0	0.253	0.0	0.0	0.253	0.255	0.0	0.0	0.113	0.0	0.0	0.114	0.116	0.0	0.0
CPI-SS0730D1EF3	CNTN1_MCAM	simple:Q12860	simple:P43121	CNTN1	MCAM	False	False	False	curated	False	Adhesion-Adhesion		0.116	0.64	0.018	0.142	0.265	0.848	0.092	0.11	0.634	0.012	0.136	0.259	0.842	0.085	0.108	0.633	0.01	0.134	0.258	0.841	0.084	0.113	0.638	0.015	0.139	0.263	0.846	0.089	0.163	0.688	0.065	0.189	0.313	0.895	0.139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS007AA9FDE	DLK1_NOTCH3	simple:P80370	simple:Q9UM47	DLK1	NOTCH3	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.044	0.04	0.03	0.167	0.197	0.417	0.044	0.086	0.081	0.071	0.208	0.239	0.459	0.086	1.341	1.336	1.326	1.463	1.494	1.713	1.34	0.719	0.715	0.705	0.842	0.872	1.092	0.719	0.376	0.372	0.362	0.499	0.529	0.749	0.376	0.176	0.171	0.161	0.298	0.329	0.548	0.175	0.098	0.093	0.083	0.22	0.25	0.47	0.097
CPI-SS0B99F22A2	JAG1_NOTCH3	simple:P78504	simple:Q9UM47	JAG1	NOTCH3	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.123	0.119	0.109	0.246	0.276	0.496	0.123	0.188	0.184	0.174	0.311	0.341	0.561	0.188	0.081	0.077	0.067	0.204	0.234	0.454	0.081	0.28	0.276	0.266	0.403	0.433	0.653	0.28	0.178	0.173	0.163	0.3	0.331	0.551	0.178	0.484	0.479	0.469	0.606	0.636	0.856	0.483	0.089	0.084	0.074	0.211	0.242	0.462	0.089
CPI-SS0263EFDDF	JAG2_NOTCH3	simple:Q9Y219	simple:Q9UM47	JAG2	NOTCH3	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.055	0.05	0.04	0.177	0.208	0.427	0.054	0.182	0.177	0.167	0.304	0.334	0.554	0.181	0.032	0.028	0.018	0.155	0.185	0.405	0.032	0.033	0.028	0.018	0.155	0.186	0.406	0.033	0.029	0.025	0.015	0.152	0.182	0.402	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043	0.039	0.028	0.165	0.196	0.416	0.043
CPI-SS0D37C7C70	DLK1_NOTCH4	simple:P80370	simple:Q99466	DLK1	NOTCH4	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.026	0.38	0.024	0.026	0.023	0.0	0.036	0.068	0.421	0.065	0.067	0.064	0.0	0.077	1.323	1.676	1.32	1.322	1.319	0.0	1.332	0.701	1.054	0.698	0.701	0.698	0.0	0.711	0.359	0.712	0.356	0.358	0.355	0.0	0.368	0.158	0.511	0.155	0.157	0.154	0.0	0.167	0.08	0.433	0.077	0.079	0.076	0.0	0.089
CPI-SS0837E9F59	JAG1_NOTCH4	simple:P78504	simple:Q99466	JAG1	NOTCH4	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.106	0.459	0.103	0.105	0.102	0.0	0.115	0.17	0.523	0.167	0.169	0.167	0.0	0.18	0.063	0.416	0.061	0.063	0.06	0.0	0.073	0.262	0.615	0.259	0.261	0.259	0.0	0.272	0.16	0.513	0.157	0.159	0.156	0.0	0.169	0.466	0.819	0.463	0.465	0.462	0.0	0.475	0.071	0.424	0.068	0.07	0.068	0.0	0.08
CPI-SS096F3E0F2	JAG2_NOTCH4	simple:Q9Y219	simple:Q99466	JAG2	NOTCH4	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.037	0.39	0.034	0.036	0.033	0.0	0.046	0.164	0.517	0.161	0.163	0.16	0.0	0.173	0.014	0.367	0.012	0.014	0.011	0.0	0.024	0.015	0.368	0.012	0.014	0.012	0.0	0.024	0.011	0.365	0.009	0.011	0.008	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.378	0.022	0.024	0.022	0.0	0.035
CPI-SS0D1EF9598	PENK_OPRK1	simple:P01210	simple:P41145	PENK	OPRK1	True	False	True	curated	False	Ligand-Receptor	Signaling by Opioid	0.0	0.002	0.0	0.0	0.012	0.0	0.0	0.0	0.004	0.0	0.0	0.015	0.0	0.0	0.0	0.004	0.0	0.0	0.015	0.0	0.0	0.0	0.198	0.0	0.0	0.208	0.0	0.0	0.0	0.027	0.0	0.0	0.037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.028	0.0	0.0
CPI-SS0D97012FB	PENK_OPRM1	simple:P01210	simple:P35372	PENK	OPRM1	True	False	True	curated	False	Ligand-Receptor	Signaling by Opioid	0.0	0.0	0.0	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.198	0.197	0.0	0.0	0.0	0.0	0.0	0.027	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.017	0.0	0.0
CPI-SS0133239EA	ADCYAP1_ADCYAP1R1	simple:P18509	simple:P41586	ADCYAP1	ADCYAP1R1	True	False	True	curated	False	Ligand-Receptor	Signaling by Pituitary adenylate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.003	0.0	0.002	0.005	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS06102CC06	VIP_ADCYAP1R1	simple:P01282	simple:P41586	VIP	ADCYAP1R1	True	False	True	curated	False	Ligand-Receptor	Signaling by Vasoactive Intestinal Peptide	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.005	0.0	0.004	0.007	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.009	0.0	0.008	0.011	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS07361522F	PGF_FLT1	simple:P49763	simple:P17948	PGF	FLT1	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.036	1.507	0.035	0.315	0.228	0.438	0.047	0.325	1.796	0.324	0.604	0.517	0.727	0.336	0.034	1.505	0.033	0.312	0.225	0.435	0.045	0.085	1.556	0.084	0.364	0.277	0.487	0.096	0.153	1.624	0.152	0.432	0.345	0.555	0.164	0.209	1.681	0.209	0.488	0.401	0.611	0.221	0.054	1.525	0.053	0.333	0.246	0.456	0.065
CPI-SS0B9B3870A	VEGFA_FLT1	simple:P15692	simple:P17948	VEGFA	FLT1	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.327	1.798	0.326	0.606	0.518	0.728	0.338	0.086	1.557	0.085	0.365	0.278	0.488	0.097	0.471	1.942	0.47	0.75	0.663	0.873	0.482	0.256	1.727	0.255	0.534	0.447	0.657	0.267	0.164	1.635	0.163	0.443	0.356	0.566	0.175	0.074	1.545	0.073	0.353	0.265	0.475	0.085	0.364	1.835	0.363	0.643	0.556	0.766	0.375
CPI-SC0B51DC960	PGF_FLT1_complex	simple:P49763	complex:FLT1_complex	PGF		True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.036	0.936	0.021	0.097	0.034	0.0	0.047	0.325	1.225	0.31	0.386	0.323	0.0	0.336	0.034	0.934	0.018	0.095	0.031	0.0	0.045	0.085	0.985	0.07	0.146	0.083	0.0	0.096	0.153	1.053	0.138	0.214	0.151	0.0	0.164	0.209	1.11	0.194	0.27	0.207	0.0	0.221	0.054	0.954	0.038	0.115	0.052	0.0	0.065
CPI-SC0AFC650CD	VEGFA_FLT1_complex	simple:P15692	complex:FLT1_complex	VEGFA		True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.327	1.227	0.311	0.388	0.324	0.0	0.338	0.086	0.986	0.071	0.147	0.084	0.0	0.097	0.471	1.371	0.456	0.532	0.469	0.0	0.482	0.256	1.156	0.24	0.317	0.253	0.0	0.267	0.164	1.064	0.149	0.225	0.162	0.0	0.175	0.074	0.974	0.058	0.135	0.071	0.0	0.085	0.364	1.264	0.348	0.425	0.361	0.0	0.375
CPI-SS01790830C	PGF_NRP1	simple:P49763	simple:O14786	PGF	NRP1	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.171	0.612	0.041	0.188	0.251	0.149	0.1	0.46	0.901	0.329	0.476	0.54	0.437	0.389	0.169	0.61	0.038	0.185	0.248	0.146	0.097	0.221	0.661	0.09	0.237	0.3	0.198	0.149	0.289	0.729	0.158	0.305	0.368	0.266	0.217	0.345	0.786	0.214	0.361	0.424	0.322	0.273	0.189	0.63	0.058	0.205	0.269	0.166	0.118
CPI-SS034083FFA	SEMA3A_NRP1	simple:Q14563	simple:O14786	SEMA3A	NRP1	True	False	True	curated	False	Ligand-Receptor	Signaling by Semaphorin	0.279	0.72	0.148	0.295	0.358	0.256	0.207	0.176	0.616	0.045	0.192	0.255	0.153	0.104	0.175	0.616	0.044	0.191	0.254	0.152	0.103	0.219	0.66	0.088	0.235	0.299	0.197	0.148	0.25	0.691	0.119	0.266	0.329	0.227	0.178	0.192	0.633	0.061	0.208	0.272	0.169	0.121	0.224	0.665	0.093	0.24	0.303	0.201	0.152
CPI-SS043E22BF5	VEGFA_NRP1	simple:P15692	simple:O14786	VEGFA	NRP1	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.462	0.903	0.331	0.478	0.541	0.439	0.39	0.222	0.662	0.091	0.238	0.301	0.199	0.15	0.607	1.047	0.476	0.623	0.686	0.584	0.535	0.391	0.832	0.26	0.407	0.47	0.368	0.319	0.3	0.741	0.169	0.316	0.379	0.277	0.228	0.209	0.65	0.078	0.225	0.288	0.186	0.137	0.499	0.94	0.368	0.515	0.579	0.476	0.428
CPI-SS065D9259F	PGF_NRP2	simple:P49763	simple:O60462	PGF	NRP2	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.215	0.658	0.028	0.123	0.313	0.135	0.095	0.503	0.947	0.317	0.412	0.601	0.424	0.384	0.212	0.656	0.026	0.12	0.31	0.133	0.092	0.264	0.708	0.077	0.172	0.362	0.184	0.144	0.332	0.775	0.145	0.24	0.43	0.252	0.212	0.388	0.832	0.202	0.296	0.486	0.309	0.268	0.232	0.676	0.046	0.141	0.33	0.153	0.113
CPI-SS046F8AD8B	VEGFA_NRP2	simple:P15692	simple:O60462	VEGFA	NRP2	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.505	0.949	0.319	0.414	0.603	0.426	0.386	0.265	0.709	0.078	0.173	0.363	0.185	0.145	0.65	1.094	0.463	0.558	0.748	0.57	0.53	0.434	0.878	0.248	0.342	0.532	0.355	0.314	0.343	0.787	0.156	0.251	0.441	0.264	0.223	0.252	0.696	0.066	0.161	0.35	0.173	0.133	0.542	0.986	0.356	0.451	0.64	0.463	0.423
CPI-SS0B70EB09E	PDGFA_PDGFRA	simple:P04085	simple:P16234	PDGFA	PDGFRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Platelet-derived growth factor	0.047	0.053	0.045	0.265	0.464	0.066	0.041	0.31	0.316	0.308	0.528	0.726	0.329	0.304	0.031	0.037	0.029	0.249	0.447	0.05	0.025	0.207	0.213	0.205	0.425	0.624	0.226	0.201	0.217	0.223	0.215	0.435	0.634	0.236	0.211	0.561	0.567	0.559	0.779	0.977	0.58	0.555	0.034	0.04	0.032	0.252	0.451	0.053	0.028
CPI-SS0666DE74B	NPY_NPY1R	simple:P01303	simple:P25929	NPY	NPY1R	True	False	True	curated	False	Ligand-Receptor	Signaling by Pro-neuregulin	0.027	0.005	0.003	0.015	0.149	0.057	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.054	0.032	0.03	0.042	0.177	0.084	0.036	0.03	0.008	0.006	0.018	0.152	0.06	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS058DED3AA	ProstaglandinF2a_byAKR1B1_PTGFR	complex:ProstaglandinF2a_byAKR1B1	simple:P43088		PTGFR	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	0.41	0.401	0.0	0.401	0.428	0.41	0.403	0.178	0.168	0.0	0.168	0.195	0.178	0.17	0.028	0.019	0.0	0.019	0.046	0.029	0.021	0.197	0.188	0.0	0.188	0.215	0.197	0.19	0.074	0.064	0.0	0.064	0.091	0.074	0.067	0.112	0.102	0.0	0.103	0.129	0.112	0.105	0.16	0.151	0.0	0.151	0.177	0.16	0.153
CPI-CS0D78DAC70	ProstaglandinD2_byAKR1C3_PTGFR	complex:ProstaglandinD2_byAKR1C3	simple:P43088		PTGFR	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	0.057	0.048	0.0	0.048	0.075	0.057	0.05	0.017	0.007	0.0	0.008	0.034	0.017	0.01	0.247	0.237	0.0	0.237	0.264	0.247	0.24	0.024	0.014	0.0	0.014	0.041	0.024	0.016	0.046	0.036	0.0	0.036	0.063	0.046	0.039	0.045	0.035	0.0	0.036	0.062	0.045	0.038	0.027	0.018	0.0	0.018	0.044	0.027	0.02
CPI-CS09DCEBC2B	ProstaglandinE2_byPTGES_PTGER1	complex:ProstaglandinE2_byPTGES	simple:P34995		PTGER1	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	0.002	0.004	0.0	0.003	0.002	0.0	0.0	0.002	0.003	0.0	0.003	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.007	0.0	0.007	0.006	0.0	0.0	0.03	0.031	0.0	0.031	0.03	0.0	0.0	0.007	0.009	0.0	0.008	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS0F0453B03	ProstaglandinE2_byPTGES_PTGER2	complex:ProstaglandinE2_byPTGES	simple:P43116		PTGER2	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	0.001	0.002	0.0	0.003	0.013	0.0	0.0	0.001	0.002	0.0	0.003	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.006	0.0	0.007	0.017	0.0	0.0	0.029	0.03	0.0	0.031	0.041	0.0	0.0	0.006	0.007	0.0	0.008	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS080C76630	ProstaglandinE2_byPTGES_PTGER3	complex:ProstaglandinE2_byPTGES	simple:P43115		PTGER3	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	0.046	0.012	0.01	0.058	0.035	0.0	0.019	0.046	0.012	0.01	0.058	0.035	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.016	0.014	0.062	0.039	0.0	0.023	0.074	0.04	0.038	0.086	0.063	0.0	0.047	0.051	0.017	0.015	0.063	0.04	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS023F349AF	ProstaglandinE2_byPTGES_PTGER4	complex:ProstaglandinE2_byPTGES	simple:P35408		PTGER4	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	0.001	0.007	0.005	0.006	0.048	0.029	0.0	0.001	0.007	0.005	0.006	0.047	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.011	0.008	0.01	0.051	0.032	0.0	0.029	0.035	0.032	0.034	0.075	0.056	0.0	0.006	0.012	0.01	0.011	0.052	0.034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS09B2320BC	RSPO1_LGR5	simple:Q2MKA7	simple:O75473	RSPO1	LGR5	True	False	True	curated	False	Ligand-Receptor	Signaling by R-spondin	0.001	0.0	0.017	0.0	0.037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.017	0.0	0.037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS056D0AD0D	RSPO2_LGR5	simple:Q6UXX9	simple:O75473	RSPO2	LGR5	True	False	True	curated	False	Ligand-Receptor	Signaling by R-spondin	0.001	0.0	0.017	0.0	0.037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.018	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0C3906934	RSPO3_LGR5	simple:Q9BXY4	simple:O75473	RSPO3	LGR5	True	False	True	curated	False	Ligand-Receptor	Signaling by R-spondin	0.422	0.0	0.438	0.0	0.459	0.0	0.0	0.009	0.0	0.025	0.0	0.045	0.0	0.0	0.015	0.0	0.031	0.0	0.051	0.0	0.0	0.046	0.0	0.062	0.0	0.083	0.0	0.0	0.077	0.0	0.093	0.0	0.113	0.0	0.0	0.051	0.0	0.067	0.0	0.087	0.0	0.0	0.174	0.0	0.19	0.0	0.211	0.0	0.0
CPI-SS0F3A089DE	SEMA3E_PLXND1	simple:O15041	simple:Q9Y4D7	SEMA3E	PLXND1	True	False	True	curated	False	Ligand-Receptor	Signaling by Semaphorin	0.042	0.704	0.032	0.168	0.117	0.159	0.053	0.041	0.703	0.031	0.167	0.116	0.158	0.052	0.046	0.708	0.036	0.172	0.121	0.163	0.057	0.042	0.704	0.032	0.168	0.117	0.159	0.053	0.054	0.716	0.044	0.18	0.129	0.171	0.065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.707	0.035	0.17	0.119	0.161	0.055
CPI-CS09463D22E	5-HT_byTPH1_and_SLC18A2_HTR2B	complex:5-HT_byTPH1_and_SLC18A2	simple:P41595		HTR2B	True	False	True	curated	False	Ligand-Receptor	Signaling by Serotonin	0.001	0.001	0.0	0.008	0.005	0.008	0.0	0.002	0.002	0.0	0.008	0.005	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.003	0.0	0.01	0.007	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.003	0.0	0.01	0.007	0.01	0.0
CPI-CS0FBE83390	5-HT_byTPH1_and_SLC18A2_HTR2C	complex:5-HT_byTPH1_and_SLC18A2	simple:P28335		HTR2C	True	False	True	curated	False	Ligand-Receptor	Signaling by Serotonin	0.0	0.001	0.0	0.001	0.004	0.01	0.0	0.001	0.002	0.0	0.002	0.005	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.003	0.0	0.003	0.007	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.003	0.0	0.003	0.007	0.012	0.0
CPI-CS059692236	5-HT_byTPH1_and_SLC18A2_HTR7	complex:5-HT_byTPH1_and_SLC18A2	simple:P34969		HTR7	True	False	True	curated	False	Ligand-Receptor	Signaling by Serotonin	0.0	0.001	0.0	0.005	0.005	0.006	0.005	0.001	0.002	0.0	0.006	0.006	0.007	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.003	0.0	0.007	0.007	0.008	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.003	0.0	0.007	0.007	0.008	0.007
CPI-SS02A8BD654	TAC1_TACR1	simple:P20366	simple:P25103	TAC1	TACR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Tachykinins	0.005	0.005	0.0	0.005	0.014	0.0	0.0	0.01	0.01	0.0	0.01	0.019	0.0	0.0	0.012	0.012	0.0	0.013	0.022	0.0	0.0	0.157	0.157	0.0	0.158	0.167	0.0	0.0	0.264	0.264	0.0	0.264	0.273	0.0	0.0	0.021	0.021	0.0	0.022	0.031	0.0	0.0	0.008	0.008	0.0	0.008	0.017	0.0	0.0
CPI-SS0CDDDEE9F	TAC3_TACR1	simple:Q9UHF0	simple:P25103	TAC3	TACR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Tachykinins	0.001	0.001	0.0	0.002	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.004	0.0	0.004	0.013	0.0	0.0	0.002	0.002	0.0	0.003	0.012	0.0	0.0	0.014	0.014	0.0	0.014	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0879B8E95	CD160_TNFRSF14	simple:O95971	simple:Q92956	CD160	TNFRSF14	False	True	True	curated	False	Adhesion-Adhesion	Signaling by Tumor necrosis factor	0.0	0.018	0.021	0.0	0.006	0.0	0.008	0.0	0.016	0.02	0.0	0.005	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.023	0.0	0.008	0.0	0.01	0.0	0.02	0.024	0.0	0.009	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.026	0.0	0.011	0.0	0.013
CPI-SS0C03F7CDC	VEGFA_KDR	simple:P15692	simple:P35968	VEGFA	KDR	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.407	1.227	0.311	0.388	0.324	0.0	0.346	0.166	0.986	0.071	0.147	0.084	0.0	0.105	0.551	1.371	0.456	0.532	0.469	0.0	0.49	0.336	1.156	0.24	0.317	0.253	0.0	0.275	0.244	1.064	0.149	0.225	0.162	0.0	0.183	0.154	0.974	0.058	0.135	0.071	0.0	0.093	0.444	1.264	0.348	0.425	0.361	0.0	0.383
CPI-SS0A10C2A8F	WNT3_FRZB	simple:P56703	simple:Q92765	WNT3	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.111	0.018	0.011	0.033	0.169	0.057	0.035	0.109	0.016	0.008	0.03	0.166	0.054	0.032	0.115	0.022	0.014	0.037	0.173	0.06	0.039	0.116	0.023	0.015	0.037	0.173	0.061	0.039	0.113	0.02	0.013	0.035	0.171	0.059	0.037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.111	0.018	0.01	0.033	0.169	0.056	0.035
CPI-SS0EE63435D	WNT4_FRZB	simple:P56705	simple:Q92765	WNT4	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.107	0.014	0.006	0.028	0.165	0.052	0.031	0.107	0.014	0.006	0.028	0.164	0.052	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.108	0.015	0.007	0.03	0.166	0.053	0.032	0.109	0.016	0.008	0.031	0.167	0.054	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS007954822	WNT5A_FRZB	simple:P41221	simple:Q92765	WNT5A	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.116	0.023	0.015	0.038	0.174	0.062	0.04	0.156	0.063	0.055	0.077	0.214	0.101	0.08	0.13	0.037	0.029	0.051	0.187	0.075	0.053	0.18	0.087	0.079	0.102	0.238	0.125	0.104	0.181	0.088	0.08	0.102	0.239	0.126	0.105	0.172	0.079	0.071	0.094	0.23	0.118	0.096	0.12	0.027	0.019	0.042	0.178	0.065	0.044
CPI-SS0DF9024C0	WNT3_SFRP1	simple:P56703	simple:Q8N474	WNT3	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.884	0.247	0.039	0.581	0.947	0.297	0.375	0.881	0.244	0.037	0.579	0.944	0.294	0.372	0.887	0.25	0.043	0.585	0.95	0.3	0.379	0.888	0.251	0.044	0.586	0.951	0.301	0.38	0.886	0.249	0.041	0.583	0.949	0.299	0.377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.884	0.246	0.039	0.581	0.946	0.296	0.375
CPI-SS036707F4C	WNT4_SFRP1	simple:P56705	simple:Q8N474	WNT4	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.879	0.242	0.035	0.577	0.942	0.292	0.371	0.879	0.242	0.035	0.577	0.942	0.292	0.371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.881	0.243	0.036	0.578	0.943	0.293	0.372	0.881	0.244	0.037	0.579	0.944	0.294	0.373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
