gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EC	EP	PV
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0917E42F5	SULT1E1	0.021	0.002	0.461	0.017
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CS08EE9E5CE	ALDH1A1	0.003	0.001	0.418	0.007
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CS033058D2B	ALDH1A2	0.055	0.064	0.136	0.055
HDC	P19113	True	DCHS_HUMAN	Histamine_byHDC	CPI-CS0FF6E7611	HDC	0.0	0.0	0.0	0.0
PTGDS	P41222	True	PTGDS_HUMAN	PGD2_byPTGDS	CPI-CS0FADCFDB9	PTGDS	0.082	0.011	0.059	0.196
CDH5	P33151	False	CADH5_HUMAN		CPI-SS00C24ED50	CDH5	0.01	0.726	0.023	0.006
CDH6	P55285	False	CADH6_HUMAN		CPI-SS0C53F7672	CDH6	0.005	0.002	0.089	0.046
CDH7	Q9ULB5	False	CADH7_HUMAN		CPI-SS0BE3D537D	CDH7	0.003	0.009	0.007	0.026
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	CADM1	0.456	0.101	0.143	0.166
CEACAM5	P06731	False	CEAM5_HUMAN		CPI-SS0322747C2	CEACAM5	0.0	0.0	0.001	0.0
CEACAM6	P40199	False	CEAM6_HUMAN		CPI-SS001BF66E8	CEACAM6	0.0	0.0	0.018	0.0
CD44	P16070	False	CD44_HUMAN		CPI-SS06F83AE58	CD44	0.021	0.206	0.058	0.24
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS01A7DC3C1	CLSTN2	0.075	0.003	0.007	0.016
LRRTM2	O43300	False	LRRT2_HUMAN		CPI-SS0C0329180	LRRTM2	0.002	0.002	0.001	0.002
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS026EC3854	LRRTM3	0.212	0.014	0.006	0.027
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS0F97A06CD	LRRTM4	0.065	0.063	0.077	0.332
NLGN1	Q8N2Q7	False	NLGN1_HUMAN		CPI-SS0731F750C	NLGN1	0.308	0.008	0.016	0.05
NLGN4X	Q8N0W4	False	NLGNX_HUMAN		CPI-SS0F9118AB4	NLGN4X	0.057	0.097	0.015	0.19
NLGN4Y	Q8NFZ3	False	NLGNY_HUMAN		CPI-SS0837C7966	NLGN4Y	0.139	0.467	0.099	0.228
THBS1	P07996	False	TSP1_HUMAN		CPI-SS0C93E48D7	THBS1	0.091	0.289	0.123	0.213
APOA1	P02647	False	APOA1_HUMAN		CPI-SC0FE3CE9D1	APOA1	0.135	0.025	1.648	0.035
APOA2	P02652	False	APOA2_HUMAN		CPI-SC0412566F3	APOA2	0.022	0.026	1.723	0.024
APOB	P04114	False	APOB_HUMAN		CPI-SC0EFFE8ACB	APOB	0.009	0.01	1.09	0.005
APOE	P02649	False	APOE_HUMAN		CPI-SC06C75F978	APOE	0.542	0.163	1.626	1.4
CLU	P10909	False	CLUS_HUMAN		CPI-SC046AFCFE9	CLU	0.186	0.036	0.808	0.025
AGT	P01019	False	ANGT_HUMAN		CPI-SS05996C8FD	AGT	0.028	0.004	0.604	0.022
APOA1	P02647	False	APOA1_HUMAN		CPI-SS015B29D3F	APOA1	0.135	0.025	1.648	0.035
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0BA601DC4	BDNF	0.007	0.014	0.004	0.03
NTN4	Q9HB63	False	NET4_HUMAN		CPI-SS0E3AA6B7B	NTN4	0.002	0.001	0.018	0.017
NTF3	P20783	False	NTF3_HUMAN		CPI-SS093E05DD4	NTF3	0.0	0.001	0.0	0.002
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS09A6C048C	CLSTN2	0.075	0.003	0.007	0.016
LRRTM2	O43300	False	LRRT2_HUMAN		CPI-SS0E5F8A5F7	LRRTM2	0.002	0.002	0.001	0.002
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS0626DF0EB	LRRTM3	0.212	0.014	0.006	0.027
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS03466C597	LRRTM4	0.065	0.063	0.077	0.332
NLGN1	Q8N2Q7	False	NLGN1_HUMAN		CPI-SS0D2DF7881	NLGN1	0.308	0.008	0.016	0.05
NLGN4X	Q8N0W4	False	NLGNX_HUMAN		CPI-SS0FA378947	NLGN4X	0.057	0.097	0.015	0.19
NLGN4Y	Q8NFZ3	False	NLGNY_HUMAN		CPI-SS0CCB5F46B	NLGN4Y	0.139	0.467	0.099	0.228
CXCL10	P02778	False	CXL10_HUMAN		CPI-SS0FDAB7BA8	CXCL10	0.0	0.0	0.0	0.003
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0B1B18F2D	CXCL12	0.239	0.018	0.082	0.142
CXCL2	P19875	False	CXCL2_HUMAN		CPI-SS0CDAC688B	CXCL2	0.001	0.003	0.029	0.015
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0A28DCA72	CXCL12	0.239	0.018	0.082	0.142
CXCL14	O95715	False	CXL14_HUMAN		CPI-SS0669CC233	CXCL14	0.01	0.001	0.033	0.035
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0C70ADA28	EFNA5	0.259	0.158	0.076	0.472
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0FC01B947	EFNA5	0.259	0.158	0.076	0.472
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS087E0E3FB	EFNB2	0.065	0.927	0.108	0.295
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS09E3F5044	EFNA5	0.259	0.158	0.076	0.472
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS028688B7B	EFNA5	0.259	0.158	0.076	0.472
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS068ACD209	EFNA5	0.259	0.158	0.076	0.472
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS0ECC9DF3E	EFNB2	0.065	0.927	0.108	0.295
AREG	P15514	False	AREG_HUMAN		CPI-SS052119104	AREG	0.077	0.073	0.123	0.077
EREG	O14944	False	EREG_HUMAN		CPI-SS004C23DCE	EREG	0.001	0.0	0.003	0.001
TGFA	P01135	False	TGFA_HUMAN		CPI-SS07E5C3060	TGFA	0.001	0.001	0.011	0.0
EREG	O14944	False	EREG_HUMAN		CPI-SS0FC42EC80	EREG	0.001	0.0	0.003	0.001
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS0BD5C2A23	NRG1	0.031	0.138	0.078	0.063
NRG3	P56975	False	NRG3_HUMAN		CPI-SS0D5E30C6C	NRG3	0.251	0.711	0.84	1.67
NRG4	Q8WWG1	False	NRG4_HUMAN		CPI-SS0627D0E22	NRG4	0.007	0.003	0.007	0.005
FLRT2	O43155	False	FLRT2_HUMAN		CPI-SS0474E1C15	FLRT2	0.286	0.048	0.162	0.327
