gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EC	EP	PV	SM
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0917E42F5	SULT1E1	0.033	0.004	0.448	0.027	0.12
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CS08EE9E5CE	ALDH1A1	0.006	0.005	0.437	0.012	0.0
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CS033058D2B	ALDH1A2	0.124	0.181	0.202	0.093	0.12
HDC	P19113	True	DCHS_HUMAN	Histamine_byHDC	CPI-CS0FF6E7611	HDC	0.0	0.001	0.0	0.0	0.0
PTGDS	P41222	True	PTGDS_HUMAN	PGD2_byPTGDS	CPI-CS0FADCFDB9	PTGDS	0.156	0.036	0.071	0.251	0.12
CDH5	P33151	False	CADH5_HUMAN		CPI-SS00C24ED50	CDH5	0.022	0.883	0.03	0.015	0.0
CDH6	P55285	False	CADH6_HUMAN		CPI-SS0C53F7672	CDH6	0.013	0.01	0.157	0.063	0.08
CDH7	Q9ULB5	False	CADH7_HUMAN		CPI-SS0BE3D537D	CDH7	0.01	0.026	0.009	0.045	0.0
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	CADM1	0.69	0.26	0.221	0.262	0.44
CEACAM5	P06731	False	CEAM5_HUMAN		CPI-SS0322747C2	CEACAM5	0.0	0.001	0.005	0.0	0.0
CEACAM6	P40199	False	CEAM6_HUMAN		CPI-SS001BF66E8	CEACAM6	0.0	0.0	0.015	0.0	0.0
CD44	P16070	False	CD44_HUMAN		CPI-SS06F83AE58	CD44	0.051	0.455	0.075	0.37	0.72
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS01A7DC3C1	CLSTN2	0.128	0.009	0.012	0.027	0.08
LRRTM2	O43300	False	LRRT2_HUMAN		CPI-SS0C0329180	LRRTM2	0.004	0.008	0.002	0.006	0.0
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS026EC3854	LRRTM3	0.392	0.043	0.015	0.049	0.0
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS0F97A06CD	LRRTM4	0.105	0.125	0.065	0.357	0.12
NLGN1	Q8N2Q7	False	NLGN1_HUMAN		CPI-SS0731F750C	NLGN1	0.399	0.021	0.021	0.074	0.16
NLGN4X	Q8N0W4	False	NLGNX_HUMAN		CPI-SS0F9118AB4	NLGN4X	0.139	0.18	0.035	0.218	0.48
NLGN4Y	Q8NFZ3	False	NLGNY_HUMAN		CPI-SS0837C7966	NLGN4Y	0.297	0.716	0.209	0.373	0.0
THBS1	P07996	False	TSP1_HUMAN		CPI-SS0C93E48D7	THBS1	0.179	0.47	0.187	0.316	0.68
APOA1	P02647	False	APOA1_HUMAN		CPI-SC0FE3CE9D1	APOA1	0.348	0.088	0.532	0.082	0.08
APOA2	P02652	False	APOA2_HUMAN		CPI-SC0412566F3	APOA2	0.061	0.083	0.533	0.059	0.12
APOB	P04114	False	APOB_HUMAN		CPI-SC0EFFE8ACB	APOB	0.016	0.022	0.471	0.012	0.0
APOE	P02649	False	APOE_HUMAN		CPI-SC06C75F978	APOE	0.673	0.348	0.733	0.84	0.92
CLU	P10909	False	CLUS_HUMAN		CPI-SC046AFCFE9	CLU	0.395	0.088	0.498	0.057	0.28
AGT	P01019	False	ANGT_HUMAN		CPI-SS05996C8FD	AGT	0.101	0.011	0.415	0.047	0.12
APOA1	P02647	False	APOA1_HUMAN		CPI-SS015B29D3F	APOA1	0.348	0.088	0.532	0.082	0.08
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0BA601DC4	BDNF	0.019	0.039	0.005	0.056	0.24
NTN4	Q9HB63	False	NET4_HUMAN		CPI-SS0E3AA6B7B	NTN4	0.007	0.002	0.027	0.026	0.32
NTF3	P20783	False	NTF3_HUMAN		CPI-SS093E05DD4	NTF3	0.001	0.001	0.0	0.004	0.04
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS09A6C048C	CLSTN2	0.128	0.009	0.012	0.027	0.08
LRRTM2	O43300	False	LRRT2_HUMAN		CPI-SS0E5F8A5F7	LRRTM2	0.004	0.008	0.002	0.006	0.0
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS0626DF0EB	LRRTM3	0.392	0.043	0.015	0.049	0.0
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS03466C597	LRRTM4	0.105	0.125	0.065	0.357	0.12
NLGN1	Q8N2Q7	False	NLGN1_HUMAN		CPI-SS0D2DF7881	NLGN1	0.399	0.021	0.021	0.074	0.16
NLGN4X	Q8N0W4	False	NLGNX_HUMAN		CPI-SS0FA378947	NLGN4X	0.139	0.18	0.035	0.218	0.48
NLGN4Y	Q8NFZ3	False	NLGNY_HUMAN		CPI-SS0CCB5F46B	NLGN4Y	0.297	0.716	0.209	0.373	0.0
CXCL10	P02778	False	CXL10_HUMAN		CPI-SS0FDAB7BA8	CXCL10	0.001	0.001	0.001	0.004	0.0
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0B1B18F2D	CXCL12	0.439	0.052	0.14	0.242	0.48
CXCL2	P19875	False	CXCL2_HUMAN		CPI-SS0CDAC688B	CXCL2	0.003	0.01	0.062	0.03	0.0
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0A28DCA72	CXCL12	0.439	0.052	0.14	0.242	0.48
