Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cardiac muscle cell membrane repolarization (GO:0099622)	1/11	5.365826e-02	3.194299e-01	0	0	2.009091e+01	5.876832e+01	KCNIP2
GO_Biological_Process_2021	actomyosin structure organization (GO:0031032)	2/76	5.555659e-02	3.194299e-01	0	0	5.467733e+00	1.580368e+01	TNNT2;TTN
GO_Biological_Process_2021	positive regulation of endothelial cell proliferation (GO:0001938)	2/77	5.685706e-02	3.194299e-01	0	0	5.394558e+00	1.546736e+01	EGF;EMC10
GO_Biological_Process_2021	mitotic G1/S transition checkpoint signaling (GO:0044819)	1/12	5.839256e-02	3.194299e-01	0	0	1.826354e+01	5.187882e+01	PLK5
GO_Biological_Process_2021	regulation of receptor signaling pathway via STAT (GO:1904892)	1/13	6.310341e-02	3.194299e-01	0	0	1.674074e+01	4.625434e+01	EGF
GO_Biological_Process_2021	transcription preinitiation complex assembly (GO:0070897)	1/13	6.310341e-02	3.194299e-01	0	0	1.674074e+01	4.625434e+01	TAF7L
GO_Biological_Process_2021	detection of calcium ion (GO:0005513)	1/13	6.310341e-02	3.194299e-01	0	0	1.674074e+01	4.625434e+01	KCNIP2
GO_Biological_Process_2021	cardiac cell development (GO:0055006)	1/13	6.310341e-02	3.194299e-01	0	0	1.674074e+01	4.625434e+01	TTN
GO_Biological_Process_2021	negative regulation of secretion (GO:0051048)	1/14	6.779093e-02	3.194299e-01	0	0	1.545221e+01	4.158696e+01	EGF
GO_Biological_Process_2021	positive regulation of potassium ion transmembrane transporter activity (GO:1901018)	1/14	6.779093e-02	3.194299e-01	0	0	1.545221e+01	4.158696e+01	KCNIP2
GO_Biological_Process_2021	membrane repolarization during action potential (GO:0086011)	1/14	6.779093e-02	3.194299e-01	0	0	1.545221e+01	4.158696e+01	KCNIP2
GO_Biological_Process_2021	potassium ion export across plasma membrane (GO:0097623)	1/14	6.779093e-02	3.194299e-01	0	0	1.545221e+01	4.158696e+01	KCNIP2
GO_Biological_Process_2021	positive regulation of endothelial cell migration (GO:0010595)	2/86	6.902351e-02	3.194299e-01	0	0	4.814383e+00	1.287033e+01	EGF;EMC10
GO_Biological_Process_2021	regulation of secretion (GO:0051046)	1/15	7.245523e-02	3.194299e-01	0	0	1.434776e+01	3.765981e+01	EGF
GO_Biological_Process_2021	membrane repolarization during cardiac muscle cell action potential (GO:0086013)	1/15	7.245523e-02	3.194299e-01	0	0	1.434776e+01	3.765981e+01	KCNIP2
GO_Biological_Process_2021	response to muscle stretch (GO:0035994)	1/15	7.245523e-02	3.194299e-01	0	0	1.434776e+01	3.765981e+01	TTN
GO_Biological_Process_2021	protein kinase A signaling (GO:0010737)	1/15	7.245523e-02	3.194299e-01	0	0	1.434776e+01	3.765981e+01	TTN
GO_Biological_Process_2021	regulation of endothelial cell migration (GO:0010594)	2/89	7.325362e-02	3.194299e-01	0	0	4.647666e+00	1.214820e+01	EGF;EMC10
GO_Biological_Process_2021	membrane repolarization (GO:0086009)	1/16	7.709643e-02	3.194299e-01	0	0	1.339057e+01	3.431600e+01	KCNIP2
GO_Biological_Process_2021	regulation of ERBB signaling pathway (GO:1901184)	1/16	7.709643e-02	3.194299e-01	0	0	1.339057e+01	3.431600e+01	EGF
