Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	extracellular matrix organization (GO:0030198)	23/300	4.238405e-21	4.528797e-18	0	0	2.116035e+01	9.926339e+02	ITGB1;SPARC;ITGA1;FN1;BGN;HAPLN1;COL1A1;COL3A1;COL1A2;COL5A1;COL4A2;P4HA2;COL4A1;COL6A2;COL5A2;ITGA11;PXDN;SERPINH1;COL6A3;TIMP1;P4HB;PPIB;FBN1
GO_Biological_Process_2021	supramolecular fiber organization (GO:0097435)	24/351	7.896769e-21	4.528797e-18	0	0	1.890198e+01	8.749317e+02	TPM4;TPM3;TPM2;STMN2;RND3;COL1A1;CST3;MARCKS;COL3A1;COL1A2;COL5A1;COL4A2;P4HA2;COL4A1;COL6A2;COL5A2;PXDN;SERPINH1;COL6A3;EMILIN1;VIM;P4HB;PPIB;B2M
GO_Biological_Process_2021	collagen fibril organization (GO:0030199)	14/89	1.331682e-17	5.091465e-15	0	0	4.303101e+01	1.672078e+03	COL1A1;COL3A1;COL1A2;COL4A2;COL5A1;COL4A1;P4HA2;COL6A2;PXDN;COL5A2;SERPINH1;COL6A3;P4HB;PPIB
GO_Biological_Process_2021	extracellular structure organization (GO:0043062)	18/216	2.746829e-17	6.844300e-15	0	0	2.184257e+01	8.329337e+02	ITGB1;SPARC;ITGA1;FN1;BGN;HAPLN1;COL1A1;COL3A1;COL1A2;COL5A1;COL4A2;COL4A1;COL6A2;COL5A2;ITGA11;PXDN;COL6A3;FBN1
GO_Biological_Process_2021	external encapsulating structure organization (GO:0045229)	18/217	2.983566e-17	6.844300e-15	0	0	2.173171e+01	8.269094e+02	ITGB1;SPARC;ITGA1;FN1;BGN;HAPLN1;COL1A1;COL3A1;COL1A2;COL5A1;COL4A2;COL4A1;COL6A2;COL5A2;ITGA11;PXDN;COL6A3;FBN1
GO_Biological_Process_2021	platelet degranulation (GO:0002576)	10/125	6.800830e-10	1.300092e-07	0	0	1.911594e+01	4.035147e+02	CD63;ECM1;SPARC;TMSB4X;ANXA5;FN1;FLNA;TAGLN2;TIMP1;CALM1
GO_Biological_Process_2021	regulated exocytosis (GO:0045055)	11/180	1.632991e-09	2.675773e-07	0	0	1.442996e+01	2.919592e+02	CRHBP;CD63;ECM1;SPARC;TMSB4X;ANXA5;FN1;FLNA;TAGLN2;TIMP1;CALM1
GO_Biological_Process_2021	cell-matrix adhesion (GO:0007160)	7/100	6.913932e-07	9.912851e-05	0	0	1.603064e+01	2.273875e+02	ITGB1;CD63;COL3A1;ITGA11;ITGA1;FN1;EMILIN1
GO_Biological_Process_2021	positive regulation of cell-substrate adhesion (GO:0010811)	6/70	1.359272e-06	1.732317e-04	0	0	1.978324e+01	2.672432e+02	FN1;FLNA;CALR;P4HB;FBLN2;S100A10
GO_Biological_Process_2021	negative regulation of trophoblast cell migration (GO:1901164)	3/6	2.399297e-06	2.512174e-04	0	0	2.051237e+02	2.654370e+03	ARHGDIB;CALR;TIMP1
