gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EC	EP	PR	SM	UN	nan
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0917E42F5	SULT1E1	0.002	0.002	0.234	0.07	0.0	0.0	0.0
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CS08EE9E5CE	ALDH1A1	0.003	0.002	0.809	0.03	0.0	0.002	0.0
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CS033058D2B	ALDH1A2	0.01	0.017	0.011	0.38	0.0	0.002	0.009
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CS0C61C245A	ALDH1A3	0.0	0.0	0.0	0.008	0.0	0.0	0.006
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS0F0453B03	PTGES	0.004	0.0	0.011	0.022	0.0	0.002	0.044
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS023F349AF	PTGES	0.004	0.0	0.011	0.022	0.0	0.002	0.044
CDH5	P33151	False	CADH5_HUMAN		CPI-SS00C24ED50	CDH5	0.005	0.818	0.0	0.004	0.0	0.008	0.013
CDH6	P55285	False	CADH6_HUMAN		CPI-SS0C53F7672	CDH6	0.004	0.0	0.043	0.018	0.0	0.002	0.028
CDH7	Q9ULB5	False	CADH7_HUMAN		CPI-SS0BE3D537D	CDH7	0.013	0.019	0.011	0.151	0.0	0.003	0.057
CEACAM6	P40199	False	CEAM6_HUMAN		CPI-SS001BF66E8	CEACAM6	0.0	0.0	0.011	0.0	0.0	0.0	0.0
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS01A7DC3C1	CLSTN2	0.007	0.005	0.0	0.022	0.0	0.002	0.003
LRRTM1	Q86UE6	False	LRRT1_HUMAN		CPI-SS0EEFFA23C	LRRTM1	0.001	0.005	0.0	0.002	0.0	0.0	0.003
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS026EC3854	LRRTM3	0.01	0.005	0.0	0.009	0.0	0.003	0.013
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS0F97A06CD	LRRTM4	0.007	0.015	0.0	0.029	0.0	0.002	0.009
FN1	P02751	False	FINC_HUMAN		CPI-SC034EE8AAA	FN1	0.257	0.489	0.894	0.85	1.0	0.091	0.965
VCAM1	P19320	False	VCAM1_HUMAN		CPI-SC06C0A2080	VCAM1	0.771	0.024	0.17	0.112	0.0	0.159	0.028
GJA1	P17302	False	CXA1_HUMAN		CPI-SS04829AC68	GJA1	0.169	0.758	0.064	0.106	0.0	0.042	0.421
F2	P00734	False	THRB_HUMAN		CPI-SS058209EC7	F2	0.001	0.0	0.734	0.0	0.0	0.0	0.0
THBS1	P07996	False	TSP1_HUMAN		CPI-SS0C93E48D7	THBS1	0.03	0.223	0.032	0.105	1.0	0.006	0.171
AGT	P01019	False	ANGT_HUMAN		CPI-SS05996C8FD	AGT	0.042	0.002	0.691	0.003	0.0	0.006	0.022
AGT	P01019	False	ANGT_HUMAN		CPI-SS069924427	AGT	0.042	0.002	0.691	0.003	0.0	0.006	0.022
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0BA601DC4	BDNF	0.007	0.022	0.0	0.139	0.0	0.003	0.019
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS09A6C048C	CLSTN2	0.007	0.005	0.0	0.022	0.0	0.002	0.003
LRRTM1	Q86UE6	False	LRRT1_HUMAN		CPI-SS043D3630C	LRRTM1	0.001	0.005	0.0	0.002	0.0	0.0	0.003
