id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	EN_V|EN_V	EN_V|FB_V	EN_V|PR	EN_V|SM	EN_V|UN	FB_V|EN_V	FB_V|FB_V	FB_V|PR	FB_V|SM	FB_V|UN	PR|EN_V	PR|FB_V	PR|PR	PR|SM	PR|UN	SM|EN_V	SM|FB_V	SM|PR	SM|SM	SM|UN	UN|EN_V	UN|FB_V	UN|PR	UN|SM	UN|UN
CPI-SS0C3906934	RSPO3_LGR5	simple:Q9BXY4	simple:O75473	RSPO3	LGR5	True	False	True	curated	False	Ligand-Receptor	Signaling by R-spondin	0.014	0.039	0.016	0.012	0.0	0.089	0.114	0.091	0.088	0.0	0.017	0.042	0.019	0.015	0.0	0.155	0.18	0.157	0.153	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CC06F5021B7	atRetinoicAcid_byALDH1A1_RAreceptor_RARB	complex:atRetinoicAcid_byALDH1A1	complex:RAreceptor_RARB			True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.001	0.006	0.001	0.0	0.0	0.009	0.014	0.01	0.0	0.0	0.003	0.008	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CC021B19C0E	atRetinoicAcid_byALDH1A2_RAreceptor_RARB	complex:atRetinoicAcid_byALDH1A2	complex:RAreceptor_RARB			True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.078	0.083	0.079	0.0	0.0	0.377	0.382	0.377	0.0	0.0	0.29	0.295	0.29	0.0	0.0	0.044	0.049	0.045	0.0	0.0	0.134	0.139	0.134	0.0	0.0
CPI-CC039D8C2A7	atRetinoicAcid_byALDH1A3_RAreceptor_RARB	complex:atRetinoicAcid_byALDH1A3	complex:RAreceptor_RARB			True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.001	0.005	0.001	0.0	0.0	0.005	0.009	0.005	0.0	0.0	0.002	0.006	0.002	0.0	0.0	0.002	0.006	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS08EE9E5CE	atRetinoicAcid_byALDH1A1_RORB	complex:atRetinoicAcid_byALDH1A1	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.002	0.002	0.002	0.0	0.0	0.01	0.01	0.01	0.0	0.0	0.004	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS033058D2B	atRetinoicAcid_byALDH1A2_RORB	complex:atRetinoicAcid_byALDH1A2	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.079	0.079	0.079	0.0	0.0	0.378	0.378	0.378	0.0	0.0	0.291	0.291	0.291	0.0	0.0	0.045	0.045	0.045	0.0	0.0	0.134	0.135	0.135	0.0	0.0
CPI-CS0C61C245A	atRetinoicAcid_byALDH1A3_RORB	complex:atRetinoicAcid_byALDH1A3	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.001	0.002	0.001	0.0	0.0	0.005	0.006	0.005	0.0	0.0	0.002	0.003	0.002	0.0	0.0	0.002	0.003	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0F7113A7D	SEMA4D_PTPRC	simple:Q92854	simple:P08575	SEMA4D	PTPRC	False	True	False	curated	False	Ligand-Receptor	Signaling by Semaphorin	0.004	0.004	0.004	0.0	0.0	0.005	0.005	0.005	0.0	0.0	0.003	0.004	0.004	0.0	0.0	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0D0235DCE	SLIT2_ROBO2	simple:O94813	simple:Q9HCK4	SLIT2	ROBO2	True	False	True	curated	False	Ligand-Receptor	Signaling by SLIT and NTRK-like protein	0.066	0.11	0.091	0.069	0.0	0.127	0.171	0.152	0.13	0.0	0.139	0.183	0.164	0.141	0.0	0.146	0.19	0.171	0.148	0.0	0.139	0.183	0.164	0.142	0.0
CPI-SS05A3441B9	SST_SSTR3	simple:P61278	simple:P32745	SST	SSTR3	True	False	True	curated	False	Ligand-Receptor	Signaling by Somatostatin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS02A8BD654	TAC1_TACR1	simple:P20366	simple:P25103	TAC1	TACR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Tachykinins	0.057	0.067	0.058	0.058	0.0	0.29	0.3	0.291	0.291	0.0	0.094	0.104	0.094	0.094	0.0	0.061	0.071	0.062	0.062	0.0	0.067	0.077	0.068	0.067	0.0
CPI-CS0245870E9	Lthyroxine_byTPO_THRB	complex:Lthyroxine_byTPO	simple:P10828		THRB	True	False	False	curated	False	Ligand-Receptor		0.001	0.005	0.005	0.001	0.0	0.001	0.005	0.005	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0C03F7CDC	VEGFA_KDR	simple:P15692	simple:P35968	VEGFA	KDR	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.755	0.021	0.026	0.021	0.348	0.785	0.051	0.056	0.051	0.378	0.761	0.027	0.032	0.027	0.354	0.769	0.035	0.04	0.035	0.361	0.0	0.0	0.0	0.0	0.0
CPI-SS0EC8C81E0	VEGFC_KDR	simple:P49767	simple:P35968	VEGFC	KDR	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.772	0.038	0.043	0.038	0.365	0.756	0.022	0.027	0.022	0.349	0.754	0.02	0.025	0.02	0.346	0.763	0.03	0.034	0.03	0.356	0.0	0.0	0.0	0.0	0.0
CPI-SS075B13211	WNT16_FRZB	simple:Q9UBV4	simple:Q92765	WNT16	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.0	0.0	0.0	0.0	0.0	0.047	0.196	0.159	0.049	0.0	0.047	0.197	0.16	0.049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS02704D1B8	WNT2_FRZB	simple:P09544	simple:Q92765	WNT2	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.047	0.197	0.16	0.049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0EE63435D	WNT4_FRZB	simple:P56705	simple:Q92765	WNT4	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.048	0.198	0.161	0.05	0.0	0.049	0.198	0.161	0.051	0.0	0.047	0.197	0.16	0.049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS007954822	WNT5A_FRZB	simple:P41221	simple:Q92765	WNT5A	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.124	0.273	0.236	0.126	0.0	0.175	0.325	0.288	0.177	0.0	0.107	0.257	0.22	0.109	0.0	0.093	0.243	0.206	0.095	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS05C7CF827	WNT5B_FRZB	simple:Q9H1J7	simple:Q92765	WNT5B	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.047	0.196	0.16	0.049	0.0	0.05	0.199	0.162	0.052	0.0	0.048	0.197	0.16	0.05	0.0	0.056	0.205	0.168	0.058	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS03BC3A729	WNT7B_FRZB	simple:P56706	simple:Q92765	WNT7B	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.047	0.197	0.16	0.049	0.0	0.047	0.197	0.16	0.049	0.0	0.047	0.196	0.16	0.049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS050A950B9	WNT16_SFRP1	simple:Q9UBV4	simple:Q8N474	WNT16	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.0	0.0	0.0	0.0	0.0	0.209	0.787	0.331	0.168	0.273	0.21	0.787	0.332	0.169	0.273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS01E6C2BB8	WNT2_SFRP1	simple:P09544	simple:Q8N474	WNT2	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.787	0.332	0.169	0.273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS036707F4C	WNT4_SFRP1	simple:P56705	simple:Q8N474	WNT4	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.211	0.788	0.333	0.17	0.274	0.211	0.789	0.333	0.17	0.275	0.21	0.787	0.332	0.169	0.273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0F1E79A03	WNT5A_SFRP1	simple:P41221	simple:Q8N474	WNT5A	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.286	0.864	0.408	0.245	0.35	0.338	0.915	0.46	0.297	0.401	0.27	0.847	0.392	0.229	0.333	0.256	0.833	0.378	0.215	0.319	0.0	0.0	0.0	0.0	0.0
CPI-SS0FF2EEAE8	WNT5B_SFRP1	simple:Q9H1J7	simple:Q8N474	WNT5B	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.209	0.787	0.332	0.169	0.273	0.212	0.79	0.334	0.171	0.276	0.21	0.788	0.332	0.169	0.274	0.218	0.796	0.34	0.177	0.282	0.0	0.0	0.0	0.0	0.0
CPI-SS0FE9D6F11	WNT7B_SFRP1	simple:P56706	simple:Q8N474	WNT7B	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.21	0.787	0.332	0.169	0.273	0.21	0.787	0.332	0.169	0.273	0.209	0.787	0.332	0.168	0.273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0C2782258	WNT16_SFRP2	simple:Q9UBV4	simple:Q96HF1	WNT16	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.0	0.0	0.0	0.0	0.0	0.018	0.103	0.025	0.013	0.0	0.018	0.104	0.025	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0C95AC883	WNT2_SFRP2	simple:P09544	simple:Q96HF1	WNT2	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.104	0.025	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0661CE946	WNT4_SFRP2	simple:P56705	simple:Q96HF1	WNT4	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.019	0.105	0.026	0.014	0.0	0.019	0.105	0.027	0.015	0.0	0.018	0.104	0.025	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS03F33B34C	WNT5A_SFRP2	simple:P41221	simple:Q96HF1	WNT5A	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.094	0.18	0.102	0.09	0.0	0.146	0.232	0.153	0.141	0.0	0.078	0.164	0.085	0.073	0.0	0.064	0.15	0.071	0.059	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0AC302C73	WNT5B_SFRP2	simple:Q9H1J7	simple:Q96HF1	WNT5B	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.018	0.103	0.025	0.013	0.0	0.021	0.106	0.028	0.016	0.0	0.018	0.104	0.026	0.014	0.0	0.026	0.112	0.034	0.022	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS08F783A87	WNT7B_SFRP2	simple:P56706	simple:Q96HF1	WNT7B	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.018	0.104	0.025	0.013	0.0	0.018	0.104	0.025	0.013	0.0	0.018	0.103	0.025	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0D192A275	WNT16_WIF1	simple:Q9UBV4	simple:Q9Y5W5	WNT16	WIF1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS017D5AA63	WNT2_WIF1	simple:P09544	simple:Q9Y5W5	WNT2	WIF1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS068E97BDA	WNT4_WIF1	simple:P56705	simple:Q9Y5W5	WNT4	WIF1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.001	0.003	0.002	0.0	0.0	0.002	0.003	0.002	0.0	0.0	0.0	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS03C93A8FE	WNT5A_WIF1	simple:P41221	simple:Q9Y5W5	WNT5A	WIF1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.077	0.078	0.077	0.0	0.0	0.129	0.13	0.129	0.0	0.0	0.06	0.062	0.061	0.0	0.0	0.047	0.048	0.047	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS02682D84C	WNT5B_WIF1	simple:Q9H1J7	simple:Q9Y5W5	WNT5B	WIF1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.0	0.002	0.001	0.0	0.0	0.003	0.005	0.003	0.0	0.0	0.001	0.002	0.001	0.0	0.0	0.009	0.011	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0D10CE481	WNT7B_WIF1	simple:P56706	simple:Q9Y5W5	WNT7B	WIF1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.0	0.002	0.001	0.0	0.0	0.0	0.002	0.001	0.0	0.0	0.0	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS073F3FAD5	WNT5A_ROR1	simple:P41221	simple:Q01973	WNT5A	ROR1	True	False	True	curated	False	Ligand-Receptor	Signaling by WNT	0.13	0.168	0.124	0.152	0.206	0.182	0.219	0.175	0.203	0.257	0.113	0.151	0.107	0.135	0.189	0.1	0.137	0.093	0.121	0.175	0.0	0.0	0.0	0.0	0.0
CPI-SS04C672963	ESAM_ESAM	simple:Q96AP7	simple:Q96AP7	ESAM	ESAM	False	False	False	curated	False	Adhesion-Adhesion		1.643	0.86	0.936	0.98	1.12	0.86	0.077	0.153	0.197	0.337	0.936	0.153	0.229	0.273	0.412	0.98	0.197	0.273	0.317	0.457	1.12	0.337	0.412	0.457	0.596
CPI-SS018AC8F36	FTH1_SCARA5	simple:P02794	simple:Q6ZMJ2	FTH1	SCARA5	False	False	True	curated	False	Ligand-Receptor		1.53	1.531	1.53	0.0	0.0	1.664	1.665	1.664	0.0	0.0	1.716	1.716	1.716	0.0	0.0	1.591	1.591	1.59	0.0	0.0	1.073	1.073	1.073	0.0	0.0
CPI-SS00577086D	FTL_SCARA5	simple:P02792	simple:Q6ZMJ2	FTL	SCARA5	False	False	True	curated	False	Ligand-Receptor		1.93	1.93	1.93	0.0	0.0	1.61	1.61	1.61	0.0	0.0	1.626	1.627	1.626	0.0	0.0	1.752	1.753	1.752	0.0	0.0	0.926	0.926	0.926	0.0	0.0
CPI-SS0F9F83827	PTPRD_IL1RAPL1	simple:P23468	simple:Q9NZN1	PTPRD	IL1RAPL1	False	True	True	curated	False	Ligand-Receptor		0.05	0.102	0.064	0.054	0.0	0.157	0.209	0.171	0.161	0.0	0.111	0.163	0.125	0.116	0.0	0.101	0.154	0.116	0.106	0.0	0.077	0.129	0.091	0.081	0.0
CPI-SS0ABEE4D3D	RBP4_STRA6	simple:P02753	simple:Q9BX79	RBP4	STRA6	True	False	True	curated	False	Ligand-Receptor		0.008	0.031	0.017	0.012	0.0	0.009	0.033	0.018	0.013	0.0	0.008	0.032	0.017	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
