id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	EN_V|EN_V	EN_V|FB_V	EN_V|PR	EN_V|SM	EN_V|UN	FB_V|EN_V	FB_V|FB_V	FB_V|PR	FB_V|SM	FB_V|UN	PR|EN_V	PR|FB_V	PR|PR	PR|SM	PR|UN	SM|EN_V	SM|FB_V	SM|PR	SM|SM	SM|UN	UN|EN_V	UN|FB_V	UN|PR	UN|SM	UN|UN
CPI-SS0474E1C15	FLRT2_ADGRL3	simple:O43155	simple:Q9HAR2	FLRT2	ADGRL3	False	False	True	curated	False	Ligand-Receptor	Signaling by Fibronectin	0.02	0.037	0.025	0.029	0.0	0.087	0.103	0.091	0.096	0.0	0.033	0.049	0.038	0.042	0.0	0.034	0.051	0.039	0.044	0.0	0.109	0.125	0.113	0.118	0.0
CPI-SS052641D5A	FLRT3_ADGRL3	simple:Q9NZU0	simple:Q9HAR2	FLRT3	ADGRL3	False	False	True	curated	False	Ligand-Receptor	Signaling by Fibronectin	0.028	0.044	0.032	0.037	0.0	0.074	0.091	0.079	0.084	0.0	0.048	0.064	0.052	0.057	0.0	0.02	0.036	0.025	0.029	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS0D62B1695	TENM3_FLRT3_complex_ADGRL3	complex:TENM3_FLRT3_complex	simple:Q9HAR2		ADGRL3	False	True	True	curated	False	Ligand-Receptor	Signaling by Fibronectin	0.024	0.04	0.028	0.033	0.0	0.074	0.091	0.079	0.084	0.0	0.048	0.064	0.052	0.057	0.0	0.02	0.036	0.025	0.029	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS038A612D7	TENM1_ADGRL3	simple:Q9UKZ4	simple:Q9HAR2	TENM1	ADGRL3	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.022	0.038	0.026	0.031	0.0	0.073	0.089	0.077	0.082	0.0	0.027	0.043	0.031	0.036	0.0	0.02	0.037	0.025	0.03	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0BCB3D402	TENM2_ADGRL3	simple:Q9NT68	simple:Q9HAR2	TENM2	ADGRL3	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.011	0.027	0.015	0.02	0.0	0.017	0.034	0.022	0.027	0.0	0.014	0.031	0.019	0.024	0.0	0.037	0.054	0.042	0.047	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0EA023E51	TENM3_ADGRL3	simple:Q9P273	simple:Q9HAR2	TENM3	ADGRL3	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.024	0.04	0.028	0.033	0.0	0.088	0.105	0.093	0.097	0.0	0.054	0.07	0.059	0.063	0.0	0.047	0.063	0.051	0.056	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS01F00A48A	TENM4_ADGRL3	simple:Q6N022	simple:Q9HAR2	TENM4	ADGRL3	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.017	0.033	0.021	0.026	0.0	0.039	0.055	0.043	0.048	0.0	0.037	0.053	0.041	0.046	0.0	0.022	0.038	0.026	0.031	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS07AF9303D	GRP_GRPR	simple:P07492	simple:P30550	GRP	GRPR	True	False	True	curated	False	Ligand-Receptor	Signaling by Gastrin	0.001	0.002	0.0	0.0	0.0	0.002	0.004	0.002	0.0	0.0	0.002	0.003	0.002	0.0	0.0	0.004	0.005	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0D3A5646A	RLN1_RXFP2	simple:P04808	simple:Q8WXD0	RLN1	RXFP2	True	False	True	curated	False	Ligand-Receptor	Signaling by Relaxin	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS00373B59C	LRRC4C_PTPRF	simple:Q9HCJ2	simple:P10586	LRRC4C	PTPRF	False	False	True	curated	False	Ligand-Receptor	Signaling by Leucine Rich Repeat And Fibronectin	0.08	0.064	0.062	0.086	0.105	0.225	0.209	0.208	0.231	0.251	0.107	0.09	0.089	0.112	0.132	0.084	0.068	0.067	0.09	0.11	0.0	0.0	0.0	0.0	0.0
