gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	EN_V	FB_V	PR	SM	UN
LIPA	P38571	True	LICH_HUMAN	Cholesterol_byLIPA	CPI-CS0406B0B69	LIPA	0.689	0.079	0.221	0.243	0.105
PTGIS	Q16647	True	PTGIS_HUMAN	Prostacyclin_byPTGIS	CPI-CS09A35DD21	PTGIS	0.006	0.025	0.016	0.02	0.0
AKR1C3	P42330	True	AK1C3_HUMAN	ProstaglandinD2_byAKR1C3	CPI-CS0D78DAC70	AKR1C3	0.027	0.052	0.041	0.013	0.0
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS09DCEBC2B	PTGES	0.003	0.01	0.005	0.016	0.0
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS0F0453B03	PTGES	0.003	0.01	0.005	0.016	0.0
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS080C76630	PTGES	0.003	0.01	0.005	0.016	0.0
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS023F349AF	PTGES	0.003	0.01	0.005	0.016	0.0
AKR1B1	P15121	True	ALDR_HUMAN	ProstaglandinF2a_byAKR1B1	CPI-CS058DED3AA	AKR1B1	0.332	0.07	0.082	0.184	0.0
TPH1	P17752	True	TPH1_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS09463D22E	TPH1	0.001	0.004	0.003	0.0	0.0
TPH1	P17752	True	TPH1_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS0FBE83390	TPH1	0.001	0.004	0.003	0.0	0.0
TPH1	P17752	True	TPH1_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS059692236	TPH1	0.001	0.004	0.003	0.0	0.0
SLC18A2	Q05940	True	VMAT2_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS09463D22E	SLC18A2	0.001	0.004	0.003	0.0	0.0
SLC18A2	Q05940	True	VMAT2_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS0FBE83390	SLC18A2	0.001	0.004	0.003	0.0	0.0
SLC18A2	Q05940	True	VMAT2_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS059692236	SLC18A2	0.001	0.004	0.003	0.0	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS0215886EA	LTC4S	0.001	0.002	0.003	0.007	0.0
TENM2	Q9NT68	True	TEN2_HUMAN	TENM2_FLRT3_complex	CPI-CS049AAD8F5	TENM2	0.005	0.011	0.009	0.03	0.0
FLRT3	Q9NZU0	True	FLRT3_HUMAN	TENM2_FLRT3_complex	CPI-CS049AAD8F5	FLRT3	0.005	0.011	0.009	0.03	0.0
FLRT3	Q9NZU0	True	FLRT3_HUMAN	TENM3_FLRT3_complex	CPI-CS0D62B1695	FLRT3	0.039	0.076	0.064	0.03	0.0
TENM3	Q9P273	True	TEN3_HUMAN	TENM3_FLRT1_complex	CPI-CS059C42E4B	TENM3	0.0	0.002	0.0	0.0	0.0
TENM3	Q9P273	True	TEN3_HUMAN	TENM3_FLRT3_complex	CPI-CS0D62B1695	TENM3	0.039	0.076	0.064	0.03	0.0
FLRT1	Q9NZU1	True	FLRT1_HUMAN	TENM3_FLRT1_complex	CPI-CS059C42E4B	FLRT1	0.0	0.002	0.0	0.0	0.0
CDH5	P33151	False	CADH5_HUMAN		CPI-SS00C24ED50	CDH5	0.933	0.017	0.026	0.023	0.158
CDH6	P55285	False	CADH6_HUMAN		CPI-SS0C53F7672	CDH6	0.012	0.008	0.03	0.062	0.0
CDH7	Q9ULB5	False	CADH7_HUMAN		CPI-SS0BE3D537D	CDH7	0.055	0.153	0.064	0.02	0.0
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS01A7DC3C1	CLSTN2	0.005	0.024	0.006	0.016	0.0
