gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	EN_V	FB_V	PR	SM	UN
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0917E42F5	SULT1E1	0.03	0.105	0.088	0.205	0.0
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC06F5021B7	ALDH1A1	0.002	0.018	0.006	0.0	0.0
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CS08EE9E5CE	ALDH1A1	0.002	0.018	0.006	0.0	0.0
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC021B19C0E	ALDH1A2	0.156	0.754	0.579	0.088	0.267
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CS033058D2B	ALDH1A2	0.156	0.754	0.579	0.088	0.267
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CC039D8C2A7	ALDH1A3	0.001	0.008	0.003	0.002	0.0
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CS0C61C245A	ALDH1A3	0.001	0.008	0.003	0.002	0.0
TPO	P07202	True	PERT_HUMAN	Lthyroxine_byTPO	CPI-CS0245870E9	TPO	0.0	0.0	0.0	0.0	0.0
AKR1C3	P42330	True	AK1C3_HUMAN	ProstaglandinD2_byAKR1C3	CPI-CS0D78DAC70	AKR1C3	0.02	0.083	0.051	0.013	0.0
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS0F0453B03	PTGES	0.002	0.015	0.005	0.012	0.0
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS080C76630	PTGES	0.002	0.015	0.005	0.012	0.0
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS023F349AF	PTGES	0.002	0.015	0.005	0.012	0.0
TENM2	Q9NT68	True	TEN2_HUMAN	TENM2_FLRT1_complex	CPI-CS007F1C612	TENM2	0.0	0.003	0.0	0.0	0.0
TENM2	Q9NT68	True	TEN2_HUMAN	TENM2_FLRT3_complex	CPI-CS04534E61E	TENM2	0.004	0.017	0.011	0.022	0.0
FLRT1	Q9NZU1	True	FLRT1_HUMAN	TENM2_FLRT1_complex	CPI-CS007F1C612	FLRT1	0.0	0.003	0.0	0.0	0.0
FLRT1	Q9NZU1	True	FLRT1_HUMAN	TENM3_FLRT1_complex	CPI-CS059C42E4B	FLRT1	0.0	0.003	0.0	0.0	0.0
FLRT1	Q9NZU1	True	FLRT1_HUMAN	TENM4_FLRT1_complex	CPI-CS0C8B4ED97	FLRT1	0.0	0.003	0.0	0.0	0.0
FLRT3	Q9NZU0	True	FLRT3_HUMAN	TENM2_FLRT3_complex	CPI-CS04534E61E	FLRT3	0.004	0.017	0.011	0.022	0.0
FLRT3	Q9NZU0	True	FLRT3_HUMAN	TENM3_FLRT3_complex	CPI-CS0D62B1695	FLRT3	0.03	0.131	0.078	0.022	0.0
FLRT3	Q9NZU0	True	FLRT3_HUMAN	TENM4_FLRT3_complex	CPI-CS0B24464AF	FLRT3	0.016	0.06	0.055	0.022	0.0
TENM3	Q9P273	True	TEN3_HUMAN	TENM3_FLRT1_complex	CPI-CS059C42E4B	TENM3	0.0	0.003	0.0	0.0	0.0
TENM3	Q9P273	True	TEN3_HUMAN	TENM3_FLRT3_complex	CPI-CS0D62B1695	TENM3	0.03	0.131	0.078	0.022	0.0
TENM4	Q6N022	True	TEN4_HUMAN	TENM4_FLRT1_complex	CPI-CS0C8B4ED97	TENM4	0.0	0.003	0.0	0.0	0.0
TENM4	Q6N022	True	TEN4_HUMAN	TENM4_FLRT3_complex	CPI-CS0B24464AF	TENM4	0.016	0.06	0.055	0.022	0.0
CDH2	P19022	False	CADH2_HUMAN		CPI-SS0EE09A201	CDH2	0.263	0.466	0.268	0.69	0.0
CDH3	P22223	False	CADH3_HUMAN		CPI-SS0DA0F5556	CDH3	0.002	0.006	0.001	0.003	0.0
CDH5	P33151	False	CADH5_HUMAN		CPI-SS00C24ED50	CDH5	1.597	0.027	0.031	0.025	0.506
CDH7	Q9ULB5	False	CADH7_HUMAN		CPI-SS0BE3D537D	CDH7	0.043	0.27	0.081	0.017	0.0
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	CADM1	0.298	0.644	0.596	0.287	0.143
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS01A7DC3C1	CLSTN2	0.004	0.042	0.007	0.015	0.0
LRRTM1	Q86UE6	False	LRRT1_HUMAN		CPI-SS0EEFFA23C	LRRTM1	0.002	0.001	0.0	0.0	0.0
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS026EC3854	LRRTM3	0.0	0.007	0.003	0.005	0.0
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS0F97A06CD	LRRTM4	0.007	0.032	0.008	0.01	0.0
