gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EC	EP	PV
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS01F00A48A	ADGRL3	0.425	0.087	0.042	0.16
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS083BB1EB3	ADGRL2	0.159	0.914	0.162	0.559
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS021718DBF	ADGRL2	0.159	0.914	0.162	0.559
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS075F456AF	ADGRL2	0.159	0.914	0.162	0.559
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS0FD44484F	ADGRL2	0.159	0.914	0.162	0.559
GHSR	Q92847	False	GHSR_HUMAN		CPI-SS09F7A6011	GHSR	0.0	0.001	0.0	0.0
PTPRD	P23468	False	PTPRD_HUMAN		CPI-SS081E1A895	PTPRD	1.259	0.141	0.125	0.452
ALK	Q9UM73	False	ALK_HUMAN		CPI-SS05D7900BF	ALK	0.179	0.004	0.017	0.013
UNC5D	Q6UXZ4	False	UNC5D_HUMAN		CPI-SS0BA4E3F44	UNC5D	0.002	0.003	0.001	0.011
NTRK3	Q16288	False	NTRK3_HUMAN		CPI-SS05162C56B	NTRK3	0.001	0.01	0.001	0.009
MCAM	P43121	False	MUC18_HUMAN		CPI-SS0730D1EF3	MCAM	0.124	0.72	0.031	0.089
NRCAM	Q92823	False	NRCAM_HUMAN		CPI-SS0BDC912F3	NRCAM	0.02	0.179	0.017	0.016
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0F67B526A	NRP2	0.122	1.065	0.081	0.161
PTGDR	Q13258	False	PD2R_HUMAN		CPI-CS0FADCFDB9	PTGDR	0.0	0.001	0.0	0.006
LGR4	Q9BXB1	False	LGR4_HUMAN		CPI-SS01E3453DB	LGR4	0.454	0.078	0.154	0.08
LGR4	Q9BXB1	False	LGR4_HUMAN		CPI-SS0ACAB1835	LGR4	0.454	0.078	0.154	0.08
LGR5	O75473	False	LGR5_HUMAN		CPI-SS056D0AD0D	LGR5	0.002	0.004	0.119	0.024
LGR5	O75473	False	LGR5_HUMAN		CPI-SS0C3906934	LGR5	0.002	0.004	0.119	0.024
RORB	Q92753	False	RORB_HUMAN		CPI-CS08EE9E5CE	RORB	0.003	0.006	0.002	0.033
RORB	Q92753	False	RORB_HUMAN		CPI-CS033058D2B	RORB	0.003	0.006	0.002	0.033
SCTR	P47872	False	SCTR_HUMAN		CPI-SS02CAD3BF8	SCTR	0.001	0.001	0.008	0.0
ROBO1	Q9Y6N7	False	ROBO1_HUMAN		CPI-SS0A932EB77	ROBO1	0.299	1.318	0.644	0.568
ROBO2	Q9HCK4	False	ROBO2_HUMAN		CPI-SS0D0235DCE	ROBO2	0.366	0.142	0.418	0.501
TACR3	P29371	False	NK3R_HUMAN		CPI-SS015B70BF9	TACR3	0.0	0.0	0.014	0.002
KDR	P35968	False	VGFR2_HUMAN		CPI-SS0EC8C81E0	KDR	0.304	1.34	0.046	0.083
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS0FF2EEAE8	SFRP1	1.101	0.284	0.178	0.647
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS0AC302C73	SFRP2	0.001	0.0	0.002	0.002
TYROBP	O43914	False	TYOBP_HUMAN		CPI-SS01503DD69	TYROBP	0.0	0.0	0.004	0.001
MRC1	P22897	False	MRC1_HUMAN		CPI-SS0822AEF5F	MRC1	0.001	0.014	0.0	0.001
IL1RAPL1	Q9NZN1	False	IRPL1_HUMAN		CPI-SS0F9F83827	IL1RAPL1	0.096	0.047	0.077	0.234
TRHR	P34981	False	TRFR_HUMAN		CPI-SS00F69C501	TRHR	0.0	0.0	0.0	0.0
