gene	mean	CM_2_mean	CM_2_positive_frac	CM_6_mean	CM_6_positive_frac	log2FC	-log10 p-val	is_significant
GNB1	0.6091015	0.6010874	0.5248505819440076	1.0337201	0.9166666666666666	0.7820985	17.44083	1
RER1	0.35209462	0.34750903	0.3372129600503303	0.5950771	0.7666666666666667	0.7758536	9.755839	1
TTC34	0.005356044	0.005457149	0.005976722239698019	-1.0186341e-10	0.0	-5.7962747	8.685793	1
PRDM16-DT	0.2170057	0.21929036	0.20902799622522805	0.09593702	0.15833333333333333	-1.1918375	6.849823	1
AL031847.1	0.002760213	0.0028123246	0.0034602076124567475	-1.0186341e-10	0.0	-4.864101	5.010997	1
ACOT7	0.039217766	0.037066415	0.03994966970745518	0.15319821	0.275	2.0442693	5.1621904	1
VAMP3	0.37452948	0.36988607	0.35687323057565273	0.62057525	0.75	0.74636775	7.4226313	1
PER3	0.12869053	0.13051961	0.13494809688581316	0.031758945	0.06666666666666667	-2.0356011	13.063239	1
ENO1-AS1	0.003771634	0.003842835	0.0042466184334696445	-1.0186341e-10	0.0	-5.301163	6.384287	1
PGD	0.2178775	0.21432571	0.2201950298836112	0.40605316	0.5916666666666667	0.92154586	6.216552	1
SRM	0.22645625	0.22211888	0.22617175212330923	0.45625332	0.625	1.0381699	7.6986113	1
FBXO2	0.36257145	0.36633474	0.339572192513369	0.16325028	0.25833333333333336	-1.1655873	10.575204	1
DRAXIN	0.0032991625	0.0033614459	0.003617489776659327	-1.0186341e-10	0.0	-5.113304	5.5634217	1
DHRS3	0.023242995	0.023615628	0.02500786410821013	0.003492922	0.008333333333333333	-2.7226086	5.983883	1
HSPB7	2.1172013	2.1305766	0.9572192513368984	1.4085823	0.9583333333333334	-0.5969652	27.653643	1
ARHGEF19	0.0045895525	0.0046761907	0.0050330292544825414	-1.0186341e-10	0.0	-5.57779	7.4092855	1
CPLANE2	0.0162529	0.01655967	0.018559295375904374	-1.0186341e-10	0.0	-7.3802176	25.126764	1
NECAP2	0.096187264	0.09094383	0.09720037747719408	0.37399325	0.5583333333333333	2.0387647	12.384651	1
AL137802.2	0.01383297	0.014094066	0.015256369927650204	-1.0186341e-10	0.0	-7.1491456	20.903646	1
ACTL8	0.00591124	0.006022823	0.007077697389116074	-1.0186341e-10	0.0	-5.9361267	9.762919	1
AKR7A2	0.4360439	0.43258107	0.4051588549858446	0.6195396	0.775	0.5181255	5.378564	1
CAPZB	0.6459719	0.6389721	0.5471846492607738	1.0168542	0.9	0.67020404	13.4319725	1
NBL1	0.0061200527	0.004114267	0.004718464926077383	0.11239399	0.2	4.7384224	5.7257	1
DDOST	0.48725423	0.48349348	0.4391318024536018	0.68653506	0.8	0.5057488	5.3443675	1
HP1BP3	0.47208107	0.46786353	0.4274929223026109	0.69556355	0.8	0.57199377	6.9020085	1
ECE1	0.23171592	0.22459748	0.22522805913809374	0.60886353	0.75	1.4383719	15.37182	1
HSPG2	0.53567034	0.5216793	0.4609940232777603	1.2769641	0.975	1.2913193	33.36702	1
EPHA8	0.007908124	0.008057396	0.009279647687952187	-1.0186341e-10	0.0	-6.350038	12.635919	1
LUZP1	0.34905133	0.3408087	0.3233721296005033	0.7857941	0.85	1.2049496	17.166075	1
TCEA3	0.819899	0.8268424	0.6428122050959422	0.45206532	0.6	-0.8709367	15.615215	1
ID3	1.3805908	1.3690512	0.7816923560868198	1.991965	1.0	0.54098296	28.706621	1
AL031432.4	0.015185354	0.015471976	0.01635734507706826	-1.0186341e-10	0.0	-7.2828097	22.2032	1
TMEM50A	0.6591964	0.6478546	0.5563070147845235	1.260119	0.95	0.9597097	28.01735	1
RHCE	0.00497964	0.0050736405	0.005976722239698019	-1.0186341e-10	0.0	-5.6931095	8.575516	1
SELENON	0.110695735	0.10714324	0.11371500471846492	0.29890975	0.49166666666666664	1.4793057	8.055563	1
STMN1	1.0071189	0.99516416	0.6950298836111984	1.640552	0.9916666666666667	0.72111785	27.805595	1
TRIM63	0.39832282	0.40107378	0.3692985215476565	0.2526298	0.39166666666666666	-0.6666317	5.0089583	1
CNKSR1	0.0031830913	0.003243184	0.003617489776659327	-1.0186341e-10	0.0	-5.0631523	5.3976936	1
SH3BGRL3	0.4810035	0.45291972	0.4045297263290343	1.9689759	0.9833333333333333	2.119873	44.25141	1
TENT5B	0.0034112628	0.0034756619	0.003932054105064486	-1.0186341e-10	0.0	-5.16014	5.877464	1
SLC9A1	0.045163687	0.04167289	0.04451085246932998	0.23012249	0.39166666666666666	2.46239	8.985981	1
SYTL1	0.10423486	0.10581832	0.1085246932997798	0.020317238	0.041666666666666664	-2.3750925	14.165715	1
BX293535.1	0.016959352	0.017279455	0.01918842403271469	-1.0186341e-10	0.0	-7.4412403	25.859684	1
IFI6	0.096788816	0.09383298	0.09893048128342247	0.25338635	0.4	1.4322042	5.940046	1
STX12	0.18688126	0.18354872	0.18905316137150047	0.3634378	0.5583333333333333	0.98515654	6.5627613	1
YTHDF2	0.43179587	0.42818072	0.4007549543881724	0.6233606	0.75	0.54174167	5.1870475	1
EPB41	0.3661934	0.3692556	0.34523435042466183	0.20401616	0.3333333333333333	-0.85561997	7.021686	1
TMEM200B	0.11761717	0.11923611	0.120792702107581	0.03182021	0.075	-1.9024885	11.871398	1
LAPTM5	0.011140733	0.0014896747	0.0018873859704309531	0.52248603	0.6666666666666666	8.360793	23.83761	1
LINC01778	0.008035833	0.008187516	0.009122365523749607	-1.0186341e-10	0.0	-6.3728695	12.620792	1
FABP3	1.055961	1.0618567	0.7447310474992136	0.7436103	0.7916666666666666	-0.5139123	9.283291	1
AL445248.1	0.0033838693	0.0034477515	0.0034602076124567475	-1.0186341e-10	0.0	-5.1488347	5.2420278	1
FAM167B	0.0036730033	0.001580185	0.0017301038062283738	0.11455787	0.2	6.0925717	5.9211674	1
HDAC1	0.21722448	0.21324894	0.2154765649575338	0.4278534	0.6	1.0042388	7.2958975	1
MARCKSL1	0.88976854	0.87176925	0.6566530355457691	1.8434159	0.9833333333333333	1.0802761	40.970833	1
ZBTB8OS	0.27725655	0.27392632	0.27178357974205725	0.45369485	0.6833333333333333	0.72772586	6.3662395	1
YARS	0.57678235	0.58178806	0.4850581944007549	0.3116054	0.48333333333333334	-0.9005586	12.441826	1
AZIN2	0.011209161	0.011420736	0.013054419628814092	-1.0186341e-10	0.0	-6.8480906	17.865852	1
PHC2	0.15327837	0.15003893	0.157439446366782	0.32490364	0.5333333333333333	1.1141578	6.9165325	1
GJA4	0.0054966565	0.0017055431	0.0014155394778232148	0.20636287	0.2833333333333333	6.8373055	7.8805804	1
DLGAP3	0.0032619752	0.0033235566	0.0037747719408619063	-1.0186341e-10	0.0	-5.0974255	5.763484	1
TMEM35B	0.12197908	0.117193505	0.12425290972003775	0.3755257	0.525	1.6791726	9.921328	1
SFPQ	0.43028527	0.42371446	0.3837684806542938	0.77844286	0.85	0.8773438	12.954091	1
PSMB2	0.6573054	0.6482123	0.5503302925448255	1.1390907	0.9666666666666667	0.81324834	18.64148	1
EVA1B	0.09510111	0.079266965	0.08320226486316452	0.934043	0.8333333333333334	3.5570328	32.78952	1
MRPS15	0.3920438	0.38738072	0.37102862535388487	0.63913304	0.8083333333333333	0.7222175	8.761458	1
CSF3R	0.005417746	0.005520015	0.0062912865681031774	-1.0186341e-10	0.0	-5.8125033	9.0118885	1
POU3F1	0.0026868107	0.0027375366	0.0034602076124567475	-1.0186341e-10	0.0	-4.8265686	5.25747	1
MYCBP	0.08598923	0.08326518	0.08996539792387544	0.23030496	0.36666666666666664	1.4666549	5.483438	1
MACF1	0.9021383	0.89401245	0.6670336583831393	1.332664	0.9833333333333333	0.57589316	17.872189	1
CAP1	0.46055153	0.44605464	0.4120792702107581	1.2286489	0.975	1.4615744	40.75124	1
