gene	mean	CM_3_mean	CM_3_positive_frac	CM_6_mean	CM_6_positive_frac	log2FC	-log10 p-val	is_significant
SELENOF	0.3471669	0.34344697	0.32481629926519706	0.5328252	0.6666666666666666	0.6334258	5.0750446	1
LMO4	1.1967698	1.2054893	0.7869071476285905	0.76169866	0.8083333333333333	-0.66225684	15.440327	1
LRRC8C	0.02006095	0.016046926	0.017034068136272545	0.2203614	0.35833333333333334	3.7711947	9.914699	1
TGFBR3	0.0556323	0.05326005	0.055778223112892454	0.17401373	0.2916666666666667	1.7061981	5.008153	1
TMED5	0.12694655	0.123686045	0.125751503006012	0.2896332	0.44166666666666665	1.2268764	5.603245	1
FNBP1L	0.11405943	0.10837885	0.10704742818971276	0.39751276	0.5583333333333333	1.8739502	11.282545	1
DNTTIP2	0.3143452	0.30947202	0.2947561790247161	0.5575071	0.7333333333333333	0.848974	8.411077	1
GCLM	0.09195843	0.08565824	0.0883433533734135	0.40632895	0.5416666666666666	2.2446558	12.968048	1
ARHGAP29	0.15117133	0.1306499	0.1295925183700735	1.1751887	0.9333333333333333	3.1681335	41.669346	1
CNN3	0.52602047	0.51990855	0.45557782231128924	0.83102787	0.8583333333333333	0.6765351	9.909158	1
AC092802.1	0.0036680398	0.0037415642	0.004008016032064128	-1.0186341e-10	0.0	-5.263623	5.8197007	1
PTBP2	0.30330884	0.30579188	0.2892451569806279	0.17938907	0.31666666666666665	-0.76912564	5.454639	1
AGL	0.7638579	0.770456	0.6023714094856379	0.4346635	0.575	-0.82566905	13.332772	1
AC118553.1	0.01821433	0.018523881	0.019205076820307282	0.002768477	0.008333333333333333	-2.698797	5.544785	1
MFSD14A	0.111629136	0.108573146	0.11255845023380094	0.26411036	0.4166666666666667	1.2816913	5.614007	1
RTCA-AS1	0.15365992	0.15529789	0.1533066132264529	0.07190625	0.13333333333333333	-1.1097727	5.0659814	1
RTCA	0.24248776	0.23843592	0.23229792919171677	0.44466385	0.6583333333333333	0.8988329	7.7785854	1
VCAM1	1.3080814	1.3185198	0.8007682030728123	0.78722256	0.775	-0.744002	17.113249	1
SLC30A7	0.059671998	0.056608323	0.05911823647294589	0.21255368	0.36666666666666664	1.9068733	6.628728	1
S1PR1	0.030643363	0.025387231	0.027054108216432865	0.29292	0.44166666666666665	3.5231526	12.133963	1
COL11A1	0.11381233	0.10666696	0.10871743486973948	0.47035804	0.5833333333333334	2.1396008	14.04946	1
RNPC3	0.51225245	0.51722056	0.4385437541750167	0.2643954	0.425	-0.967816	11.781741	1
VAV3	0.008897534	0.003564008	0.0033400133600534404	0.2750409	0.44166666666666665	6.230604	13.283793	1
SLC25A24	0.23451442	0.23002502	0.22444889779559118	0.45852247	0.6416666666666667	0.9948891	7.9517503	1
SARS	0.3094553	0.30492827	0.28907815631262523	0.5353469	0.675	0.8118007	6.9530196	1
PSMA5	0.5993853	0.5938653	0.510187040748163	0.8748541	0.8333333333333334	0.5588287	6.7795343	1
GNAI3	0.32955444	0.32250714	0.30527722110888444	0.6812048	0.7833333333333333	1.0785221	13.093828	1
GSTM3	0.74740046	0.7523059	0.5966933867735471	0.50264746	0.6166666666666667	-0.58167726	7.153227	1
CSF1	0.012952833	0.013212426	0.014028056112224449	-1.0186341e-10	0.0	-7.056631	18.340841	1
AL160006.1	0.005593579	0.005705691	0.005511022044088177	-1.0186341e-10	0.0	-5.8593974	7.5834804	1
AL360270.1	0.0040693893	0.0041509564	0.004175016700066801	-1.0186341e-10	0.0	-5.409717	6.061523	1
RAP1A	0.2567488	0.25029194	0.24549098196392785	0.5789361	0.7333333333333333	1.2094653	12.40388	1
