gene	mean	CM_2_mean	CM_2_positive_frac	CM_4_mean	CM_4_positive_frac	log2FC	-log10 p-val	is_significant
FAM41C	0.008213254	0.005132995	0.005190311418685121	0.01507551	0.023475823405746322	1.5360363	5.50109	1
HES4	0.30025265	0.2379038	0.23403586033343818	0.43918052	0.47372109320252276	0.88415784	44.55244	1
PUSL1	0.08595519	0.07107115	0.0772255426234665	0.11910276	0.1702873160476524	0.74405324	14.063789	1
MXRA8	0.038167164	0.046614096	0.0497011638880151	0.019357227	0.02943237561317449	-1.263552	14.445537	1
LINC01770	0.007948521	0.010219901	0.011796162315193457	0.0028893452	0.004204625087596356	-1.7875277	6.1183505	1
ATAD3A	0.09059859	0.07348406	0.08131487889273356	0.12871116	0.18570427470217238	0.80779237	17.660398	1
FNDC10	0.17652492	0.20573585	0.2087134318968229	0.111432776	0.1552207428170988	-0.8840266	35.931973	1
AL691432.4	0.019062098	0.023019442	0.02469329977980497	0.010239177	0.015767344078486335	-1.1609852	6.7686243	1
CDK11B	0.16901731	0.14270559	0.14800251651462723	0.22761923	0.3027330063069376	0.6732037	23.461714	1
SLC35E2B	0.076670684	0.086748704	0.09279647687952186	0.05419926	0.08269096005606166	-0.6775717	10.014182	1
CDK11A	0.08791164	0.07648094	0.08162944322113873	0.113362096	0.1629292221443588	0.56715316	8.644088	1
TPRG1L	0.09618167	0.10616391	0.11340044039005977	0.0739262	0.11037140854940435	-0.52154374	7.7818637	1
SMIM1	0.20780158	0.23942706	0.2400125825731362	0.13732985	0.18990889978976874	-0.8014932	36.080288	1
C1orf174	0.09540835	0.08213102	0.08886442277445737	0.124969035	0.1807988787666433	0.60497	10.904999	1
ICMT	0.18541043	0.12527256	0.13211701793016672	0.31937414	0.3994393833216538	1.3494775	44.55244	1
ACOT7	0.07933675	0.037066415	0.03994966970745518	0.17349869	0.2386124737210932	2.2236845	44.55244	1
NOL9	0.109430715	0.09573121	0.10349166404529726	0.1399315	0.19551506657323056	0.5471838	10.115891	1
PHF13	0.14109322	0.11917934	0.12629757785467127	0.18989448	0.25718290119131043	0.6716134	19.137188	1
PER3	0.10949047	0.13051961	0.13494809688581316	0.06262354	0.08934828311142257	-1.0582927	29.703016	1
PGD	0.24887514	0.21432571	0.2201950298836112	0.32585025	0.40854940434477927	0.60417384	29.874943	1
CENPS	0.102072306	0.056465033	0.062441019188424034	0.20366411	0.2782060266292922	1.8489175	44.55244	1
CORT	0.012939485	0.005827505	0.006920415224913495	0.0287834	0.04555010511562719	2.2847435	16.054499	1
TARDBP	0.36553538	0.31883028	0.30701478452343506	0.46963152	0.5399439383321654	0.5585953	40.44121	1
SRM	0.26465774	0.22211888	0.22617175212330923	0.35943604	0.4292221443587947	0.69415486	40.605743	1
EXOSC10	0.12211671	0.10516597	0.11182761874803397	0.15985991	0.22564821303433777	0.60367113	13.628666	1
MTOR	0.17778672	0.14575157	0.15303554576910977	0.24914049	0.3314646110721794	0.77303755	32.60604	1
FBXO2	0.2939045	0.36633474	0.339572192513369	0.13263047	0.18044849334267696	-1.4650565	44.55244	1
FBXO44	0.09598087	0.11094189	0.11843346964454231	0.062632404	0.08829712683952348	-0.8238212	16.845682	1
MAD2L2	0.22172704	0.18636233	0.18999685435671596	0.30050164	0.37736510161177295	0.68896866	32.970818	1
C1orf167	0.011491732	0.0073077558	0.00865051903114187	0.020812878	0.03188507358093903	1.4972832	7.4886184	1
NPPA	0.25366953	0.15154858	0.12016357345077068	0.48117998	0.3286615276804485	1.6661444	44.55244	1
NPPB	0.04710989	0.03545727	0.031141868512110725	0.07307489	0.05641205325858444	1.0412041	6.503694	1
MIIP	0.04431289	0.035336375	0.037275872916011324	0.06431602	0.09810791871058164	0.8621884	9.74392	1
TMEM51-AS1	0.035745572	0.044078108	0.04749921358917899	0.017190453	0.026278906797477224	-1.353356	15.321472	1
EFHD2	0.24912336	0.30008203	0.2769738911607424	0.1356504	0.18885774351786966	-1.1448811	44.55244	1
CASP9	0.09656189	0.11373603	0.11937716262975778	0.05828273	0.0861948142957253	-0.96334374	22.789045	1
FBLIM1	0.23030682	0.25723484	0.2514941805599245	0.1703113	0.2274001401541696	-0.5946257	22.769865	1
CLCNKA	0.01737131	0.011868378	0.013054419628814092	0.029628599	0.04379817799579538	1.3126239	8.128886	1
CLCNKB	0.029755183	0.0170752	0.01918842403271469	0.0579991	0.08269096005606166	1.7581891	21.602888	1
FAM131C	0.029713755	0.036661755	0.040421516200062915	0.014234486	0.02102312543798178	-1.3587155	13.039826	1
EPHA2	0.016725997	0.009339627	0.010223340673167663	0.033179756	0.05080588647512264	1.8178432	13.756724	1
NBPF1	0.06156584	0.052609228	0.05756527209814407	0.08152266	0.12053258584442887	0.6309141	7.614405	1
MFAP2	0.25033602	0.2937597	0.2777603019817553	0.15364344	0.19691660826909602	-0.9346026	44.55244	1
RCC2	0.14362618	0.11536834	0.12142183076439132	0.20656142	0.27680448493342674	0.8397718	29.76501	1
ALDH4A1	0.048498683	0.038944017	0.04340987731991192	0.06979245	0.10266292922214436	0.8400351	10.065143	1
EMC1-AS1	0.040822405	0.048004735	0.051588549858446055	0.024829458	0.035739313244569026	-0.94832736	9.447022	1
MICOS10	1.1064668	0.9802542	0.723655237496068	1.3876438	0.9320252277505255	0.5013663	44.55244	1
OTUD3	0.063397355	0.052977715	0.0550487574709028	0.08661167	0.12543798177995796	0.7081199	9.253405	1
HP1BP3	0.59529716	0.46786353	0.4274929223026109	0.8792118	0.7319551506657324	0.90997875	44.55244	1
RAP1GAP	0.022001974	0.028376032	0.031456432840515886	0.007795266	0.011562718990889979	-1.8506885	15.885436	1
EPHA8	0.0061401366	0.008057396	0.009279647687952187	0.0018697685	0.003153468815697267	-2.0500827	5.9388776	1
HNRNPR	0.9287818	0.7267005	0.5956275558351682	1.3789742	0.9267694463910301	0.92406875	44.55244	1
E2F2	0.012382604	-1.0768417e-09	0.0	0.03996797	0.05956552207428171	8.646321	34.653362	1
GALE	0.09178383	0.064205185	0.06936143441333753	0.15321128	0.212333566923616	1.2534568	38.561802	1
HMGCL	0.21725018	0.23897007	0.23954073608052848	0.16884585	0.22950245269796776	-0.5008726	16.11023	1
