gene	mean	CM_2_mean	CM_2_positive_frac	CM_6_mean	CM_6_positive_frac	log2FC	-log10 p-val	is_significant
MIR1302-2HG	-7.4942363e-10	-1.0768417e-09	0.0	-1.0186341e-10	0.0	1.4102508e-05	44.25141	0
FAM138A	-7.4942363e-10	-1.0768417e-09	0.0	-1.0186341e-10	0.0	1.4102508e-05	44.25141	0
OR4F5	-7.4942363e-10	-1.0768417e-09	0.0	-1.0186341e-10	0.0	1.4102508e-05	44.25141	0
AL627309.1	0.0012945072	0.0013189369	0.0014155394778232148	-1.0186341e-10	0.0	-3.82674	2.3736324	0
AL627309.3	0.000111126144	0.00011322322	0.00015728216420257942	-1.0186341e-10	0.0	-1.0923661	0.4984698	0
AL627309.2	-7.4942363e-10	-1.0768417e-09	0.0	-1.0186341e-10	0.0	1.4102508e-05	44.25141	0
AL627309.5	0.021597132	0.021429868	0.023277760301981754	0.030452697	0.05	0.5049602	0.3240419	0
AL627309.4	0.0013864763	0.001412642	0.0015728216420257944	-1.0186341e-10	0.0	-3.919	2.6431394	0
AP006222.2	0.00068905693	0.00070205954	0.0009436929852154766	-1.0186341e-10	0.0	-3.0037107	1.7444668	0
AL732372.1	-7.4942363e-10	-1.0768417e-09	0.0	-1.0186341e-10	0.0	1.4102508e-05	44.25141	0
OR4F29	-7.4942363e-10	-1.0768417e-09	0.0	-1.0186341e-10	0.0	1.4102508e-05	44.25141	0
AC114498.1	0.00010036256	0.00010225646	0.00015728216420257942	-1.0186341e-10	0.0	-1.0161873	0.49846074	0
OR4F16	-7.4942363e-10	-1.0768417e-09	0.0	-1.0186341e-10	0.0	1.4102508e-05	44.25141	0
AL669831.2	0.0010848594	0.0011053324	0.001100975149418056	-1.0186341e-10	0.0	-3.5913606	2.0111697	0
LINC01409	0.0742283	0.0744997	0.07895564642969487	0.05985663	0.10833333333333334	-0.3152504	0.42441565	0
FAM87B	0.00014988933	0.00015271801	0.00015728216420257942	-1.0186341e-10	0.0	-1.33753	0.49851826	0
LINC01128	0.15166254	0.15215018	0.15728216420257943	0.12580971	0.21666666666666667	-0.27405435	0.58622664	0
LINC00115	0.016477702	0.016637733	0.017772884554891476	0.007999595	0.016666666666666666	-1.0471824	0.84603167	0
FAM41C	0.0051321937	0.005132995	0.005190311418685121	0.0050905175	0.016666666666666666	-0.011758517	0.0039710687	0
AL645608.6	0.0005267366	0.0005366756	0.0004718464926077383	-1.0186341e-10	0.0	-2.6705601	1.073873	0
AL645608.2	0.0058827833	0.0058480366	0.006448568732305757	0.0077245776	0.016666666666666666	0.39559937	0.13238433	0
AL645608.4	0.00121469	0.0012376134	0.0012582573136206354	-1.0186341e-10	0.0	-3.7415907	2.2400646	0
LINC02593	0.042594966	0.042365074	0.045139981126140295	0.054782994	0.10833333333333334	0.37008247	0.38084552	0
SAMD11	0.24211761	0.24360172	0.23560868197546397	0.16346705	0.25833333333333336	-0.57523435	2.2583702	0
NOC2L	0.23035802	0.23058201	0.2348222711544511	0.21847501	0.35833333333333334	-0.07777703	0.16249393	0
KLHL17	0.016119232	0.016077604	0.018244731047499213	0.018325763	0.041666666666666664	0.18772645	0.10295077	0
PLEKHN1	0.0019205072	0.0019567518	0.0020446681346335325	-1.0186341e-10	0.0	-4.3622975	3.1616244	0
PERM1	0.001989613	0.0020271624	0.0023592324630386913	-1.0186341e-10	0.0	-4.4108596	3.7630417	0
AL645608.7	0.000644375	0.0005146017	0.0006291286568103177	0.0075200973	0.016666666666666666	3.6320858	0.695343	0
HES4	0.23976715	0.2379038	0.23403586033343818	0.33848047	0.4666666666666667	0.50851405	2.0902898	0
ISG15	0.17775281	0.1757669	0.1736395092796477	0.2829583	0.425	0.68661517	2.824862	0
AL645608.1	0.00017742813	0.00018077655	0.00015728216420257942	-1.0186341e-10	0.0	-1.489424	0.49851063	0
AGRN	0.092548616	0.09144663	0.0978295061340044	0.15091965	0.25	0.72215754	1.6160133	0
AL645608.5	-7.4942363e-10	-1.0768417e-09	0.0	-1.0186341e-10	0.0	1.4102508e-05	44.25141	0
AL645608.8	0.00016349339	0.00016657883	0.00015728216420257942	-1.0186341e-10	0.0	-1.4145637	0.49854147	0
RNF223	0.00026864544	0.00027371774	0.00031456432840515884	-1.0186341e-10	0.0	-1.9019506	0.80309135	0
C1orf159	0.017232247	0.016920593	0.01871657754010695	0.033745535	0.058333333333333334	0.9916844	0.7271437	0
AL390719.3	0.000113490714	0.00011563241	0.00015728216420257942	-1.0186341e-10	0.0	-1.1085755	0.4984607	0
