gene	mean	CM_1_mean	CM_1_positive_frac	CM_4_mean	CM_4_positive_frac	log2FC	-log10 p-val	is_significant
SAMD11	0.2185106	0.19612007	0.24206152933029973	0.29788095	0.3496846531184303	0.60274744	27.537989	1
HES4	0.26892096	0.22086987	0.26827579384706696	0.43918052	0.47372109320252276	0.9912928	44.55244	1
C1orf159	0.016853888	0.0140600465	0.020278959343159562	0.026742663	0.03959355290819902	0.92270184	5.1626863	1
MXRA8	0.03279855	0.036595523	0.05104362449302602	0.019357227	0.02943237561317449	-0.915298	9.410799	1
LINC01770	0.008673376	0.010306592	0.014640419428232269	0.0028893452	0.004204625087596356	-1.7995963	8.90047	1
VWA1	0.100557335	0.109561644	0.14590958551785538	0.068645224	0.09985984583041345	-0.6737276	15.678997	1
FNDC10	0.14813365	0.1584902	0.2035809674547433	0.111432776	0.1552207428170988	-0.5078358	13.55748	1
AL691432.4	0.019899229	0.022625012	0.03175388267880107	0.010239177	0.015767344078486335	-1.1361597	9.005231	1
TPRG1L	0.097850956	0.10460045	0.1433376199426254	0.0739262	0.11037140854940435	-0.50015974	9.1896305	1
SMIM1	0.18264127	0.19545136	0.25304184390147394	0.13732985	0.18990889978976874	-0.50885224	17.182867	1
C1orf174	0.096186385	0.08805528	0.1241467998812939	0.124969035	0.1807988787666433	0.50460565	9.5592785	1
ICMT	0.21112469	0.18057391	0.23691759817983973	0.31937414	0.3994393833216538	0.82231086	44.55244	1
ACOT7	0.07440447	0.04642333	0.06607973093283213	0.17349869	0.2386124737210932	1.8997297	44.55244	1
PLEKHG5	0.01817521	0.020206792	0.029775447620931844	0.010972264	0.016468114926419062	-0.87501216	5.2242136	1
PHF13	0.14007916	0.12601021	0.17133247601147492	0.18989448	0.25718290119131043	0.5912725	18.232798	1
PIK3CD-AS2	0.072132125	0.07738855	0.1057473538431101	0.053493444	0.07533286615276805	-0.5319265	7.2543654	1
NMNAT1	0.17166337	0.18369545	0.23889603323770897	0.12906794	0.18220042046250876	-0.50885296	16.416044	1
CENPS	0.1029703	0.07453738	0.10594519734889703	0.20366411	0.2782060266292922	1.4489297	44.55244	1
CORT	0.013116966	0.008693021	0.01236521911168266	0.0287834	0.04555010511562719	1.7158097	12.7568245	1
EXOSC10	0.11970889	0.108368054	0.14947076862202	0.15985991	0.22564821303433777	0.5604401	14.214135	1
FBXO2	0.21393223	0.23690884	0.28341082203976653	0.13263047	0.18044849334267696	-0.8364412	44.55244	1
