gene	mean	CM_4_mean	CM_4_positive_frac	CM_5_mean	CM_5_positive_frac	log2FC	-log10 p-val	is_significant
AC107294.2	0.20591715	0.25076604	0.29572529782761037	0.14015657	0.06779661016949153	-0.8388487	13.401171	1
LINC02069	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
AC107294.3	0.01044037	0.007841624	0.011212333566923615	0.014250331	0.007704160246533128	0.853578	0.92871094	0
AC107294.1	0.012038943	0.008224392	0.011913104414856343	0.017631067	0.008731381612737545	1.0908625	1.3650364	0
VPS8	0.14855552	0.16285656	0.22459705676243868	0.12758173	0.06522855675398048	-0.3519353	2.2038083	0
C3orf70	0.018781029	0.023414206	0.0350385423966363	0.011990294	0.0061633281972265025	-0.95968336	2.0997543	0
EHHADH-AS1	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
EHHADH	0.012506442	0.01622687	0.023475823405746322	0.007053797	0.0035952747817154596	-1.1904671	2.121417	0
MAP3K13	0.14136213	0.17119813	0.23090399439383322	0.097610235	0.04930662557781202	-0.8099277	9.029306	1
TMEM41A	0.2876227	0.39275184	0.46320953048353186	0.13350093	0.07036466358500257	-1.5560552	44.55244	1
AC099661.1	0.013730624	0.013514295	0.02242466713384723	0.014048259	0.008217770929635337	0.05550223	0.048340473	0
LIPH	0.041134343	0.0488906	0.07358093903293624	0.02975777	0.015408320493066256	-0.7143987	2.4179893	0
SENP2	0.16954497	0.22270578	0.30238262088297124	0.091599725	0.04725218284540318	-1.2807974	27.204367	1
IGF2BP2	0.722613	0.77889395	0.7323055360896986	0.64019156	0.2835130970724191	-0.28288317	6.8387823	0
IGF2BP2-AS1	0.0026481992	0.0014525077	0.002102312543798178	0.004400798	0.002054442732408834	1.5355805	0.6783964	0
TRA2B	0.5604079	0.6949577	0.6850035038542397	0.3632511	0.17103235747303544	-0.93576854	44.55244	1
ETV5	0.14855137	0.20421873	0.2708479327259986	0.06692983	0.03338469440164355	-1.6079463	35.053272	1
ETV5-AS1	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
DGKG	0.002963682	0.0026924745	0.004204625087596356	0.0033611294	0.002054442732408834	0.3096988	0.1394138	0
LINC02020	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
LINC02052	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
LINC02051	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
CRYGS	0.0018707042	0.0025659152	0.00350385423966363	0.00085149944	0.0005136106831022085	-1.4863563	0.8274797	0
TBCCD1	0.01665348	0.020982338	0.03258584442887176	0.010308366	0.005136106831022085	-1.0182912	2.1055927	0
DNAJB11	0.2808213	0.38839516	0.4621583742116328	0.123116516	0.06317411402157165	-1.656701	44.55244	1
AC068631.1	0.003373134	0.0018290394	0.002452697967764541	0.0056365444	0.0025680534155110425	1.5722992	0.816247	0
AHSG	0.031724494	0.01853127	0.025227750525578137	0.051062245	0.021058038007190548	1.4573536	3.8385704	0
FETUB	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
HRG	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
KNG1	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
AC112907.3	0.005518614	0.003972455	0.005255781359495445	0.0077857114	0.0035952747817154596	0.9533422	0.64629686	0
EIF4A2	0.9515168	1.0771645	0.8612473721093202	0.7674122	0.34103749357986646	-0.489111	28.142467	0
RFC4	0.2073264	0.32299182	0.3689558514365802	0.03775671	0.019003595274781716	-3.0933232	44.55244	1
AC112907.1	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
LINC02043	0.0010867404	0.0010958664	0.001751927119831815	0.001073187	0.0005136106831022085	-0.02762332	0.0067001786	0
ADIPOQ	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
ADIPOQ-AS1	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
ST6GAL1	0.08087138	0.10235338	0.1429572529782761	0.049389698	0.026194144838212634	-1.0497675	8.839656	1
RPL39L	0.4747258	0.7357406	0.6860546601261388	0.09221554	0.04365690806368772	-2.9947479	44.55244	1
AC007920.1	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
RTP1	0.00015309092	0.00025751832	0.000350385423966363	1.3969839e-09	0.0	-1.8379971	0.49844435	0
MASP1	0.8418613	1.1438277	0.8192011212333566	0.3993112	0.18489984591679506	-1.5180492	44.55244	1
AC007920.2	0.019196648	0.02347966	0.03679046951646812	0.012919192	0.0061633281972265025	-0.85690284	1.7044964	0
RTP4	0.0001297653	0.00021827995	0.000350385423966363	1.3969839e-09	0.0	-1.6702762	0.49841443	0
LINC02041	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
SST	0.00045012397	-3.6379788e-10	0.0	0.0011099506	0.0005136106831022085	3.5968814	0.49834326	0
RTP2	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
AC072022.1	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
BCL6	0.028269185	0.028878935	0.04414856341976174	0.027373811	0.01335387776065742	-0.076947495	0.09273201	0
AC072022.2	0.0013634454	0.001321199	0.002102312543798178	0.0014251496	0.0005136106831022085	0.10184218	0.02412075	0
AC108681.1	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
AC068295.1	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
LINC01991	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
AC092941.1	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
AC092941.2	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
AC022498.1	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
LPP-AS2	0.018882113	0.026591346	0.038192011212333565	0.007582493	0.004108885464817668	-1.7967256	6.100873	1
LPP	0.5969702	0.7111621	0.6860546601261388	0.4296634	0.20133538777606574	-0.7268387	33.407448	1
LPP-AS1	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
TPRG1-AS1	0.00060934824	0.001025116	0.001401541695865452	1.3969839e-09	0.0	-3.4919815	1.3127556	0
TPRG1	0.00034202164	0.00057538867	0.000700770847932726	1.3969839e-09	0.0	-2.755698	0.79933095	0
TPRG1-AS2	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
TP63	5.8436628e-05	9.829079e-05	0.000350385423966363	1.3969839e-09	0.0	-0.98759747	0.49841475	0
P3H2	0.19476806	0.26855978	0.331114225648213	0.08658129	0.04571135079609656	-1.6319877	44.55244	1
