gene	mean	CM_1_mean	CM_1_positive_frac	CM_4_mean	CM_4_positive_frac	log2FC	-log10 p-val	is_significant
MIR1302-2HG	5.3903022e-05	6.911638e-05	9.892175289346128e-05	-3.6379788e-10	0.0	-0.75802165	0.49854013	0
FAM138A	7.923518e-09	5.478796e-09	0.0	-3.6379788e-10	0.0	-8.4273954e-05	44.55244	0
OR4F5	7.923518e-09	5.478796e-09	0.0	-3.6379788e-10	0.0	-8.4273954e-05	44.55244	0
AL627309.1	0.0019460128	0.002265908	0.003165496092590761	0.0008137442	0.001401541695865452	-1.3725318	1.8281229	0
AL627309.3	0.00021754764	0.00023531512	0.0003956870115738451	0.00015469623	0.000350385423966363	-0.39673996	0.16730404	0
AL627309.2	7.923518e-09	5.478796e-09	0.0	-3.6379788e-10	0.0	-8.4273954e-05	44.55244	0
AL627309.5	0.022933792	0.02463962	0.03660104857058067	0.016897636	0.026629292221443588	-0.54148924	2.8573122	0
AL627309.4	0.00040456594	0.00051874574	0.0007913740231476902	-3.6379788e-10	0.0	-2.6293519	2.3044622	0
AP006222.2	0.00073733786	0.00073786074	0.001088139281828074	0.0007352559	0.000700770847932726	-0.004492208	0.0015883129	0
AL732372.1	7.923518e-09	5.478796e-09	0.0	-3.6379788e-10	0.0	-8.4273954e-05	44.55244	0
OR4F29	7.923518e-09	5.478796e-09	0.0	-3.6379788e-10	0.0	-8.4273954e-05	44.55244	0
AC114498.1	7.923518e-09	5.478796e-09	0.0	-3.6379788e-10	0.0	-8.4273954e-05	44.55244	0
OR4F16	7.923518e-09	5.478796e-09	0.0	-3.6379788e-10	0.0	-8.4273954e-05	44.55244	0
AL669831.2	0.00103374	0.0010524123	0.0015827480462953804	0.00096744305	0.001401541695865452	-0.1104978	0.055895723	0
LINC01409	0.06990223	0.071111515	0.09991097042239588	0.06560017	0.0918009810791871	-0.116213426	0.6240186	0
FAM87B	0.00021065603	0.00027015165	0.0003956870115738451	-3.6379788e-10	0.0	-1.8881217	1.3061696	0
LINC01128	0.16452424	0.16925341	0.21970521317637748	0.14777143	0.20602662929222143	-0.19569367	2.8388565	0
LINC00115	0.011518302	0.0118381055	0.016816697991888417	0.010379419	0.014365802382620883	-0.18801518	0.33821645	0
FAM41C	0.01160049	0.010618175	0.016025323968740728	0.01507551	0.023475823405746322	0.50168574	1.4610386	0
AL645608.6	0.00044288888	0.00056788814	0.0007913740231476902	-3.6379788e-10	0.0	-2.7396119	2.2214444	0
AL645608.2	0.004048042	0.004344436	0.0062320704322880605	0.0029990776	0.004204625087596356	-0.5201614	0.69747174	0
AL645608.4	0.0006905893	0.00084363634	0.0011870610347215352	0.00014836309	0.000350385423966363	-1.9257802	1.7867811	0
LINC02593	0.041694347	0.042296704	0.058858442971609456	0.03955913	0.05641205325858444	-0.09629905	0.33750832	0
SAMD11	0.2185106	0.19612007	0.24206152933029973	0.29788095	0.3496846531184303	0.60274744	27.537989	1
NOC2L	0.24431637	0.24402592	0.3124938173904442	0.24541375	0.3237561317449194	0.008178456	0.062880054	0
KLHL17	0.0145901	0.01423016	0.021169255119200713	0.015857955	0.024176594253679046	0.1552211	0.3335756	0
PLEKHN1	0.0016070831	0.0017118569	0.0023741220694430704	0.0012367478	0.001401541695865452	-0.43874168	0.29153302	0
PERM1	0.0011274772	0.0013086777	0.0017805915520823028	0.00048552622	0.000700770847932726	-1.2665358	1.0861499	0
AL645608.7	0.00092559954	0.0006557915	0.0009892175289346128	0.0018811572	0.002452697967764541	1.3902831	0.9445697	0
HES4	0.26892096	0.22086987	0.26827579384706696	0.43918052	0.47372109320252276	0.9912928	44.55244	1
ISG15	0.27953768	0.29725164	0.3658126422000198	0.21686578	0.2859145059565522	-0.45470247	22.029932	0
AL645608.1	7.923518e-09	5.478796e-09	0.0	-3.6379788e-10	0.0	-8.4273954e-05	44.55244	0
AGRN	0.089513086	0.09210682	0.12701553071520427	0.080308884	0.11667834618079888	-0.19751854	1.6963893	0
AL645608.5	7.923518e-09	5.478796e-09	0.0	-3.6379788e-10	0.0	-8.4273954e-05	44.55244	0
AL645608.8	7.923518e-09	5.478796e-09	0.0	-3.6379788e-10	0.0	-8.4273954e-05	44.55244	0
RNF223	3.1931042e-05	5.478796e-09	0.0	0.00014499752	0.000350385423966363	1.2926881	0.49838206	0
C1orf159	0.016853888	0.0140600465	0.020278959343159562	0.026742663	0.03959355290819902	0.92270184	5.1626863	1
AL390719.3	0.00034380922	0.0003753884	0.0005935305173607676	0.00023182377	0.000350385423966363	-0.51868945	0.21652463	0
LINC01342	7.923518e-09	5.478796e-09	0.0	-3.6379788e-10	0.0	-8.4273954e-05	44.55244	0
AL390719.2	7.923518e-09	5.478796e-09	0.0	-3.6379788e-10	0.0	-8.4273954e-05	44.55244	0
TTLL10-AS1	7.923518e-09	5.478796e-09	0.0	-3.6379788e-10	0.0	-8.4273954e-05	44.55244	0
TTLL10	5.3863834e-05	6.906613e-05	9.892175289346128e-05	-3.6379788e-10	0.0	-0.757593	0.49855176	0
TNFRSF18	0.00030059167	0.00038541717	0.0004946087644673064	-3.6379788e-10	0.0	-2.2792304	1.4418849	0
TNFRSF4	0.00010867803	8.484731e-05	0.00019784350578692255	0.00019313936	0.000350385423966363	0.66525275	0.22722475	0
SDF4	0.5140892	0.5207247	0.5640518349985162	0.49063388	0.555010511562719	-0.08585715	2.3388715	0
B3GALT6	0.18311265	0.18532301	0.24641408645761204	0.17532086	0.24772249474421865	-0.07999995	0.8072741	0
