gene	mean	CM_1_mean	CM_1_positive_frac	CM_2_mean	CM_2_positive_frac	log2FC	-log10 p-val	is_significant
ISG15	0.25031054	0.29725164	0.3658126422000198	0.1757669	0.1736395092796477	-0.757686	44.55244	1
CCNL2	0.22403136	0.25390425	0.32070432288060147	0.17662495	0.1819754639823844	-0.52334684	33.446995	1
TMEM52	0.011719912	0.007934036	0.011474923335641507	0.01773606	0.01871657754010695	1.1506003	6.9259906	1
PRDM16-DT	0.16204157	0.12605163	0.16539717083786726	0.21929036	0.20902799622522805	0.7983413	44.55244	1
ARHGEF16	0.01338168	0.009761924	0.013849045405084578	0.019131685	0.020446681346335326	0.9635441	5.854869	1
RNF207	0.063376926	0.07503154	0.0996142051637155	0.044826422	0.046240956275558354	-0.74185455	16.633574	1
ICMT	0.15920044	0.18057391	0.23691759817983973	0.12527256	0.13211701793016672	-0.52716666	23.548477	1
PER3	0.09133939	0.06668834	0.09278860421406668	0.13051961	0.13494809688581316	0.9677034	37.973213	1
SRM	0.28505006	0.32468405	0.3929172024928282	0.22211888	0.22617175212330923	-0.5474993	44.55244	1
FBXO2	0.28685436	0.23690884	0.28341082203976653	0.36633474	0.339572192513369	0.6286153	44.55244	1
C1orf167	0.020261662	0.028413996	0.040854683944999505	0.0073077558	0.00865051903114187	-1.9445618	32.459904	1
MTHFR	0.20254222	0.23294255	0.2935008408348996	0.15429856	0.15948411450141553	-0.5939341	37.497143	1
NPPA	0.5620362	0.82027054	0.48639825897714906	0.15154858	0.12016357345077068	-2.4355438	44.55244	1
NPPB	0.09631761	0.13458315	0.09278860421406668	0.03545727	0.031141868512110725	-1.9213529	44.55244	1
MIIP	0.0478946	0.055781227	0.07785141952715402	0.035336375	0.037275872916011324	-0.6571326	10.492967	1
DHRS3	0.0124109285	0.0053618317	0.008111583737263825	0.023615628	0.02500786410821013	2.1183815	18.504972	1
PDPN	0.23935117	0.29783472	0.3203086358690276	0.14645587	0.14768795218622208	-1.0235455	44.55244	1
TMEM51-AS1	0.033492077	0.026837688	0.03640320506479375	0.044078108	0.04749921358917899	0.71370566	8.164058	1
EFHD2	0.20928763	0.15222263	0.19507369670590563	0.30008203	0.2769738911607424	0.97870725	44.55244	1
FAM131C	0.029123507	0.02438861	0.0342269265011376	0.036661755	0.040421516200062915	0.58609486	5.336096	1
EPHA2	0.022571439	0.030898439	0.04461371055495103	0.009339627	0.010223340673167663	-1.7153939	28.700523	1
MFAP2	0.19654335	0.13543145	0.16717776238994955	0.2937597	0.2777603019817553	1.1164998	44.55244	1
ARHGEF10L	0.058892965	0.06680966	0.0952616480364032	0.046286058	0.050173010380622836	-0.5285234	8.796929	1
ALDH4A1	0.051611166	0.059566166	0.08339103768918785	0.038944017	0.04340987731991192	-0.6118116	10.221787	1
IFFO2	0.01848153	0.0220508	0.032050647937481455	0.012807954	0.014469959106637308	-0.77909845	6.1449423	1
EMC1-AS1	0.038507827	0.032534543	0.04589969334256603	0.048004735	0.051588549858446055	0.55977905	6.1989317	1
FAM43B	0.014685326	0.010943195	0.01553071520427342	0.020629121	0.022805913809374016	0.9085014	6.0181255	1
RAP1GAP	0.015958214	0.008146129	0.011771688594321891	0.028376032	0.031456432840515886	1.7879592	19.35345	1
EPHB2	0.08400988	0.09789987	0.1328519141359185	0.061904076	0.06590122680088079	-0.6604168	18.357101	1
GALE	0.09332376	0.11162445	0.1522405777030369	0.064205185	0.06936143441333753	-0.79693794	29.680277	1
TMEM50A	0.8400547	0.96095914	0.8171926006528836	0.6478546	0.5563070147845235	-0.56873244	44.55244	1
LDLRAP1	0.039973788	0.046382792	0.06578296567415175	0.029771568	0.0328719723183391	-0.6379239	8.545849	1
AL031280.1	0.020452175	0.024999935	0.03511722227717875	0.013228823	0.01368354828562441	-0.9131342	8.340662	1
SELENON	0.14999284	0.17696935	0.2318725887822732	0.10714324	0.11371500471846492	-0.7234279	40.31709	1
AUNIP	0.0033123752	0.0049944115	0.007913740231476903	0.0006388062	0.0009436929852154766	-2.7856476	10.726289	1
